layer,avg_dist_before,avg_dist_after,avg_dist_change,avg_change_percent,decreased_percentage
0,22.983657509127877,15.153724708434614,-7.829932800693304,-32.95356737245399,100.0
1,30.590619974703348,13.874684233889994,-16.71593574081338,-53.45510517453824,100.0
2,42.2136662780978,29.58042564460671,-12.633240633491068,-29.685144990462117,100.0
3,41.56322225243799,29.706110080352587,-11.857112172085346,-28.246364474907082,100.0
4,41.70279781002559,29.90283829188058,-11.79995951814501,-28.11235310474391,100.0
5,41.079817570759865,27.440337631003125,-13.639479939756756,-32.94617690207316,100.0
6,40.39148687333084,25.68916927404097,-14.702317599289797,-36.27836734141608,100.0
7,40.49887424525614,25.56204060381657,-14.936833641439582,-36.58073618842265,100.0
8,40.16875430119681,25.605602663672197,-14.563151637524626,-35.40445628268221,100.0
9,40.042871361289485,24.99787706659911,-15.044994294690408,-36.77298954748028,100.0
10,39.755770371824454,24.386188119258627,-15.369582252565799,-38.47976083955165,100.0
11,39.13750462136718,24.90212315555972,-14.23538146580746,-36.14304354970619,100.0
12,38.856802383005785,24.59426968368894,-14.262532699316857,-36.59206163954636,100.0
13,38.58456127674732,24.683163462141813,-13.901397814605552,-35.95103944877893,100.0
14,38.25472610386425,25.156085933159115,-13.09864017070513,-34.20972980239255,100.0
15,37.395712498720954,23.97791502473541,-13.417797473985502,-35.94415573598429,100.0
16,34.52999296694049,23.0570166647914,-11.472976302149068,-33.062803745676305,100.0
17,31.906978045606852,22.155453924436227,-9.751524121170664,-30.569847665059857,100.0
18,30.895307602202266,21.798103140952893,-9.09720446124933,-29.395363518717833,100.0
19,29.672639706224853,20.937623790192205,-8.735015916032586,-29.581716590707362,100.0
20,29.201504807046394,20.73220922463835,-8.46929558240802,-29.127836362003524,100.0
21,29.091049514751884,20.899283266526275,-8.191766248225615,-28.306963865208218,100.0
22,22.31295868674618,15.931578898979724,-6.381379787766417,-29.965827554733604,98.94736842105263
23,22.53759386740801,13.812590341040785,-8.725003526367232,-39.78488930519713,100.0
