Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
0,0.0014577477541752159,0.0003468197159236297,0.0015528252674266696,0.000958718789042905,0.0010819245304446667,0.0009937251638621092,0.0005656710709445179,0.0020033218851312996,0.0011151978734415023,0.0005727516987826675,0.0005319395801052451,0.0005867746262811124
1,0.02655185481533408,0.016736620962619783,0.003551815925166011,0.014153694789856673,0.006780107142403722,0.038101943470537664,0.062063949182629585,0.04034324575215578,0.00560695979744196,0.0332855873554945,0.005850786529481411,0.036344806812703606
2,0.0286543720215559,0.14062972620129585,0.07775159165263176,0.03898008275777101,0.05693534016609192,0.05082412905991077,0.021071824766695498,0.01345980204641819,0.06342813856899739,0.05520195677876472,0.015338977705687285,0.025719432309269905
3,0.10106172695755959,0.03972241032868624,0.09551523908972741,0.09011113688349724,0.046085730269551275,0.03045147631317377,0.05913315415382385,0.09466200307011605,0.07355631321668625,0.056288028471171855,0.023763132039457558,0.04829981718212366
4,0.20737589865922929,0.16140512615442276,0.0900394194573164,0.08598908141255379,0.05761422611773014,0.06936891637742519,0.043318621814250946,0.058756733015179634,0.0279767407104373,0.0602024444937706,0.019764217305928467,0.025534984851256014
5,0.08338818915188312,0.07907926917076111,0.0898506822437048,0.06915732711553574,0.07713920749723911,0.1140914261341095,0.21386766493320464,0.12026813700795173,0.06880585476756096,0.0630118128657341,0.1607965971529484,0.06722974374890328
6,0.12167260684072971,0.11425786033272743,0.04342671841382981,0.0796621159464121,0.22238231018185617,0.05491297177970409,0.04635973580181599,0.11823908798396587,0.12446903303265572,0.072568952254951,0.07702984787523746,0.11336784146726131
7,0.18286956891417502,0.14125951290130614,0.0812915387004614,0.06853016592562199,0.06338166818022728,0.23214900493621826,0.07357506960630417,0.17303531751036644,0.19288078173995019,0.10623365923762322,0.11329833768308163,0.31577973142266275
8,0.11401069462299347,0.10024940103292465,0.14463998287916183,0.19701488703489303,0.17353525385260582,0.1979193817079067,0.2961000454425812,0.16309117957949637,0.31109600186347963,0.15317991524934768,0.11443840719759464,0.09539365768432617
9,0.3037522748112679,0.15083688408136367,0.24834895640611648,0.2833471217751503,0.24976131290197373,0.22383034482598305,0.16400190070271492,0.34551648050546646,0.43402563631534574,0.16423840060830117,0.1800501699745655,0.23831318974494933
10,0.32190548032522204,0.3725617790222168,0.44831875085830686,0.43946238815784455,0.42135621249675753,0.2516096502542496,0.20147415965795518,0.552204940021038,0.22180521458387376,0.36541490226984025,0.2184869286417961,0.6369163537025452
11,0.697243656218052,0.2457652822136879,0.3865629252791405,0.6288575258851051,0.2470134460926056,0.3189702838659286,0.2445438739657402,0.3839896926283836,0.5175986880064011,0.3936362209916115,0.6793433403968812,1.4376591449975968
