Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
0,0.001628068736754358,0.0003138836720609106,0.0013154083117842674,0.0012590303109027445,0.0015053011733107268,0.0007113962236326188,0.0010217536403797566,0.001337876117322594,0.0012407322973012923,0.000416037964168936,0.000294747197185643,0.0005624805483967066
1,0.02776968266814947,0.016221099998801947,0.006565909236669541,0.018586067520081996,0.008060898017138243,0.021850083991885184,0.06465458169579506,0.04953167371451855,0.004415389359928667,0.01525944508612156,0.013025964107364417,0.03605318233370781
2,0.04350822478532791,0.11399803623557091,0.14479620546102523,0.06912609428167343,0.08758485198020935,0.08749487608671189,0.03171430941671133,0.030930720791220664,0.08590504348278045,0.10981050178408623,0.025395395904779433,0.02613525338470936
3,0.03064216073602438,0.07524681270122528,0.1055190059542656,0.09711210042238236,0.024429216757416727,0.04942780949175358,0.09037431716918945,0.12290783122181892,0.11465799555182457,0.05875617787241936,0.023636289723217487,0.04597458176314831
4,0.17338624209165573,0.10001971065998078,0.11055269971489906,0.11236027047038079,0.03295255720615387,0.06250757873058319,0.07460694089531898,0.07893668532371521,0.03941840298473835,0.07448120102286339,0.03934810560196638,0.027136882096529008
5,0.1654601114988327,0.13252587378025055,0.11315561249852181,0.08757157772779464,0.12515906631946563,0.11782931506633759,0.18305679261684418,0.07088596291840077,0.06798284761607647,0.08251906380057335,0.1385101555287838,0.06465731211006641
6,0.1459800934791565,0.13951241999864578,0.04632783204317093,0.08705689042806625,0.2560067933797836,0.05960280790925026,0.06686145223677159,0.19438259810209274,0.12959251150488854,0.0658282420039177,0.05161278322339058,0.07654440976679325
7,0.117603872269392,0.13190363198518754,0.04042987644672394,0.06411017708480359,0.06432889185845853,0.31049405127763746,0.08616993337869644,0.10829640388488769,0.1656992682814598,0.14579296380281448,0.17293952524662018,0.20636676877737045
8,0.12609766140580178,0.1010767625272274,0.20755378842353822,0.14538966566324235,0.18177724063396453,0.1575964644551277,0.3118783640861511,0.225921790599823,0.27519501239061356,0.18897383213043212,0.10548518747091293,0.1651679140329361
9,0.2774453955888748,0.1917407175898552,0.1959146526455879,0.3888952738046646,0.2326152428984642,0.2901218709349632,0.08051907576620579,0.23654503077268602,0.26334450602531434,0.09831786304712295,0.39648341298103335,0.18254149854183196
10,0.2238830468058586,0.29930186420679095,0.2969768130779266,0.31833694636821747,0.3945640140771866,0.2448713681101799,0.14200660243630409,0.3720396995544434,0.28012762516736983,0.34431467652320863,0.1300857335329056,0.3427901917695999
11,0.8211019945144653,0.2239141058921814,0.429477658867836,0.40839417338371276,0.2736229783296585,0.3162133499979973,0.21912361949682235,0.3234193181991577,0.7896311092376709,0.428311105966568,0.6362953662872315,1.36870525598526
