Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
0,0.7461859899759292,3.8874770975112916,0.5850488805770874,4.028804569244385,3.255705041885376,3.1023392391204836,0.8475637459754943,2.846891903877258,0.8594932353496552,0.46581585466861725,0.8589444530010223,0.18067789793014527
1,2.5214100646972657,2.1175212836265564,0.6001657474040986,1.209037742614746,1.1769511771202088,0.8777719676494599,0.7775398969650269,0.36877472639083864,0.23542286694049835,0.4015460741519928,0.61231359064579,3.0067190456390382
2,2.221691355705261,0.7861651968955994,5.3392337131500245,3.120136375427246,2.9609724140167235,3.4359422063827516,1.905135865211487,1.2758133244514465,3.0957061004638673,3.3384969234466553,1.7496098804473876,2.1976153087615966
3,1.9543882560729982,1.9956688714027404,3.588444595336914,2.257856912612915,1.5033420825004578,1.600112931728363,2.748699259757996,3.4035469341278075,3.0800060176849366,2.104071114063263,1.9378436636924743,2.2724970722198488
4,2.4460196495056152,2.360534110069275,1.6535245156288148,2.148393633365631,1.5936580848693849,1.4911642861366272,1.2979476368427276,2.668170576095581,1.4671501731872558,1.6247510242462158,1.6465163516998291,11.381533355712891
5,2.94401771068573,1.8502008175849916,1.5153887748718262,1.6760621762275696,1.5466456651687621,2.1320564579963683,1.6996556806564331,1.4249359631538392,1.6269635844230652,1.6118838620185851,1.0826277089118959,1.7382533836364746
6,2.1997225093841553,0.9619993901252747,1.0631781506538391,1.2348025500774384,1.0139271318912506,1.0124392676353455,1.8278297781944275,1.3088675594329835,1.7234329319000243,3.28270875453949,2.4039197301864625,1.7434263610839844
7,1.7048009395599366,1.9029493832588196,3.40380051612854,1.069083205461502,0.9424593269824981,1.4390390992164612,1.4566438364982606,2.755985975265503,1.5503029918670654,1.308988050222397,2.368236162662506,3.446180338859558
8,1.567168529033661,2.108669412136078,0.929584105014801,1.3553157043457031,1.2359714126586914,1.741525480747223,2.490180892944336,2.227602128982544,1.277354679107666,1.3661786997318268,1.1733082365989684,1.1967357981204987
9,1.285978753566742,1.454263014793396,1.0468685245513916,2.138497040271759,2.294116382598877,1.3667148995399474,1.4098378729820251,1.1886249482631683,1.1605255103111267,1.0330444502830505,1.515631983280182,2.024056222438812
10,1.0956884813308716,1.1886020851135255,1.6140489172935486,1.312416387796402,1.3070684695243835,0.9281887459754944,1.2262389767169952,1.472471616268158,1.6744087409973145,1.7830751132965088,1.5296805429458618,1.8427909708023071
11,0.6377847474813462,1.0401228535175324,0.8125159633159638,0.8832191562652588,0.46538496792316436,1.1296044313907623,1.0767191898822785,1.3070415186882018,1.53427059173584,1.375878586769104,1.0737234711647035,1.187520900964737
