Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,2.2944811225897864e-05,8.482011449814308e-05,1.893218512122985e-05,2.1759896753792418e-05,4.518751560681267e-05,1.1878133600475848e-05,4.806992510566488e-05,7.676238019485026e-05,1.931999334374268e-05,4.752551190904342e-05,1.8734423774731114e-05,3.4571555006550624e-05,6.661565836111549e-05,3.7481683430087285e-05,0.00017100703014875763,2.3631187050341397e-05,2.0362141676741884e-05,3.383784323887085e-05,1.6235697094089117e-05,6.049602543498622e-06,0.00014318702233140357,3.518144632835174e-05,2.210796295912587e-05,4.017036651930539e-05,2.4646933052281384e-05,5.756692924478557e-05,2.3365706674667308e-05,1.666572320573323e-05,1.379329115479777e-05,0.00048034298524726184,0.00011853275922476315,7.31489230383886e-05
1,0.0076513407565653325,0.00304379157256335,0.0011340918322093785,0.0007136726286262274,0.001700584632344544,0.0007895074388943612,0.005459345066919923,0.0030133031914010644,0.0019726878381334245,0.007643366558477282,0.006892285365611314,0.0021686368528753518,0.0004903465154347941,0.0021092966315336527,0.002798070777207613,0.004655743851326406,0.005058062560856343,0.05385712794959545,0.013173348065465688,0.0054357604216784235,0.0018094072281382978,0.0007450116320978851,0.005636190753430128,0.022596892565488816,0.002781837643124163,0.02421098280698061,0.00839701248332858,0.0041871505370363596,0.001757940724492073,0.0019067203882150352,0.0013988767680712044,0.0009369821264408528
2,0.0060180557146668435,0.003236575941555202,0.010530011551454664,0.006895143548026681,0.01955746459774673,0.009211234841495752,0.005037934510037303,0.01696898225694895,0.015014053173363209,0.02236329486593604,0.004405950019136071,0.010360203478485345,0.00867191543802619,0.01209022806957364,0.015329396948218346,0.021010228525847198,0.025742259994149207,0.012778256563469767,0.008117993641644717,0.0027238541515544057,0.017059352062642575,0.039160738289356234,0.05253666017204523,0.0554914965480566,0.005690148454159498,0.009172613052651286,0.0059215685166418555,0.03045036841183901,0.01091855689883232,0.006313408110290766,0.017186700515449047,0.03960102241486311
3,0.0075232166843488815,0.0028744590445421636,0.01790814073756337,0.008733023088425398,0.008595410995185375,0.0031053552031517027,0.025112123750150202,0.0030583236599341034,0.009808920286595822,0.04101367685943842,0.0032956831878982484,0.00827317929826677,0.0076572140771895645,0.013456356190145015,0.0037585341185331343,0.010939727704972028,0.008194170137867331,0.054049436897039414,0.008976025627925993,0.004369244403205812,0.00693497865460813,0.03092081155627966,0.004146534348838032,0.005512330010533333,0.00689448565710336,0.03752187117934227,0.01674507224932313,0.048635181561112406,0.019693945106118917,0.013094007782638074,0.009725031889975071,0.024210175126791002
4,0.013228143714368343,0.09110438533127307,0.013442146964371205,0.01886518394574523,0.008000049917027354,0.049918236956000325,0.02535376261919737,0.010151535049080848,0.04820107158273459,0.02266971070319414,0.01895082451403141,0.019981797002255917,0.017407573647797107,0.03542656239122152,0.023620977401733398,0.018987804520875215,0.050213692784309386,0.060474683344364163,0.012995607536286116,0.028730013146996497,0.04573186453431845,0.022156640570610762,0.024271118324249982,0.0668719932436943,0.03023410301655531,0.010130019364878536,0.014552651466801762,0.01883933011442423,0.01611990962177515,0.014878943338990211,0.030395505242049693,0.0236421674862504
5,0.05463290333747864,0.03179955497384071,0.028118160367012025,0.02934402886778116,0.04918905384838581,0.10455493226647378,0.04612304992973804,0.09119629070162773,0.06561897892504931,0.032847543247044086,0.05474602002650499,0.039758504666388035,0.10422728881239891,0.05823091395199299,0.02112414438277483,0.05754203625023365,0.032295799106359484,0.015521961869671941,0.055412207432091236,0.066410389021039,0.11275056898593902,0.02895841285586357,0.14177244335412978,0.05258322071284056,0.039839294962584974,0.04796817805618048,0.005334960245527327,0.11504650540649891,0.04242759481072426,0.0630217955261469,0.18228515163064002,0.0592680286616087
6,0.0628867794200778,0.24273796677589415,0.05443960338830948,0.0697763080149889,0.2172090995311737,0.03999303724616766,0.02174556914716959,0.10113743115216493,0.09256716869771481,0.06272421825677156,0.08886237114667893,0.06237392097711563,0.09472166419029236,0.3710865405201912,0.05840380731970072,0.11162050426006317,0.002790748672559857,0.08014346636831761,0.24380484968423843,0.14576870135962963,0.08721748381853103,0.04966429010033607,0.18430039182305336,0.06652621630579234,0.050152147859334945,0.06360774621367454,0.018912542629987,0.024699259344488383,0.1248494041711092,0.07768025755882263,0.06379435554146767,0.0652721080929041
7,0.09193898774683476,0.053708025366067884,0.055840229466557506,0.034277998246252536,0.05865859560668468,0.2902290776371956,0.06175931826233864,0.04952418439090252,0.09708327643573283,0.04528626624494791,0.0021417133626528083,0.15017314702272416,0.009312332291156054,0.11487758323550225,0.1847256800532341,0.14465871393680574,0.08669689670205116,0.1863855817914009,0.0700359309464693,0.09259246207773686,0.06341037310659886,0.5158734464645386,0.26686141818761827,0.025815460830926895,0.09178113482892514,0.04238275621086359,0.024927977174520492,0.052332326136529446,0.06762862130999565,0.10999544478952884,0.05242534376680851,0.16812338218092918
8,0.07550948299467564,0.28819211676716805,0.2504751233756542,0.5931720876693726,0.07074881844222546,0.29994734317064287,0.24067297726869583,0.04206046223640442,0.06053014747798443,0.15058823481202124,0.11025428995490075,0.108658347427845,0.21580421507358552,0.17175915151834487,0.1328391843289137,0.1352815395593643,0.1343175557255745,0.31043012768030165,0.20758789777755737,0.1296828046441078,0.13191455453634263,0.07092239148914814,0.12598800726234913,0.19869261741638183,0.16448598295450212,0.1607855449616909,0.06679647870361805,0.4370789670944214,0.16430099785327912,0.22308216020464897,0.1290954289585352,0.175635247528553
9,0.15606197506189345,0.17276521831750868,0.43872690230607986,0.18927707731723786,0.12239406704902649,0.2138371203839779,0.1536912015080452,0.2631188294291496,0.08976940922439099,0.20362930849194527,0.46411931633949277,0.11043870076537132,0.23509831845760346,0.15304817751049996,0.06970103681087494,0.09832827910780907,0.09300990380346776,0.13270885035395621,0.5261624342203141,0.1531451939046383,0.5186725673079491,0.29230706751346586,0.037645302861928936,0.05618034154176712,0.36144962549209597,0.08958150662481784,0.028273873720318077,0.12360379233956337,0.08256731607019901,0.07821794629096984,0.5241769975423813,0.3257875797152519
10,0.20025839656591415,0.09512844517827033,0.1368403308093548,0.11966261819005013,0.21851110637187957,0.24746735990047455,0.24583488017320632,0.07975503742694855,0.17531398102641105,0.3642856913805008,0.18483969256281851,0.26439582973718645,0.22685799717903138,0.09070341393351555,0.29913570284843444,0.2166927343606949,0.19055871188640594,0.2909663818776608,0.12226052172482013,0.5838734024763107,0.1702787509560585,0.45285454869270325,0.1444166798889637,0.40909947991371154,0.32728669583797454,0.32372053295373915,0.19961283922195436,0.23905018508434295,0.18898131757974623,0.4579601940512657,0.49919817626476287,0.25673182398080824
11,0.2868193382024765,0.3603610801696777,0.0857145631313324,0.22031284883618354,0.24366565331816673,0.12209843516349793,0.2753013029694557,0.6546820479631424,0.3272146588563919,0.17790373608469964,0.09230623967945575,0.3870391270518303,0.33683444499969484,0.305519326031208,0.2704653888940811,0.12835588335990905,0.20286525443196296,0.3231414970755577,0.08178972192108631,0.43044125437736513,0.23834340065717696,0.08436852373182774,0.13581744998693465,0.059989123567938805,0.4367313873767853,0.2869271472096443,0.21221364080905913,0.19220479607582092,0.5085003209114075,0.1338893485069275,0.4920856863260269,0.3286088353395462
12,0.2007272282242775,0.384155695438385,0.10135690830647945,0.3797152015566826,0.2355632922053337,0.30441506534814833,0.20970308601856233,0.17681875512003897,0.42409092873334886,0.5396450978517532,0.25185946315526964,1.0207256734371186,0.13696100041270257,0.3214541336894035,0.2998721119761467,0.1026612676680088,0.23770891070365907,0.46431475222110746,0.29892430037260054,0.18876882031559944,0.20449993014335632,0.32581212162971496,0.09499696463346481,0.5010667130351066,0.18079476058483124,0.2973049604892731,0.184728072732687,0.6961429959535599,0.11692243665456772,0.237114789634943,0.2220013290643692,0.44649714946746827
13,0.21090639933943747,0.5495549988746643,0.8775333416461945,0.09349116697907447,0.33119013100862504,0.23413228005170822,0.05103265557438135,0.163428438603878,0.7184114402532578,0.15393226340413094,0.28650358229875567,0.3167243605852127,0.19573360815644264,0.19448704928159713,0.17894396781921387,0.06472062092274428,0.21410861611366272,0.6398894423246384,0.46429652750492095,0.3926377323269844,0.29415834963321685,0.7468407034873963,0.2932050973176956,0.1608011555671692,0.06612402774393558,0.23899553954601288,0.22113527566194535,0.08471402369439601,0.28597752898931506,0.11134131453931331,0.3635753631591797,0.32897725254297255
14,0.19869175910949707,0.17821073025465012,0.5432515472173691,0.8949637126922607,0.42001570224761964,0.2383962094783783,0.25824061512947083,0.3432300302386284,0.2291134399175644,0.4553126275539398,0.286600738465786,0.23273456022143363,0.46268903017044066,0.29459004789590837,0.47189793139696123,0.20991881117224692,0.6566491270065308,0.25129929661750794,0.3272991940379143,0.25800329267978667,0.5897945088148117,0.2581347981095314,0.16237208738923073,0.12319964408874512,0.27250985682010653,0.14459307700395585,0.8772225922346115,0.35610523611307143,0.15781929984688758,0.6452693510055542,0.14735714524984359,0.08370247781276703
15,0.10557391688227653,0.13769670724868774,0.21832140982151033,0.07069134645164013,0.14772509202361106,0.3065102514624596,0.1659899842739105,0.1961696860194206,0.2713151183724403,0.559095373749733,0.10748520866036415,0.25930551916360856,0.20386577427387237,0.2354610276222229,0.5036398929357528,0.1078207840025425,0.13249065667390825,0.7251080945134163,0.30622808456420897,0.238283169567585,0.1447345246374607,0.0703482124209404,0.4167084804177284,0.3854022467136383,0.7120614439249039,0.3410982342064381,0.3430601154267788,0.43082786470651624,0.17291692703962325,0.13116740837693214,0.1510050466656685,0.2616009411215782
