Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,0.0002122836069611367,9.911298169754446e-05,0.00018479294536518864,0.00038809326506452637,8.186999843019293e-05,0.00022254413735936396,0.0002549786353483796,4.9899513687705624e-05,0.00012470500892959536,0.00011697381616613711,0.0004313553860993125,7.954551110742614e-05,8.481343385938089e-05,7.892939247540198e-05,8.676747311255894e-05,2.416823204839602e-05,0.00030493581958580763,8.241089573857608e-05,0.0003225100031704642,3.958464243623894e-05,5.082679861516226e-05,0.00011201446344784927,4.6112598392937796e-05,0.00016080749468528666,9.337451090686955e-05,5.124608753249049e-05,3.642595649580471e-05,0.00016259931420790962,0.0002277591983147431,0.0022684801812283694,8.367555848963093e-05,0.00021791208841023035
1,0.0066897307429462675,0.002739196310285479,0.004298434052616358,0.0015634708618745207,0.005979288574308157,0.001163924365537241,0.006584173189476132,0.002974022813141346,0.00823898364789784,0.004190258560702205,0.0070969871617853645,0.01231906058266759,0.0009978911804500968,0.016528593162074685,0.004242095872759819,0.006337446616962552,0.009163607256487011,0.04436696786433458,0.00594497337937355,0.009115048637613653,0.003356326497159898,0.0024015433853492143,0.006442279564216733,0.017338279504328966,0.005702781965956092,0.022626773081719877,0.020173002518713474,0.012887723948806525,0.010406619496643543,0.004592306916601956,0.005654154662042856,0.0034830232756212355
2,0.008367824731394649,0.007335433354601264,0.02219234922900796,0.01919001607224345,0.015464256517589092,0.010416275160387158,0.008942231507971883,0.010326647944748402,0.010637085437774658,0.016131467726081608,0.010950574083253742,0.007528433939442038,0.010716000413522124,0.00909873366355896,0.012522021066397429,0.03632252948358655,0.011964473584666848,0.011733305417001247,0.010994269549846648,0.009039463032968343,0.01012005154043436,0.06214709918946028,0.021506635807454585,0.056670422293245794,0.007654914576560259,0.008264181902632117,0.012257228922098875,0.024204565845429897,0.01566712522879243,0.011461215121671557,0.019050039779394866,0.009536379296332598
3,0.0368772844504565,0.014218451427295805,0.011452729348093271,0.0129819296579808,0.009423407316207886,0.012219903995282949,0.019840799300000073,0.009845307916402818,0.014684790140017867,0.018505600560456515,0.012839034772478044,0.014006959013640881,0.010846843505278229,0.010311884749680757,0.010526075065135955,0.012182691879570485,0.010984987439587712,0.04912823146209121,0.01622491143643856,0.010359366135671734,0.010111433500424028,0.018557519167661667,0.013754692235961557,0.010324277519248425,0.010472433380782605,0.018233841471374034,0.017941709458827972,0.03250981282442808,0.02334990607574582,0.016047084853053093,0.014464380033314229,0.02447789457626641
4,0.017078103478997946,0.04493248924612999,0.018891940973699093,0.01591786600649357,0.015314703462645412,0.07112651683390141,0.018210759181529285,0.012993205171078444,0.09072545677423477,0.015257953982800245,0.015315391775220632,0.01816871251910925,0.029258910957723858,0.03592641776427627,0.07689559873193502,0.01748032845556736,0.021990576423704625,0.04388348072767258,0.022239019088447096,0.016833829395473003,0.07840535767376423,0.030803108513355257,0.01613500628620386,0.03643453370779753,0.01352166580967605,0.0202801594696939,0.0171250775270164,0.029789847303181887,0.016868635788559915,0.02137400794774294,0.026273583807051182,0.017717845644801854
5,0.019182363245636224,0.021881736684590578,0.029220639951527117,0.018997988514602184,0.03871876582503319,0.05614115905016661,0.029843641426414252,0.03187293697148561,0.030288444720208644,0.027116307504475117,0.03105967793613672,0.05612464275211096,0.05543402627110481,0.03148098774254322,0.02326080435886979,0.02481641497462988,0.01918055795133114,0.022994950711727143,0.029059222415089608,0.07763490039855242,0.041783823259174825,0.01931061124429107,0.07367175623774529,0.050402313731610776,0.026601003110408784,0.0472110927477479,0.014290657895617186,0.1015787072479725,0.02446462884545326,0.02736928567290306,0.036637427136302,0.07810920648276806
6,0.03862603511661291,0.13516998395323754,0.04749937765300274,0.03805515244603157,0.047906893491745,0.023303679749369623,0.03813893347978592,0.04755126085132361,0.040942658558487895,0.0209463819488883,0.039379267655313015,0.02490339124575257,0.0338102225959301,0.08721408814191818,0.02109021108597517,0.04640722073614598,0.017056294679641724,0.05438264548778534,0.06620328970253468,0.03173088423907757,0.02297705726698041,0.02882550170645118,0.031612297929823396,0.029301359690725802,0.020458675902336836,0.11425646737217904,0.032279893048107626,0.022864122837781907,0.03812405381351709,0.03350341558456421,0.031544106863439086,0.038174887113273145
7,0.04144738506525755,0.029582875780761242,0.03521319225430489,0.04654230583459139,0.03522700030356646,0.07392170138657093,0.035639311112463476,0.05409057900309563,0.03949080180376768,0.025514127444475888,0.019713937132619323,0.048713101521134373,0.02587420108728111,0.02640785090625286,0.07025435850024224,0.08428637571632862,0.06764534048736096,0.03354681171476841,0.03413279261440039,0.03209710270166397,0.07695270210504532,0.11859252616763115,0.04998785220086575,0.03969153918325901,0.04039524607360363,0.02355958854779601,0.031381215713918206,0.03274725805968046,0.027402938678860664,0.03698632918298245,0.03066065225750208,0.03221053153276444
8,0.03769135186448693,0.06784884721040725,0.06596715547144413,0.09072536751627922,0.05390970714390278,0.04967815928161144,0.0767736305296421,0.04291476666927338,0.0367301981523633,0.07045799873769283,0.05603044006973505,0.0368610954657197,0.048062012754380705,0.04152117073535919,0.0657351230084896,0.03999621246010065,0.03144502691924572,0.06355132803320884,0.04799332953989506,0.06524032346904278,0.058258020877838136,0.028623845204710962,0.04442263789474964,0.049704424403607846,0.08806849375367165,0.05884843226522207,0.040024416707456115,0.06424108900129795,0.15558676287531853,0.17173716001212597,0.04214988674968481,0.033927007876336575
9,0.046805258430540564,0.036283005587756635,0.06582493707537651,0.0578875432908535,0.040737106166779995,0.0642806588113308,0.05541926421225071,0.08593943901360035,0.04694101694971323,0.05305353347212076,0.13594366744160652,0.04534739959985018,0.062156611010432246,0.05351205870509148,0.032372415512800214,0.037718476690351964,0.03152646236121655,0.06295513220131398,0.10074921250343323,0.04580957219004631,0.08871265463531017,0.1186374720185995,0.10943142719566822,0.05054147772490978,0.051830053776502606,0.04085979890078306,0.05333779267966747,0.04195652987807989,0.049033266641199585,0.07924997866153717,0.20881764963269234,0.08910165138542653
