Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,1.2794669246673585,2.119478449821472,1.4507115864753723,2.5231810331344606,2.0206499671936036,1.9657209897041321,2.014041681289673,1.8019150328636169,1.3605835223197937,2.08928081035614,2.2818186235427858,1.008023089170456,2.441713948249817,2.300570182800293,2.5627630376815795,1.1631805944442748,2.3868316507339475,1.0718107163906097,1.8195762324333191,2.4877130365371705,0.4288316601514816,0.3677822947502136,1.072837245464325,0.9224298453330994,1.3884419703483581,1.4885142159461975,1.3543363523483276,1.5461656260490417,1.556875641345978,2.6121939706802366,2.543595972061157,2.246693239212036
1,3.51987907409668,3.4145675325393676,2.894919767379761,3.1783873319625853,3.887620792388916,3.8389439868927,3.949586501121521,4.1275830078125,2.3503708338737486,2.673972864151001,2.1996548104286195,3.295595498085022,2.013888728618622,3.82259614944458,3.16592351436615,3.204856820106506,3.6478528213500976,3.461594862937927,3.8914352464675903,3.637824020385742,3.3719845151901247,3.1523600387573243,3.6802682971954344,3.559578580856323,3.9002212858200074,3.87911874294281,3.886946587562561,3.938329801559448,1.3800883102416992,1.4620140719413757,3.1529490613937377,2.5162270069122314
2,4.006502270698547,4.306583638191223,4.336345224380493,4.4524021816253665,2.346215510368347,1.8455994749069213,1.9587940859794617,3.5306088066101076,4.544236793518066,4.3974028587341305,3.7806799459457396,4.393306288719177,3.768949294090271,3.972103123664856,3.485286717414856,3.610271701812744,3.947002158164978,3.2907297134399416,4.041771364212036,1.5719568514823914,4.3924519109725955,4.483709774017334,4.482177867889404,4.019929990768433,3.56123526096344,3.751988186836243,4.03328616142273,4.168026247024536,4.250003628730774,4.255918440818786,4.261107201576233,3.896750078201294
3,1.9651646089553834,3.810515184402466,3.3651389408111574,4.051192436218262,4.566112146377564,3.967872223854065,3.8657734870910643,4.064390263557434,3.1002823877334595,2.660022315979004,3.6622335386276244,3.805587010383606,2.6064542961120605,2.598617899417877,3.3004933309555056,3.205930485725403,4.091551837921142,4.01800157546997,4.126460161209106,3.7594770050048827,2.1021224331855772,2.8053546142578125,1.6429224848747253,3.0706994247436525,3.547254147529602,3.570938482284546,4.033906335830689,3.3422107028961183,2.878531198501587,2.5586822390556336,2.967543616294861,2.8464116430282593
4,2.453466274738312,1.8538522219657898,3.1289998388290403,3.0864330673217775,3.412532296180725,2.600525350570679,2.021606206893921,3.264926719665527,1.3909257006645204,3.0553317785263063,1.6827097010612488,3.2169086360931396,3.8568648529052734,3.17899525642395,4.06731526851654,2.314158501625061,3.826246123313904,3.533742609024048,3.807132349014282,3.1499605321884157,2.26564968585968,4.20832202911377,2.205757715702057,2.084503049850464,3.3756520414352416,3.4061414194107056,3.25029757976532,2.8591406297683717,3.5933385276794434,3.7694440412521364,3.989069366455078,3.4942272329330444
5,1.98979633808136,2.2415666580200195,3.290580291748047,3.2775782442092893,2.6459281492233275,2.500882453918457,2.7303644728660585,2.2528355741500854,4.180055122375489,3.9206177806854248,4.258321990966797,4.763966341018676,3.4389290475845335,3.351531352996826,3.6357676696777346,3.2866541051864626,2.369713728427887,1.393804556131363,2.304705066680908,2.5291469717025756,3.088429126739502,3.4373076486587526,3.6254922008514403,2.956493978500366,1.3910969519615173,2.6769818830490113,2.445010528564453,2.1609526801109316,2.5570606565475464,3.2381057119369507,2.6159450507164,3.4300953912734986
6,3.5634100914001463,3.2106809616088867,3.398261933326721,3.373751149177551,1.3004769814014434,2.2876314687728883,3.0003484869003296,1.9816427421569824,3.76224196434021,4.137275509834289,3.567792716026306,4.31839605808258,1.9591968774795532,2.9308285331726074,2.7065136337280276,3.018567752838135,1.9277291107177734,2.588667140007019,1.952627830505371,1.825778181552887,2.2935505008697508,2.1624307799339295,2.9463105058670043,2.812879500389099,2.30159969329834,2.377689905166626,1.8722727370262147,2.3155262899398803,1.9529624056816102,2.0006561493873596,1.603104796409607,1.9665795111656188
7,2.2287196207046507,1.8235565280914308,1.1378813219070434,1.3112172079086304,3.123568797111511,3.8225930881500245,3.5748249101638794,2.8770676136016844,2.843863787651062,2.9776229429244996,1.5918375515937806,1.7043379163742065,2.5730602502822877,1.2600436449050902,1.5482837343215943,1.5437083888053893,3.051096181869507,2.4403589248657225,1.8309219431877137,2.1361844825744627,2.080267367362976,2.5125551557540895,2.031870861053467,2.1299429035186765,1.3834571027755738,1.6190647053718568,1.4131800413131714,1.6050746083259582,3.6119040489196776,3.149371328353882,3.07237086057663,3.1698275136947633
8,1.8618245482444764,1.8510056138038635,1.7057812452316283,1.795921232700348,2.057276704311371,1.9419736862182617,2.009458384513855,1.854024600982666,3.432797794342041,2.8192181158065797,1.7971437215805053,3.1307547378540037,1.8863722014427184,1.8603443861007691,1.6796782541275024,1.547073678970337,3.572724962234497,3.7122622442245485,3.648146557807922,4.1164231300354,2.5548582434654237,2.089583570957184,2.1832371163368225,2.0751005697250364,1.5972936677932739,1.5811378812789918,3.6031324672698974,1.7550429463386537,2.393699426651001,2.0949092388153074,2.1427478861808775,2.350208103656769
9,1.6862680697441101,2.0477950954437256,1.8495172810554505,1.9401139950752258,2.3826154088974,2.467556450366974,2.238088221549988,2.556112332344055,4.084331130981445,1.6467080056667327,3.4317007207870485,3.4613111352920534,3.9080093479156495,1.37525656580925,2.3497339200973513,1.9625729084014893,3.5693785429000853,3.7777266550064086,3.5417226362228393,3.5021572971343993,2.6944807386398315,2.3986993622779846,2.455339879989624,2.165080261230469,1.4251661372184754,1.9613136959075927,2.35211754322052,1.557582631111145,3.519933433532715,3.187181439399719,3.548963747024536,3.2786766147613524
