Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,0.001852297040168196,0.0008413169800769538,0.0014112986787222326,0.0005390791967511177,0.0018230936932377517,0.0020268152141943575,0.001695655155926943,0.0012867572950199246,0.0018610042985528707,0.0012446997221559285,0.0013013896089978515,0.002563318721950054,0.001208876189775765,0.001758521788287908,0.001205533524043858,0.0007481304451357573,0.0017735471460036934,0.0016757276561111213,0.0008597117173485458,0.0010547409416176378,0.00046028182259760797,0.00035147093585692347,0.0011757893464528024,0.0012096627708524466,0.0010210071073379367,0.0004785555531270802,0.0007078482408542186,0.0007061298924963921,0.0009695382253266871,0.004302600333467126,0.0022693595895543696,0.008768693692982197
1,0.003908066907897591,0.003259626948274672,0.007714338107034564,0.00533880602568388,0.0016731687705032528,0.002500888956710696,0.0019910162524320184,0.004040951100178063,0.0065545153524726625,0.008215230805799365,0.003013665834441781,0.0035651226015761496,0.015553940553218126,0.001249856853391975,0.003852384835481644,0.005329881440848112,0.0015751142124645413,0.0038494554394856097,0.0021990104974247515,0.004726610025390983,0.003685499979183078,0.021457670256495476,0.01415696281939745,0.056946410834789275,0.001680755508132279,0.0068550638761371374,0.001106664293911308,0.0006238171516451985,0.01626763317734003,0.036507012397050856,0.004028772660531104,0.007773485323414206
2,0.005619906932115555,0.003834328684024513,0.0033827801700681446,0.010089084953069687,0.008413878586143255,0.017119014263153078,0.013023466095328331,0.004321529762819409,0.0018383846990764141,0.0037724868673831226,0.02197051025927067,0.003860982805490494,0.009742349479347467,0.006463833460584283,0.016968148685991766,0.009217280056327581,0.008440499054268002,0.011529034953564405,0.008110821824520826,0.06472886726260185,0.005796696273609996,0.001979489887598902,0.0016576254088431597,0.006037126779556274,0.010341991521418094,0.006937010297551751,0.008985968604683876,0.004720262801274657,0.004793923832476139,0.006821822132915259,0.004757159519940614,0.007916874065995217
3,0.03176583003252745,0.04172350190579891,0.026211286671459676,0.005714400922879576,0.003499185419641435,0.007856141161173582,0.008010921468958258,0.007484571598470211,0.009286476336419582,0.017012590579688548,0.008171840887516737,0.009032928366214037,0.03144490096718073,0.022461113147437574,0.019154857136309145,0.015555597934871912,0.007997601246461272,0.004122003260999918,0.0027428686758503317,0.006073762811720371,0.04191468492150307,0.02191411893814802,0.07139292232692242,0.010934006702154875,0.010279421284794808,0.012263336144387722,0.0063133428804576395,0.012438402492552996,0.020070876330137252,0.01588255850598216,0.020938384868204592,0.021425384134054183
4,0.018698407039046287,0.06734241768717766,0.020469106361269952,0.014145435150712728,0.02285577017813921,0.02133954059332609,0.056229780241847035,0.021367299519479275,0.07121055036783218,0.028576421029865743,0.05924614407122135,0.01812761850655079,0.006168275754898787,0.015803392305970193,0.006925166314467788,0.050875729396939275,0.031244935169816017,0.021388813070952892,0.011000829171389342,0.03263210844248533,0.03587173856794834,0.01818066034466028,0.0525152787566185,0.06153266616165638,0.013873772602528334,0.013295568972826004,0.013527616709470749,0.020997738093137742,0.02235611081123352,0.01175814725458622,0.015893918443471194,0.016413595471531154
5,0.04441529586911201,0.07569315038621426,0.027067982368171217,0.0318528388813138,0.06444030821323395,0.10271452620625496,0.0435052839666605,0.062485412433743476,0.0213564108684659,0.025967288315296173,0.02826966904103756,0.014286323236301541,0.035724499821662904,0.022785826064646245,0.019057707898318767,0.025241135507822036,0.04253259390592575,0.15224995449185372,0.06561827071011067,0.04960133984684944,0.029222642779350282,0.040302870236337184,0.03748946499079466,0.04079950451850891,0.1058236761391163,0.06704218611121178,0.017427225671708582,0.06285050772130489,0.035470566004514696,0.03349879246205092,0.03595115903764963,0.02879733320325613
6,0.024605157151818276,0.04292650930583477,0.025238145105540753,0.037979072481393816,0.0895448499917984,0.03257819622755051,0.02766996081918478,0.05229420371353626,0.08615108639001846,0.07772835001349448,0.04997831605374813,0.07947527289390564,0.08947297260165214,0.0322465979680419,0.07042688429355622,0.044081400930881504,0.05283384770154953,0.05856254443526268,0.0811223129928112,0.10265583336353303,0.0615464523434639,0.0389867053180933,0.02941890500485897,0.021185513995587827,0.08784829795360566,0.07832182466983795,0.0711329498887062,0.05900498710572719,0.07262418881058692,0.12024201586842537,0.08373515516519546,0.1793785101175308
7,0.07380737885832786,0.07895604223012924,0.1957776066660881,0.07510720357298852,0.058489870205521585,0.10428409054875373,0.07181505195796489,0.038837758749723436,0.05299960672855377,0.03738536596298218,0.08969593107700348,0.06552215658128262,0.19056943953037261,0.09363245934247971,0.116825642734766,0.11590386912226677,0.060958150401711465,0.07912343502044678,0.1400979909300804,0.0565141798555851,0.03274066247045994,0.07491386875510216,0.06228509768843651,0.08152258783578872,0.10954704999923706,0.09857470110058784,0.15974027514457703,0.10439129129052162,0.05663126789033413,0.04430830121040344,0.11396468371152878,0.04775229871273041
8,0.14766064733266832,0.14993611574172974,0.1939992156624794,0.17473137974739075,0.1283603312075138,0.11359191387891769,0.0985184246301651,0.1062887692451477,0.038590567708015444,0.03583338148891926,0.07693045005202294,0.0509957242757082,0.27143956124782564,0.3230283945798874,0.12357125878334045,0.21722135275602342,0.048140369057655334,0.07723170109093189,0.06930096380412579,0.08417004480957985,0.27698539465665817,0.15771101385354996,0.11919711098074913,0.1563915865123272,0.13446686640381814,0.16474953085184096,0.018983547948300837,0.0890675139427185,0.07579587906599045,0.12369180709123612,0.15280570104718208,0.23470886588096618
9,0.21011221677064895,0.06535624504089356,0.22187624037265777,0.1344818326830864,0.14846882820129395,0.11086607858538627,0.07893864005804062,0.10580463454127312,0.09635063529014587,0.11971708580851555,0.12202722772955894,0.04076305709779263,0.027875665575265884,0.3908278954029083,0.16121110171079636,0.19120343238115312,0.11965419620275497,0.03086317628622055,0.08109530091285705,0.07157591655850411,0.08650701850652695,0.2736157721281052,0.06649877473711968,0.17428804367780684,0.20462217390537263,0.09838152453303337,0.0672122075408697,0.09027770072221757,0.01930256940424442,0.0808516177535057,0.05371579520404339,0.0771116729080677
