Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.00024129033728968353,0.0004038977407617494,0.00018547629457316362,0.0008134290564339608,0.0003854183864314109,0.00020607975486200303,0.00015724391327239572,0.0005930772644933313,0.0025999249937012792,0.000693858431186527,0.0007166543678613379,0.0018539374624378978,0.00017742889263899997,0.005156628517434001
1,0.020693191327154636,0.033157618008553984,0.010738957449793815,0.09298718124628066,0.029333316683769227,0.004040716593153775,0.020474091414362194,0.02973111568018794,0.006482602660544217,0.012792068980634213,0.03586779456585645,0.01453297095373273,0.00624712161719799,0.01918162126094103
2,0.026883029229938984,0.012070001121610403,0.06409907933324575,0.007851623287424446,0.020907863434404136,0.011722536124289036,0.004203597055748105,0.06374352127313614,0.05019458815455437,0.017940135933458806,0.04318617951124906,0.04076907083392143,0.04200993806123734,0.03147686749696731
3,0.071290874928236,0.02880620079115033,0.03327825348824263,0.04236893121153116,0.02073669869452715,0.08453094154596329,0.01940737511962652,0.009421000648289919,0.03470553670078516,0.1329762537777424,0.0369099735096097,0.012766632959246635,0.025972767751663923,0.014512120243161918
4,0.021155064832419156,0.026558629423379897,0.07371717944741249,0.026576736569404603,0.03364183031022549,0.021511172968894245,0.05794872969388962,0.016346274530515074,0.02381615087389946,0.027636003941297532,0.029588547684252262,0.06062748789787292,0.020798709131777286,0.03155033465474844
5,0.03314066138118506,0.024230124615132808,0.03945176314562559,0.03777429675683379,0.02972870336845517,0.03939724365249276,0.002659126785583794,0.05641497768461704,0.04759701780974865,0.07256045594811439,0.05568391539156437,0.05704428367316723,0.05943753216415644,0.07171876676380634
6,0.06825892895460128,0.03984640996903181,0.04811413042247295,0.014255979238077999,0.07021506395190955,0.03401317033916712,0.07724429078400136,0.11228202253580094,0.10124703779816628,0.08264782503247262,0.08915973097085952,0.16456010013818742,0.0646820892393589,0.049625235572457314
7,0.2512960444390774,0.17624196901917458,0.11172448828816414,0.08234162412583829,0.2421244728565216,0.16399565905332567,0.030352412331849335,0.22153809189796447,0.08414245568215847,0.16642252042889594,0.07302473448216915,0.07086519237607718,0.07695515245199204,0.09355449609458447
8,0.2049265930056572,0.18390707299113274,0.11444100253283977,0.1785445463657379,0.2844255614280701,0.1707398070394993,0.015915477173402904,0.09569255985319615,0.05782563753426075,0.11824494108557701,0.010609330283477903,0.07541244015097619,0.10668479166924953,0.043796833232045175
9,0.1437760080397129,0.1977606463432312,0.34616714119911196,0.17179261788725853,0.27751428306102754,0.30052399277687075,0.27263151824474335,9.24699448296451e-05,0.1656999846547842,0.12176790848374366,0.0017367064004065469,0.05405606709420681,0.07120577730238438,0.0057895358139649035
10,0.021115467194467785,0.08905463203787804,0.07569512411952019,0.27472222715616224,0.10235362216830253,0.11123364999890327,0.22620146512985229,0.00024470392218063354,0.23359125286340712,0.05267275407910347,0.2033140105009079,0.24404165238142014,0.19669172927737236,0.02849059097468853
11,0.4655978125333786,0.09994305685162544,0.2674462279677391,0.42445463836193087,0.5331910967826843,0.247910033762455,0.28383633941411973,0.15112051948904992,0.002487670121481642,0.051550915725529195,0.08127309180796147,0.08448510725051164,0.09960140839219093,0.1676601356267929
12,0.021319205332547428,0.10810454338788986,0.20810193687677384,0.11519107960164547,0.27757163226604464,0.1544719895720482,0.05501004479825497,0.10036021336913109,0.03688677171245217,0.09701266437768936,0.0954777631163597,0.11580278813838958,0.2762379187345505,0.18035584643483163
13,0.14486141875386238,0.09910582840442657,0.1377879948914051,0.20558192670345307,0.23295101165771484,0.32605052053928374,0.08577227286994457,0.20719525411725045,0.15667784497141837,0.33804299265146254,0.15605318516492844,0.10326947070658207,0.08989527717232704,0.05338125597685575
14,0.20184819638729096,0.06480985585600138,0.12113261952996254,0.15157778427004814,0.17818744614720344,0.32388432770967485,0.17740997537970543,0.36553444385528566,0.1681947475671768,0.23096883803606033,0.14430041417479514,0.18808736085891722,0.09110955163836479,0.21614957138895988
15,0.10573462441563607,0.1870627823472023,0.19222235023975373,0.2796951727569103,0.05216582611203194,0.1656721031665802,0.08743176341056824,0.1514595106244087,0.1906960892677307,0.18926468282938003,0.28064566880464553,0.14794033721089364,0.2628056666254997,0.33372959345579145
16,0.26134935081005095,0.36813111245632174,0.1721665658056736,0.3030581092834473,0.05141381278634071,0.12172188617289066,0.031209787130355836,0.2570577305555344,0.1593838793039322,0.07641119133681058,0.09537707455456257,0.056685935966670514,0.17374226406216622,0.12294462099671363
17,0.2888092812895775,0.2124432122707367,0.22681912481784822,0.5850473487377167,0.1872519627213478,0.040109076015651224,0.15810900196433067,0.4524326491355896,0.43571985960006715,0.5211509141325951,0.02868304865434766,0.4375127321481705,0.12684427529573442,0.15983531087636949
18,0.16607234567403795,0.2011278285086155,0.17290181167423724,0.18859784945845603,0.3657804438471794,0.11805027559399604,0.11526124618947506,0.26660930678248407,0.24223399579524993,0.06978217504918575,0.09741578854620457,0.6182970124483108,0.18891667678952218,0.35714852511882783
19,0.38651881530880927,0.14077853433787824,0.07241674788296222,0.1502746606618166,0.16498625069856643,0.18788013413548468,0.173793533295393,0.15280367463827133,0.03205753106623888,0.1927136690914631,0.29639670729637146,0.2574360702931881,0.30491592675447465,0.18395271107554437
20,0.24859503000974656,0.21396248400211335,0.18407366752624513,0.22151177674531936,0.3705920416116715,0.28863891035318373,0.20685746163129806,0.4064247113466263,0.16462136536836625,0.12767987303435802,0.07344028264284135,0.22030291587114334,0.10876228488981723,0.18596936404705047
21,0.04276931490749121,0.09773307867348194,0.09076461963355541,0.08164371654391289,0.11911089122295379,0.24303286492824555,0.12685494601726532,0.1521904280781746,0.1985974605381489,0.061536350697278974,0.0637340447306633,0.07234796084463596,0.1528666177392006,0.055332632809877394
22,0.12340288996696472,0.16666577622294426,0.14453057259321211,0.25757625728845596,0.19711928874254225,0.20067595452070236,0.34236526757478714,0.11845247223973274,0.08772249348461628,0.7522612464427948,0.033765728138387206,0.10962662369012832,0.15754830852150917,0.10310675747692585
