Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.00023265788942808285,0.0002689463802380487,0.0001423165897722356,0.0003974038315936923,0.00047413984080776575,0.00016446361842099578,0.00018544960155850276,0.0004683207714697346,0.0010417210240848363,0.002533085234463215,0.0002955447096610442,0.0027909984439611433,0.00013834903831593692,0.0009314570273272694
1,0.009826868008822202,0.014320022966712713,0.003872710517607629,0.0799296259880066,0.018498189710080624,0.0018165232287719847,0.008229292305186391,0.01014470987021923,0.008513485491275787,0.008849102407693862,0.006555314688012004,0.004136952301487327,0.0064428519457578656,0.00689162134192884
2,0.014376280885189772,0.016588272992521524,0.013020301628857851,0.0034939993219450117,0.009960913173854351,0.004972631726413965,0.002847814718261361,0.02632111307233572,0.010444125570356845,0.01144717050716281,0.02551768347620964,0.01671867674216628,0.024087563827633857,0.010442335829138756
3,0.0251514482870698,0.00964091908186674,0.01772190134972334,0.01751847717911005,0.012993317935615778,0.0338200743496418,0.008261148687452077,0.005429067295044661,0.0094294161349535,0.05470849379897118,0.01033875847235322,0.005955611132085323,0.0039780331682413815,0.006501267310231924
4,0.006752251330763102,0.01389182809740305,0.019753652960062026,0.007318923166021705,0.014035746548324823,0.008327250108122826,0.013686567414551973,0.0061937798745930195,0.016410892494022847,0.03359422467648983,0.009446636028587817,0.02508700165897608,0.02389940869063139,0.009344923812896012
5,0.014948537051677703,0.012021367978304625,0.0169034724496305,0.00952337646856904,0.007082342961803078,0.011941890083253383,0.003744918508455157,0.026288792975246906,0.023600588291883468,0.024859212413430212,0.015249469242990017,0.01802104365080595,0.01735837982967496,0.012944442760199308
6,0.023273624889552594,0.016836994644254446,0.01995619561523199,0.004750937316566705,0.027553342171013354,0.019777394607663156,0.07851989060640335,0.028299979232251644,0.025045048631727695,0.024032668098807334,0.028920352682471274,0.04209006182849407,0.018445112593472004,0.01599376505240798
7,0.08789309814572334,0.039773222804069516,0.0477238230407238,0.02825194850564003,0.0698590039461851,0.062443694472312926,0.014417365696281194,0.03402132492512464,0.027513288892805576,0.027331568226218225,0.018097722493112086,0.02024722147732973,0.02652316004037857,0.026240152157843113
8,0.10723821818828583,0.04921063393354416,0.03227733850479126,0.047841429114341735,0.12812308967113495,0.05563234984874725,0.004919931022450328,0.03122677031904459,0.029086284339427948,0.03910593669861555,0.0020714708580635488,0.021064237914979456,0.021451451666653156,0.012548336070030927
9,0.070800039768219,0.03940412499010563,0.06772630341351032,0.0506670992076397,0.09658544778823852,0.05114056535065174,0.08030106231570244,0.00028871925547719,0.008850826155394316,0.021379461102187632,3.0950932887208184e-05,0.026418968215584756,0.02006272438913584,0.00033333067782223227
10,0.008446203609928489,0.05950712852180004,0.030111769549548625,0.06483827970921993,0.03259989894926548,0.027401199713349342,0.05957656748592854,7.58375059433547e-06,0.07878575965762138,0.037676615715026854,0.09239797189831733,0.10543042629957199,0.06288607448339462,0.012422887980937958
11,0.13304174721240997,0.062272760272026065,0.10697003617882729,0.13197774752974512,0.09792752623558044,0.17440890595316888,0.12990128993988037,0.025187559090554715,0.001823819614946842,0.026547133922576904,0.029088928885757922,0.02034840553998947,0.03805694505572319,0.06687544465065003
12,0.010369953885674476,0.043658560812473296,0.044142864793539044,0.045318419262766835,0.13858161389827728,0.05605138920247555,0.042732702046632765,0.03312414370477199,0.017763789519667627,0.06739651314914226,0.029928742460906505,0.13851920694112776,0.058848622888326645,0.05853160507977009
13,0.04365051239728927,0.048987947031855585,0.05731149286031723,0.06958039820194245,0.08301012575626374,0.1345645496249199,0.042778838351368906,0.045656983107328415,0.05075612343847752,0.074226253926754,0.059444267377257345,0.060580630972981456,0.030651493445038796,0.035989870205521586
