Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.0002074818717665039,0.00021338962906156667,0.00017958676718990318,0.0009105684794485569,0.00029374238452874125,0.00023514820117270574,0.0005745236680377275,0.0008219006925355644,0.0009447940601967275,0.00045934205583762376,0.001104398340685293,0.0017008915077894927,0.0001061098921309167,0.00046932677912991494
1,0.02046909736469388,0.03589733768254519,0.0077663090731948615,0.09158279687166214,0.026563064493238926,0.0016856161365285515,0.020277057345956563,0.010574168441817165,0.013263265397399663,0.010173938926309347,0.008995649423450231,0.006780544267967343,0.01235141633078456,0.016668582763522864
2,0.015098315123468637,0.01671856416389346,0.012333867959678174,0.0036242862092331052,0.009656811663880945,0.009345196103677154,0.003543926728889346,0.05241011917591095,0.010917166573926806,0.008378938883543014,0.04064363915473223,0.04834168165922165,0.02763343747705221,0.01630706964060664
3,0.0549082563072443,0.019291094671934843,0.02248807555064559,0.024790388494729997,0.011892842072993516,0.05934631463140249,0.011590720247477293,0.006282660639844835,0.018257512245327234,0.036521885842084885,0.011851202081888914,0.009145323066040873,0.006983620305545628,0.007770697847008705
4,0.008818560652434826,0.014683742374181748,0.026412758380174636,0.03300598733127117,0.022577253468334675,0.012983987517654895,0.01838553475216031,0.009409600151702762,0.022324700318276883,0.03594855785369873,0.01277269184589386,0.06830291949212551,0.029555176720023155,0.04333831802010536
5,0.014147097328677773,0.00983741395175457,0.01138310531154275,0.021923260502517222,0.012981580765917898,0.030371604077517985,0.0012132804101565853,0.08323435425758362,0.03861219894140959,0.05656201958656311,0.03354250203818083,0.05590535745024681,0.06455502413213253,0.04097661916166544
6,0.05616808459162712,0.03417227420955896,0.044598024003207684,0.012766647646203636,0.06098559536039829,0.04499871730804443,0.04347321033477783,0.06580673404037952,0.08741346083581447,0.03765088688582182,0.08720030076801777,0.06239843502640724,0.04881671965122223,0.02317533563822508
7,0.11999146901071071,0.09213927760720253,0.07154498063027859,0.03582113467156887,0.16495464980602265,0.07286818891763687,0.04432518199086189,0.049230086207389834,0.03444312442094088,0.04594767093658447,0.032130422480404375,0.0177035004645586,0.0571921194344759,0.05161059770733118
8,0.061928216554224494,0.06284851491451264,0.0824708417057991,0.09304084479808808,0.15020303890109063,0.0615304571390152,0.005762406224384904,0.04178981643170118,0.01747310122475028,0.061495592147111894,0.006983739002607763,0.017423911970108747,0.053479977920651435,0.035556529760360715
9,0.02089206757955253,0.05774949342012405,0.09041662618517876,0.08469873778522015,0.10443046934902668,0.08228051505982875,0.11009607091546059,0.00014172418435919097,0.0004298845264565898,0.020526740895584226,4.111421287049666e-06,0.014892219007015229,0.005307924777735024,2.3758856231452797e-05
10,0.019681423902511597,0.035498600751161576,0.03721149876713753,0.05590125426650047,0.04254341598600149,0.06686617724597455,0.06450606636703014,7.031798432308278e-05,0.09053419813513756,0.043151395954191686,0.04775044212117791,0.17451732650399207,0.07264982804656028,0.0243665075302124
