Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.0002180556286475621,0.00023140955250710248,9.648408289649524e-05,0.0009549504448659718,0.0002245864225551486,0.0001276349889303674,9.956277172022965e-05,0.00038514088868396356,0.0009379037225153297,0.0013059480907395482,0.0013913960754871368,0.0008854946412611753,5.471866723382846e-05,0.0011899472420918754
1,0.006829341370612383,0.011954590678215027,0.0041435961471870545,0.04349878113716841,0.014187316056340932,0.001879764205077663,0.007586615579202771,0.009479947295039893,0.005462683052755892,0.005785742858424783,0.015145931467413902,0.004810723355039954,0.010112876864150166,0.011402684804052115
2,0.012322626560926437,0.014090328570455312,0.015207332503050565,0.004182960521429777,0.010406101178377867,0.005577637031674385,0.003486505160108209,0.035871360003948215,0.014046324584633112,0.011099694408476352,0.04601877585053444,0.03300008490681648,0.06521296426653862,0.016382121443748475
3,0.02196435246616602,0.008613459691405296,0.01727707466110587,0.019806385450065137,0.010774696469306946,0.04376360669732094,0.005939880292862654,0.004861308238469064,0.01025123761035502,0.04671279776841402,0.012194258328527212,0.00603709002956748,0.0037287245178595184,0.004870975171215832
4,0.006031593689695001,0.012502350946888327,0.016239988850429654,0.006786538260057568,0.009886293997988104,0.006943048844113946,0.01785149804316461,0.0051737841870635745,0.014368776204064489,0.03433197934180498,0.010727706244215368,0.029169702716171742,0.024970523416996,0.012240172671154141
5,0.013780772909522057,0.010811048476025462,0.012849003868177533,0.007781481314450503,0.009532245378941297,0.012571127507835627,0.0013040607504080982,0.029945254009217024,0.03302986226975918,0.020658804271370172,0.017729701790958643,0.016909668799489738,0.020154184885323046,0.015139741469174623
6,0.017807559352368118,0.01501115195453167,0.02057204183191061,0.0038951982744038103,0.019716765023767947,0.019530551470816136,0.040763619169592855,0.023226529844105243,0.02330059714615345,0.01971758984029293,0.02806976852938533,0.029846896678209306,0.018336228858679533,0.015423872293904423
7,0.10060701608657836,0.03877644576132298,0.05083424478769302,0.032949505001306535,0.08807366967201233,0.03901581313461065,0.015342638362199068,0.02734759695827961,0.025733102709054947,0.0344369849935174,0.01713535649701953,0.01402288269251585,0.021303294226527214,0.028109880778938532
8,0.09247384116053581,0.04512236323207617,0.026242334954440595,0.03173150058835745,0.06085171721875668,0.037263410836458205,0.0017415527463890612,0.031229010298848153,0.01585150696337223,0.032238078601658345,0.0023421854665502907,0.018253329508006573,0.019407883770763874,0.012824341524392366
9,0.05725279949605465,0.026558471620082857,0.0679015788435936,0.03780626032501459,0.0612065202742815,0.04301396019756794,0.08816272415220737,0.00017570480893482453,0.004537431392382132,0.020928145181387664,0.00014994996948985317,0.012664377028122543,0.018823107318021358,0.00020432591788903663
10,0.006988306110724807,0.028738771118223667,0.02040850920602679,0.05770975224673748,0.02553266651928425,0.02340169617906213,0.0409724123775959,2.2541782223299832e-05,0.04421784833073616,0.01718971610069275,0.04001003537327051,0.10673354417085648,0.0333129820600152,0.009140400467440486
11,0.1253839261829853,0.04371355891227722,0.0751270854473114,0.07956484071910382,0.06056362189352513,0.06031933166086674,0.10262800201773643,0.02867090217769146,0.0014458724623182206,0.030902190832421184,0.014655520487576724,0.009777083350345493,0.022026094244793057,0.03087696185335517
12,0.005817824020050466,0.03074981862679124,0.02147152092307806,0.02278712682425976,0.08906608670949936,0.03862438939511776,0.036691361963748934,0.02132153168320656,0.011470657950267195,0.03291304916143417,0.020406779609620573,0.0611735162883997,0.03251540366560221,0.03846940955147147
13,0.024904129542410374,0.030423869341611863,0.041670949794352055,0.03247906144708395,0.03599614180624485,0.0977805283665657,0.03212001781910658,0.025025657173246146,0.03235454849898815,0.041158428490161894,0.03510616660118103,0.027841835990548135,0.020650702510029078,0.01594006806612015
14,0.05449407584965229,0.008678095899522304,0.04742199398577213,0.04611075658351183,0.03945018067955971,0.058734183013439176,0.03494478352367878,0.07608625866472721,0.051545789763331414,0.09040385134518146,0.04741347447037697,0.07150955721735955,0.03620594333857298,0.06996047955006361
15,0.022193704172968863,0.03933098915964365,0.07922233715653419,0.05550614681094885,0.009513766570016742,0.024589846767485143,0.025497227124869824,0.042844441831111905,0.06397609144449234,0.04296409409493208,0.0589438509196043,0.05624205306172371,0.09488706409931183,0.08247631296515465
16,0.028832728266716002,0.03497488521039486,0.03281958669424057,0.05056320115923882,0.01631566504947841,0.019908674210309982,0.006098077630158513,0.04246976681053639,0.026454907115548848,0.02198634881526232,0.01764058005064726,0.002933225950691849,0.03448470588773489,0.025374697633087636
17,0.16097364455461502,0.0448279482871294,0.0908020094037056,0.10054372891783714,0.0978635622560978,0.008104015244171023,0.05926590420305729,0.08432294510304927,0.08802702352404594,0.06808405794203282,0.0064662303775548935,0.1306208650767803,0.033645332269370554,0.047697818651795384
18,0.025185677222907543,0.01977988300845027,0.022532736919820308,0.03238240763545036,0.02790993291884661,0.027374265976250173,0.022964534126222135,0.03387866217643023,0.054373511597514156,0.01791731033474207,0.03020780399441719,0.051861154809594155,0.03529572382569313,0.05288354407995939
19,0.023840566612780095,0.02363240299746394,0.013932580202817917,0.021735970340669156,0.018933766577392815,0.030200775861740112,0.021288847923278807,0.028504898436367512,0.014324466744437814,0.04458467222750187,0.02509493988007307,0.02990743435919285,0.06856235191226005,0.02534642243757844
20,0.1295825558900833,0.07068375341594219,0.03416620556265116,0.19559894181787968,0.04877978697419166,0.056651243530213835,0.06476033937186003,0.04760371025651693,0.039869739264249804,0.013400135301053525,0.05370119348168373,0.054105119444429875,0.025047357715666293,0.0395812800899148
21,0.01784770058467984,0.028814865332096814,0.01931083464063704,0.0262117725238204,0.01704502824693918,0.01964525849558413,0.047138505056500433,0.0986250787973404,0.01775841461494565,0.014471316607668996,0.01909078299999237,0.013198178214952349,0.06513091787695885,0.017748394031077624
22,0.039888859931379556,0.03294765200465918,0.050560217909514905,0.02985855922102928,0.03177794940769672,0.022803377453237773,0.049940231554210186,0.041487789126113055,0.02258587336167693,0.38686171382665635,0.01948580430820584,0.03962991029024124,0.19159158885478975,0.02727775486186147
23,0.00026850351790926654,0.08049545295536518,0.039773828126490114,0.06068211041390896,0.04046909864991903,0.06190654374659062,0.11277849569916726,0.09367495872080327,0.13416127264499664,0.10907848909497261,0.09319213785231113,0.09889852404594421,0.09031757481396198,0.09757542222738266
