Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,1.0192941444984172e-05,1.9002740264113526e-05,4.8193602124229075e-05,5.77380297727359e-06,5.025298569307779e-06,1.1432429928390775e-05,2.8594011237146333e-05,4.9977269518421964e-05,9.661633175710449e-06,5.034066070948029e-06,5.043143364673596e-06,1.7974889269680718e-05,8.770719450694741e-06,2.4498680322722065e-05,1.1850521295855288e-05,3.207583733455976e-05,2.40479695276008e-05,6.545423511852277e-06,4.763715500303079e-05,2.2006541839800776e-05,2.8396054494805867e-06,0.00010531328807701356,4.16318436327856e-05,2.3544791110907683e-06,1.1222478533454706e-05,2.500962273188634e-05,2.4685097878318628e-06,8.901497367332922e-06,1.613306096260203e-05,0.00013127033889759332,5.161172550288029e-05,2.4473547164234332e-05
1,0.005167170474305749,0.0032178155099973084,0.0019010634254664183,0.0027164838602766394,0.002233686647377908,0.001015505895484239,0.005799752874299884,0.004997854344546795,0.004765276797115803,0.0036249672202393413,0.005151093956083059,0.004177714977413416,0.0009564625460188836,0.004283821666613221,0.003183803199790418,0.006999337188899517,0.00623146042227745,0.019733112156391144,0.009316303655505181,0.010937125831842422,0.002102591032162309,0.002627584473229945,0.008296619756147266,0.006404161481186748,0.006469504479318857,0.00833834445104003,0.010582627058029174,0.009892075937241316,0.006386089492589235,0.0035520453611388803,0.006309605287387967,0.002137117823585868
2,0.006522707566618919,0.004256776366382838,0.006275408081710339,0.0037855425430461764,0.012221112586557866,0.00715934032574296,0.005293523892760277,0.026451657749712466,0.014238868691027164,0.00719139838591218,0.005238355118781329,0.007231911709532142,0.0037769237952306866,0.003848667214624584,0.013758209869265556,0.029758775718510152,0.008638651892542839,0.0063515034317970275,0.006816590651869774,0.0056300740409642456,0.008356944266706705,0.00652974521741271,0.010292869079858064,0.05263094283640385,0.007238409938290715,0.010661324523389339,0.004763851119205356,0.016285401973873376,0.006389044197276234,0.030736689232289793,0.012366197276860476,0.0049959900323301555
3,0.01139479298144579,0.006730572562664747,0.006903554005548358,0.013230616580694915,0.007100915508344769,0.007209841478615999,0.008604599814862012,0.0037296637846156956,0.01783073727041483,0.011479031704366207,0.004301616959273815,0.024924721606075763,0.008913243524730205,0.00710510634817183,0.009419690612703561,0.006766949603334069,0.005225362703204155,0.01403967447578907,0.008524393625557423,0.004911396065726876,0.007025224510580301,0.027905791252851486,0.009266849122941494,0.008049048772081733,0.005989803457632661,0.031869796104729176,0.017239814400672914,0.01350297600030899,0.008104358073323966,0.022614115662872792,0.017199957445263862,0.013910213448107243
4,0.010561981443315745,0.03610003903508186,0.011479493901133538,0.008055831845849752,0.009903777260333299,0.04879437267780304,0.013558268137276173,0.009261923246085643,0.015488034412264824,0.012243940029293299,0.010815051794052124,0.017124336697161197,0.013406170904636383,0.02942276105284691,0.024624668583273886,0.011739801354706288,0.015240196771919727,0.03205756079405546,0.01915849471464753,0.01876860123127699,0.01608324620872736,0.04008061699569225,0.0150256503559649,0.027200178429484367,0.00897561221383512,0.008582776244729758,0.012930656354874372,0.008316429248079658,0.018265343122184276,0.014692169185727834,0.02967551615089178,0.01254033027216792
5,0.02601536124944687,0.02371930282562971,0.013074499480426311,0.009569797534495592,0.03149734701961279,0.021420088559389115,0.02329657856374979,0.013103651739656925,0.02792738165706396,0.013959239721298217,0.027462454102933406,0.02111339058727026,0.04476259000599384,0.036352889612317085,0.01829178096726537,0.02468242175877094,0.012127589490264655,0.005862272586673498,0.013559265676885843,0.02832738682627678,0.05027951292693615,0.016864033453166484,0.05899328052997589,0.020798434503376484,0.011009298302233218,0.033073900490999224,0.010729838721454143,0.04364496722817421,0.02636302936822176,0.031382321007549764,0.022733337059617043,0.08140870004892349
6,0.029753052555024626,0.09219830006361007,0.014979088697582483,0.019777237251400948,0.07593227639794349,0.01581467214971781,0.0507618709653616,0.01857362110167742,0.08124801203608513,0.017009060699492692,0.023141391314566134,0.01991452567279339,0.031075236313045027,0.17520394623279573,0.015361677557229995,0.054977639615535735,0.0036916752485558393,0.053537217900156975,0.08517996639013291,0.02579572092741728,0.013693858291953803,0.019837216176092624,0.027510458789765834,0.024585642628371717,0.021440951451659203,0.028917022347450257,0.014459264185279607,0.01966859307140112,0.056405849382281305,0.02304662987589836,0.017234902009367944,0.04040445134043694
7,0.059092490300536156,0.028568590991199017,0.031719467490911486,0.016212835516780613,0.030018969029188155,0.06831979617476464,0.0455627553910017,0.05818598210811615,0.04997295834124088,0.018065418303012847,0.0011355575104244054,0.04244920291006565,0.01754380902275443,0.03173502717167139,0.0839065359532833,0.04511529162526131,0.05173072949051857,0.04524936683475971,0.04364410199224949,0.0269990611076355,0.04669535756111145,0.15670551478862763,0.03548957109451294,0.012109927386045456,0.021596095599234102,0.04361966118216515,0.02048572026193142,0.024874186888337136,0.03372812144458294,0.061659037247300146,0.01766446966677904,0.02567444644868374
8,0.03169764045625925,0.08542267188429832,0.06494315423071384,0.25103414356708526,0.0514066319912672,0.0932826842367649,0.11010796844959259,0.04358379580080509,0.029326155222952364,0.05743761733174324,0.06517700552940368,0.05176857762038708,0.046839336976408956,0.06964522629976272,0.057466958090662955,0.041642944440245626,0.05442271411418915,0.06570756383240223,0.08404487907886506,0.03708581261336803,0.039679768607020376,0.028548520468175412,0.07023521579802036,0.06491764724254608,0.0777539311349392,0.11888528764247894,0.046009325906634334,0.11747967660427093,0.12149792686104774,0.10430066183209419,0.05063347116112709,0.03254905305802822
9,0.04569027937948704,0.028628062419593335,0.08934986472129822,0.16212361812591553,0.046264827027916906,0.06570091761648655,0.08911195814609528,0.10672885507345199,0.0392955656349659,0.05295620173215866,0.2486198714375496,0.054773755967617035,0.09072642832994461,0.06789379052817822,0.03779402706772089,0.0895701551437378,0.030050091706216336,0.06497426308691502,0.09506643280386924,0.06030840128660202,0.13879852563142778,0.0940534894168377,0.08069002687931061,0.0638948167860508,0.059969976469874384,0.03862223915755749,0.021841577999293805,0.06883765801787377,0.05957586713135243,0.09888690292835235,0.24220088094472886,0.16138603866100312
