Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,7.248710513522382e-05,0.000400842381932307,0.0007880952476989478,0.0006853854580549523,1.4903392293490469e-05,0.00023174696776550262,0.00023484554156311788,0.0001901823273510672,3.1273660861188544e-05,8.821784726023907e-05,0.00023148988897446542,2.2746613303752383e-05,0.00045005358144408093,0.00024419251625658946,0.00010499752141186037,0.00013742163093411364,2.1647907196893356e-05,4.403380440635374e-05,0.00035661320551298557,5.4232811271504035e-05,1.834329726989381e-05,0.00036806012474698945,0.0012755947862751781,8.01807072275551e-05,3.873450030368985e-05,0.00015614722229656764,6.1932274411447e-06,3.434951238887152e-05,4.9809254560386764e-05,0.0009684652870055288,4.004027046903502e-05,0.0005509773403173313
1,0.008905915785580873,0.005147944428026676,0.002760164453648031,0.001979501072783023,0.006807393301278353,0.00326035694219172,0.007394794784486294,0.004676343169994652,0.005253355102613568,0.01534875838086009,0.006868102150037885,0.011707087643444539,0.0017588234087452291,0.0061291063483804465,0.0033975572930648925,0.018976226691156627,0.013125795442610978,0.024070118963718416,0.01846528623253107,0.014032819233834743,0.0025284461094997822,0.004450824721716345,0.018332441858947276,0.018274709694087506,0.013968524541705846,0.020041659455746413,0.028905326724052428,0.01594386987388134,0.017918619569391014,0.009498280538246036,0.0021660880208946767,0.004171509817242622
2,0.017408992610871792,0.004943512016907335,0.011476462502032518,0.011959996428340674,0.022144233509898185,0.010442842477932573,0.008511854996904732,0.038290945179760456,0.010754810571670532,0.012281347708776593,0.007265078192576766,0.006706074168905615,0.008187797274440528,0.004632447571493685,0.014786720564588905,0.039520564377307894,0.010247197709977627,0.01606295272707939,0.025099506322294473,0.009466955782845616,0.013772983904927968,0.09512524399906397,0.014627521457150579,0.10309989057481289,0.011137591879814864,0.0024086133064702155,0.019858991391956807,0.03798670344054699,0.01834815902635455,0.008504556883126497,0.016442382764071225,0.008762589888647199
3,0.006632621828466654,0.03067824700847268,0.01185701334849,0.02242477996274829,0.015345699060708285,0.01009449272416532,0.011769021581858396,0.02699751902371645,0.008936041416600347,0.030452178902924062,0.015485584866255522,0.016119989417493343,0.009646329125389456,0.010210368596017361,0.019710091557353735,0.011042333645746112,0.012585741719231009,0.04181508643552661,0.02521808858960867,0.008628088431432843,0.009687944501638412,0.028079112116247414,0.012530049541965127,0.006747592114843428,0.013725500460714102,0.021167459059506656,0.03324212569743395,0.020636036582291125,0.01488598806783557,0.01641342345625162,0.030875523462891578,0.011790337776765226
4,0.013743987148627639,0.04606327727437019,0.008192020300775767,0.014453208893537522,0.010856581022962927,0.07634385757148265,0.01978063102811575,0.017325275614857673,0.1041495630145073,0.014843721296638251,0.012255089469254016,0.027303185407072307,0.009615404978394509,0.019083074405789376,0.11939085617661477,0.04719250537455082,0.02474768368527293,0.07991832494735718,0.04084514815360308,0.037814659364521504,0.05153987191617489,0.027910379208624363,0.015006248205900193,0.06133140899240971,0.010599960973486304,0.037270326763391495,0.024470279943197965,0.08951399728655815,0.03808681793510914,0.022365581672638656,0.038046014457941056,0.022459802459925415
5,0.040065296702086924,0.01734847029671073,0.10368357703089714,0.02492503011599183,0.03453471001237631,0.03758642159402371,0.010845088902860879,0.027953502256423235,0.0735240437462926,0.03709773797541857,0.10131631553173065,0.03306517457589507,0.18942400388419628,0.05307750552892685,0.029037179108709097,0.04447872940450907,0.0320238571614027,0.026114323548972605,0.06737482264637946,0.15174536302685737,0.03176391236484051,0.019646458011120558,0.13419170930981636,0.09230821296572685,0.04369367755949497,0.09232132576406002,0.028567626141011715,0.10223143421113491,0.0513835010677576,0.04314641557633877,0.039402312189340594,0.15232173122465612
6,0.12895797416567803,0.23889123782515526,0.06399192377924919,0.05085197363048792,0.10126091547310352,0.04742096170783043,0.054003460332751274,0.04376216240227222,0.06918221727013588,0.01705336743965745,0.08127344071865082,0.03385309588164091,0.05760765537619591,0.10889609016478062,0.025508388206362725,0.02749697759747505,0.0596362167596817,0.04045429974794388,0.07523113057017326,0.11395728290081024,0.03591101225465536,0.0225193602219224,0.031121017783880232,0.06190693460404873,0.04225375641137361,0.19979814156889916,0.04480600330978632,0.039554037153720856,0.07057261101901531,0.04680823881179094,0.03094398308545351,0.042298683822155
7,0.027021515388041734,0.054479321949183944,0.042158969938755037,0.07978452682495117,0.014606290236115456,0.14763754084706307,0.038646149411797524,0.07204384788870812,0.07073401130735874,0.0350769654288888,0.003566022200975567,0.06963345855474472,0.0066018522856757045,0.02426385324448347,0.06693324588239193,0.07556030862033367,0.09787732191383838,0.03209435619413853,0.10948907598853111,0.06770217329263688,0.07934151329100132,0.08800070084631444,0.10853275373578071,0.01542182883247733,0.0849031462520361,0.04312675464898348,0.04115821588784456,0.24552208080887794,0.022644217740744352,0.056227609366178516,0.039746321514248846,0.0342570348829031
8,0.056007088124752046,0.11994723126292228,0.13533079117536545,0.12547165676951408,0.10591900303959846,0.08319392204284667,0.10325322315096855,0.040183791480958464,0.046414756923913954,0.08824693225324154,0.0798648750782013,0.10396160773932933,0.10634203471243381,0.05256923113018274,0.03492558827623725,0.057052983939647674,0.08476939231157303,0.06355798862874508,0.0921055718511343,0.08115880992263555,0.12795923560857772,0.05170252047479153,0.03604443121701479,0.05921027220785618,0.07921685576438904,0.03529543686658144,0.010039811041206121,0.11616894409060478,0.19259920015931128,0.574792799949646,0.09405168689787388,0.015341508565470577
9,0.16755709826946258,0.08054135393351317,0.12979723289608955,0.058564039915800094,0.072073412835598,0.11896884351968766,0.10905473113059998,0.175329832136631,0.03177261235192418,0.06995263509452343,0.1139337457716465,0.07944431208074093,0.08925393491983413,0.07261595010757446,0.0498766153305769,0.06211161337792873,0.05445386670529842,0.03818760707974434,0.09351262159645557,0.05558274552226067,0.16656527444720268,0.2602818663418293,0.08194393068552017,0.027872225288301706,0.06515630953013897,0.03673025606200099,0.2000171248242259,0.1112210737913847,0.05397479820996523,0.12500144444406033,0.2105053922533989,0.13034909062087535
10,0.0860416704416275,0.07314469911158085,0.11910868555307388,0.06773948363959789,0.11328621625900269,0.10988086938858033,0.1118749327212572,0.1748989161849022,0.07181240759789943,0.146986036747694,0.08635405384004116,0.13441176503896712,0.08817978151142597,0.11276907913386822,0.05715428248047829,0.21797947496175765,0.059317286983132364,0.23290666311979294,0.02990335030481219,0.17282857164740562,0.09580454558134079,0.12040762364864349,0.19524627313017845,0.23641578286886214,0.16642430007457734,0.3658711341023445,0.12481865435838699,0.23353252440690994,0.08858046144247055,0.2863842949271202,0.22012087255716323,0.11792674541473389
11,0.15296684488654136,0.18858901739120484,0.0364162402972579,0.0859291073679924,0.06460678100585937,0.03899381034076214,0.1391305507719517,0.13744943782687188,0.11245796330273151,0.07089127786457539,0.049170274771749976,0.1000336691737175,0.1480884300172329,0.12143421515822411,0.05376350454986095,0.013057041363790631,0.0722143717110157,0.08482985496520996,0.0840201037377119,0.10203206576406956,0.174285599142313,0.04631069839000702,0.037555796494707465,0.03602826362475753,0.08775119706988335,0.1792094573378563,0.1337024313211441,0.1277991446852684,0.32260090470314023,0.07438499573618174,0.15290447682142258,0.10780461199581623
12,0.09931300193071366,0.11825449898838997,0.009404323343187571,0.083711271956563,0.052738323099911215,0.0913057105243206,0.07535432487726211,0.08529267959296703,0.11391527310013772,0.20224585458636285,0.10494932249188423,0.1443888081610203,0.07250496372580528,0.10828973844647408,0.08983417369425296,0.06481282696127892,0.047446161173284054,0.16620644062757492,0.1341602649539709,0.11604608073830605,0.05690209049731493,0.16218381717801095,0.034247139990329745,0.07324620608240366,0.11191336303949356,0.1539385187625885,0.09997563444077968,0.3583901545405388,0.06505482599139213,0.09364052526652814,0.08232327196747065,0.28323812007904053
13,0.15275854915380477,0.18573522806167603,0.1929495456814766,0.08047098338603974,0.16392896950244903,0.14714228883385658,0.026400063112378122,0.08941229000687599,0.37243271619081497,0.11698218517005443,0.15049389988183975,0.023480961862951517,0.21487997606396675,0.09132205352187156,0.071569584608078,0.032122920230031014,0.2868405160307884,0.5128426939249039,0.11461241379380226,0.1493575604259968,0.07030582562088966,0.10708720125257969,0.060390766747295856,0.032939814440906046,0.1637835694849491,0.2867150557041168,0.09586143434047699,0.07223679266870021,0.07109630458056927,0.0789760945737362,0.09540411494672299,0.09711334630846977
14,0.10238519981503487,0.07785709708929062,0.12848694570362568,0.15621802031993867,0.09202102974057197,0.07336015611886978,0.2288996608555317,0.08918977741152048,0.2178748455643654,0.13450457647442818,0.11528704218566417,0.14008419960737228,0.1575733557343483,0.20533912360668183,0.2056348992884159,0.0738196214288473,0.37536953687667846,0.12050886385142803,0.07362792018800973,0.09059135042130947,0.15136572927236558,0.11721251174807548,0.1828586257994175,0.08974450610578061,0.06791237197816372,0.09615865997970104,0.15021387740969658,0.15238119453191756,0.06068268895149231,0.36720342248678206,0.10791515171527863,0.06884915642440319
15,0.07707036878913641,0.0956724002212286,0.10120699375867843,0.08885322608053685,0.09787283673882484,0.13257592663168907,0.0861587381362915,0.052935934364795684,0.0850829715281725,0.3892225229740143,0.04244924329221249,0.13356535628437996,0.04534415265545249,0.09208634421229363,0.09284182615578175,0.058045876193791625,0.194773141592741,0.1534430769085884,0.07666573073714972,0.13693596303462982,0.03941844452172518,0.07780292935669422,0.1725760193169117,0.1069246232137084,0.38429908275604246,0.07389241974800825,0.1440379239618778,0.13932301789522172,0.10898205004632473,0.08911436706781388,0.1547870783507824,0.07561764393001795
16,0.089378327652812,0.0775306360423565,0.19335763469338418,0.2326443487405777,0.4504436936974525,0.26763001948595044,0.3228720015287399,0.17563857436180114,0.0882631029188633,0.11363737754523755,0.22359815686941148,0.12488051377236843,0.10709614604711533,0.20751448959112168,0.06335736282169818,0.12310452707111835,0.11917750440537929,0.08268847048282624,0.09915968909859657,0.09245681080967189,0.38500497698783875,0.1372406131029129,0.17972578048706056,0.14314990520477294,0.09040213942527771,0.32197692304849623,0.21748030290007592,0.16498812437057495,0.11114218682050706,0.07754019416868686,0.1237472988665104,0.128498525172472
17,0.07537295021116734,0.10890075832605361,0.11867814064025879,0.09807978071272373,0.0654568911343813,0.08587122075259686,0.1972381952404976,0.04222497396171093,0.23123176097869874,0.11916579816490412,0.23639847978949546,0.0360577130690217,0.15120494350790978,0.0545429827645421,0.06907244145870209,0.15845995977520944,0.10832986891269684,0.21651701018214226,0.1824320474267006,0.23565468072891235,0.14502970784902572,0.10583550311625003,0.04419642927125096,0.18643247187137604,0.23505350142717363,0.06764373719692231,0.03289498466998339,0.13812770709395408,0.09722090244293213,0.08474961891770363,0.2365369212627411,0.15031931929290296
