Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.46502632558345797,0.3116222742199898,0.44242592513561246,0.20087758004665374,0.43510970532894133,2.135361621379852,0.29792592763900755,0.68653590798378,1.0926566910743714,1.3416268563270568,0.27862086772918704,0.6517949384450913,5.04949390411377,2.35089350938797
1,4.036440401077271,2.5770097517967225,2.287455184459686,4.1231468439102175,2.8166491293907168,1.163294277191162,2.644036843776703,3.440368218421936,5.0008583259582515,2.884045672416687,5.282596712112427,3.33917827129364,4.582365946769714,2.7214453840255737
2,4.4769179105758665,3.709779920578003,3.9963245010375976,4.3056407642364505,6.376945314407348,4.382160625457764,4.162818140983582,3.6172674989700315,3.1045123815536497,2.8405253982543943,3.420558867454529,3.4830497121810913,2.6806340980529786,4.685049529075623
3,4.791150188446045,3.4457389402389524,3.582356753349304,4.020327887535095,2.6721817898750304,4.198148965835571,2.912733886241913,2.2507385349273683,2.3807254934310915,2.8580462312698365,3.3995578145980834,2.827678506374359,1.7963641715049743,2.1322822093963625
4,5.570336236953735,3.197398500442505,3.229400930404663,2.8233794927597047,4.762756433486938,3.7440782356262208,3.220547480583191,3.739670543670654,3.087301173210144,3.5553459692001343,2.845792393684387,4.435920624732971,2.952212805747986,4.744326810836792
5,5.55529146194458,5.834903326034546,2.5152607774734497,3.9732515478134154,4.379784078598022,2.705459809303284,3.71639799118042,3.450429792404175,2.882187314033508,3.615384969711304,3.756533131599426,3.6664419651031492,4.091572408676147,3.8667178678512575
6,1.672246286869049,3.4860590934753417,5.70886263847351,6.836220178604126,6.277429637908935,5.005917429924011,1.5317515301704407,4.18724383354187,4.977363538742066,3.1305588388442995,4.668119177818299,1.9377028083801269,5.1907009029388425,2.94691641330719
7,2.192626619338989,3.937546534538269,2.917448706626892,2.054232633113861,2.1557623767852783,3.2446404504776,2.3946907997131346,4.705726857185364,4.3503521537780765,2.8781428861618044,3.066095118522644,3.103544135093689,3.760926342010498,2.8651352548599243
8,4.477141962051392,2.662032766342163,5.918161182403565,5.882309122085571,3.7298049926757812,4.764095096588135,9.582727975845337,3.2340226316452028,2.9936815738677978,3.894948000907898,10.617716255187988,1.674800281524658,6.421324787139892,4.945025701522827
9,7.9206013679504395,4.844202265739441,5.281106324195862,4.088722500801087,5.575984735488891,6.816420040130615,6.190094480514526,10.398927869796752,10.922442264556885,10.039050178527832,10.62736557006836,8.783034400939941,10.581023674011231,10.333251781463623
10,4.99451455116272,2.543095414638519,5.109671506881714,4.086169490814209,4.003013701438904,4.736103301048279,4.5323710536956785,9.27620747566223,2.4592250776290894,2.619998645782471,4.099071817398071,2.9025520348548888,3.1886637234687805,5.3886361408233645
11,6.912825746536255,7.199687223434449,7.684802646636963,7.479711236953736,7.701494388580322,8.710985870361329,8.184888076782226,9.814623260498047,9.725900325775147,8.988321313858032,8.752641077041625,10.328819580078125,10.218073024749756,9.976901264190674
12,4.440436367988586,3.1660040283203124,5.003012800216675,4.786236710548401,2.8370230197906494,4.10585364818573,2.296189842224121,3.1226259088516235,4.772080430984497,2.434289481639862,5.343044657707214,2.3439931154251097,7.997353496551514,6.797460441589355
13,3.667434024810791,3.726294603347778,3.440118236541748,4.217099914550781,4.328179297447204,3.935118222236633,2.902153377532959,4.063929734230041,3.28452308177948,3.4746412229537964,3.057260527610779,4.6177127122879025,2.3639522290229795,2.6553977155685424
14,3.37138147354126,6.603739366531372,3.4153550720214843,3.861005368232727,4.852153406143189,3.870579843521118,5.17391035079956,3.5037326765060426,3.3866171646118164,3.815796523094177,2.7460214424133302,4.051454353332519,2.456655960083008,4.318341007232666
15,4.300153164863587,4.700029411315918,2.6275549149513244,5.022731676101684,8.315256910324097,7.364903163909912,2.840211582183838,2.555756621360779,4.133364038467407,4.433691492080689,4.2547073698043825,2.6068519496917726,4.976042556762695,4.238471789360046
16,6.719484281539917,3.8539471769332887,3.9386708736419678,3.981478867530823,2.912856602668762,3.325941972732544,2.854379930496216,3.487788591384888,3.6156114101409913,4.372488503456116,3.9901775884628297,5.90651686668396,3.4095338487625124,4.0413903141021725
17,3.5798501443862913,5.178932971954346,3.271075792312622,3.971301336288452,3.6905547618865966,5.617284955978394,2.4857647371292115,3.8157921743392946,3.483995084762573,3.9810179901123046,5.8142688274383545,3.860712265968323,2.6373524045944214,3.3730344009399413
18,3.3762902069091796,3.2009250593185423,3.36811870098114,3.743189601898193,3.010843987464905,3.8450232553482055,3.784771981239319,3.711411128044128,3.093727159500122,4.148816471099853,2.686917610168457,3.1130189990997312,3.9173858737945557,4.157216401100158
19,3.9057335376739504,3.4038355684280397,3.063170700073242,4.4138041543960576,3.522698884010315,3.811560788154602,3.606817364692688,3.6514683818817137,4.587384853363037,4.314506855010986,4.140422873497009,5.076775426864624,3.5468150186538696,3.2423425674438477
20,5.022731533050537,5.1049733543396,5.709062938690185,4.041348385810852,4.216751942634582,5.475666017532348,5.803729410171509,8.126596097946168,8.019941568374634,6.150498476028442,7.264581909179688,7.359223022460937,7.5670206832885745,6.7360039329528805
21,7.196452875137329,7.295322637557984,8.432025861740112,8.715369806289672,8.630906076431275,8.703849468231201,8.695489282608031,8.03946367263794,8.563124561309815,8.596950311660766,7.198218173980713,8.643696813583373,8.824903287887572,8.686007623672486
22,8.28210594177246,6.550732269287109,7.918863964080811,8.493560857772827,6.389636640548706,8.817749671936035,8.334050312042237,8.500232725143432,7.658847284317017,6.334975147247315,8.959537725448609,8.919522857666015,8.237679119110107,8.98469832420349
23,2.697108645439148,8.896216735839843,8.203779439926148,7.137956266403198,8.696584634780884,6.527926988601685,7.4833673572540285,7.228167219161987,7.176392822265625,7.39087984085083,7.283318119049072,7.252490224838257,7.016543340682984,7.225259704589844
