Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.5117216956615448,0.26895217716693876,0.4048375189304352,0.1564086326956749,0.43160596370697024,2.2148338460922243,0.3254455614089966,0.5568413066864014,1.252895588874817,1.0707520651817322,0.27192767679691315,0.9634309709072113,3.4258342170715332,1.861844985485077
1,3.5773646593093873,2.901889362335205,1.784665367603302,3.8966802024841307,2.4976820182800292,1.2184396958351136,2.329706463813782,2.937708115577698,4.4855093669891355,2.662108554840088,4.866166496276856,2.579998564720154,4.154534039497375,2.207568211555481
2,4.1363037586212155,3.2023716402053832,4.081013231277466,3.3623403549194335,5.12967288017273,4.058755688667297,3.4716136932373045,3.505936179161072,3.1018519592285156,2.5360561275482176,3.4801232385635377,3.706239967346191,3.2282591390609743,4.229773511886597
3,4.25385124206543,3.0613896560668947,2.8733073043823243,3.337704792022705,2.665761752128601,3.759767937660217,2.957655248641968,1.7006400322914124,2.0503290343284606,2.60992317199707,3.476793842315674,2.4554652166366577,1.4395342826843263,2.153790285587311
4,5.1678333568573,2.622478036880493,2.4702116584777833,2.1329384231567383,4.291003198623657,3.5890219688415526,2.5815687227249144,2.93510244846344,2.826887454986572,3.0114168405532835,2.4341936016082766,4.3099658203125,2.736517376899719,4.328854160308838
5,5.834313869476318,5.45267653465271,2.288882327079773,3.26961088180542,4.083478035926819,2.2495639085769654,3.104969711303711,3.3307424116134645,2.2343044233322145,3.218742918968201,3.455303530693054,3.2363687849044798,3.4246190071105955,3.454321894645691
6,1.2144417190551757,2.5230909061431883,4.2969637298583985,5.195825109481811,5.513781633377075,3.622020664215088,1.4533342957496642,3.407693958282471,4.151382927894592,2.1913357615470885,3.37094642162323,1.8677402138710022,4.310111184120178,2.230781707763672
7,2.1510510349273684,2.7132949352264406,2.410795111656189,1.8974848651885987,2.2736858034133913,2.7909361696243287,1.809848256111145,4.09198881149292,4.298638000488281,2.3876144981384275,2.2345058298110962,2.969238076210022,2.9458702611923218,2.1459173798561095
8,4.575891160964966,2.1667823719978334,5.013614196777343,5.571205625534057,2.697400240898132,3.952712016105652,7.743812303543091,2.913855485916138,2.5436093282699583,2.7527602815628054,10.464403343200683,1.5282071495056153,4.565830221176148,3.8546370553970335
9,8.42657247543335,4.908322439193726,5.158643026351928,4.071004424095154,4.6938613986969,5.766952629089356,6.104380950927735,8.413361568450927,10.838498649597168,10.136052875518798,10.57973482131958,8.181202249526978,10.636765327453613,10.458257179260254
10,3.723499903678894,2.081105215549469,5.079022560119629,3.975130639076233,3.0683534479141237,4.173744220733642,4.236296486854553,8.357942218780517,2.553802285194397,2.36901665687561,4.093479208946228,2.926051712036133,2.5712445735931397,4.10783697605133
11,7.777368478775024,8.028335876464844,8.192866134643555,7.663323135375976,8.578097705841065,9.504427814483643,8.801744785308838,10.173834476470947,10.173235836029052,8.301036014556885,9.389199085235596,10.489932537078857,10.578237762451172,10.183461818695069
12,3.567910075187683,2.813100519180298,4.069804658889771,4.5457157802581785,2.328256592750549,3.5563732051849364,1.837759680747986,2.3689596033096314,4.133754696846008,2.7424845933914184,4.334473328590393,2.9351860380172727,8.779388408660889,7.2937386608123775
13,2.7161930084228514,2.986631278991699,2.7748120546340944,3.6092400455474856,3.40697979927063,4.176289601325989,2.4983558177948,2.8690286684036255,2.2526793813705446,2.839188494682312,2.5439898109436037,3.489947271347046,1.5402704215049743,1.994026358127594
14,2.9300832414627074,4.938493509292602,3.2835717582702637,2.9311697912216186,3.7962812614440917,3.731775708198547,4.186533107757568,3.027346663475037,2.582944393157959,3.5102954387664793,2.1581266593933104,4.107222118377686,2.124497108459473,4.267362880706787
15,3.3642334222793577,3.368952374458313,2.2521153545379637,3.7591675519943237,7.897571792602539,6.867005577087403,2.2843390321731567,2.0556496930122377,4.1307763671875,4.121775054931641,4.462306098937988,2.5014545726776123,4.8475501823425295,4.074100646972656
16,6.637858295440674,3.036172585487366,3.3055216217041017,3.410484871864319,2.2636849594116213,2.4723138666152953,1.8076909708976745,3.100504159927368,2.65552038192749,3.697336721420288,2.9065341091156007,5.2637997817993165,2.5535522270202637,2.6573919534683226
17,2.7766948127746582,4.253157258033752,2.40779803276062,3.045039963722229,3.138750128746033,4.704387693405152,2.1514620923995973,3.4144436264038087,3.09674756526947,3.6582823419570922,4.676186151504517,3.3351194286346435,1.825474166870117,2.9694797801971435
18,2.839083499908447,2.778818941116333,2.610234375,3.1760364770889282,2.831255021095276,2.868973259925842,3.4110133695602416,2.850791268348694,3.3308815145492554,4.159672441482544,2.177286400794983,2.724314332008362,3.200531735420227,3.6153479385375977
19,3.155787124633789,2.4089659690856933,2.6823062467575074,3.3585675287246706,2.574166803359985,2.895385389328003,2.7980252075195313,3.3775003957748413,3.9676264095306397,4.3068115234375,3.4557708406448366,3.9072558975219724,2.45416925907135,2.483295831680298
20,3.649539060592651,5.370959100723266,6.521804513931275,3.4400851488113404,4.660541534423828,4.998575735092163,5.843732376098632,9.019270706176759,9.32149534225464,5.208617782592773,8.328167266845703,8.91646692276001,8.985606803894044,5.631444206237793
21,7.979061470031739,7.487719144821167,9.404629211425782,9.606384048461914,9.503075962066651,9.53954339981079,9.523150844573975,8.70473648071289,9.377164764404297,9.482049331665038,7.585580739974976,9.592849578857422,9.538317604064941,9.654346771240235
22,9.527173385620117,6.60257266998291,8.884072208404541,9.609906921386719,7.053287467956543,9.828779430389405,9.036304092407226,9.527839393615723,8.682375869750977,6.2564872360229495,10.00100923538208,9.776943016052247,8.904231510162354,9.902783336639404
23,0.7097293794155121,8.85601806640625,8.068368129730224,7.182391242980957,8.653021583557129,6.978566884994507,7.856442146301269,7.668535232543945,7.449247808456421,7.660633020401001,7.546505994796753,7.426503095626831,7.483302869796753,7.556448612213135
