edge,score
input->a0.h0<v>,-0.14160156
input->a0.h1<q>,-0.21972656
input->a0.h1<k>,-0.103027344
input->a0.h1<v>,0.38085938
input->a0.h3<k>,-0.125
input->a0.h3<v>,0.17773438
input->a0.h4<v>,0.5078125
input->a0.h5<q>,-0.16796875
input->a0.h5<k>,-0.26953125
input->a0.h5<v>,0.34179688
input->a0.h7<v>,0.15917969
input->a0.h9<v>,0.31445312
input->a0.h11<v>,-0.16601562
input->m0,-1.6484375
a0.h3->m0,0.092285156
a0.h4->m0,0.46679688
a0.h5->m0,-0.123535156
a0.h6->m0,0.26757812
a0.h8->m0,-0.17089844
a0.h9->m0,0.17773438
a0.h11->m0,-0.047607422
m0->a1.h0<v>,0.20507812
m0->a1.h1<v>,-0.10498047
m0->a1.h2<v>,-0.13476562
m0->a1.h3<v>,-0.15527344
m0->a1.h4<v>,-0.14355469
m0->a1.h5<v>,0.14648438
m0->a1.h7<v>,-0.13769531
m0->a1.h8<v>,-0.046142578
m0->a1.h9<v>,-0.18164062
m0->a1.h10<v>,-0.06738281
m0->m1,0.75390625
m0->a2.h2<v>,0.15625
m0->a2.h3<v>,-0.091796875
m0->a2.h6<v>,-0.063964844
m0->a2.h10<v>,-0.10644531
m0->a2.h11<v>,-0.15136719
m0->m2,-1.0703125
a1.h10->m2,-0.09667969
m1->m2,0.20703125
m0->a3.h3<v>,0.12011719
m0->a3.h4<v>,-0.11767578
m0->a3.h5<v>,0.05444336
m0->a3.h6<v>,-0.14160156
m0->a3.h7<v>,-0.071777344
m0->m3,0.049804688
m1->m3,0.09326172
m2->m3,-0.07519531
m0->a4.h0<v>,0.063964844
m0->a4.h1<v>,0.11816406
m0->a4.h4<v>,-0.08300781
m0->a4.h5<v>,-0.111328125
m0->a4.h6<v>,-0.10546875
m0->a4.h10<v>,-0.095703125
m0->a4.h11<v>,0.095703125
m0->m4,-0.46484375
a1.h7->m4,-0.055908203
m2->m4,-0.15917969
a4.h11->m4,-0.06640625
m0->a5.h0<v>,-0.061035156
m0->a5.h1<v>,0.06689453
m0->a5.h3<v>,0.04663086
m0->a5.h5<v>,-0.44921875
m0->a5.h7<v>,-0.049072266
m0->a5.h8<v>,-0.34765625
m0->a5.h9<v>,-0.2109375
m0->a5.h10<v>,0.084472656
m0->a5.h11<v>,-0.29492188
m1->a5.h1<v>,0.049316406
m2->a5.h5<v>,0.04711914
m3->a5.h1<v>,0.04711914
m4->a5.h3<v>,-0.071777344
m4->a5.h5<v>,-0.087890625
m0->m5,-0.7109375
a1.h10->m5,0.087890625
m1->m5,-0.04711914
m2->m5,-0.23242188
m3->m5,0.10644531
m4->m5,0.16015625
a5.h3->m5,-0.04711914
a5.h9->m5,-0.06542969
m0->a6.h1<v>,0.19628906
m0->a6.h2<v>,-0.15332031
m0->a6.h3<v>,-0.0625
m0->a6.h4<v>,0.13769531
m0->a6.h5<v>,-0.103515625
m0->a6.h8<v>,0.060058594
m0->a6.h9<v>,0.37304688
m0->a6.h10<v>,-0.053466797
m0->a6.h11<v>,-0.05053711
m1->a6.h9<v>,0.048339844
m3->a6.h9<v>,0.061035156
m4->a6.h8<v>,-0.050048828
m4->a6.h9<v>,0.04711914
a5.h0->a6.h6<v>,-0.044921875
a5.h9->a6.h2<v>,-0.060058594
m0->m6,-0.3515625
m2->m6,-0.39453125
m3->m6,0.043945312
m4->m6,0.23046875
a5.h1->m6,0.06225586
a5.h3->m6,-0.08203125
a5.h9->m6,-0.071777344
a6.h4->m6,0.075683594
m0->a7.h1<v>,0.20996094
m0->a7.h2<k>,0.055664062
m0->a7.h2<v>,0.06689453
m0->a7.h3<v>,-0.12207031
m0->a7.h4<v>,-0.10644531
m0->a7.h5<v>,0.07324219
m0->a7.h7<v>,0.072753906
m0->a7.h8<v>,0.18652344
m0->a7.h9<v>,-0.080566406
m0->a7.h10<v>,-0.16113281
m3->a7.h11<v>,0.061523438
m6->a7.h0<v>,-0.045410156
m6->a7.h7<v>,-0.05029297
m0->m7,0.13476562
m2->m7,-0.09326172
m3->m7,-0.22363281
m4->m7,-0.42578125
a6.h9->m7,0.057128906
m0->a8.h1<v>,0.3046875
m0->a8.h2<v>,0.095703125
m0->a8.h3<v>,-0.103515625
m0->a8.h4<v>,0.080566406
m0->a8.h5<v>,0.07128906
m0->a8.h6<v>,0.16503906
m0->a8.h8<v>,0.12890625
m0->a8.h9<v>,0.10253906
m0->a8.h10<k>,-0.052490234
m0->a8.h11<v>,0.100097656
a4.h11->a8.h3<v>,0.050048828
m4->a8.h4<v>,-0.048339844
a5.h0->a8.h7<v>,0.048095703
m5->a8.h10<v>,0.045410156
m6->a8.h7<v>,-0.056152344
m6->a8.h10<v>,0.079589844
m7->a8.h5<v>,-0.045410156
m7->a8.h7<v>,-0.055908203
m0->m8,0.15527344
m2->m8,0.13964844
m3->m8,-0.14160156
a4.h8->m8,-0.06982422
m4->m8,-0.41015625
a7.h0->m8,-0.053710938
a7.h6->m8,-0.078125
a8.h1->m8,-0.051757812
a8.h2->m8,-0.055419922
a8.h9->m8,0.060302734
m0->a9.h1<v>,0.13378906
m0->a9.h2<v>,0.118652344
m0->a9.h3<v>,0.08984375
m0->a9.h4<v>,0.11230469
m0->a9.h5<v>,0.07714844
m0->a9.h6<v>,-0.25195312
m0->a9.h7<v>,0.095703125
m0->a9.h8<v>,0.04663086
m0->a9.h9<v>,-0.053222656
m0->a9.h11<v>,0.14160156
m8->a9.h5<v>,-0.047851562
input->m9,-0.046142578
a0.h1->m9,0.05810547
m0->m9,0.75
m2->m9,0.05053711
m3->m9,-0.16113281
a4.h8->m9,-0.056152344
m4->m9,-0.26757812
a5.h5->m9,-0.05883789
m5->m9,-0.091796875
a6.h1->m9,0.059570312
a6.h5->m9,0.046875
m6->m9,-0.06640625
a7.h0->m9,-0.046875
a7.h11->m9,0.045898438
m7->m9,0.08105469
a8.h9->m9,0.057128906
m8->m9,0.24902344
a9.h5->m9,0.04711914
a9.h8->m9,0.055419922
a9.h11->m9,-0.07373047
m0->a10.h0<v>,-0.122558594
m0->a10.h1<v>,0.078125
m0->a10.h2<v>,-0.18359375
m0->a10.h3<v>,-0.053710938
m0->a10.h4<v>,0.17578125
m0->a10.h5<k>,0.046875
m0->a10.h5<v>,0.22851562
m0->a10.h6<v>,-0.071777344
m0->a10.h8<v>,0.25976562
m0->a10.h9<k>,-0.09082031
m0->a10.h11<v>,0.17480469
m4->a10.h2<v>,0.045898438
m6->a10.h5<v>,-0.09667969
m7->a10.h9<v>,-0.046142578
m9->a10.h2<v>,0.103515625
a0.h1->m10,0.07763672
a0.h5->m10,0.12011719
a0.h7->m10,0.063964844
m0->m10,-0.82421875
a1.h10->m10,0.1484375
m2->m10,0.40234375
m3->m10,0.11816406
a4.h3->m10,-0.051513672
m4->m10,0.10644531
a5.h0->m10,-0.06542969
a5.h2->m10,-0.043945312
a5.h5->m10,-0.063964844
a5.h6->m10,0.055664062
a5.h8->m10,-0.048339844
m5->m10,-0.07373047
a6.h6->m10,-0.04663086
a7.h1->m10,-0.083984375
a7.h4->m10,0.078125
a7.h10->m10,-0.06347656
a7.h11->m10,-0.110839844
m7->m10,0.23339844
a8.h7->m10,-0.05029297
m8->m10,0.32226562
a9.h2->m10,-0.051513672
a9.h6->m10,-0.0703125
a9.h9->m10,-0.04711914
m9->m10,0.13964844
a10.h2->m10,0.05493164
a10.h6->m10,-0.055908203
a10.h10->m10,0.092285156
m0->a11.h0<v>,-0.26171875
m0->a11.h2<v>,0.118652344
m0->a11.h6<v>,0.044677734
m0->a11.h7<v>,-0.20507812
m0->a11.h8<k>,0.10449219
m0->a11.h9<v>,0.30859375
m0->a11.h10<k>,-0.09082031
m0->a11.h10<v>,-0.14453125
a1.h10->a11.h8<v>,-0.068359375
m2->a11.h0<v>,0.045654297
m5->a11.h9<v>,0.051513672
m6->a11.h0<v>,-0.04663086
m6->a11.h7<v>,-0.047851562
a10.h10->a11.h8<v>,-0.045654297
m10->a11.h0<v>,-0.047607422
m10->a11.h8<v>,0.06738281
m10->a11.h11<v>,-0.13085938
input->m11,0.125
a0.h1->m11,0.10058594
a0.h3->m11,0.080078125
a0.h4->m11,0.08984375
a0.h5->m11,0.14160156
a0.h6->m11,-0.07470703
a0.h7->m11,0.12695312
a0.h8->m11,0.061523438
a0.h9->m11,0.18652344
m0->m11,2.375
a1.h5->m11,0.092285156
a1.h7->m11,0.072265625
a1.h11->m11,0.060058594
m1->m11,0.18652344
a2.h1->m11,0.056152344
a2.h7->m11,-0.046875
m2->m11,1.046875
a3.h4->m11,0.09326172
m3->m11,-0.068359375
a4.h8->m11,0.061279297
a4.h11->m11,0.123046875
a5.h0->m11,0.09814453
a5.h1->m11,0.26367188
a5.h2->m11,0.057861328
a5.h3->m11,0.049804688
a5.h5->m11,-0.059326172
a5.h6->m11,0.10449219
a5.h7->m11,0.047607422
a5.h8->m11,-0.10986328
a5.h9->m11,0.084472656
a5.h11->m11,0.10644531
m5->m11,-0.5859375
a6.h1->m11,-0.076171875
a6.h4->m11,-0.08105469
a6.h5->m11,-0.04663086
a6.h7->m11,-0.067871094
a6.h8->m11,0.095214844
a6.h9->m11,0.2578125
m6->m11,-0.44921875
a7.h0->m11,0.08935547
a7.h4->m11,-0.11328125
a7.h7->m11,0.24414062
a7.h8->m11,0.056152344
a7.h9->m11,-0.072265625
a7.h10->m11,-0.11767578
a7.h11->m11,0.052246094
m7->m11,-0.28710938
a8.h1->m11,0.100097656
a8.h2->m11,0.23535156
a8.h3->m11,0.057861328
a8.h4->m11,-0.04711914
a8.h5->m11,0.09423828
a8.h6->m11,0.17773438
a8.h7->m11,0.048828125
a8.h8->m11,0.08203125
a8.h9->m11,-0.044677734
a8.h10->m11,-0.15820312
a8.h11->m11,0.05810547
m8->m11,-0.69140625
a9.h3->m11,0.08300781
a9.h4->m11,0.10205078
a9.h5->m11,-0.046142578
a9.h11->m11,0.30664062
m9->m11,-0.19335938
a10.h1->m11,0.056152344
a10.h2->m11,0.12792969
a10.h4->m11,0.17480469
a10.h5->m11,0.057617188
a10.h6->m11,-0.052490234
a10.h8->m11,0.22167969
a10.h11->m11,0.049804688
m10->m11,-0.27929688
a11.h0->m11,-0.1796875
a11.h1->m11,-0.078125
a11.h2->m11,-0.13964844
a11.h5->m11,0.080566406
a11.h6->m11,0.21777344
a11.h7->m11,-0.23242188
a11.h8->m11,-1.0625
a11.h9->m11,0.06640625
a11.h10->m11,-0.111816406
a11.h11->m11,-0.40234375
a0.h2->logits,-0.050048828
a0.h4->logits,0.09667969
a0.h9->logits,0.09375
a0.h10->logits,0.045654297
m0->logits,-0.71484375
a1.h2->logits,-0.050048828
a1.h4->logits,0.063964844
a1.h5->logits,-0.067871094
a1.h11->logits,-0.078125
m1->logits,0.118652344
m2->logits,-1.8828125
a3.h0->logits,-0.056884766
a3.h6->logits,0.05444336
a3.h7->logits,0.055908203
a4.h2->logits,-0.043945312
a4.h4->logits,-0.107910156
a4.h8->logits,0.080078125
a4.h9->logits,0.06542969
a4.h10->logits,-0.06982422
a4.h11->logits,0.1484375
m4->logits,0.28710938
a5.h2->logits,0.05834961
a5.h5->logits,-0.125
a5.h6->logits,0.119140625
a5.h7->logits,0.11816406
a5.h8->logits,-0.07861328
a5.h9->logits,0.07080078
a5.h10->logits,-0.115234375
m5->logits,-0.095214844
a6.h2->logits,-0.122558594
a6.h4->logits,-0.049804688
a6.h7->logits,0.045654297
a6.h10->logits,0.072265625
a7.h0->logits,0.09082031
a7.h2->logits,0.13671875
a7.h5->logits,0.046875
a7.h6->logits,0.08544922
a7.h7->logits,0.13671875
a7.h8->logits,0.14160156
a7.h11->logits,-0.11816406
m7->logits,-0.051513672
a8.h0->logits,-0.18652344
a8.h1->logits,0.09082031
a8.h2->logits,0.123046875
a8.h3->logits,0.076660156
a8.h4->logits,0.08203125
a8.h5->logits,0.115234375
a8.h10->logits,-0.17285156
m8->logits,-0.37695312
a9.h0->logits,-0.060546875
a9.h3->logits,-0.08203125
a9.h4->logits,0.072265625
a9.h6->logits,-0.16210938
a9.h8->logits,0.08984375
a9.h9->logits,-0.05493164
m9->logits,0.5390625
a10.h2->logits,-0.15429688
a10.h3->logits,-0.053955078
a10.h5->logits,0.2109375
a10.h6->logits,-0.14355469
a10.h8->logits,0.07519531
a10.h9->logits,-0.07421875
a10.h11->logits,0.11669922
m10->logits,-0.5078125
a11.h0->logits,-0.05053711
a11.h1->logits,0.15527344
a11.h2->logits,0.19042969
a11.h4->logits,0.05908203
a11.h5->logits,-0.110839844
a11.h7->logits,-0.2421875
a11.h8->logits,1.09375
a11.h9->logits,-0.16210938
a11.h10->logits,-0.063964844
a11.h11->logits,0.2578125
m11->logits,2.046875
