edge,score
input->a0.h0<v>,0.023925781
input->a0.h2<v>,0.028808594
input->a0.h3<v>,-0.017944336
input->a0.h4<v>,-0.00793457
input->a0.h6<v>,-0.060546875
input->a0.h7<v>,0.045654297
input->a0.h8<v>,-0.11328125
input->a0.h9<v>,0.0234375
input->a0.h10<v>,-0.048339844
input->a0.h11<v>,-0.028320312
input->m0,2.421875
a0.h0->m0,0.017700195
a0.h1->m0,0.021850586
a0.h2->m0,0.03491211
a0.h3->m0,-0.018188477
a0.h4->m0,-0.016113281
a0.h5->m0,0.008850098
a0.h6->m0,-0.061279297
a0.h7->m0,0.068359375
a0.h8->m0,-0.07519531
a0.h10->m0,-0.01940918
a0.h11->m0,0.022216797
m0->a1.h2<v>,-0.025634766
m0->a1.h5<v>,-0.034179688
m0->a1.h7<v>,0.020263672
m0->a1.h8<v>,0.026733398
m0->a1.h9<v>,-0.017578125
m0->a1.h10<v>,-0.03857422
a0.h6->m1,-0.00970459
a0.h7->m1,0.015625
a0.h8->m1,-0.020996094
a0.h9->m1,0.016845703
a0.h10->m1,-0.017944336
m0->m1,-0.13183594
a1.h1->m1,0.0099487305
a1.h5->m1,-0.012634277
a1.h7->m1,-0.008361816
a1.h8->m1,0.012634277
a1.h9->m1,-0.021362305
a1.h11->m1,0.012268066
m0->a2.h5<v>,-0.009399414
m0->a2.h7<v>,0.017211914
m0->a2.h9<v>,0.009399414
m0->a2.h10<v>,-0.010925293
a1.h8->a2.h7<v>,0.008850098
input->m2,-0.016357422
m0->m2,0.1953125
m1->m2,0.06542969
m0->a3.h5<v>,0.009155273
input->m3,-0.010620117
m0->m3,0.078125
m1->m3,-0.12890625
m2->m3,-0.030883789
m0->a4.h4<v>,-0.008728027
m0->a4.h8<v>,0.012329102
m2->a4.h4<v>,-0.013977051
m2->a4.h6<v>,0.011169434
m2->a4.h8<v>,0.012939453
m2->a4.h10<v>,0.011230469
input->m4,-0.014221191
m1->m4,-0.04272461
m2->m4,-0.024902344
m3->m4,-0.02722168
m0->a5.h0<v>,0.01373291
m0->a5.h5<v>,0.031982422
m0->a5.h8<v>,0.010803223
m0->a5.h9<v>,-0.008850098
m0->a5.h11<v>,-0.01586914
m2->a5.h0<v>,0.033935547
m2->a5.h1<v>,0.026245117
m2->a5.h2<v>,-0.022949219
m2->a5.h3<v>,-0.009216309
m2->a5.h7<v>,-0.0087890625
m2->a5.h9<v>,0.050048828
input->m5,-0.048339844
m0->m5,-0.2421875
a1.h10->m5,0.0078125
m2->m5,0.12597656
m3->m5,-0.08251953
m4->m5,-0.07080078
m0->a6.h2<v>,0.021850586
m0->a6.h5<v>,0.01940918
m0->a6.h6<k>,-0.008605957
m0->a6.h9<v>,0.055419922
m0->a6.h10<v>,-0.010681152
m2->a6.h0<v>,-0.049804688
m2->a6.h1<v>,0.028808594
m2->a6.h2<v>,-0.021606445
m2->a6.h5<v>,0.072265625
m2->a6.h6<v>,-0.034423828
m2->a6.h7<v>,0.013183594
m2->a6.h8<v>,-0.008483887
m2->a6.h9<v>,0.01940918
m4->a6.h10<v>,0.010253906
input->m6,-0.027954102
m0->m6,-0.14355469
m1->m6,-0.06640625
m2->m6,0.1875
m3->m6,-0.06933594
m4->m6,-0.053466797
m5->m6,0.026245117
a6.h10->m6,-0.00793457
m0->a7.h1<v>,0.00793457
m0->a7.h2<v>,0.02722168
m0->a7.h5<v>,0.018920898
m0->a7.h6<q>,-0.014404297
m0->a7.h6<k>,-0.010131836
m0->a7.h6<v>,0.022827148
m0->a7.h9<v>,-0.013671875
m0->a7.h10<v>,0.016357422
m0->a7.h11<v>,0.038085938
m1->a7.h11<v>,0.009521484
m2->a7.h0<v>,-0.03881836
m2->a7.h1<v>,-0.02734375
m2->a7.h2<v>,0.03930664
m2->a7.h3<v>,0.0119018555
m2->a7.h4<v>,-0.016479492
m2->a7.h5<v>,0.014465332
m2->a7.h6<q>,-0.007507324
m2->a7.h6<v>,0.013061523
m2->a7.h7<v>,0.020141602
m2->a7.h8<v>,-0.022338867
m2->a7.h9<v>,-0.032226562
m2->a7.h10<v>,-0.03149414
m2->a7.h11<v>,0.036132812
m0->m7,-0.028808594
m1->m7,-0.041992188
m2->m7,0.076171875
m3->m7,-0.010253906
m5->m7,0.017944336
m6->m7,0.008911133
m0->a8.h0<k>,0.01373291
m0->a8.h1<v>,0.027832031
m0->a8.h2<q>,-0.0079956055
m0->a8.h2<v>,0.0119018555
m0->a8.h3<v>,-0.012634277
m0->a8.h6<v>,0.025634766
m0->a8.h8<v>,0.013061523
m0->a8.h9<v>,0.009033203
m0->a8.h10<v>,-0.022827148
m0->a8.h11<v>,0.008483887
m2->a8.h0<v>,0.10986328
m2->a8.h2<v>,-0.076171875
m2->a8.h4<v>,-0.033691406
m2->a8.h5<v>,-0.07763672
m2->a8.h6<v>,-0.016113281
m2->a8.h9<v>,-0.04272461
m2->a8.h10<v>,0.052246094
m0->m8,-0.05444336
m1->m8,0.008483887
m2->m8,-0.02734375
m3->m8,0.022949219
m4->m8,0.010498047
m5->m8,-0.024536133
m6->m8,-0.016601562
m0->a9.h1<v>,0.010986328
m0->a9.h2<v>,0.013061523
m0->a9.h8<v>,0.013977051
m0->a9.h9<v>,0.025512695
m0->a9.h11<v>,0.038330078
m2->a9.h1<v>,-0.017211914
m2->a9.h3<v>,-0.059570312
m2->a9.h4<v>,-0.028320312
m2->a9.h5<v>,0.040039062
m2->a9.h7<v>,-0.036132812
m2->a9.h8<v>,0.026611328
m2->a9.h10<v>,-0.11425781
m2->a9.h11<v>,-0.028564453
m0->m9,-0.08984375
m1->m9,0.019042969
m2->m9,-0.02734375
m3->m9,0.015319824
m4->m9,0.010681152
m5->m9,-0.02331543
m6->m9,-0.014526367
a0.h10->a10.h8<v>,0.0079956055
m0->a10.h0<v>,0.009765625
m0->a10.h1<v>,0.015014648
m0->a10.h2<v>,0.032470703
m0->a10.h3<v>,0.010131836
m0->a10.h4<v>,0.029663086
m0->a10.h5<v>,0.012329102
m0->a10.h7<v>,-0.052246094
m0->a10.h8<v>,0.080566406
m0->a10.h10<v>,-0.028320312
m2->a10.h2<v>,0.050048828
m2->a10.h5<v>,-0.19238281
m2->a10.h6<v>,0.0095825195
m2->a10.h8<v>,-0.021118164
m2->a10.h9<v>,-0.14746094
m2->a10.h10<v>,0.019165039
m2->a10.h11<v>,-0.012329102
m4->a10.h5<v>,-0.008972168
m0->m10,-0.13964844
a1.h1->m10,-0.0076904297
m1->m10,0.026855469
m2->m10,-0.08691406
m3->m10,0.018310547
m5->m10,-0.03173828
m6->m10,-0.018554688
m7->m10,-0.011352539
a8.h2->m10,-0.008361816
m8->m10,-0.010986328
a9.h3->m10,-0.007537842
m9->m10,-0.017822266
a10.h5->m10,-0.011352539
a10.h9->m10,-0.009094238
input->a11.h8<v>,0.011657715
a0.h10->a11.h4<v>,0.008605957
a0.h10->a11.h11<v>,-0.013061523
m0->a11.h0<v>,0.021850586
m0->a11.h2<v>,0.007507324
m0->a11.h3<v>,0.012939453
m0->a11.h4<k>,-0.0079956055
m0->a11.h4<v>,0.095703125
m0->a11.h5<v>,0.037841797
m0->a11.h6<v>,0.017944336
m0->a11.h7<v>,0.027832031
m0->a11.h8<v>,-0.018554688
m0->a11.h9<v>,0.052734375
m0->a11.h10<v>,-0.06591797
m0->a11.h11<v>,-0.24023438
m1->a11.h4<v>,-0.020507812
m1->a11.h8<k>,-0.025878906
m1->a11.h8<v>,-0.036132812
