edge,score
input->a0.h2<v>,0.0073547363
input->a0.h5<v>,0.0065612793
input->a0.h6<v>,0.016235352
input->a0.h7<v>,-0.0056762695
input->a0.h8<v>,-0.010070801
input->a0.h9<v>,0.05444336
input->a0.h10<v>,-0.024658203
input->a0.h11<v>,-0.030029297
input->m0,-0.050048828
a0.h0->m0,0.010925293
a0.h9->m0,0.022949219
a0.h10->m0,-0.011169434
m0->a1.h0<v>,0.005004883
m0->a1.h1<v>,-0.005065918
m0->a1.h2<v>,-0.006134033
m0->a1.h4<v>,-0.018066406
m0->a1.h6<v>,-0.0063171387
m0->a1.h8<v>,0.01171875
m0->a1.h9<k>,0.0044555664
m0->a1.h9<v>,0.006866455
m0->a1.h10<v>,0.0043640137
input->m1,0.0045166016
m0->m1,0.04272461
a1.h1->m1,-0.004486084
m0->a2.h0<v>,-0.007080078
m0->a2.h3<v>,0.007507324
m0->a2.h5<v>,-0.017211914
m0->a2.h7<v>,0.016479492
m0->a2.h9<v>,0.005279541
m0->a2.h10<v>,0.012084961
input->m2,-0.018676758
m0->m2,-0.34960938
a1.h10->m2,0.010864258
m1->m2,0.008483887
m0->a3.h5<v>,0.0076904297
input->m3,-0.009643555
m0->m3,-0.27734375
a1.h10->m3,0.0051879883
m1->m3,-0.0045776367
m2->m3,0.22460938
m0->a4.h2<v>,-0.0048828125
m0->a4.h4<v>,-0.006866455
m2->a4.h2<v>,0.0045776367
m2->a4.h4<v>,0.0056152344
m2->a4.h10<v>,0.004547119
input->m4,0.011413574
m0->m4,0.036132812
a1.h10->m4,-0.005706787
m2->m4,-0.05053711
m3->m4,0.017211914
m0->a5.h0<k>,0.0050354004
m0->a5.h0<v>,0.0072021484
m0->a5.h1<q>,0.00793457
m0->a5.h1<k>,0.019042969
m0->a5.h2<k>,0.008911133
m0->a5.h5<v>,0.014709473
m0->a5.h9<k>,-0.008300781
m2->a5.h0<q>,0.004486084
m2->a5.h0<v>,-0.016967773
m2->a5.h1<q>,0.04248047
m2->a5.h1<k>,0.009033203
m2->a5.h1<v>,-0.0075683594
m2->a5.h9<v>,0.0045166016
m2->a5.h11<q>,0.004425049
m2->a5.h11<v>,-0.0045166016
m3->a5.h1<q>,-0.009277344
input->m5,-0.013061523
m0->m5,-0.04345703
m1->m5,0.02331543
m2->m5,-0.052734375
m3->m5,-0.013183594
m4->m5,-0.014587402
m0->a6.h1<k>,0.006591797
m0->a6.h2<k>,-0.0073547363
m0->a6.h3<k>,0.008056641
m0->a6.h4<q>,-0.012207031
m0->a6.h4<k>,-0.007873535
m0->a6.h4<v>,0.0069885254
m0->a6.h5<q>,0.004852295
m0->a6.h5<k>,-0.01977539
m0->a6.h5<v>,0.0056762695
m0->a6.h6<k>,-0.007385254
m0->a6.h6<v>,-0.025268555
m0->a6.h7<k>,-0.0076293945
m0->a6.h7<v>,0.0057373047
m0->a6.h8<k>,0.0050354004
m0->a6.h9<k>,0.008544922
m0->a6.h10<v>,-0.012023926
m1->a6.h2<v>,0.0043640137
m2->a6.h2<q>,-0.006591797
m2->a6.h2<v>,0.012756348
m2->a6.h3<q>,0.004699707
m2->a6.h4<q>,-0.01965332
m2->a6.h4<v>,0.009521484
m2->a6.h5<k>,-0.010864258
m2->a6.h6<v>,-0.014465332
m2->a6.h7<q>,-0.0046081543
m2->a6.h7<k>,-0.0051879883
m2->a6.h9<v>,-0.019897461
m2->a6.h10<v>,-0.012268066
a5.h0->a6.h6<v>,-0.004486084
a5.h11->a6.h10<v>,0.004486084
m5->a6.h2<v>,-0.0051879883
m0->m6,0.03540039
m2->m6,-0.119140625
m3->m6,0.017944336
m4->m6,0.0067443848
m5->m6,-0.016235352
a6.h6->m6,-0.005279541
a0.h8->a7.h11<v>,0.0043945312
m0->a7.h1<q>,-0.007873535
m0->a7.h1<v>,0.020751953
m0->a7.h2<q>,-0.010070801
m0->a7.h2<k>,0.012512207
m0->a7.h3<k>,-0.004547119
m0->a7.h4<k>,0.005432129
m0->a7.h6<q>,-0.012817383
m0->a7.h6<k>,-0.0078125
m0->a7.h6<v>,0.011169434
m0->a7.h7<q>,0.0099487305
m0->a7.h7<k>,0.0079956055
m0->a7.h7<v>,0.008178711
m0->a7.h10<v>,0.006011963
m0->a7.h11<v>,-0.004699707
a1.h1->a7.h6<v>,-0.0045776367
m1->a7.h6<v>,0.0064086914
m2->a7.h1<q>,-0.00491333
m2->a7.h2<q>,-0.007537842
m2->a7.h2<v>,-0.00982666
m2->a7.h6<q>,-0.016845703
m2->a7.h6<v>,0.017089844
m2->a7.h7<q>,0.0115356445
m2->a7.h7<v>,-0.009277344
m2->a7.h11<v>,-0.020996094
m3->a7.h11<v>,0.0058288574
m4->a7.h11<v>,0.008422852
a6.h10->a7.h6<v>,-0.0053100586
m0->m7,-0.020629883
m1->m7,0.0047302246
m2->m7,0.022705078
m4->m7,0.0051574707
m5->m7,0.024047852
a7.h6->m7,-0.0065612793
m0->a8.h0<k>,0.0057373047
m0->a8.h0<v>,0.010070801
m0->a8.h1<q>,0.013427734
m0->a8.h1<k>,0.020629883
m0->a8.h1<v>,0.011474609
m0->a8.h2<q>,0.0043945312
m0->a8.h6<k>,0.012329102
m0->a8.h6<v>,0.020263672
m0->a8.h9<k>,-0.004486084
m0->a8.h9<v>,0.0057678223
m0->a8.h10<k>,-0.020019531
m0->a8.h10<v>,-0.0062561035
m0->a8.h11<v>,0.004760742
m1->a8.h0<v>,-0.0049438477
m1->a8.h10<q>,0.0045166016
m2->a8.h0<q>,0.005340576
m2->a8.h0<v>,-0.0048217773
m2->a8.h1<q>,0.016357422
m2->a8.h2<q>,0.007080078
m2->a8.h2<v>,-0.0047912598
m2->a8.h3<q>,0.006652832
m2->a8.h10<k>,-0.0059814453
m4->a8.h1<q>,0.0050354004
m6->a8.h1<q>,0.004333496
m0->m8,0.020996094
m1->m8,0.005584717
m2->m8,0.01171875
m3->m8,0.0043945312
input->a9.h11<k>,0.0044555664
m0->a9.h1<q>,-0.006652832
m0->a9.h1<k>,-0.009399414
m0->a9.h1<v>,0.004425049
m0->a9.h3<k>,0.0057678223
m0->a9.h4<v>,-0.025512695
m0->a9.h5<k>,-0.009399414
m0->a9.h5<v>,0.010375977
m0->a9.h6<k>,0.009399414
m0->a9.h6<v>,0.0134887695
m0->a9.h7<k>,-0.014526367
m0->a9.h11<q>,0.0065307617
m0->a9.h11<k>,0.016235352
m0->a9.h11<v>,0.048095703
a1.h1->a9.h4<v>,0.0046691895
m1->a9.h7<q>,0.0050354004
m2->a9.h1<q>,-0.0064086914
m2->a9.h3<v>,0.0063171387
m2->a9.h5<q>,-0.010253906
m2->a9.h5<k>,-0.005432129
m2->a9.h7<k>,-0.0047912598
m2->a9.h11<q>,0.0064086914
m2->a9.h11<v>,-0.013671875
m4->a9.h7<q>,-0.005432129
m4->a9.h11<q>,0.0050354004
m4->a9.h11<v>,0.004486084
m5->a9.h11<v>,0.006378174
m0->m9,0.040039062
m1->m9,0.0049743652
m2->m9,-0.045898438
m3->m9,0.016113281
m4->m9,0.017211914
m5->m9,-0.0059814453
a7.h11->m9,0.0053100586
m7->m9,-0.010498047
a9.h11->m9,0.0049743652
a0.h8->a10.h8<v>,0.004486084
a0.h10->a10.h8<v>,0.005554199
m0->a10.h1<q>,-0.0068359375
m0->a10.h1<v>,0.024047852
m0->a10.h2<q>,0.0054016113
m0->a10.h2<k>,0.008972168
m0->a10.h2<v>,0.0058288574
m0->a10.h3<v>,-0.0053100586
m0->a10.h4<k>,0.012817383
m0->a10.h4<v>,0.028564453
m0->a10.h7<v>,-0.026977539
m0->a10.h8<k>,-0.0053100586
m0->a10.h8<v>,0.041015625
m0->a10.h10<v>,-0.021850586
m0->a10.h11<v>,0.016357422
