edge,score
input->a0.h0<v>,0.0027160645
input->a0.h1<v>,0.009216309
input->a0.h2<v>,-0.0069274902
input->a0.h3<k>,-0.0028076172
input->a0.h4<k>,0.0032653809
input->a0.h4<v>,0.005706787
input->a0.h5<k>,-0.0020446777
input->a0.h6<v>,0.033691406
input->a0.h7<v>,-0.0032043457
input->a0.h8<v>,-0.044433594
input->a0.h9<v>,-0.0047912598
input->a0.h11<v>,-0.030151367
input->m0,1.0546875
a0.h1->m0,0.0020141602
a0.h2->m0,-0.005004883
a0.h6->m0,0.0046081543
a0.h10->m0,-0.0030212402
m0->a1.h3<v>,-0.003189087
m0->a1.h4<v>,0.0034332275
m0->a1.h6<v>,-0.0020141602
m0->a1.h7<v>,0.0029144287
m0->a1.h8<k>,0.004638672
m0->a1.h8<v>,0.0023345947
m0->a1.h9<k>,0.0030670166
m0->a1.h9<v>,0.0056762695
m0->a1.h10<v>,-0.002532959
m0->a1.h11<v>,0.0030059814
input->m1,-0.005493164
a0.h11->m1,-0.0027770996
m0->m1,0.03564453
a1.h8->m1,-0.0021362305
m0->a2.h0<v>,-0.004119873
m0->a2.h7<v>,-0.0068359375
m0->a2.h10<v>,0.004852295
m0->a2.h11<v>,-0.0040893555
input->m2,0.005554199
m0->m2,0.020507812
m1->m2,-0.072753906
m0->a3.h5<v>,0.0022125244
input->m3,0.0069274902
m0->m3,-0.04711914
m1->m3,0.03930664
m2->m3,-0.025512695
m0->a4.h1<q>,-0.0040283203
m0->a4.h1<k>,-0.0045166016
m0->a4.h1<v>,0.0031585693
m0->a4.h2<v>,0.0041503906
m0->a4.h4<v>,0.0087890625
m0->a4.h6<k>,0.003616333
m0->a4.h6<v>,-0.0045166016
m0->a4.h8<v>,-0.0064086914
m0->a4.h9<k>,-0.0032043457
m0->a4.h9<v>,0.005279541
m0->a4.h10<v>,-0.00793457
m2->a4.h4<v>,0.0019226074
m2->a4.h6<v>,-0.0019989014
input->m4,-0.0074157715
m0->m4,-0.087402344
m1->m4,0.047851562
m2->m4,0.002532959
m3->m4,-0.004272461
m0->a5.h0<v>,-0.02746582
m0->a5.h1<q>,0.0044555664
m0->a5.h1<k>,0.0069274902
m0->a5.h1<v>,-0.010009766
m0->a5.h2<k>,-0.0020751953
m0->a5.h3<q>,-0.0020751953
m0->a5.h3<v>,0.0036010742
m0->a5.h5<v>,0.011657715
m0->a5.h6<v>,0.0034332275
m0->a5.h9<v>,0.0043029785
m0->a5.h10<k>,0.0021209717
m0->a5.h11<k>,-0.0028839111
m0->a5.h11<v>,-0.0040893555
m2->a5.h0<v>,-0.0044555664
m2->a5.h1<v>,-0.0024719238
input->m5,-0.0030670166
m0->m5,0.06933594
m1->m5,-0.020751953
m2->m5,-0.052246094
m3->m5,0.005340576
m4->m5,0.011657715
m0->a6.h0<q>,-0.00982666
m0->a6.h0<k>,-0.009765625
m0->a6.h0<v>,0.0051879883
m0->a6.h1<q>,0.008117676
m0->a6.h1<k>,0.012756348
m0->a6.h1<v>,-0.005432129
m0->a6.h2<v>,0.012634277
m0->a6.h3<k>,0.004425049
m0->a6.h3<v>,-0.003112793
m0->a6.h4<k>,0.0021209717
m0->a6.h4<v>,0.0040283203
m0->a6.h5<v>,-0.008911133
m0->a6.h6<k>,-0.001953125
m0->a6.h7<q>,-0.0028533936
m0->a6.h7<v>,0.008056641
m0->a6.h8<q>,-0.0031280518
m0->a6.h8<k>,-0.007873535
m0->a6.h8<v>,0.0028839111
m0->a6.h9<k>,0.0033721924
m0->a6.h9<v>,-0.007080078
m0->a6.h10<v>,-0.011108398
m0->a6.h11<q>,0.0095825195
m0->a6.h11<k>,0.00970459
m0->a6.h11<v>,-0.0036010742
m1->a6.h1<q>,0.002746582
m2->a6.h0<q>,-0.0049743652
m2->a6.h0<k>,-0.001953125
m2->a6.h0<v>,-0.002105713
m2->a6.h1<q>,0.002380371
m2->a6.h1<k>,0.0019683838
m2->a6.h2<v>,0.0028381348
m2->a6.h5<v>,0.001876831
m2->a6.h7<v>,0.002105713
m2->a6.h11<q>,0.0021362305
m4->a6.h0<q>,0.0021972656
m4->a6.h1<q>,-0.0022125244
m5->a6.h0<q>,0.0023040771
m5->a6.h1<q>,-0.0022125244
input->m6,-0.008483887
m0->m6,-0.03112793
m1->m6,0.006378174
m2->m6,-0.048339844
m3->m6,0.0025177002
m4->m6,0.028930664
m5->m6,0.041259766
a6.h0->m6,0.0018463135
m0->a7.h0<q>,-0.0154418945
m0->a7.h0<k>,-0.009887695
m0->a7.h1<k>,0.001914978
m0->a7.h1<v>,0.0079956055
m0->a7.h2<k>,0.002380371
m0->a7.h2<v>,-0.011413574
m0->a7.h3<q>,-0.0033721924
m0->a7.h3<k>,-0.002456665
m0->a7.h4<k>,-0.0025787354
m0->a7.h4<v>,0.0018539429
m0->a7.h5<v>,-0.0047302246
m0->a7.h6<v>,0.017089844
m0->a7.h7<v>,-0.0134887695
m0->a7.h8<q>,-0.002456665
