edge,score
input->a0.h0<v>,0.0546875
input->a0.h2<v>,-0.013916016
input->a0.h3<v>,-0.014465332
input->a0.h5<v>,-0.014709473
input->a0.h6<v>,-0.1484375
input->a0.h7<v>,0.13574219
input->a0.h8<v>,-0.2265625
input->a0.h9<v>,0.032226562
input->a0.h10<v>,-0.09814453
input->a0.h11<v>,-0.051757812
input->m0,3.0625
a0.h0->m0,0.032226562
a0.h1->m0,0.043945312
a0.h2->m0,0.036132812
a0.h3->m0,-0.037109375
a0.h4->m0,-0.020996094
a0.h6->m0,-0.13671875
a0.h7->m0,0.15722656
a0.h8->m0,-0.16210938
a0.h9->m0,0.015075684
a0.h10->m0,-0.03564453
a0.h11->m0,0.047851562
m0->a1.h1<v>,0.018676758
m0->a1.h2<v>,-0.037597656
m0->a1.h4<v>,0.048828125
m0->a1.h5<v>,-0.048095703
m0->a1.h8<v>,0.021850586
m0->a1.h9<v>,-0.044921875
m0->a1.h10<v>,-0.020751953
m0->a1.h11<v>,0.036865234
input->m1,0.037109375
a0.h0->m1,0.016479492
a0.h1->m1,-0.016113281
a0.h3->m1,0.016113281
a0.h4->m1,-0.014404297
a0.h6->m1,-0.021850586
a0.h7->m1,0.028320312
a0.h8->m1,-0.056152344
a0.h9->m1,0.042236328
a0.h10->m1,-0.0625
a0.h11->m1,-0.014282227
m0->m1,-0.7265625
a1.h0->m1,0.017456055
a1.h1->m1,0.024536133
a1.h2->m1,-0.018310547
a1.h3->m1,0.012756348
a1.h5->m1,-0.03881836
a1.h7->m1,-0.024658203
a1.h8->m1,0.012268066
a1.h9->m1,-0.038330078
a1.h10->m1,0.030883789
a1.h11->m1,0.03149414
m0->a2.h0<v>,0.020751953
input->m2,-0.016601562
m0->m2,0.35742188
m1->m2,-0.051757812
input->m3,-0.013977051
m0->m3,0.10107422
m1->m3,-0.296875
m2->m3,0.063964844
m0->a4.h6<k>,0.018310547
m0->a4.h8<v>,0.027709961
m0->a4.h10<v>,-0.021362305
m2->a4.h4<v>,-0.017944336
m2->a4.h6<v>,0.017089844
m2->a4.h8<v>,0.017822266
input->m4,-0.014221191
m0->m4,0.084472656
m1->m4,-0.103027344
m2->m4,0.037597656
m3->m4,-0.028442383
m0->a5.h0<v>,0.08691406
m0->a5.h4<v>,-0.021606445
m0->a5.h5<v>,0.053710938
m0->a5.h8<v>,0.019042969
m0->a5.h9<v>,-0.052734375
m0->a5.h11<k>,-0.012756348
m0->a5.h11<v>,-0.026855469
m2->a5.h0<v>,0.03540039
m2->a5.h1<v>,0.038085938
m2->a5.h2<v>,-0.033935547
m2->a5.h3<v>,-0.01940918
m2->a5.h5<v>,-0.014221191
m2->a5.h7<v>,-0.014526367
m2->a5.h9<v>,0.06640625
m2->a5.h11<v>,0.018066406
input->m5,-0.059326172
m0->m5,-0.22167969
m1->m5,-0.017456055
m2->m5,0.125
m3->m5,-0.061523438
m4->m5,-0.052246094
m0->a6.h2<v>,0.056152344
m0->a6.h3<v>,0.012268066
m0->a6.h4<v>,-0.017944336
m0->a6.h5<k>,0.023071289
m0->a6.h5<v>,0.028564453
m0->a6.h6<k>,-0.020141602
m0->a6.h9<v>,0.100097656
m0->a6.h10<v>,0.05102539
m2->a6.h0<v>,-0.07763672
m2->a6.h1<v>,0.048828125
m2->a6.h2<v>,-0.02734375
m2->a6.h3<v>,0.011474609
m2->a6.h5<v>,0.099609375
