edge,score
input->a0.h0<v>,0.0051574707
input->a0.h1<v>,0.008544922
input->a0.h2<v>,-0.004852295
input->a0.h4<k>,0.00340271
input->a0.h4<v>,0.007659912
input->a0.h6<v>,0.03491211
input->a0.h7<v>,-0.0023956299
input->a0.h8<v>,-0.05053711
input->a0.h9<v>,-0.006958008
input->a0.h10<v>,-0.006164551
input->a0.h11<v>,-0.016113281
input->m0,1.4921875
a0.h6->m0,0.0021514893
a0.h10->m0,-0.0026397705
m0->a1.h1<v>,-0.0029907227
m0->a1.h2<v>,0.0031280518
m0->a1.h3<v>,-0.004180908
m0->a1.h4<v>,0.005859375
m0->a1.h8<k>,0.0051879883
m0->a1.h8<v>,0.0036773682
m0->a1.h9<k>,0.0038452148
m0->a1.h9<v>,0.0058898926
m0->a1.h10<v>,-0.0041503906
m0->a1.h11<v>,0.002532959
m0->m1,0.071777344
m0->a2.h0<v>,-0.0036010742
m0->a2.h2<v>,0.002029419
m0->a2.h6<v>,-0.0029144287
m0->a2.h7<v>,-0.0099487305
m0->a2.h10<v>,0.008239746
m0->a2.h11<v>,-0.0059509277
input->m2,0.0023345947
m0->m2,-0.022460938
m1->m2,-0.015258789
m0->a3.h5<v>,0.0036315918
m0->a3.h10<v>,-0.001914978
input->m3,0.007873535
m0->m3,0.016967773
m1->m3,0.012878418
m2->m3,-0.029541016
m0->a4.h1<q>,-0.003479004
m0->a4.h1<k>,-0.0065307617
m0->a4.h1<v>,0.0022735596
m0->a4.h2<v>,0.0047912598
m0->a4.h3<k>,0.0027008057
m0->a4.h4<v>,0.0071411133
m0->a4.h5<v>,0.0019454956
m0->a4.h6<k>,0.0072631836
m0->a4.h6<v>,-0.0038604736
m0->a4.h7<v>,0.0022125244
m0->a4.h8<v>,-0.00793457
m0->a4.h9<k>,-0.0048828125
m0->a4.h9<v>,0.00491333
m0->a4.h10<v>,-0.008178711
m2->a4.h2<v>,0.002319336
m2->a4.h4<v>,0.0023651123
m2->a4.h6<v>,-0.0023345947
input->m4,-0.0061035156
m0->m4,-0.05908203
m1->m4,0.030273438
m2->m4,-0.00970459
m0->a5.h0<v>,-0.029052734
m0->a5.h1<q>,0.00982666
m0->a5.h1<k>,0.014160156
m0->a5.h1<v>,-0.010253906
m0->a5.h2<q>,0.0037841797
m0->a5.h3<q>,-0.0064697266
m0->a5.h5<v>,0.016113281
m0->a5.h6<k>,-0.0022125244
m0->a5.h6<v>,0.0030212402
m0->a5.h7<k>,-0.0025787354
m0->a5.h10<k>,0.002243042
m0->a5.h11<k>,-0.0030670166
m0->a5.h11<v>,-0.006439209
m2->a5.h0<v>,-0.005004883
m2->a5.h1<q>,0.0023498535
m2->a5.h1<v>,-0.0028839111
m2->a5.h2<q>,0.0022888184
m2->a5.h3<q>,-0.0038146973
m2->a5.h10<v>,-0.002090454
m4->a5.h3<q>,0.0023498535
input->m5,-0.0061035156
m0->m5,-0.024169922
m1->m5,0.010070801
m2->m5,-0.029052734
m3->m5,0.0028839111
m4->m5,0.0034332275
a5.h3->m5,0.0020751953
m0->a6.h0<q>,-0.009094238
m0->a6.h0<k>,-0.01574707
m0->a6.h0<v>,0.005706787
m0->a6.h1<q>,0.005584717
m0->a6.h1<k>,0.014404297
m0->a6.h1<v>,-0.0025634766
m0->a6.h2<v>,0.011169434
m0->a6.h3<q>,0.0021209717
m0->a6.h3<k>,0.006286621
m0->a6.h3<v>,-0.0056152344
m0->a6.h4<k>,0.003326416
m0->a6.h5<k>,0.0037841797
m0->a6.h5<v>,-0.00970459
m0->a6.h6<k>,-0.0028076172
m0->a6.h6<v>,0.0034942627
m0->a6.h7<q>,-0.0038604736
m0->a6.h7<k>,-0.0027160645
m0->a6.h7<v>,0.009643555
m0->a6.h8<q>,-0.0036468506
m0->a6.h8<k>,-0.0049743652
m0->a6.h9<k>,0.0043640137
m0->a6.h9<v>,-0.002670288
m0->a6.h10<v>,-0.009033203
m0->a6.h11<q>,0.0079956055
m0->a6.h11<k>,0.010253906
m0->a6.h11<v>,-0.002029419
m1->a6.h1<q>,0.0019454956
m2->a6.h0<q>,-0.0066833496
m2->a6.h1<q>,0.0021820068
m2->a6.h2<v>,0.0040283203
m2->a6.h7<q>,-0.0019454956
m2->a6.h9<v>,-0.0020751953
m2->a6.h10<v>,-0.0020599365
m4->a6.h0<q>,0.002532959
m4->a6.h1<q>,-0.0019989014
a5.h11->a6.h4<v>,-0.001914978
m5->a6.h0<q>,0.0024414062
input->m6,-0.011352539
m0->m6,-0.08642578
m1->m6,0.024902344
m2->m6,-0.039794922
m4->m6,0.021240234
m5->m6,0.050048828
m0->a7.h0<q>,-0.008666992
m0->a7.h0<k>,-0.010620117
m0->a7.h1<k>,0.0027008057
m0->a7.h1<v>,0.0095825195
m0->a7.h2<k>,0.003829956
m0->a7.h2<v>,-0.010253906
m0->a7.h3<q>,-0.005279541
m0->a7.h3<k>,-0.002029419
m0->a7.h4<q>,-0.008544922
m0->a7.h4<k>,-0.0036468506
m0->a7.h5<v>,-0.006591797
m0->a7.h6<v>,0.015258789
m0->a7.h7<v>,-0.012756348
m0->a7.h8<q>,-0.0036315918
m0->a7.h8<k>,-0.0029296875
m0->a7.h9<q>,-0.004211426
m0->a7.h9<k>,-0.004638672
m0->a7.h10<k>,0.0042419434
m0->a7.h10<v>,0.010986328
m2->a7.h0<q>,-0.0027160645
m2->a7.h2<v>,-0.0025939941
m2->a7.h3<q>,-0.0026550293
m2->a7.h4<q>,-0.0021820068
m2->a7.h7<v>,-0.0024871826
m2->a7.h8<q>,-0.0032958984
m2->a7.h9<q>,-0.0037841797
input->m7,-0.002456665
m0->m7,-0.06347656
m1->m7,0.032714844
m2->m7,0.029663086
m3->m7,-0.008605957
m4->m7,-0.020019531
m5->m7,0.004699707
m6->m7,0.004699707
input->a8.h1<k>,0.002105713
m0->a8.h0<k>,0.0024414062
m0->a8.h0<v>,-0.013671875
m0->a8.h1<k>,0.004058838
m0->a8.h2<v>,0.008544922
m0->a8.h3<v>,-0.0027008057
m0->a8.h5<q>,-0.015075684
m0->a8.h5<k>,-0.01361084
m0->a8.h5<v>,0.0034637451
m0->a8.h6<k>,0.003768921
m0->a8.h6<v>,0.004211426
m0->a8.h8<k>,0.0025634766
m0->a8.h8<v>,0.0031433105
m0->a8.h9<v>,0.007293701
m0->a8.h10<v>,-0.00970459
m0->a8.h11<k>,0.0023956299
m0->a8.h11<v>,0.004211426
m1->a8.h5<q>,-0.002746582
m2->a8.h5<q>,-0.008117676
m4->a8.h5<q>,0.0030822754
m5->a8.h5<q>,0.0023040771
m0->m8,-0.047851562
m1->m8,0.026123047
m2->m8,0.042236328
m3->m8,-0.008239746
m4->m8,-0.012634277
m5->m8,0.012573242
m6->m8,0.005584717
m7->m8,0.004486084
input->a9.h11<k>,0.001953125
m0->a9.h0<v>,0.0035705566
m0->a9.h1<v>,0.005340576
m0->a9.h2<k>,0.0039978027
m0->a9.h2<v>,0.0040283203
m0->a9.h3<q>,0.018554688
m0->a9.h3<k>,0.008422852
m0->a9.h5<k>,-0.0029296875
m0->a9.h5<v>,-0.006011963
m0->a9.h6<k>,0.008544922
m0->a9.h6<v>,0.004852295
m0->a9.h7<v>,0.002243042
m0->a9.h8<k>,0.0056762695
m0->a9.h9<k>,0.011779785
m0->a9.h9<v>,0.011413574
m0->a9.h10<q>,-0.009521484
m0->a9.h10<k>,-0.012878418
m0->a9.h11<k>,0.009338379
m0->a9.h11<v>,0.008300781
m1->a9.h3<q>,0.0032653809
