edge,score
input->a0.h0<v>,0.014038086
input->a0.h1<v>,0.05126953
input->a0.h2<v>,-0.024047852
input->a0.h3<v>,0.012817383
input->a0.h5<v>,-0.053222656
input->a0.h6<v>,-0.067871094
input->a0.h7<v>,-0.04272461
input->a0.h8<v>,-0.05908203
input->a0.h9<v>,-0.047607422
input->a0.h11<v>,-0.015991211
input->m0,0.625
a0.h0->m0,-0.013916016
a0.h1->m0,0.03881836
a0.h6->m0,-0.044433594
a0.h7->m0,0.024047852
a0.h11->m0,0.02355957
input->a1.h1<v>,-0.012817383
m0->a1.h0<v>,-0.018798828
m0->a1.h2<v>,-0.03112793
m0->a1.h4<v>,0.014465332
m0->a1.h5<v>,-0.014038086
m0->a1.h7<v>,-0.04663086
m0->a1.h8<v>,0.04345703
m0->a1.h9<v>,-0.025024414
input->m1,-0.030029297
a0.h1->m1,0.012634277
a0.h6->m1,-0.021728516
a0.h8->m1,-0.013061523
a0.h9->m1,0.020141602
a0.h11->m1,-0.023071289
m0->m1,-0.265625
a1.h0->m1,0.028442383
a1.h1->m1,0.020629883
a1.h2->m1,-0.015136719
a1.h4->m1,-0.022705078
a1.h5->m1,-0.01574707
a1.h7->m1,-0.02355957
a1.h8->m1,0.03881836
a1.h11->m1,0.015075684
m0->a2.h1<v>,-0.026123047
m0->a2.h2<v>,-0.01574707
m0->a2.h6<v>,-0.038085938
m0->a2.h7<v>,-0.03881836
m0->a2.h9<v>,-0.012634277
m0->a2.h10<v>,0.021118164
input->m2,0.017456055
m0->m2,0.020996094
a1.h7->m2,0.022827148
m1->m2,-0.1875
a2.h1->m2,0.013916016
m0->a3.h3<v>,-0.015258789
m0->a3.h4<v>,-0.03881836
m0->a3.h5<v>,-0.027954102
m0->m3,0.036621094
a1.h7->m3,0.01940918
m1->m3,-0.14355469
m2->m3,-0.041259766
m0->a4.h4<v>,0.064453125
m0->a4.h6<k>,0.020141602
m0->a4.h6<v>,0.01373291
m0->a4.h8<v>,-0.023803711
m0->a4.h10<v>,-0.020263672
m1->a4.h4<v>,-0.0138549805
m2->a4.h6<k>,0.013122559
m2->a4.h6<v>,0.026855469
input->m4,-0.026367188
m0->m4,0.22167969
m1->m4,-0.056884766
m2->m4,-0.018798828
