edge,score
input->a0.h1<v>,-0.005706787
input->a0.h5<v>,0.010314941
input->a0.h6<v>,0.015380859
input->a0.h8<v>,-0.019042969
input->a0.h9<v>,0.046875
input->a0.h10<v>,-0.026977539
input->a0.h11<v>,-0.027832031
input->m0,0.39453125
a0.h0->m0,0.005340576
a0.h1->m0,0.007446289
a0.h7->m0,-0.006378174
a0.h8->m0,0.004425049
a0.h9->m0,0.018432617
a0.h10->m0,-0.013671875
m0->a1.h3<v>,0.0053100586
m0->a1.h4<v>,-0.010681152
m0->a1.h8<v>,0.010864258
m0->a1.h9<v>,0.012939453
m0->m1,0.022827148
m0->a2.h1<v>,0.0051574707
m0->a2.h3<v>,0.0099487305
m0->a2.h4<v>,-0.0045776367
m0->a2.h5<v>,-0.009277344
m0->a2.h7<v>,0.010620117
m0->a2.h9<v>,0.0062561035
m0->a2.h10<v>,0.011413574
input->m2,0.012084961
m0->m2,-0.115722656
m1->m2,-0.027709961
m0->a3.h4<v>,0.0058898926
m0->a3.h5<v>,0.0047912598
input->m3,0.012207031
m0->m3,-0.12011719
m1->m3,-0.00970459
m2->m3,0.07714844
m0->a4.h2<v>,-0.011962891
m0->a4.h4<v>,-0.007446289
m0->a4.h5<v>,0.0064086914
m0->a4.h8<v>,0.015319824
m2->a4.h8<v>,-0.0074157715
input->m4,0.0060424805
m0->m4,-0.026733398
m1->m4,-0.010864258
m2->m4,0.04321289
m0->a5.h0<k>,0.006286621
m0->a5.h0<v>,0.006591797
m0->a5.h1<q>,0.00680542
m0->a5.h1<k>,0.009033203
m0->a5.h1<v>,0.006591797
m0->a5.h5<v>,0.016845703
m0->a5.h9<k>,-0.004699707
m0->a5.h10<v>,0.0072631836
m0->a5.h11<v>,-0.014221191
m2->a5.h0<v>,-0.004425049
m2->a5.h1<k>,0.0063171387
m2->a5.h1<v>,0.0071411133
m2->a5.h5<v>,-0.005584717
m2->a5.h9<v>,0.005126953
input->m5,-0.0058288574
m0->m5,0.021728516
m1->m5,0.007537842
m3->m5,-0.01965332
m4->m5,-0.021362305
m0->a6.h1<k>,0.004699707
m0->a6.h2<q>,0.005065918
m0->a6.h2<k>,-0.007019043
m0->a6.h2<v>,-0.010864258
m0->a6.h3<k>,0.0065612793
m0->a6.h4<q>,-0.004333496
m0->a6.h5<k>,-0.0067443848
m0->a6.h5<v>,0.008972168
m0->a6.h6<k>,-0.0069885254
m0->a6.h6<v>,-0.008544922
m0->a6.h7<k>,-0.006286621
m0->a6.h7<v>,0.012268066
m0->a6.h8<v>,-0.004547119
m0->a6.h9<v>,0.017944336
m2->a6.h0<v>,-0.011230469
m2->a6.h1<v>,0.020996094
m2->a6.h3<v>,0.008178711
m2->a6.h6<v>,-0.007507324
m2->a6.h7<v>,-0.0064697266
m2->a6.h10<v>,-0.0048828125
input->m6,-0.010131836
m0->m6,0.071777344
m2->m6,-0.044433594
m3->m6,0.0079956055
m5->m6,-0.028564453
a0.h8->a7.h11<v>,0.0045166016
m0->a7.h1<q>,-0.004699707
m0->a7.h1<v>,0.021606445
m0->a7.h2<k>,0.0060424805
m0->a7.h2<v>,0.007232666
m0->a7.h3<v>,-0.005493164
m0->a7.h4<v>,-0.014892578
m0->a7.h6<q>,-0.0054626465
m0->a7.h6<k>,-0.0045776367
m0->a7.h7<q>,0.008728027
m0->a7.h7<k>,0.0077819824
m0->a7.h7<v>,0.010559082
m0->a7.h9<v>,-0.009521484
m0->a7.h10<v>,0.017089844
m0->a7.h11<q>,0.006713867
a1.h1->a7.h6<v>,-0.0050354004
m1->a7.h1<v>,-0.004486084
m1->a7.h6<v>,0.0058288574
m2->a7.h1<v>,-0.00970459
m2->a7.h2<v>,0.0061035156
m2->a7.h4<v>,-0.015075684
m2->a7.h5<v>,0.0076293945
m2->a7.h6<v>,0.01965332
m2->a7.h7<v>,0.014465332
m2->a7.h9<v>,-0.0043640137
m2->a7.h11<k>,-0.0044555664
a6.h6->a7.h11<v>,-0.005065918
m0->m7,0.05102539
m1->m7,0.005065918
m2->m7,-0.035888672
m3->m7,0.012023926
m4->m7,0.017333984
m5->m7,0.0058898926
a7.h6->m7,-0.004699707
m0->a8.h0<k>,0.006378174
m0->a8.h1<q>,0.008178711
m0->a8.h1<k>,0.013061523
m0->a8.h1<v>,0.012817383
m0->a8.h5<v>,-0.008422852
m0->a8.h6<k>,0.0068359375
m0->a8.h6<v>,0.018554688
m0->a8.h8<v>,0.007385254
m0->a8.h9<v>,0.0057678223
m0->a8.h10<k>,-0.010681152
m0->a8.h10<v>,-0.016113281
m0->a8.h11<v>,0.0079956055
m2->a8.h0<v>,0.02355957
m2->a8.h1<v>,0.026123047
m2->a8.h5<v>,-0.033203125
m2->a8.h6<v>,0.006652832
m2->a8.h7<v>,0.012573242
m2->a8.h8<v>,0.004547119
m2->a8.h9<v>,-0.020751953
m2->a8.h10<v>,-0.015136719
m2->a8.h11<v>,0.0049743652
input->m8,-0.005584717
m0->m8,0.00982666
m1->m8,0.011169434
m2->m8,-0.016967773
m3->m8,0.00970459
m4->m8,0.009460449
m0->a9.h1<q>,-0.0052490234
m0->a9.h1<k>,-0.0059814453
m0->a9.h1<v>,0.0075683594
m0->a9.h2<v>,0.0095825195
m0->a9.h3<v>,0.004333496
m0->a9.h4<v>,-0.015563965
m0->a9.h6<v>,0.0068359375
m0->a9.h7<k>,-0.0076904297
m0->a9.h7<v>,-0.00970459
m0->a9.h10<v>,-0.0045166016
m0->a9.h11<q>,0.0062561035
m0->a9.h11<k>,0.007507324
m0->a9.h11<v>,0.0390625
m2->a9.h0<v>,-0.0076904297
m2->a9.h1<v>,-0.017944336
m2->a9.h3<v>,0.039794922
m2->a9.h4<v>,0.011108398
m2->a9.h5<v>,0.014404297
m2->a9.h6<v>,0.005065918
m2->a9.h7<v>,-0.018798828
m2->a9.h10<v>,-0.028930664
m2->a9.h11<v>,0.015991211
input->m9,-0.0073547363
m0->m9,0.041015625
m1->m9,0.012756348
m2->m9,-0.048828125
m3->m9,0.016845703
m4->m9,0.012878418
m5->m9,-0.017211914
a6.h6->m9,-0.004333496
m6->m9,-0.0062561035
a7.h11->m9,0.005493164
m7->m9,-0.006011963
a9.h11->m9,0.004760742
m0->a10.h0<v>,0.0045776367
m0->a10.h1<v>,0.027832031
m0->a10.h4<k>,0.008056641
m0->a10.h4<v>,0.03491211
m0->a10.h5<v>,0.009033203
m0->a10.h7<v>,-0.029663086
m0->a10.h8<v>,0.030273438
m0->a10.h9<v>,-0.007232666
m0->a10.h10<v>,-0.019897461
m0->a10.h11<k>,0.00491333
m0->a10.h11<v>,0.0134887695
m1->a10.h8<v>,-0.00491333
m2->a10.h1<v>,0.0062561035
m2->a10.h2<v>,0.012268066
m2->a10.h3<v>,-0.0044555664
m2->a10.h4<v>,0.012756348
m2->a10.h5<v>,-0.06738281
m2->a10.h6<v>,0.0072631836
m2->a10.h8<v>,-0.011169434
m2->a10.h9<v>,-0.02746582
m2->a10.h10<v>,-0.006011963
input->m10,-0.010253906
a0.h8->m10,-0.005279541
m0->m10,0.08984375
m1->m10,0.018432617
m2->m10,-0.061767578
m3->m10,0.008544922
m4->m10,0.0115356445
m5->m10,-0.012573242
m6->m10,-0.0058288574
a7.h11->m10,0.004333496
a9.h11->m10,0.006713867
input->a11.h8<v>,0.008666992
a0.h10->a11.h5<v>,0.0053100586
m0->a11.h0<v>,-0.0050354004
m0->a11.h1<v>,-0.02355957
m0->a11.h2<v>,-0.017456055
m0->a11.h4<v>,0.010009766
m0->a11.h5<k>,0.008117676
m0->a11.h5<v>,0.021118164
m0->a11.h6<v>,-0.007080078
m0->a11.h7<v>,0.006652832
m0->a11.h8<q>,0.01361084
m0->a11.h8<k>,0.009643555
m0->a11.h8<v>,0.009216309
m0->a11.h9<q>,-0.010314941
m0->a11.h9<v>,0.061767578
m0->a11.h10<v>,-0.030517578
m0->a11.h11<v>,-0.075683594
m1->a11.h5<v>,-0.0053100586
m1->a11.h8<k>,-0.049316406
m1->a11.h8<v>,0.020751953
m1->a11.h11<k>,-0.0053100586
m1->a11.h11<v>,0.0078125
m2->a11.h1<v>,0.006011963
m2->a11.h4<k>,-0.0063171387
m2->a11.h4<v>,0.021240234
m2->a11.h5<k>,0.0056762695
m2->a11.h6<k>,0.0043640137
m2->a11.h8<q>,0.005126953
m2->a11.h8<k>,0.055664062
m2->a11.h9<k>,-0.014526367
m2->a11.h9<v>,-0.015319824
m2->a11.h10<v>,-0.012207031
m2->a11.h11<k>,-0.025268555
m2->a11.h11<v>,0.0064086914
m3->a11.h8<k>,-0.010559082
m3->a11.h8<v>,0.023925781
m4->a11.h8<v>,0.010375977
m5->a11.h8<q>,0.0059814453
m5->a11.h8<v>,-0.0045776367
m6->a11.h8<q>,0.0045776367
a7.h2->a11.h8<v>,0.004425049
a7.h11->a11.h8<v>,0.007537842
a8.h0->a11.h11<v>,0.0071411133
a8.h10->a11.h8<v>,-0.0047302246
a9.h11->a11.h8<v>,0.008544922
m9->a11.h11<v>,-0.0049743652
a10.h2->a11.h8<v>,0.007019043
a10.h7->a11.h8<v>,-0.0065612793
m10->a11.h8<k>,-0.0049438477
m10->a11.h8<v>,0.0068359375
m10->a11.h11<k>,0.004638672
m10->a11.h11<v>,-0.016113281
input->m11,-0.01373291
a0.h1->m11,-0.0054016113
a0.h4->m11,-0.0045776367
a0.h5->m11,0.008300781
a0.h6->m11,0.006164551
a0.h7->m11,0.0047912598
a0.h8->m11,-0.0234375
a0.h9->m11,0.009399414
a0.h10->m11,-0.00970459
m0->m11,0.014465332
a1.h5->m11,-0.0046081543
a1.h9->m11,0.0066833496
m1->m11,-0.007873535
m2->m11,-0.055908203
m3->m11,0.01171875
a4.h8->m11,0.0072021484
a4.h10->m11,-0.005126953
m4->m11,0.034179688
