edge,score
input->a0.h0<v>,0.012268066
input->a0.h2<v>,0.041259766
input->a0.h3<v>,0.025512695
input->a0.h4<v>,0.014892578
input->a0.h5<v>,0.012573242
input->a0.h6<v>,-0.01373291
input->a0.h7<v>,0.026855469
input->a0.h8<v>,-0.014587402
input->a0.h9<v>,0.07324219
input->a0.h11<v>,0.033691406
input->m0,1.28125
a0.h0->m0,0.026611328
a0.h1->m0,0.015319824
a0.h2->m0,0.018432617
a0.h3->m0,0.049804688
a0.h4->m0,0.021118164
a0.h5->m0,0.032714844
a0.h6->m0,-0.021728516
a0.h8->m0,-0.049072266
a0.h9->m0,0.011352539
a0.h10->m0,-0.016845703
m0->a1.h0<v>,-0.01361084
m0->a1.h1<v>,-0.024414062
m0->a1.h3<v>,-0.016235352
m0->a1.h7<v>,-0.016113281
m0->a1.h8<v>,-0.024047852
m0->a1.h9<v>,0.010498047
m0->a1.h10<v>,-0.020141602
input->m1,-0.020263672
a0.h4->m1,-0.010864258
m0->m1,-0.061767578
m0->a2.h0<v>,0.010925293
m0->a2.h1<v>,0.030273438
m0->a2.h2<v>,-0.015258789
m0->a2.h3<v>,0.013366699
m0->a2.h4<v>,-0.013122559
m0->a2.h6<v>,-0.020141602
m0->a2.h11<v>,0.021606445
m0->m2,-0.111328125
a1.h10->m2,0.05444336
m1->m2,0.056884766
m0->a3.h3<v>,-0.016845703
m0->a3.h4<v>,-0.022949219
m0->a3.h5<v>,0.011474609
m0->a3.h7<v>,0.012084961
m0->a3.h8<v>,-0.010620117
m0->a3.h10<v>,-0.034423828
m0->m3,-0.03564453
m2->m3,0.011962891
m0->a4.h0<v>,-0.013061523
m0->a4.h1<v>,-0.024169922
m0->a4.h2<v>,0.032714844
m0->a4.h4<v>,-0.044921875
m0->a4.h5<v>,0.039794922
m0->a4.h10<v>,0.022338867
input->m4,-0.012084961
m0->m4,0.15332031
a1.h10->m4,-0.022216797
m1->m4,-0.018798828
m2->m4,0.021240234
input->a5.h11<v>,-0.017456055
m0->a5.h0<v>,0.042236328
m0->a5.h5<v>,0.063964844
m0->a5.h6<v>,-0.014770508
m0->a5.h7<v>,0.01373291
m0->a5.h8<v>,0.021240234
m0->a5.h9<v>,-0.055908203
m0->a5.h10<v>,-0.028320312
m0->a5.h11<v>,-0.032958984
m1->a5.h0<v>,-0.011108398
m2->a5.h7<v>,-0.010559082
m4->a5.h0<v>,-0.011169434
m4->a5.h9<v>,-0.014526367
input->m5,-0.044921875
m0->m5,-0.18359375
a1.h10->m5,0.01928711
