edge,score
input->a0.h3<k>,0.2578125
input->a0.h3<v>,-0.21289062
input->a0.h4<v>,0.103515625
input->a0.h9<k>,0.26171875
input->a0.h15<k>,-0.060058594
input->a0.h15<v>,-0.100097656
input->a0.h17<q>,0.15039062
input->a0.h17<v>,0.080566406
input->a0.h19<v>,0.068847656
input->a0.h21<v>,0.29882812
input->a0.h22<k>,0.15039062
input->a0.h22<v>,0.10546875
input->a0.h25<q>,-0.072753906
input->a0.h25<k>,-0.068847656
input->a0.h25<v>,-0.07080078
input->a0.h26<v>,0.08203125
input->m0,-0.4453125
input->a1.h5<v>,-0.087402344
input->a1.h12<v>,0.064941406
input->a1.h18<q>,0.080566406
input->a1.h22<v>,-0.10058594
input->a1.h23<v>,0.06225586
m0->a1.h2<v>,-0.092285156
m0->a1.h8<q>,-0.092285156
m0->a1.h8<v>,-0.74609375
m0->a1.h11<v>,0.6484375
m0->a1.h14<v>,0.08984375
m0->a1.h17<k>,0.06933594
m0->a1.h18<q>,0.12890625
m0->a1.h22<k>,-0.07080078
m0->a1.h22<v>,-0.18359375
m0->a1.h24<k>,0.08203125
m0->a1.h30<v>,0.061523438
input->m1,-0.24902344
a0.h15->m1,-0.100097656
a0.h21->m1,0.061035156
m0->m1,0.17480469
a1.h23->m1,-0.060302734
m1->a2.h0<q>,-0.19921875
m1->a2.h0<k>,0.125
m1->a2.h1<k>,0.12695312
m1->a2.h3<k>,0.061523438
m1->a2.h4<q>,-0.091796875
m1->a2.h5<q>,0.12890625
m1->a2.h5<k>,-0.14453125
m1->a2.h6<q>,-0.099609375
m1->a2.h7<q>,-0.16113281
m1->a2.h7<k>,0.14160156
m1->a2.h8<q>,-0.13964844
m1->a2.h8<k>,0.09863281
m1->a2.h9<q>,-0.111328125
m1->a2.h10<q>,0.115234375
m1->a2.h10<k>,-0.095703125
m1->a2.h11<q>,-0.099609375
m1->a2.h11<k>,0.15820312
m1->a2.h13<q>,0.21582031
m1->a2.h13<k>,-0.1953125
m1->a2.h15<q>,-0.19726562
m1->a2.h16<q>,-0.13964844
m1->a2.h16<k>,0.13671875
m1->a2.h19<q>,0.09814453
m1->a2.h20<q>,-0.068847656
m1->a2.h21<q>,-0.40429688
m1->a2.h21<k>,0.23632812
m1->a2.h22<q>,0.515625
m1->a2.h22<v>,0.060058594
m1->a2.h23<q>,-0.20410156
m1->a2.h24<q>,0.09814453
m1->a2.h25<q>,-0.13085938
m1->a2.h26<q>,0.10986328
m1->a2.h29<k>,-0.21972656
m1->a2.h30<k>,-0.21582031
m1->a2.h31<q>,-0.096191406
a0.h15->m2,-0.07519531
a1.h8->m2,-0.07519531
a1.h11->m2,0.09082031
a1.h22->m2,0.06738281
a1.h23->m2,-0.06347656
a1.h24->m2,0.06298828
a1.h27->m2,-0.076171875
m1->m2,-1.1875
a2.h4->m2,0.08886719
a2.h31->m2,-0.087890625
m1->a3.h2<q>,-0.14160156
m1->a3.h3<q>,1.015625
m1->a3.h3<k>,-0.30859375
m1->a3.h4<q>,0.26367188
m1->a3.h7<q>,-0.07080078
m1->a3.h8<q>,0.061279297
m1->a3.h9<q>,-0.55078125
m1->a3.h10<q>,-0.31445312
m1->a3.h10<k>,0.20019531
m1->a3.h11<k>,-0.07373047
m1->a3.h13<k>,-0.06298828
m1->a3.h14<q>,0.10107422
m1->a3.h14<k>,-0.06225586
m1->a3.h15<q>,0.1953125
m1->a3.h15<k>,-0.11767578
m1->a3.h16<q>,0.16503906
m1->a3.h16<k>,-0.13378906
m1->a3.h17<q>,0.23339844
m1->a3.h18<k>,-0.06591797
m1->a3.h21<q>,-0.18164062
m1->a3.h21<k>,0.10058594
m1->a3.h22<q>,0.4921875
m1->a3.h22<k>,-0.123535156
m1->a3.h23<q>,0.09082031
m1->a3.h24<q>,0.12011719
m1->a3.h25<k>,-0.07763672
m1->a3.h27<q>,0.16503906
m1->a3.h28<q>,-0.22167969
m1->a3.h28<k>,0.087402344
m1->a3.h29<q>,-0.26171875
m1->a3.h29<k>,-0.07324219
m1->a3.h30<q>,-0.1328125
m2->a3.h1<q>,-0.061035156
m2->a3.h3<k>,0.078125
m2->a3.h4<q>,0.084472656
m2->a3.h9<q>,-0.09326172
m2->a3.h10<q>,-0.07080078
m2->a3.h28<q>,-0.079589844
input->m3,0.07519531
m0->m3,0.083984375
m1->m3,1.1015625
a2.h3->m3,0.06689453
a2.h29->m3,0.06982422
m2->m3,0.35742188
m1->a4.h0<q>,0.19921875
m1->a4.h0<k>,-0.14648438
m1->a4.h1<q>,0.20898438
m1->a4.h3<q>,0.28320312
m1->a4.h3<k>,-0.25585938
m1->a4.h4<q>,-0.068359375
m1->a4.h4<k>,0.16601562
m1->a4.h5<q>,0.93359375
m1->a4.h5<k>,-0.084472656
m1->a4.h7<q>,-0.5625
m1->a4.h7<k>,0.3984375
m1->a4.h8<q>,0.06298828
m1->a4.h9<q>,0.33203125
m1->a4.h9<k>,-0.15820312
m1->a4.h12<q>,0.1640625
m1->a4.h15<q>,-0.53125
m1->a4.h16<q>,0.06225586
m1->a4.h17<q>,0.20117188
m1->a4.h19<q>,0.26367188
m1->a4.h19<k>,-0.07470703
m1->a4.h20<q>,0.064941406
m1->a4.h20<k>,-0.08886719
m1->a4.h21<k>,-0.08105469
m1->a4.h22<q>,0.125
m1->a4.h22<k>,-0.076171875
m1->a4.h23<q>,-0.15722656
m1->a4.h25<q>,0.060058594
m1->a4.h26<q>,-0.076171875
m1->a4.h27<q>,-0.23046875
m1->a4.h27<k>,0.11621094
m1->a4.h28<q>,0.060546875
m1->a4.h29<q>,-0.09863281
m1->a4.h31<q>,-0.2421875
m1->a4.h31<k>,0.060058594
m2->a4.h3<q>,0.06933594
m2->a4.h5<q>,0.091308594
m2->a4.h7<q>,-0.109375
m2->a4.h13<q>,-0.10107422
m2->a4.h13<k>,-0.12207031
m3->a4.h18<q>,0.060058594
m0->m4,-0.10644531
m1->m4,-0.546875
m1->a5.h0<q>,-0.095214844
m1->a5.h1<q>,-0.15527344
m1->a5.h2<q>,-0.16601562
m1->a5.h2<k>,0.06298828
m1->a5.h3<q>,0.092285156
m1->a5.h3<k>,-0.08203125
m1->a5.h4<q>,0.14453125
m1->a5.h5<q>,-0.079589844
m1->a5.h8<q>,0.21289062
m1->a5.h10<q>,-0.079589844
m1->a5.h11<q>,-0.23632812
m1->a5.h12<q>,-0.07080078
m1->a5.h13<q>,0.076171875
m1->a5.h14<q>,0.122558594
m1->a5.h14<k>,-0.12988281
m1->a5.h22<q>,0.12988281
m1->a5.h23<q>,0.16796875
m1->a5.h30<q>,0.15429688
m1->a5.h30<k>,-0.06738281
m1->a5.h31<q>,0.12060547
m4->a5.h11<v>,-0.064941406
m1->m5,-0.063964844
m2->m5,-0.17480469
m3->m5,-0.07763672
m4->m5,0.14746094
m1->a6.h2<q>,0.15136719
m1->a6.h5<q>,-0.12792969
m1->a6.h5<k>,0.060546875
m1->a6.h6<q>,-0.20898438
m1->a6.h8<q>,0.119140625
m1->a6.h10<q>,-0.12792969
m1->a6.h13<q>,-0.25195312
m1->a6.h14<q>,0.3125
m1->a6.h14<k>,-0.23730469
m1->a6.h15<q>,0.23632812
m1->a6.h15<k>,-0.11376953
m1->a6.h19<q>,-0.103027344
m1->a6.h20<q>,0.06640625
m1->a6.h21<q>,-0.25195312
m1->a6.h21<k>,0.068359375
m1->a6.h24<q>,0.3359375
m1->a6.h24<k>,-0.1484375
m1->a6.h26<q>,0.08544922
m1->a6.h27<q>,0.0703125
m1->a6.h28<q>,0.080078125
m2->a6.h14<q>,0.08496094
m2->a6.h21<q>,-0.06542969
m2->a6.h24<q>,0.068847656
m4->a6.h14<k>,-0.07373047
m0->m6,-0.08300781
m4->m6,-0.15527344
m5->m6,0.17382812
m1->a7.h0<q>,-0.123535156
m1->a7.h1<q>,-0.07470703
m1->a7.h7<q>,0.24414062
m1->a7.h7<k>,-0.16894531
m1->a7.h8<q>,-0.12792969
m1->a7.h13<q>,0.0625
m1->a7.h16<q>,0.10058594
m1->a7.h17<q>,-0.23339844
m1->a7.h21<q>,0.11425781
m1->a7.h26<q>,-0.07519531
m1->a7.h27<q>,0.09375
m1->a7.h29<q>,0.06738281
m1->a7.h31<q>,-0.09814453
m2->m7,0.076660156
m1->a8.h0<q>,0.07324219
m1->a8.h0<k>,-0.07421875
m1->a8.h2<q>,-0.16894531
m1->a8.h4<q>,0.20703125
m1->a8.h6<q>,0.091796875
m1->a8.h10<q>,0.36328125
m1->a8.h10<k>,-0.12695312
m1->a8.h11<q>,-0.06640625
m1->a8.h12<q>,-0.09082031
m1->a8.h13<q>,-0.1484375
m1->a8.h14<q>,-0.07910156
m1->a8.h15<q>,-0.10498047
m1->a8.h16<q>,-0.16503906
m1->a8.h17<q>,-0.067871094
m1->a8.h23<q>,-0.107421875
m1->a8.h24<q>,-0.07421875
m1->a8.h24<k>,0.0703125
m1->a8.h28<q>,0.111328125
m2->a8.h10<q>,0.07421875
m2->m8,-0.09326172
m4->m8,0.11328125
m7->m8,0.115234375
m1->a9.h0<q>,-0.060546875
m1->a9.h1<q>,0.063964844
m1->a9.h2<q>,-0.072265625
m1->a9.h4<q>,-0.08984375
m1->a9.h4<k>,0.07373047
m1->a9.h6<q>,0.12597656
m1->a9.h6<k>,-0.071777344
m1->a9.h13<q>,0.11425781
m1->a9.h16<q>,-0.1953125
m1->a9.h16<k>,0.11328125
m1->a9.h26<q>,0.22460938
m1->a9.h26<k>,-0.084472656
m1->a9.h27<q>,0.23144531
m1->a9.h28<q>,0.140625
m1->a9.h28<k>,-0.06982422
m1->m9,-0.15722656
m2->m9,-0.091308594
m7->m9,-0.07421875
m1->a10.h12<q>,0.06298828
m1->a10.h15<q>,-0.12597656
m1->a10.h16<q>,-0.060058594
m1->a10.h21<q>,-0.087890625
m1->a10.h22<q>,0.084472656
m1->a10.h23<q>,-0.12207031
m1->a10.h28<q>,-0.06689453
m8->m10,-0.076660156
m1->a11.h1<q>,-0.087890625
m1->a11.h4<q>,0.18847656
m1->a11.h4<k>,-0.064453125
m1->a11.h8<q>,0.061035156
m1->a11.h10<q>,-0.13964844
m1->a11.h10<k>,0.08496094
m1->a11.h18<q>,0.096191406
m1->a11.h20<q>,0.17480469
m1->a11.h20<k>,-0.08105469
m1->a11.h21<q>,0.07763672
m1->a11.h28<q>,-0.0625
m1->a11.h29<q>,0.08642578
m8->m11,0.16796875
m1->a12.h0<q>,0.07910156
m1->a12.h8<q>,0.1796875
m1->a12.h14<q>,-0.08984375
m1->a12.h15<q>,0.061279297
m1->a12.h20<q>,-0.06298828
m1->a12.h24<q>,0.10107422
m9->m12,-0.083984375
m1->a13.h29<q>,-0.12792969
m1->a13.h29<k>,0.08203125
m1->a14.h14<q>,-0.06640625
m1->a15.h13<q>,-0.060058594
m1->a15.h16<q>,0.067871094
m1->a15.h26<q>,0.06298828
m7->m15,-0.06689453
m1->a17.h17<q>,-0.08691406
m1->a18.h5<q>,-0.06542969
m1->a18.h17<q>,-0.080078125
m1->a21.h2<q>,0.087402344
m20->m22,0.06689453
m18->a25.h16<v>,0.079589844
m28->m29,0.08642578
m1->m30,0.39257812
m15->m30,0.060546875
m19->m30,0.080566406
m21->m30,0.07373047
m23->m30,0.06982422
m25->m30,0.08496094
m29->m30,-0.41992188
m1->a31.h5<q>,0.23339844
m1->a31.h5<k>,-0.071777344
m1->a31.h6<q>,-1.2578125
m1->a31.h6<k>,0.875
m1->a31.h6<v>,-0.80859375
m1->a31.h11<k>,0.13867188
m1->a31.h12<v>,0.17480469
m1->a31.h14<q>,-0.13867188
m1->a31.h14<k>,0.123046875
m1->a31.h15<k>,-0.22265625
m1->a31.h15<v>,0.15136719
m1->a31.h16<q>,-0.11230469
m1->a31.h16<k>,0.19921875
m1->a31.h20<v>,-0.064453125
m1->a31.h22<q>,0.08496094
m1->a31.h24<q>,0.15136719
m1->a31.h24<k>,0.20898438
m1->a31.h24<v>,-0.07519531
m1->a31.h29<k>,-0.11230469
m29->a31.h6<q>,0.19238281
m29->a31.h6<k>,0.21875
m29->a31.h11<q>,0.07373047
m29->a31.h15<q>,-0.063964844
m30->a31.h2<k>,0.23046875
m30->a31.h4<q>,0.64453125
m30->a31.h4<v>,-0.28710938
m30->a31.h5<q>,-0.24414062
m30->a31.h6<k>,-0.39257812
m30->a31.h6<v>,0.765625
m30->a31.h7<q>,-0.22363281
m30->a31.h7<k>,0.28320312
m30->a31.h8<k>,-0.18847656
m30->a31.h10<k>,0.12695312
m30->a31.h11<q>,-0.17578125
m30->a31.h11<k>,0.22851562
m30->a31.h12<q>,-0.060546875
m30->a31.h12<v>,-0.17089844
m30->a31.h13<q>,-0.13476562
m30->a31.h13<k>,-0.15332031
m30->a31.h14<q>,0.07763672
m30->a31.h14<k>,-0.09082031
m30->a31.h14<v>,-0.060058594
m30->a31.h15<k>,0.22460938
m30->a31.h15<v>,-0.14355469
m30->a31.h16<q>,0.09423828
m30->a31.h16<k>,-0.265625
m30->a31.h18<q>,-0.26171875
m30->a31.h18<k>,0.10546875
m30->a31.h19<q>,0.15527344
m30->a31.h19<k>,-0.08300781
m30->a31.h21<k>,0.07421875
m30->a31.h24<q>,-0.18359375
m30->a31.h24<k>,-0.27929688
m30->a31.h24<v>,0.69921875
m30->a31.h25<k>,-0.076171875
m30->a31.h26<q>,-0.09375
m30->a31.h26<k>,0.13867188
m30->a31.h28<q>,0.1328125
m30->a31.h30<k>,0.07324219
m1->m31,0.52734375
m14->m31,-0.08300781
m16->m31,-0.078125
m23->m31,-0.08886719
m24->m31,-0.095214844
m25->m31,-0.1875
m28->m31,-0.12597656
m29->m31,-0.16796875
m30->m31,2.953125
m1->logits,-0.9296875
m18->logits,-0.22363281
m21->logits,-0.103027344
m22->logits,-0.0625
m24->logits,-0.17285156
m25->logits,0.11328125
m26->logits,-0.09863281
m28->logits,-0.10888672
m29->logits,-0.20117188
m30->logits,-2.703125
m31->logits,3.640625
