edge,score
m1->a2.h0<k>,-0.17480469
m1->a2.h2<k>,-0.80078125
m1->a2.h3<q>,0.22460938
m1->a2.h4<q>,-0.484375
m1->a2.h5<k>,2.21875
m1->a2.h7<q>,1.046875
m1->a2.h8<q>,-0.17578125
m1->a2.h8<k>,-0.6953125
m1->a2.h9<q>,-0.20507812
m1->a2.h9<k>,-0.30273438
m1->a2.h10<q>,0.17773438
m1->a2.h11<k>,-0.3203125
m1->a2.h12<q>,-0.18847656
m1->a2.h13<k>,-0.7890625
m1->a2.h14<q>,0.19335938
m1->a2.h15<q>,0.22265625
m1->a2.h15<k>,0.26953125
m1->a2.h16<q>,-0.73828125
m1->a2.h17<k>,0.24609375
m1->a2.h18<k>,-0.54296875
m1->a2.h19<q>,0.25585938
m1->a2.h20<q>,-0.80859375
m1->a2.h21<q>,7.25
m1->a2.h21<k>,-4.40625
m1->a2.h22<q>,3.1875
m1->a2.h22<k>,-1.296875
m1->a2.h23<q>,-2.1875
m1->a2.h23<k>,0.4140625
m1->a2.h24<k>,-0.41992188
m1->a2.h25<q>,2.15625
m1->a2.h25<k>,0.34960938
m1->a2.h26<q>,-0.59375
m1->a2.h27<q>,-1.3984375
m1->a2.h27<k>,0.23242188
m1->a2.h29<q>,0.6796875
m1->a2.h29<k>,-2.140625
m1->a2.h30<k>,-0.5078125
m1->a2.h31<q>,0.26953125
m1->m2,2.5
m1->a3.h0<q>,2.65625
m1->a3.h1<q>,1.296875
m1->a3.h1<k>,0.19238281
m1->a3.h2<q>,0.20605469
m1->a3.h3<q>,2.40625
m1->a3.h4<q>,-1.4921875
m1->a3.h4<k>,0.4296875
m1->a3.h5<q>,-0.28320312
m1->a3.h6<q>,0.9453125
m1->a3.h6<k>,0.19238281
m1->a3.h8<q>,-1.1015625
m1->a3.h8<k>,-0.23730469
m1->a3.h9<q>,-0.81640625
m1->a3.h9<k>,0.98046875
m1->a3.h10<q>,0.25976562
m1->a3.h10<k>,-0.71875
m1->a3.h11<q>,-0.7890625
m1->a3.h12<q>,-0.33984375
m1->a3.h13<q>,0.49414062
m1->a3.h13<k>,-0.22460938
m1->a3.h14<k>,-0.34179688
m1->a3.h15<q>,0.515625
m1->a3.h15<k>,-0.328125
m1->a3.h16<q>,-0.61328125
m1->a3.h16<k>,-0.56640625
m1->a3.h17<q>,-6.4375
m1->a3.h17<k>,-0.98828125
m1->a3.h18<q>,-0.55859375
