edge,score
input->a0.h0<q>,-0.22460938
input->a0.h0<k>,0.546875
input->a0.h0<v>,0.23339844
input->a0.h1<q>,0.19042969
input->a0.h1<v>,-0.58984375
input->a0.h2<q>,-0.421875
input->a0.h3<q>,-0.20410156
input->a0.h3<k>,-0.52734375
input->a0.h4<k>,-0.25
input->a0.h4<v>,-0.78125
input->a0.h5<v>,-0.14257812
input->a0.h6<k>,0.17578125
input->a0.h6<v>,-0.10498047
input->a0.h7<q>,-0.10449219
input->a0.h7<v>,-0.118652344
input->a0.h8<k>,1.7734375
input->a0.h9<q>,-0.98828125
input->a0.h9<k>,-5.28125
input->a0.h9<v>,-1.046875
input->a0.h10<k>,0.62109375
input->a0.h11<v>,0.14550781
input->a0.h12<q>,-0.2578125
input->a0.h12<v>,0.22460938
input->a0.h13<q>,-0.19238281
input->a0.h14<q>,-0.5859375
input->a0.h14<k>,0.16894531
input->a0.h15<q>,-0.27929688
input->a0.h15<k>,0.51953125
input->a0.h15<v>,-0.859375
input->a0.h16<v>,0.12695312
input->a0.h17<q>,-2.546875
input->a0.h17<k>,-0.50390625
input->a0.h17<v>,-1.34375
input->a0.h18<k>,-0.30273438
input->a0.h19<k>,-0.11230469
input->a0.h19<v>,-0.40820312
input->a0.h20<v>,-0.15332031
input->a0.h21<q>,-0.118652344
input->a0.h21<k>,-0.115722656
input->a0.h21<v>,1.109375
input->a0.h22<q>,-0.76171875
input->a0.h22<k>,3.4375
input->a0.h22<v>,-2.65625
input->a0.h23<q>,1.1328125
input->a0.h23<k>,-0.91015625
input->a0.h23<v>,-0.34179688
input->a0.h24<v>,-0.20996094
input->a0.h25<q>,0.09375
input->a0.h25<k>,0.14648438
input->a0.h25<v>,-0.39257812
input->a0.h26<v>,0.24023438
input->a0.h28<q>,0.20019531
input->a0.h28<k>,-0.38476562
input->a0.h30<v>,0.44921875
input->a0.h31<q>,-0.16210938
input->a0.h31<k>,-0.21484375
input->m0,-1.9921875
a0.h0->m0,0.19921875
a0.h1->m0,0.38671875
a0.h3->m0,0.75
a0.h4->m0,-1.4296875
a0.h5->m0,-0.953125
a0.h6->m0,-0.20214844
a0.h8->m0,0.46289062
a0.h9->m0,-1.046875
a0.h10->m0,0.421875
a0.h11->m0,-0.64453125
a0.h13->m0,0.28320312
a0.h15->m0,0.15820312
a0.h17->m0,-1.1328125
a0.h20->m0,-0.09667969
a0.h21->m0,0.55859375
a0.h22->m0,-3.4375
a0.h23->m0,0.546875
a0.h24->m0,-0.29101562
