edge,score
input->a0.h15<v>,-0.025756836
input->m0,0.030883789
m1->a2.h0<q>,0.12695312
m1->a2.h1<q>,-0.03564453
m1->a2.h1<k>,0.100097656
m1->a2.h2<q>,0.03881836
m1->a2.h2<k>,0.043701172
m1->a2.h5<q>,-0.045410156
m1->a2.h5<k>,0.07519531
m1->a2.h8<q>,-0.13769531
m1->a2.h10<q>,-0.05053711
m1->a2.h11<k>,-0.059570312
m1->a2.h12<q>,-0.056884766
m1->a2.h13<q>,0.29101562
m1->a2.h15<q>,-0.1796875
m1->a2.h16<k>,-0.10498047
m1->a2.h18<k>,-0.12695312
m1->a2.h20<k>,-0.030029297
m1->a2.h21<k>,0.047851562
m1->a2.h22<q>,0.064941406
m1->a2.h23<q>,0.4453125
m1->a2.h23<k>,-0.072265625
m1->a2.h24<q>,-0.12597656
m1->a2.h24<k>,-0.028564453
m1->a2.h25<q>,-0.034423828
m1->a2.h26<q>,-0.05908203
m1->a2.h27<q>,-0.04272461
m1->a2.h27<k>,0.06640625
m1->a2.h28<q>,-0.1953125
m1->a2.h29<q>,0.023071289
m1->a2.h29<k>,0.103515625
m1->a2.h30<q>,-0.021606445
m1->a2.h30<k>,-0.10644531
m1->m2,-0.2578125
m1->a3.h0<q>,0.11425781
m1->a3.h0<k>,-0.07324219
m1->a3.h1<k>,-0.03564453
m1->a3.h2<q>,0.03149414
m1->a3.h3<q>,0.06347656
m1->a3.h4<q>,-0.041015625
m1->a3.h4<k>,0.061767578
m1->a3.h7<q>,0.046875
m1->a3.h8<q>,0.045654297
m1->a3.h9<q>,0.027709961
m1->a3.h10<k>,0.045410156
m1->a3.h13<q>,-0.052246094
m1->a3.h13<k>,0.028076172
m1->a3.h14<q>,-0.022827148
m1->a3.h15<q>,0.21972656
m1->a3.h15<k>,0.032226562
m1->a3.h16<q>,-0.13085938
m1->a3.h19<q>,0.021850586
m1->a3.h19<k>,0.026245117
m1->a3.h20<k>,-0.040039062
m1->a3.h21<q>,0.076660156
m1->a3.h21<k>,-0.04248047
m1->a3.h22<q>,0.026123047
