edge,score
input->a0.h15<q>,-0.053222656
input->a0.h15<v>,-0.05810547
input->a0.h21<q>,0.051757812
input->m1,0.059570312
m0->m1,0.07373047
m1->a2.h0<k>,0.05834961
m1->a2.h1<q>,-0.075683594
m1->a2.h1<k>,-0.13867188
m1->a2.h2<k>,-0.053955078
m1->a2.h3<k>,-0.08691406
m1->a2.h4<q>,-0.19238281
m1->a2.h4<k>,0.099609375
m1->a2.h5<q>,-0.118652344
m1->a2.h5<k>,-0.359375
m1->a2.h6<k>,-0.084472656
m1->a2.h7<q>,-0.46289062
m1->a2.h8<k>,0.068847656
m1->a2.h9<q>,-0.14160156
m1->a2.h9<k>,-0.15039062
m1->a2.h10<q>,-0.15234375
m1->a2.h11<k>,-0.41015625
m1->a2.h12<q>,0.09667969
m1->a2.h12<k>,0.107910156
m1->a2.h13<k>,-0.16894531
m1->a2.h14<q>,0.36328125
m1->a2.h15<q>,0.16992188
m1->a2.h15<k>,0.09326172
m1->a2.h16<q>,0.076660156
m1->a2.h20<q>,-0.12792969
m1->a2.h21<q>,0.85546875
m1->a2.h21<k>,-0.82421875
m1->a2.h22<q>,0.41210938
m1->a2.h22<k>,-0.38476562
m1->a2.h23<q>,1.203125
m1->a2.h23<k>,-0.29492188
m1->a2.h24<k>,0.1953125
m1->a2.h25<q>,-0.25585938
m1->a2.h25<k>,-0.106933594
m1->a2.h26<q>,-0.2109375
m1->a2.h27<q>,0.25
m1->a2.h27<k>,0.08544922
m1->a2.h28<k>,0.05834961
m1->a2.h29<k>,-0.40820312
m1->a2.h30<q>,0.33203125
m1->a2.h30<k>,-0.5234375
m1->a2.h31<k>,0.11621094
m1->m2,5.3125
m1->a3.h0<q>,0.08105469
m1->a3.h1<q>,0.6015625
m1->a3.h1<k>,-0.10253906
m1->a3.h2<k>,0.08691406
m1->a3.h3<q>,-0.390625
m1->a3.h3<k>,0.27929688
m1->a3.h4<q>,-0.05493164
m1->a3.h4<k>,0.12890625
m1->a3.h5<q>,0.1875
m1->a3.h6<q>,0.15625
m1->a3.h6<k>,-0.15332031
m1->a3.h7<q>,0.123535156
m1->a3.h7<k>,-0.15332031
m1->a3.h8<q>,-0.44335938
m1->a3.h8<k>,-0.087402344
m1->a3.h9<q>,0.19726562
m1->a3.h9<k>,0.14453125
m1->a3.h10<k>,0.17871094
m1->a3.h11<q>,0.73828125
m1->a3.h12<k>,0.08203125
m1->a3.h13<q>,0.29296875
m1->a3.h15<q>,-0.110839844
m1->a3.h15<k>,-0.123535156
m1->a3.h16<q>,-0.36328125
m1->a3.h16<k>,-0.1796875
m1->a3.h17<q>,-2.765625
m1->a3.h17<k>,-1.234375
m1->a3.h18<q>,0.20214844
m1->a3.h18<k>,-0.096191406
m1->a3.h19<q>,-0.16992188
m1->a3.h19<k>,0.16796875
m1->a3.h20<q>,-0.20703125
m1->a3.h21<q>,0.17773438
m1->a3.h21<k>,-0.21972656
m1->a3.h22<q>,-0.67578125
m1->a3.h22<k>,0.296875
m1->a3.h23<q>,-0.06542969
m1->a3.h23<k>,0.40429688
m1->a3.h24<q>,-0.11328125
m1->a3.h24<k>,0.10546875
m1->a3.h25<q>,0.14355469
m1->a3.h25<k>,0.2265625
m1->a3.h27<q>,-0.98828125
m1->a3.h28<k>,-0.20996094
m1->a3.h29<q>,0.13085938
m1->a3.h29<k>,0.12451172
m1->a3.h30<q>,1.28125
m1->a3.h31<k>,0.21484375
m1->m3,-1.65625
m2->m3,-0.106933594
m1->a4.h0<q>,0.62890625
m1->a4.h0<k>,0.24609375
m1->a4.h1<q>,0.39453125
m1->a4.h1<k>,-0.19238281
m1->a4.h2<q>,0.33203125
m1->a4.h2<k>,-0.18261719
m1->a4.h3<q>,0.111816406
m1->a4.h3<k>,0.061523438
m1->a4.h4<q>,-1.0390625
m1->a4.h4<k>,0.21875
m1->a4.h5<q>,-1.1015625
m1->a4.h5<k>,-0.8515625
m1->a4.h7<q>,0.059326172
m1->a4.h7<k>,-0.06542969
m1->a4.h8<q>,0.18261719
m1->a4.h9<q>,-1.390625
m1->a4.h9<k>,-0.095703125
m1->a4.h11<q>,0.15429688
m1->a4.h12<q>,0.111328125
m1->a4.h12<k>,-0.15234375
m1->a4.h13<q>,-0.18847656
m1->a4.h13<k>,-0.111816406
m1->a4.h14<q>,0.296875
m1->a4.h15<q>,-0.123535156
m1->a4.h17<q>,-0.88671875
m1->a4.h18<q>,0.21386719
m1->a4.h19<q>,0.68359375
m1->a4.h20<q>,-1.4296875
m1->a4.h20<k>,1.5
m1->a4.h21<q>,-2.515625
m1->a4.h21<k>,0.25195312
m1->a4.h22<q>,-0.875
m1->a4.h22<k>,0.08105469
m1->a4.h23<q>,-0.06982422
m1->a4.h24<k>,-0.08496094
m1->a4.h25<q>,-0.31835938
m1->a4.h26<q>,0.8515625
m1->a4.h26<k>,-0.62890625
m1->a4.h27<k>,0.15722656
m1->a4.h28<q>,0.13085938
m1->a4.h29<q>,0.15332031
m1->a4.h31<q>,-0.118652344
m1->m4,0.12109375
m1->a5.h0<q>,0.16210938
m1->a5.h1<q>,-0.31054688
m1->a5.h2<q>,0.14160156
m1->a5.h3<q>,0.076171875
m1->a5.h4<q>,0.6015625
m1->a5.h5<q>,-0.61328125
m1->a5.h5<k>,0.18847656
m1->a5.h6<q>,0.13476562
m1->a5.h6<k>,0.11767578
m1->a5.h7<k>,-0.055908203
m1->a5.h8<q>,-0.14941406
m1->a5.h9<q>,0.06738281
m1->a5.h10<q>,0.13769531
m1->a5.h11<q>,-0.23339844
m1->a5.h12<q>,-0.921875
m1->a5.h12<k>,-0.37695312
m1->a5.h13<q>,-0.42578125
m1->a5.h13<k>,0.20019531
m1->a5.h14<q>,0.8359375
m1->a5.h15<q>,0.080078125
m1->a5.h16<k>,-0.064453125
m1->a5.h17<q>,0.059326172
m1->a5.h17<k>,-0.13867188
m1->a5.h18<q>,0.10205078
m1->a5.h19<q>,0.29492188
m1->a5.h20<q>,0.546875
m1->a5.h20<k>,-0.083984375
m1->a5.h21<q>,-0.060546875
m1->a5.h21<k>,0.09667969
m1->a5.h22<q>,-0.1875
m1->a5.h22<k>,0.072265625
m1->a5.h24<q>,0.67578125
m1->a5.h24<k>,0.10058594
m1->a5.h25<q>,-0.10058594
m1->a5.h25<k>,0.053955078
m1->a5.h27<q>,-0.22460938
m1->a5.h28<q>,-0.064453125
m1->a5.h28<k>,-0.21484375
m1->a5.h29<k>,-0.10986328
m1->a5.h30<q>,-0.15527344
m1->a5.h31<q>,0.053222656
m1->m5,-0.50390625
m1->a6.h0<q>,0.05908203
m1->a6.h0<k>,-0.11767578
m1->a6.h1<q>,-0.39257812
m1->a6.h1<k>,-0.080566406
m1->a6.h2<q>,-0.24707031
m1->a6.h2<k>,-0.609375
m1->a6.h3<q>,-0.087402344
m1->a6.h4<q>,0.40234375
m1->a6.h6<q>,-1.46875
m1->a6.h6<k>,0.31835938
m1->a6.h7<q>,-0.095703125
m1->a6.h8<q>,-2.875
m1->a6.h8<k>,0.23242188
m1->a6.h12<k>,-0.11230469
m1->a6.h13<q>,-0.07763672
m1->a6.h13<k>,0.3046875
m1->a6.h14<k>,0.12597656
m1->a6.h15<k>,0.06640625
m1->a6.h17<q>,0.053222656
m1->a6.h17<k>,0.08300781
m1->a6.h18<k>,0.061767578
m1->a6.h19<q>,0.08984375
m1->a6.h21<q>,-0.12597656
m1->a6.h22<q>,-0.22265625
m1->a6.h23<q>,-0.0625
m1->a6.h27<q>,-0.3046875
m1->a6.h27<k>,0.087402344
m1->a6.h28<q>,0.19140625
m1->a6.h29<k>,-0.35546875
m1->a6.h30<k>,-0.053222656
m1->a6.h31<q>,0.17871094
m1->a6.h31<k>,-0.12011719
m1->m6,0.063964844
m1->a7.h0<q>,-0.13085938
m1->a7.h0<k>,0.12695312
m1->a7.h1<k>,-0.103027344
m1->a7.h4<k>,-0.07324219
m1->a7.h5<q>,-0.21875
m1->a7.h6<k>,-0.08105469
m1->a7.h7<q>,-0.14648438
m1->a7.h8<q>,0.119140625
m1->a7.h8<k>,-0.091308594
m1->a7.h9<k>,0.07324219
m1->a7.h11<q>,0.19140625
m1->a7.h14<k>,-0.060546875
m1->a7.h15<q>,-0.095703125
m1->a7.h17<q>,-0.10546875
m1->a7.h18<q>,0.068847656
m1->a7.h19<q>,0.092285156
m1->a7.h20<q>,0.24707031
m1->a7.h21<k>,0.23046875
m1->a7.h22<k>,0.27929688
m1->a7.h25<q>,-0.24414062
m1->a7.h25<k>,-0.21289062
m1->a7.h26<k>,-0.072753906
m1->a7.h27<q>,-0.2890625
m1->a7.h29<q>,0.07861328
m1->a7.h30<k>,0.16894531
m1->a7.h31<q>,0.12792969
m6->m7,-0.064941406
m1->a8.h0<q>,-0.15332031
m1->a8.h1<q>,0.10986328
m1->a8.h2<q>,0.125
m1->a8.h3<k>,0.15917969
m1->a8.h4<q>,0.14453125
m1->a8.h4<k>,-0.1328125
m1->a8.h6<q>,-0.107910156
m1->a8.h6<k>,0.10644531
m1->a8.h7<q>,0.07519531
m1->a8.h7<k>,-0.20605469
m1->a8.h8<q>,-0.103027344
m1->a8.h8<k>,-0.15136719
m1->a8.h9<q>,-0.109375
m1->a8.h9<k>,-0.06298828
m1->a8.h10<q>,0.10253906
m1->a8.h11<q>,-0.125
m1->a8.h12<k>,0.16601562
m1->a8.h13<q>,-0.100097656
m1->a8.h13<k>,-0.05493164
m1->a8.h14<q>,-0.056884766
m1->a8.h14<k>,0.106933594
m1->a8.h15<q>,0.067871094
m1->a8.h15<k>,0.064941406
m1->a8.h17<k>,0.07470703
m1->a8.h18<q>,0.08544922
m1->a8.h18<k>,0.25195312
m1->a8.h19<q>,-0.16113281
m1->a8.h20<q>,-0.10986328
m1->a8.h21<q>,-0.080566406
m1->a8.h22<q>,0.08251953
m1->a8.h22<k>,0.13671875
m1->a8.h24<k>,0.32421875
m1->a8.h28<k>,0.73828125
m1->a8.h28<v>,-0.060302734
m1->a8.h29<k>,-0.05493164
m1->a8.h30<q>,0.100097656
m1->m8,-0.4453125
m1->a9.h0<k>,0.76171875
m1->a9.h0<v>,-0.060058594
m1->a9.h1<q>,-0.068847656
m1->a9.h3<q>,0.079589844
m1->a9.h4<q>,0.08691406
m1->a9.h4<k>,-0.106933594
m1->a9.h6<q>,-0.061279297
m1->a9.h6<k>,-0.06542969
m1->a9.h9<q>,0.12109375
m1->a9.h9<k>,-0.053710938
m1->a9.h10<k>,0.05493164
m1->a9.h11<k>,-0.095214844
m1->a9.h12<q>,0.07519531
m1->a9.h12<k>,-0.20996094
m1->a9.h13<q>,-0.078125
m1->a9.h14<q>,0.13085938
m1->a9.h14<k>,0.087890625
m1->a9.h15<k>,0.08642578
m1->a9.h16<k>,0.087890625
m1->a9.h17<q>,-0.13769531
m1->a9.h18<q>,-0.05493164
m1->a9.h20<q>,0.096191406
m1->a9.h22<k>,-0.092285156
m1->a9.h26<k>,-0.484375
m1->a9.h27<q>,0.16503906
m1->a9.h28<q>,-0.1953125
m1->a9.h28<k>,0.31054688
m1->a9.h29<k>,-0.087890625
m1->a9.h30<k>,0.12451172
m1->m9,-0.22265625
m6->m9,0.061035156
m8->m9,-0.05810547
m1->a10.h0<k>,0.076660156
m1->a10.h1<k>,0.08105469
m1->a10.h4<k>,-0.051757812
m1->a10.h5<k>,0.06982422
m1->a10.h6<k>,-0.06225586
m1->a10.h7<k>,0.13867188
m1->a10.h8<q>,-0.12011719
m1->a10.h8<k>,-0.18261719
m1->a10.h9<k>,0.06640625
m1->a10.h10<k>,-0.079589844
m1->a10.h12<q>,-0.060058594
m1->a10.h12<k>,0.072265625
m1->a10.h21<k>,-0.068359375
m1->a10.h22<k>,0.0625
m1->a10.h23<q>,0.072265625
m1->a10.h23<k>,-0.05493164
m1->a10.h24<k>,-0.18261719
m1->a10.h26<q>,0.15332031
m1->a10.h27<q>,0.10644531
m1->a10.h27<k>,-0.115234375
m1->a10.h28<k>,-0.09375
m1->a10.h30<q>,0.103515625
m1->m10,-0.13085938
m1->a11.h2<k>,-0.052734375
m1->a11.h5<q>,0.056640625
m1->a11.h7<k>,0.08203125
m1->a11.h10<q>,-0.091308594
m1->a11.h12<q>,-0.07910156
m1->a11.h12<k>,-0.083984375
m1->a11.h13<q>,0.067871094
m1->a11.h13<k>,0.2109375
m1->a11.h20<q>,-0.056640625
m1->a11.h22<q>,0.06640625
m1->a11.h22<k>,0.111328125
m1->a11.h23<q>,-0.057861328
m1->a11.h24<k>,0.265625
m1->a11.h28<q>,0.107910156
m1->a11.h29<q>,0.0546875
m1->a11.h30<k>,-0.05810547
m1->a11.h31<q>,0.096191406
m1->a12.h0<k>,0.10449219
m1->a12.h5<k>,0.06347656
m1->a12.h8<q>,-0.07763672
m1->a12.h8<k>,-0.1796875
m1->a12.h8<v>,-0.05493164
m1->a12.h12<k>,-0.08251953
m1->a12.h17<q>,-0.06982422
m1->a12.h24<q>,0.092285156
m1->m12,-0.095703125
m1->a13.h3<k>,-0.09375
m1->a13.h7<k>,0.07324219
m1->a13.h10<q>,0.05810547
m1->a13.h16<k>,0.06982422
m1->a13.h25<k>,0.115722656
m1->a14.h6<k>,0.09082031
m1->a14.h9<k>,0.07324219
m1->a14.h14<k>,-0.05444336
m1->a14.h30<k>,-0.064453125
m1->a15.h6<q>,-0.16894531
m1->a15.h30<k>,0.17089844
m1->a16.h6<k>,0.056152344
m17->m18,0.060546875
m19->m23,-0.0546875
m25->m29,0.064453125
m27->m29,0.14453125
m28->m29,0.12695312
m20->m30,0.076660156
m21->m30,0.061523438
m28->m30,0.06542969
m29->a31.h11<q>,0.051757812
m16->m31,-0.087402344
m19->m31,-0.06689453
m22->m31,-0.08544922
m23->m31,-0.056152344
m24->m31,-0.052734375
m27->m31,-0.06542969
m28->m31,-0.08251953
m30->m31,0.49414062
m18->logits,-0.18261719
m19->logits,-0.08691406
m20->logits,-0.20214844
m21->logits,-0.13769531
m22->logits,-0.123535156
m23->logits,-0.07910156
m24->logits,-0.078125
m27->logits,-0.15527344
m28->logits,-0.064941406
m29->logits,-0.19238281
m30->logits,-0.8359375
m31->logits,1.1796875
