edge,score
input->a0.h0<v>,-0.055419922
input->a0.h1<v>,-0.16113281
input->a0.h2<q>,-0.06640625
input->a0.h3<q>,0.11669922
input->a0.h3<v>,-0.21289062
input->a0.h5<v>,-0.080566406
input->a0.h6<k>,0.05126953
input->a0.h6<v>,-0.05053711
input->a0.h8<k>,0.23046875
input->a0.h9<q>,-0.08251953
input->a0.h9<k>,-0.65625
input->a0.h9<v>,-0.20214844
input->a0.h10<k>,0.07080078
input->a0.h11<v>,0.05908203
input->a0.h12<k>,0.072265625
input->a0.h13<q>,-0.053710938
input->a0.h15<q>,-0.052490234
input->a0.h15<v>,-0.19140625
input->a0.h17<q>,-0.31445312
input->a0.h17<k>,-0.08251953
input->a0.h17<v>,-0.14355469
input->a0.h19<v>,-0.06982422
input->a0.h20<v>,-0.07861328
input->a0.h21<k>,0.061523438
input->a0.h21<v>,0.42773438
input->a0.h22<q>,-0.100097656
input->a0.h22<k>,0.4375
input->a0.h22<v>,-0.265625
input->a0.h23<k>,-0.057617188
input->a0.h24<v>,-0.091796875
input->a0.h25<k>,0.076171875
input->a0.h25<v>,-0.19628906
input->a0.h26<v>,0.123046875
input->a0.h28<k>,-0.053222656
input->a0.h29<v>,-0.051757812
input->a0.h30<v>,0.064453125
input->a0.h31<v>,-0.092285156
input->m0,-0.47070312
a0.h1->m0,-0.061279297
input->a1.h1<q>,0.055419922
input->a1.h25<v>,0.061035156
input->a1.h27<v>,-0.05493164
m0->a1.h1<q>,0.08691406
m0->a1.h8<q>,-0.06591797
m0->a1.h8<v>,-0.8515625
m0->a1.h11<q>,0.053710938
m0->a1.h11<v>,0.62890625
m0->a1.h13<v>,0.057861328
m0->a1.h14<q>,0.071777344
m0->a1.h14<k>,0.103515625
m0->a1.h14<v>,0.07470703
m0->a1.h15<q>,-0.057861328
m0->a1.h17<v>,0.11816406
m0->a1.h22<q>,0.12988281
m0->a1.h22<k>,-0.063964844
m0->a1.h27<v>,-0.08886719
input->m1,-0.25585938
a0.h1->m1,0.09375
a0.h3->m1,-0.056152344
a0.h15->m1,-0.06982422
a0.h21->m1,-0.052246094
m0->m1,-0.515625
a1.h22->m1,-0.0703125
a1.h23->m1,-0.055664062
a1.h30->m1,-0.05053711
input->a2.h22<q>,0.052734375
m0->a2.h22<k>,0.080566406
m1->a2.h0<q>,-0.084472656
m1->a2.h1<q>,-0.10449219
m1->a2.h2<q>,-0.06640625
m1->a2.h4<q>,-0.10546875
m1->a2.h5<q>,-0.0546875
m1->a2.h5<k>,-0.055664062
m1->a2.h6<q>,-0.068847656
m1->a2.h7<q>,0.16992188
m1->a2.h8<q>,-0.107910156
m1->a2.h10<q>,0.09863281
m1->a2.h12<q>,0.10888672
m1->a2.h18<k>,-0.06298828
m1->a2.h20<k>,0.053222656
m1->a2.h21<q>,-0.063964844
m1->a2.h22<q>,1.0078125
m1->a2.h22<v>,0.052246094
m1->a2.h23<q>,-0.15234375
m1->a2.h24<q>,0.09667969
