edge,score
input->a0.h15<k>,-0.034179688
input->a0.h15<v>,-0.030029297
m1->a2.h0<q>,0.026611328
m1->a2.h1<q>,-0.020996094
m1->a2.h1<k>,0.11376953
m1->a2.h3<q>,-0.056884766
m1->a2.h7<q>,-0.032958984
m1->a2.h8<q>,-0.038085938
m1->a2.h10<q>,-0.0546875
m1->a2.h10<k>,0.021240234
m1->a2.h11<q>,0.063964844
m1->a2.h11<k>,-0.07324219
m1->a2.h12<k>,-0.0234375
m1->a2.h13<q>,0.14941406
m1->a2.h13<k>,-0.096191406
m1->a2.h15<q>,0.115722656
m1->a2.h16<k>,-0.103027344
m1->a2.h18<k>,-0.047851562
m1->a2.h22<k>,0.03173828
m1->a2.h23<q>,-0.16796875
m1->a2.h23<k>,-0.025024414
m1->a2.h24<q>,0.036376953
m1->a2.h25<q>,0.047607422
m1->a2.h26<q>,-0.07910156
m1->a2.h27<k>,0.046875
m1->a2.h29<q>,-0.20605469
m1->a2.h29<k>,0.16601562
m1->a2.h30<q>,0.05883789
m1->a2.h30<k>,-0.25585938
m1->a2.h31<q>,-0.06347656
m0->m2,0.01965332
m1->m2,-0.33203125
m1->a3.h0<q>,0.036621094
m1->a3.h0<k>,-0.06298828
m1->a3.h1<k>,-0.032226562
m1->a3.h2<k>,-0.032226562
m1->a3.h3<q>,0.09667969
m1->a3.h3<k>,-0.03540039
m1->a3.h4<k>,0.045654297
m1->a3.h6<q>,0.026977539
m1->a3.h6<k>,-0.049072266
m1->a3.h7<q>,0.023071289
m1->a3.h8<k>,-0.020629883
m1->a3.h9<k>,-0.021240234
m1->a3.h10<k>,0.0703125
m1->a3.h11<q>,-0.030029297
m1->a3.h12<q>,0.032226562
m1->a3.h13<q>,-0.060302734
m1->a3.h15<q>,0.18164062
m1->a3.h15<k>,0.027954102
m1->a3.h16<q>,-0.053222656
m1->a3.h17<q>,-0.022827148
m1->a3.h17<k>,-0.025024414
m1->a3.h19<k>,0.029663086
m1->a3.h20<q>,0.052246094
m1->a3.h21<q>,0.050048828
m1->a3.h21<k>,-0.076171875
m1->a3.h22<k>,-0.036132812
m1->a3.h23<q>,0.031982422
m1->a3.h23<k>,-0.056152344
m1->a3.h24<q>,-0.05126953
m1->a3.h25<q>,-0.10644531
m1->a3.h25<k>,-0.033935547
m1->a3.h26<k>,-0.07519531
m1->a3.h27<q>,-0.038085938
m1->a3.h27<k>,-0.030517578
m1->a3.h29<q>,-0.045898438
m1->a3.h30<q>,-0.053466797
m1->a3.h31<k>,0.16894531
m1->m3,0.20019531
m2->m3,-0.041503906
m1->a4.h0<q>,0.13085938
m1->a4.h1<q>,-0.13183594
m1->a4.h1<k>,-0.08642578
m1->a4.h2<q>,0.041259766
m1->a4.h2<k>,-0.03930664
m1->a4.h3<k>,0.023803711
m1->a4.h4<q>,0.060302734
m1->a4.h4<k>,-0.03881836
m1->a4.h5<q>,0.03173828
m1->a4.h7<q>,0.22167969
m1->a4.h7<k>,-0.21386719
m1->a4.h9<q>,-0.026245117
m1->a4.h10<q>,-0.18652344
m1->a4.h10<k>,0.08105469
m1->a4.h12<q>,-0.046875
m1->a4.h13<k>,-0.022338867
m1->a4.h14<q>,-0.020996094
m1->a4.h14<k>,0.021850586
m1->a4.h16<q>,0.03515625
m1->a4.h17<q>,-0.01965332
m1->a4.h17<k>,0.068359375
m1->a4.h18<q>,-0.028442383
m1->a4.h19<q>,-0.05126953
m1->a4.h19<k>,-0.07128906
m1->a4.h20<k>,0.038085938
m1->a4.h21<q>,0.055664062
m1->a4.h21<k>,-0.23339844
m1->a4.h22<q>,0.047851562
m1->a4.h22<k>,-0.0546875
m1->a4.h23<q>,0.15136719
m1->a4.h24<q>,-0.07910156
m1->a4.h25<q>,0.064453125
m1->a4.h26<q>,0.31445312
m1->a4.h27<q>,0.05126953
m1->a4.h28<q>,-0.084472656
m1->a4.h30<q>,-0.064453125
m1->m4,-0.36328125
m3->m4,0.04272461
m1->a5.h0<q>,-0.052246094
m1->a5.h1<q>,0.18652344
m1->a5.h3<q>,0.036376953
m1->a5.h4<q>,0.06542969
m1->a5.h6<k>,0.05908203
m1->a5.h8<q>,0.03881836
m1->a5.h9<q>,-0.021240234
m1->a5.h10<q>,0.049804688
m1->a5.h13<q>,-0.044677734
m1->a5.h13<k>,0.05810547
m1->a5.h14<q>,-0.05029297
m1->a5.h15<v>,-0.02746582
m1->a5.h16<k>,-0.038330078
m1->a5.h17<q>,-0.09082031
m1->a5.h17<k>,0.08642578
m1->a5.h20<q>,-0.03491211
m1->a5.h20<k>,0.08691406
m1->a5.h21<q>,0.02722168
m1->a5.h21<k>,-0.068847656
m1->a5.h22<k>,0.02746582
m1->a5.h24<q>,0.044677734
m1->a5.h28<q>,-0.12011719
m1->a5.h28<k>,0.118652344
m1->a5.h31<q>,-0.49023438
m1->a5.h31<k>,0.032226562
m1->m5,0.1484375
m3->m5,0.021362305
m1->a6.h1<q>,-0.099609375
m1->a6.h1<k>,0.020141602
m1->a6.h4<q>,-0.10498047
m1->a6.h6<q>,-0.38085938
m1->a6.h6<k>,0.03112793
m1->a6.h8<q>,-0.067871094
m1->a6.h9<k>,0.020629883
m1->a6.h10<k>,-0.045410156
m1->a6.h12<q>,-0.068847656
m1->a6.h12<k>,0.10546875
m1->a6.h13<q>,-0.08496094
m1->a6.h13<k>,0.115234375
m1->a6.h14<q>,0.045654297
m1->a6.h15<q>,-0.061523438
m1->a6.h15<k>,0.060546875
m1->a6.h17<k>,-0.024658203
m1->a6.h18<q>,0.036376953
m1->a6.h18<k>,0.032226562
m1->a6.h22<k>,0.029785156
m1->a6.h28<q>,0.036376953
m1->a6.h31<q>,0.036132812
m1->m6,-0.040039062
m3->m6,-0.028808594
m4->m6,0.020996094
m1->a7.h0<q>,-0.029663086
m1->a7.h0<k>,0.076171875
m1->a7.h1<q>,-0.049072266
m1->a7.h2<q>,0.06640625
m1->a7.h2<k>,-0.035888672
m1->a7.h4<k>,-0.045410156
m1->a7.h5<q>,-0.07763672
m1->a7.h5<k>,-0.04345703
m1->a7.h6<k>,-0.035888672
m1->a7.h7<q>,0.071777344
m1->a7.h7<k>,-0.048828125
m1->a7.h8<q>,0.037597656
m1->a7.h9<q>,0.033935547
m1->a7.h13<q>,-0.036132812
m1->a7.h13<k>,0.028442383
m1->a7.h14<k>,0.022949219
m1->a7.h17<q>,0.091308594
m1->a7.h17<k>,0.025878906
m1->a7.h20<k>,0.029174805
m1->a7.h21<q>,0.15820312
m1->a7.h21<k>,-0.028564453
m1->a7.h24<q>,-0.122558594
m1->a7.h24<k>,0.13769531
m1->a7.h25<q>,0.03540039
m1->a7.h26<q>,-0.05493164
m1->a7.h26<k>,0.057861328
m1->a7.h29<q>,-0.022338867
m1->a7.h31<k>,0.01977539
m1->m7,0.22460938
m6->m7,-0.023803711
m1->a8.h1<q>,0.041503906
m1->a8.h3<k>,0.021118164
m1->a8.h6<q>,-0.049316406
m1->a8.h6<k>,0.19726562
m1->a8.h8<q>,-0.027832031
m1->a8.h10<q>,0.083984375
m1->a8.h10<k>,-0.05493164
m1->a8.h11<q>,0.049804688
m1->a8.h13<q>,0.038085938
m1->a8.h13<k>,0.041992188
m1->a8.h15<q>,0.024047852
m1->a8.h15<k>,-0.04321289
m1->a8.h16<q>,0.07470703
m1->a8.h16<k>,0.01953125
m1->a8.h17<k>,-0.020263672
m1->a8.h18<k>,0.067871094
m1->a8.h19<q>,0.049804688
m1->a8.h19<k>,-0.15332031
m1->a8.h21<q>,-0.034179688
m1->a8.h21<k>,0.035888672
m1->a8.h22<k>,-0.068847656
m1->a8.h23<q>,0.068847656
m1->a8.h24<q>,0.08984375
m1->a8.h25<k>,0.19726562
m1->a8.h26<k>,0.05444336
m1->a8.h31<q>,-0.020019531
m1->a8.h31<k>,0.033691406
m1->m8,-0.265625
m1->a9.h1<q>,-0.023071289
m1->a9.h1<k>,0.028442383
m1->a9.h3<q>,-0.050048828
m1->a9.h4<q>,0.028076172
m1->a9.h4<k>,-0.037597656
m1->a9.h5<q>,-0.07080078
m1->a9.h6<q>,0.021850586
m1->a9.h8<k>,0.032714844
m1->a9.h11<q>,0.08300781
m1->a9.h11<k>,-0.09765625
m1->a9.h12<q>,-0.026123047
m1->a9.h12<k>,-0.032226562
m1->a9.h13<q>,-0.05029297
m1->a9.h15<q>,-0.10058594
m1->a9.h16<q>,-0.03540039
m1->a9.h17<q>,0.03881836
m1->a9.h19<k>,0.032958984
m1->a9.h20<q>,-0.030273438
m1->a9.h22<q>,-0.03466797
m1->a9.h23<k>,0.02734375
m1->a9.h27<q>,0.063964844
m1->a9.h29<q>,-0.064453125
m1->a9.h29<k>,0.02746582
m1->a9.h30<q>,-0.055908203
m1->m9,-0.03173828
m7->m9,0.033447266
m8->m9,-0.050048828
m1->a10.h0<q>,-0.021972656
m1->a10.h0<k>,-0.026367188
m1->a10.h1<q>,0.03466797
m1->a10.h1<k>,-0.04321289
m1->a10.h1<v>,0.020141602
m1->a10.h2<k>,-0.03955078
m1->a10.h3<q>,-0.03515625
m1->a10.h5<q>,0.08496094
m1->a10.h6<q>,-0.02746582
m1->a10.h8<q>,0.033935547
m1->a10.h10<k>,0.17578125
m1->a10.h15<q>,-0.03491211
m1->a10.h15<k>,-0.03466797
m1->a10.h19<q>,-0.048828125
m1->a10.h20<q>,0.048339844
m1->a10.h23<q>,-0.036865234
m1->a10.h26<k>,0.033935547
m1->a10.h27<q>,0.072265625
m1->a10.h28<q>,0.036621094
m5->m10,0.020507812
m1->a11.h1<k>,-0.020263672
m1->a11.h4<q>,0.026733398
m1->a11.h6<k>,-0.020507812
m1->a11.h9<q>,-0.052734375
m1->a11.h9<k>,-0.03881836
m1->a11.h11<k>,-0.030639648
m1->a11.h12<q>,0.025512695
m1->a11.h13<k>,-0.107910156
