edge,score
input->a0.h0<q>,-0.025268555
input->a0.h0<k>,-0.042236328
input->a0.h0<v>,-0.071777344
input->a0.h1<q>,-0.095214844
input->a0.h1<k>,0.044433594
input->a0.h1<v>,0.41992188
input->a0.h2<q>,0.36328125
input->a0.h2<k>,-0.049804688
input->a0.h3<q>,0.23632812
input->a0.h3<k>,0.11376953
input->a0.h3<v>,-0.87890625
input->a0.h4<q>,-0.061767578
input->a0.h4<v>,1.0078125
input->a0.h5<q>,-0.01953125
input->a0.h5<k>,-0.013671875
input->a0.h5<v>,0.056884766
input->a0.h6<k>,-0.119140625
input->a0.h6<v>,0.01373291
input->a0.h7<q>,0.28710938
input->a0.h7<k>,-0.1328125
input->a0.h7<v>,-0.18652344
input->a0.h8<q>,-0.056152344
input->a0.h8<k>,-1.0
input->a0.h8<v>,0.068847656
input->a0.h9<q>,0.59375
input->a0.h9<k>,4.875
input->a0.h9<v>,1.1328125
input->a0.h10<q>,-0.020507812
input->a0.h10<k>,-0.20019531
input->a0.h10<v>,0.02746582
input->a0.h11<q>,-0.18164062
input->a0.h11<k>,-0.017944336
input->a0.h11<v>,-0.10888672
input->a0.h12<q>,0.2109375
input->a0.h12<k>,0.103027344
input->a0.h12<v>,-0.15332031
input->a0.h13<q>,0.041992188
input->a0.h13<k>,0.10986328
input->a0.h13<v>,0.013916016
input->a0.h14<q>,0.099609375
input->a0.h14<k>,-0.09326172
input->a0.h14<v>,-0.19726562
input->a0.h15<q>,0.23535156
input->a0.h15<k>,-0.29101562
input->a0.h15<v>,0.65625
input->a0.h16<v>,-0.0546875
input->a0.h17<q>,1.9375
input->a0.h17<k>,0.37695312
input->a0.h17<v>,0.625
input->a0.h18<q>,-0.055664062
input->a0.h18<k>,-0.14941406
input->a0.h18<v>,0.032470703
input->a0.h19<q>,-0.17089844
input->a0.h19<k>,0.3046875
input->a0.h19<v>,0.51171875
input->a0.h20<k>,0.021240234
input->a0.h20<v>,0.25976562
input->a0.h21<q>,0.09765625
input->a0.h21<k>,0.06982422
input->a0.h21<v>,-0.0390625
input->a0.h22<q>,0.64453125
input->a0.h22<k>,-2.59375
input->a0.h22<v>,2.484375
input->a0.h23<q>,-0.46484375
input->a0.h23<k>,0.515625
input->a0.h23<v>,0.0546875
input->a0.h24<q>,-0.14355469
input->a0.h24<k>,0.044433594
input->a0.h24<v>,0.15136719
input->a0.h25<q>,-0.078125
input->a0.h25<k>,0.3828125
input->a0.h25<v>,0.47265625
input->a0.h26<q>,-0.016967773
input->a0.h26<v>,-0.265625
input->a0.h27<q>,-0.041503906
input->a0.h27<k>,0.014770508
input->a0.h27<v>,-0.064453125
input->a0.h28<q>,-0.13476562
input->a0.h28<k>,0.34960938
input->a0.h28<v>,-0.016723633
input->a0.h29<q>,0.024536133
input->a0.h29<k>,-0.026123047
input->a0.h30<q>,-0.068847656
input->a0.h30<k>,0.07861328
input->a0.h30<v>,-0.068359375
input->a0.h31<q>,0.057861328
input->a0.h31<k>,0.021850586
input->a0.h31<v>,0.06542969
input->m0,1.5625
a0.h0->m0,-0.05493164
a0.h1->m0,-0.18164062
a0.h2->m0,-0.030029297
a0.h3->m0,-0.024658203
a0.h4->m0,0.037353516
a0.h5->m0,-0.12695312
a0.h6->m0,-0.06982422
a0.h8->m0,-0.044677734
a0.h10->m0,0.030639648
a0.h11->m0,0.025878906
a0.h12->m0,0.01373291
a0.h14->m0,-0.012268066
a0.h15->m0,-0.22851562
a0.h17->m0,-0.028442383
a0.h18->m0,-0.031982422
a0.h19->m0,-0.02734375
a0.h21->m0,-0.049072266
a0.h22->m0,-0.040527344
a0.h23->m0,-0.06738281
a0.h25->m0,-0.03491211
a0.h26->m0,0.036132812
a0.h27->m0,-0.123046875
a0.h30->m0,0.040527344
a0.h31->m0,0.035888672
input->a1.h2<k>,0.02355957
input->a1.h3<v>,0.012573242
input->a1.h8<k>,0.015319824
input->a1.h8<v>,0.12451172
input->a1.h11<q>,-0.107421875
input->a1.h11<k>,-0.18652344
input->a1.h11<v>,0.123046875
input->a1.h14<k>,0.025268555
input->a1.h14<v>,0.049072266
input->a1.h17<v>,0.032226562
input->a1.h20<v>,-0.02331543
input->a1.h22<k>,0.016845703
input->a1.h26<v>,0.03149414
input->a1.h29<v>,0.0138549805
a0.h1->a1.h8<k>,0.012878418
a0.h1->a1.h8<v>,0.045410156
a0.h1->a1.h11<q>,-0.043945312
a0.h1->a1.h11<k>,0.017089844
a0.h1->a1.h11<v>,-0.045410156
a0.h1->a1.h22<v>,-0.015380859
a0.h3->a1.h8<q>,-0.013122559
a0.h3->a1.h8<v>,0.13476562
a0.h3->a1.h11<q>,-0.040527344
a0.h3->a1.h11<k>,-0.029174805
a0.h3->a1.h11<v>,-0.064941406
a0.h3->a1.h22<v>,-0.018676758
a0.h5->a1.h8<v>,-0.040283203
a0.h5->a1.h11<q>,-0.026367188
a0.h5->a1.h11<v>,0.033203125
a0.h8->a1.h8<v>,0.13085938
a0.h8->a1.h11<q>,0.017333984
a0.h8->a1.h11<k>,-0.03149414
a0.h8->a1.h11<v>,-0.06298828
a0.h9->a1.h11<v>,-0.012512207
a0.h10->a1.h8<v>,0.019042969
a0.h10->a1.h11<k>,-0.017211914
a0.h11->a1.h8<v>,0.025512695
a0.h11->a1.h11<q>,0.012268066
a0.h11->a1.h11<v>,-0.01586914
a0.h12->a1.h8<q>,0.018798828
a0.h12->a1.h8<v>,-0.028808594
a0.h12->a1.h11<v>,0.029174805
a0.h13->a1.h11<q>,-0.020263672
a0.h14->a1.h8<v>,0.0119018555
a0.h14->a1.h11<q>,-0.026611328
a0.h14->a1.h11<v>,0.01361084
a0.h14->a1.h17<v>,0.014587402
a0.h15->a1.h8<q>,-0.021240234
a0.h15->a1.h11<q>,0.019165039
a0.h16->a1.h11<q>,-0.019897461
a0.h18->a1.h8<v>,0.08984375
a0.h18->a1.h11<q>,0.025756836
a0.h18->a1.h11<k>,-0.012512207
a0.h18->a1.h11<v>,-0.045654297
a0.h21->a1.h8<v>,-0.025756836
