edge,score
input->a0.h0<q>,0.12011719
input->a0.h26<q>,0.24023438
input->a0.h29<q>,0.15820312
input->a0.h30<q>,0.20214844
input->a0.h31<q>,0.53125
input->m0,0.9453125
input->a1.h9<q>,0.096191406
input->a1.h23<q>,-0.28320312
input->a1.h29<q>,0.106933594
input->m1,1.7109375
a0.h16->m1,0.10449219
a0.h17->m1,0.11816406
a0.h18->m1,0.09765625
a0.h19->m1,0.100097656
a0.h28->m1,-0.09863281
a0.h29->m1,-0.096191406
a0.h30->m1,-0.09765625
a1.h0->m1,0.2421875
a1.h1->m1,0.23828125
a1.h2->m1,0.23730469
a1.h3->m1,0.23828125
a1.h4->m1,0.12011719
a1.h5->m1,0.115234375
a1.h6->m1,0.123535156
a1.h7->m1,0.110839844
a1.h8->m1,0.107910156
a1.h9->m1,0.11230469
a1.h10->m1,0.11376953
a1.h11->m1,0.11425781
a1.h28->m1,0.10986328
a1.h29->m1,0.106933594
a1.h30->m1,0.10449219
a1.h31->m1,0.10546875
input->m2,0.828125
m1->m2,0.7734375
a2.h8->m2,-0.19335938
a2.h9->m2,-0.18652344
a2.h10->m2,-0.18847656
a2.h11->m2,-0.18457031
a2.h14->m2,-0.115722656
a2.h15->m2,-0.11376953
a2.h18->m2,-0.095214844
a2.h19->m2,-0.09326172
a2.h24->m2,0.11621094
a2.h25->m2,0.110839844
a2.h26->m2,0.092285156
a2.h27->m2,0.10107422
a2.h28->m2,0.092285156
a2.h29->m2,0.10888672
a2.h30->m2,0.09863281
a2.h31->m2,0.09863281
input->m3,0.50390625
m1->m3,0.26171875
m2->m3,0.375
a3.h16->m3,-0.13671875
a3.h17->m3,-0.14355469
a3.h18->m3,-0.14746094
a3.h19->m3,-0.15527344
input->m4,0.34960938
m1->m4,0.17773438
a2.h14->m4,0.09814453
a2.h15->m4,0.100097656
a3.h8->m4,-0.09326172
a3.h10->m4,-0.09375
a3.h11->m4,-0.095703125
a3.h19->m4,-0.095214844
input->m5,0.2421875
m1->m5,0.096191406
input->m6,0.12109375
input->m8,0.103027344
a3.h17->m8,0.09326172
a3.h18->m8,0.095214844
a3.h19->m8,0.09814453
a3.h0->m9,0.103515625
a3.h1->m9,0.10498047
a3.h2->m9,0.10205078
a3.h3->m9,0.10498047
input->m10,0.103027344
a7.h20->m10,0.09423828
a8.h16->m10,-0.092285156
a2.h4->m11,0.09863281
a2.h5->m11,0.09863281
a2.h6->m11,0.09375
a2.h7->m11,0.09863281
a3.h20->m11,-0.119140625
a3.h21->m11,-0.118652344
a3.h22->m11,-0.122558594
a3.h23->m11,-0.12060547
a6.h12->m11,0.17480469
a6.h13->m11,0.1796875
a6.h14->m11,0.15136719
a6.h15->m11,0.17578125
a7.h4->m11,-0.103515625
a7.h7->m11,-0.103515625
a7.h8->m11,0.14355469
a7.h9->m11,0.12890625
a7.h10->m11,0.13671875
a7.h11->m11,0.1484375
a8.h4->m11,0.115722656
a8.h5->m11,0.12451172
a8.h6->m11,0.123046875
a8.h7->m11,0.115234375
a9.h11->m11,0.095214844
m9->m11,0.15625
m10->m11,0.17773438
a2.h16->m12,-0.15527344
a2.h17->m12,-0.15332031
a2.h18->m12,-0.14648438
a2.h19->m12,-0.1484375
a3.h20->m12,0.107421875
a3.h21->m12,0.107910156
a3.h22->m12,0.10888672
a3.h23->m12,0.107910156
a5.h16->m12,0.111816406
a5.h17->m12,0.12011719
a5.h18->m12,0.111816406
a5.h19->m12,0.118652344
a6.h28->m12,-0.13867188
a6.h29->m12,-0.14453125
a6.h30->m12,-0.1484375
a6.h31->m12,-0.15039062
a7.h22->m12,0.092285156
m1->a13.h27<q>,-0.12109375
m10->a13.h27<q>,-0.111328125
m11->a13.h26<q>,0.15429688
m11->a13.h27<q>,-0.27929688
a2.h8->m13,-0.095703125
a2.h11->m13,-0.095214844
a4.h8->m13,-0.16113281
a4.h9->m13,-0.13867188
a4.h10->m13,-0.15136719
a4.h11->m13,-0.16210938
a5.h12->m13,-0.10498047
a5.h13->m13,-0.11230469
a5.h14->m13,-0.107910156
a5.h15->m13,-0.10498047
a6.h24->m13,-0.111328125
a6.h25->m13,-0.11767578
a6.h26->m13,-0.11230469
a6.h27->m13,-0.11767578
a7.h8->m13,0.15332031
a7.h9->m13,0.14453125
a7.h10->m13,0.14355469
a7.h11->m13,0.15429688
a7.h20->m13,0.13671875
a7.h21->m13,0.13378906
a7.h22->m13,0.13671875
a7.h23->m13,0.12890625
a7.h28->m13,0.110839844
a7.h29->m13,0.115234375
a7.h30->m13,0.123535156
a7.h31->m13,0.10888672
a8.h8->m13,0.09423828
a8.h9->m13,0.09814453
a8.h10->m13,0.095703125
a8.h11->m13,0.09765625
a9.h18->m13,-0.10205078
a9.h19->m13,-0.095214844
a9.h20->m13,0.10058594
a9.h22->m13,0.09765625
a9.h23->m13,0.09423828
a10.h16->m13,0.119140625
a10.h17->m13,0.103515625
a10.h18->m13,0.10449219
a10.h19->m13,0.11376953
m11->m13,0.2890625
m12->m13,0.107910156
a13.h3->m13,0.09667969
input->m14,0.30664062
m1->m14,-0.15332031
a2.h3->m14,0.10107422
a3.h4->m14,0.10107422
a3.h5->m14,0.09667969
a3.h6->m14,0.103027344
a3.h7->m14,0.099609375
a5.h24->m14,0.111816406
a5.h25->m14,0.11376953
a5.h26->m14,0.11621094
a5.h27->m14,0.115234375
a7.h8->m14,-0.103027344
a7.h9->m14,-0.09375
a7.h10->m14,-0.096191406
a7.h11->m14,-0.106933594
a9.h28->m14,0.119140625
a9.h29->m14,0.107910156
a9.h30->m14,0.11328125
a9.h31->m14,0.11328125
m11->m14,0.22851562
m12->m14,0.099609375
m13->m14,0.53125
a14.h13->m14,-0.10498047
input->m15,0.38476562
m1->m15,-0.10986328
a2.h4->m15,-0.19140625
a2.h5->m15,-0.18847656
a2.h6->m15,-0.17871094
a2.h7->m15,-0.18652344
a2.h13->m15,-0.10449219
a2.h14->m15,-0.14550781
a2.h15->m15,-0.15917969
a6.h12->m15,-0.115722656
a6.h13->m15,-0.118652344
a6.h14->m15,-0.10058594
a6.h15->m15,-0.115234375
a6.h24->m15,-0.10546875
a6.h25->m15,-0.109375
a6.h26->m15,-0.10253906
a6.h27->m15,-0.10546875
a7.h0->m15,0.10498047
a7.h1->m15,0.10449219
a7.h2->m15,0.10644531
a7.h3->m15,0.10107422
a7.h4->m15,0.13476562
a7.h5->m15,0.103515625
a7.h6->m15,0.12011719
a7.h7->m15,0.13671875
a8.h0->m15,0.103027344
a8.h1->m15,0.10498047
a8.h2->m15,0.10107422
a8.h3->m15,0.09667969
a9.h20->m15,-0.118652344
a9.h21->m15,-0.111816406
a9.h22->m15,-0.11328125
a9.h23->m15,-0.11230469
a12.h21->m15,-0.092285156
a12.h22->m15,-0.10644531
a12.h23->m15,-0.095214844
m13->m15,0.25195312
m14->m15,0.921875
a15.h14->m15,0.34570312
a15.h23->m15,0.16796875
input->logits,-1.6328125
a2.h4->logits,-0.13964844
a2.h5->logits,-0.12890625
a2.h6->logits,-0.125
a2.h7->logits,-0.14257812
a2.h8->logits,0.140625
a2.h9->logits,0.15039062
a2.h10->logits,0.13574219
a2.h11->logits,0.1484375
a3.h4->logits,-0.21289062
a3.h5->logits,-0.20117188
a3.h6->logits,-0.21582031
a3.h7->logits,-0.19726562
a3.h16->logits,-0.14355469
a3.h17->logits,-0.1484375
a3.h18->logits,-0.15429688
a3.h19->logits,-0.15625
a3.h20->logits,-0.1640625
a3.h21->logits,-0.1640625
a3.h22->logits,-0.16015625
a3.h23->logits,-0.15917969
a3.h24->logits,0.13769531
a3.h25->logits,0.13378906
a3.h26->logits,0.14355469
a3.h27->logits,0.13671875
a3.h28->logits,-0.16796875
a3.h29->logits,-0.17773438
a3.h30->logits,-0.17089844
a3.h31->logits,-0.16992188
m3->logits,0.096191406
a4.h20->logits,0.23535156
a4.h21->logits,0.23242188
a4.h22->logits,0.24121094
a4.h23->logits,0.24414062
a4.h24->logits,-0.15234375
a4.h25->logits,-0.14550781
a4.h26->logits,-0.16601562
a4.h27->logits,-0.15136719
a4.h28->logits,-0.15234375
a4.h29->logits,-0.15625
a4.h30->logits,-0.1484375
a4.h31->logits,-0.14941406
a5.h0->logits,-0.13085938
a5.h1->logits,-0.13085938
a5.h2->logits,-0.13476562
a5.h3->logits,-0.1484375
a5.h12->logits,0.10205078
a5.h13->logits,0.125
a5.h14->logits,0.11425781
a5.h15->logits,0.111328125
a5.h20->logits,-0.099609375
a5.h22->logits,-0.095214844
a6.h8->logits,0.16796875
a6.h9->logits,0.16992188
a6.h10->logits,0.19335938
a6.h11->logits,0.15039062
a7.h0->logits,-0.20605469
a7.h1->logits,-0.20507812
a7.h2->logits,-0.20703125
a7.h3->logits,-0.20019531
a7.h4->logits,0.19140625
a7.h5->logits,0.16796875
a7.h6->logits,0.18359375
a7.h7->logits,0.19921875
a7.h13->logits,-0.10253906
a7.h14->logits,-0.10205078
a7.h15->logits,-0.10058594
a7.h16->logits,-0.115722656
a7.h17->logits,-0.11425781
a7.h18->logits,-0.10644531
a7.h19->logits,-0.109375
a7.h20->logits,-0.110839844
a7.h21->logits,-0.10498047
a7.h22->logits,-0.107421875
a7.h23->logits,-0.09765625
a8.h4->logits,-0.111328125
a8.h5->logits,-0.106933594
a8.h6->logits,-0.107910156
a8.h7->logits,-0.111328125
a8.h8->logits,-0.15234375
a8.h9->logits,-0.14941406
a8.h10->logits,-0.16503906
a8.h11->logits,-0.16015625
a8.h16->logits,-0.15136719
a8.h17->logits,-0.119140625
a8.h18->logits,-0.111328125
a8.h19->logits,-0.10888672
a8.h28->logits,0.23046875
a8.h29->logits,0.23046875
a8.h30->logits,0.19726562
a8.h31->logits,0.21289062
m8->logits,0.2734375
a9.h0->logits,0.17773438
a9.h1->logits,0.18652344
a9.h2->logits,0.16113281
a9.h3->logits,0.17871094
a9.h16->logits,0.123535156
a9.h17->logits,0.12011719
a9.h18->logits,0.12988281
a9.h19->logits,0.13476562
a9.h20->logits,-0.17382812
a9.h21->logits,-0.16796875
a9.h22->logits,-0.17285156
a9.h23->logits,-0.17089844
a9.h25->logits,-0.12792969
a9.h26->logits,-0.13183594
a9.h27->logits,-0.109375
a10.h8->logits,-0.17285156
a10.h9->logits,-0.16503906
a10.h10->logits,-0.16894531
a10.h11->logits,-0.17773438
a10.h24->logits,-0.26757812
a10.h25->logits,-0.27929688
a10.h26->logits,-0.27734375
a10.h27->logits,-0.28320312
a10.h28->logits,-0.24511719
a10.h29->logits,-0.25
a10.h30->logits,-0.23242188
a10.h31->logits,-0.23046875
m10->logits,-0.13476562
a11.h0->logits,0.1640625
a11.h1->logits,0.17285156
a11.h2->logits,0.16894531
a11.h3->logits,0.16210938
a11.h4->logits,-0.10644531
a11.h5->logits,-0.10205078
a11.h7->logits,-0.099609375
a11.h8->logits,0.1328125
a11.h9->logits,0.13964844
