edge,score
input->a0.h0<q>,-1.609375
input->a0.h1<q>,-0.73046875
input->a0.h2<q>,0.2734375
input->a0.h3<q>,0.21972656
input->a0.h4<q>,1.2578125
input->a0.h5<q>,1.3671875
input->a0.h6<q>,-4.1875
input->a0.h7<q>,0.3125
input->a0.h8<q>,0.76953125
input->a0.h9<q>,-0.4375
input->a0.h10<q>,6.03125
input->a0.h11<q>,0.49414062
input->a0.h12<q>,-0.921875
input->a0.h13<q>,0.15039062
input->a0.h14<q>,-0.17285156
input->a0.h15<q>,1.078125
input->a0.h16<q>,5.40625
input->a0.h17<q>,0.15234375
input->a0.h18<q>,1.609375
input->a0.h19<q>,0.8984375
input->a0.h20<q>,-0.484375
input->a0.h21<q>,-2.40625
input->a0.h23<q>,0.78125
input->a0.h24<q>,0.69140625
input->a0.h25<q>,0.2890625
input->a0.h26<q>,-0.15527344
input->a0.h27<q>,1.0703125
input->a0.h28<q>,-0.63671875
input->a0.h29<q>,-4.5625
input->a0.h30<q>,-1.1015625
input->a0.h31<q>,0.15722656
a0.h0->m0,0.018432617
a0.h3->m0,0.016357422
a0.h5->m0,0.0154418945
a0.h8->m0,0.022705078
a0.h11->m0,-0.014526367
a0.h13->m0,0.01965332
a0.h14->m0,0.01574707
a0.h15->m0,0.013427734
a0.h16->m0,0.018066406
a0.h19->m0,-0.017211914
a0.h21->m0,0.012512207
a0.h23->m0,-0.015319824
a0.h24->m0,-0.014892578
a0.h27->m0,0.014404297
a0.h29->m0,0.017944336
a0.h31->m0,0.018310547
m0->a1.h0<q>,0.047607422
m0->a1.h1<q>,-0.019042969
m0->a1.h7<q>,-0.013305664
m0->a1.h8<q>,0.12792969
m0->a1.h9<q>,0.08251953
m0->a1.h10<q>,0.15039062
m0->a1.h11<q>,-0.027832031
m0->a1.h13<q>,-0.02331543
m0->a1.h16<q>,0.038330078
m0->a1.h18<q>,0.033691406
m0->a1.h19<q>,0.079589844
m0->a1.h20<q>,-0.026977539
m0->a1.h21<q>,0.15527344
m0->a1.h22<q>,-0.044921875
m0->a1.h23<q>,-0.04663086
m0->a1.h25<q>,0.021972656
m0->a1.h26<q>,0.022460938
m0->a1.h27<q>,0.015380859
m0->m1,-0.18164062
m0->a2.h0<q>,0.044677734
m0->a2.h1<q>,-0.041992188
m0->a2.h2<q>,0.11621094
m0->a2.h3<q>,0.018310547
m0->a2.h4<q>,0.04711914
m0->a2.h5<q>,-0.064453125
m0->a2.h6<q>,-0.052490234
m0->a2.h7<q>,-0.025146484
m0->a2.h8<q>,-0.06933594
m0->a2.h10<q>,0.025268555
m0->a2.h11<q>,-0.023071289
m0->a2.h13<q>,0.034423828
m0->a2.h14<q>,-0.03930664
m0->a2.h15<q>,0.012817383
m0->a2.h19<q>,0.046875
m0->a2.h20<q>,1.34375
m0->a2.h21<q>,0.26757812
m0->a2.h22<q>,0.025024414
m0->a2.h23<q>,-0.11328125
m0->a2.h25<q>,0.051757812
m0->a2.h26<q>,-0.026123047
m0->a2.h27<q>,0.14453125
m0->a2.h28<q>,0.123046875
m0->a2.h29<q>,0.05493164
m0->a2.h30<q>,0.5234375
m0->a2.h31<q>,-0.15527344
m1->a2.h25<q>,0.014160156
m0->m2,0.15429688
m0->a3.h2<q>,-0.024902344
m0->a3.h7<q>,0.038330078
m0->a3.h9<q>,-0.05126953
m0->a3.h10<q>,0.056152344
m0->a3.h11<q>,0.1484375
m0->a3.h13<q>,-0.03112793
m0->a3.h18<q>,-0.056640625
m0->a3.h20<q>,-0.055419922
m0->a3.h21<q>,-0.016845703
m0->a3.h24<q>,-0.055664062
m0->a3.h25<q>,0.12890625
m0->a3.h26<q>,-0.049316406
m0->a3.h27<q>,-0.040527344
m0->a3.h28<q>,-0.080566406
m0->a3.h29<q>,0.122558594
m0->a3.h30<q>,-0.73828125
m1->a3.h30<q>,-0.031982422
m2->a3.h28<q>,-0.029418945
m0->m3,-0.34960938
m1->m3,-0.01361084
m2->m3,0.042236328
m0->a4.h1<q>,0.037353516
m0->a4.h2<q>,-0.025878906
m0->a4.h3<q>,0.01965332
m0->a4.h4<q>,-0.029174805
m0->a4.h5<q>,-0.04272461
m0->a4.h7<q>,-0.04345703
m0->a4.h8<q>,-0.080078125
m0->a4.h10<q>,0.13867188
m0->a4.h11<q>,0.017700195
m0->a4.h12<q>,0.015014648
m0->a4.h13<q>,0.12597656
m0->a4.h14<q>,-0.087890625
m0->a4.h15<q>,-0.16503906
m0->a4.h16<q>,0.06542969
m0->a4.h18<q>,-0.015991211
m0->a4.h23<q>,-0.0154418945
m0->a4.h25<q>,0.02722168
m0->a4.h28<q>,-0.034423828
m0->a4.h29<q>,0.012573242
m0->a4.h30<q>,-0.05053711
m0->a4.h31<q>,-0.050048828
m2->a4.h5<q>,0.022460938
m2->a4.h10<q>,-0.017700195
m2->a4.h13<q>,0.031982422
m2->a4.h15<q>,-0.056884766
m3->a4.h10<q>,-0.013671875
m0->m4,0.03564453
m3->m4,0.017822266
m0->a5.h0<q>,-0.119140625
m0->a5.h1<q>,-0.052246094
m0->a5.h3<q>,0.060058594
m0->a5.h4<q>,0.040527344
m0->a5.h5<q>,0.032958984
m0->a5.h6<q>,-0.07373047
m0->a5.h7<q>,-0.057617188
m0->a5.h12<q>,-0.019897461
m0->a5.h13<q>,0.034423828
m0->a5.h16<q>,0.014038086
m0->a5.h18<q>,-0.110839844
m0->a5.h19<q>,0.095703125
m0->a5.h21<q>,0.04272461
m0->a5.h22<q>,0.060302734
m0->a5.h24<q>,-0.10107422
m0->a5.h26<q>,-0.2421875
m0->a5.h28<q>,-0.017944336
m0->a5.h29<q>,-0.0546875
m0->a5.h30<q>,0.08886719
m2->a5.h3<q>,-0.027709961
m3->a5.h4<q>,-0.01574707
m3->a5.h6<q>,0.027832031
m4->a5.h24<q>,0.0119018555
m0->m5,-0.7734375
m1->m5,-0.029052734
m2->m5,0.063964844
m3->m5,0.022827148
m0->a6.h0<q>,-0.03149414
m0->a6.h2<q>,0.04321289
m0->a6.h3<q>,0.041503906
m0->a6.h4<q>,0.044921875
m0->a6.h5<q>,0.032470703
m0->a6.h7<q>,0.106933594
m0->a6.h10<q>,0.020629883
m0->a6.h11<q>,0.025512695
m0->a6.h12<q>,0.0138549805
m0->a6.h13<q>,-0.044433594
m0->a6.h14<q>,-0.020507812
m0->a6.h15<q>,-0.15722656
m0->a6.h16<q>,0.012451172
m0->a6.h19<q>,-0.027832031
m0->a6.h20<q>,0.061279297
m0->a6.h21<q>,-0.03881836
m0->a6.h22<q>,-0.034423828
m0->a6.h23<q>,-0.024902344
m0->a6.h28<q>,-0.018188477
m0->a6.h30<q>,-0.046142578
m0->a6.h31<q>,-0.025268555
m2->a6.h1<q>,-0.012329102
m3->a6.h1<q>,-0.0119018555
