edge,score
input->a0.h0<q>,0.08642578
input->a0.h1<q>,-0.375
input->a0.h2<q>,-0.057617188
input->a0.h3<q>,0.55859375
input->a0.h4<q>,0.69921875
input->a0.h5<q>,-0.049316406
input->a0.h6<q>,-3.140625
input->a0.h7<q>,-0.49804688
input->a0.h8<q>,0.064453125
input->a0.h9<q>,-0.85546875
input->a0.h10<q>,0.08544922
input->a0.h11<q>,-0.049316406
input->a0.h12<q>,4.03125
input->a0.h13<q>,1.0703125
input->a0.h14<q>,-0.08105469
input->a0.h15<q>,-3.796875
input->a0.h16<q>,-0.06640625
input->a0.h17<q>,0.296875
input->a0.h18<q>,-0.76953125
input->a0.h19<q>,-0.20214844
input->a0.h20<q>,0.06640625
input->a0.h21<q>,-0.08300781
input->a0.h22<q>,0.61328125
input->a0.h23<q>,1.8671875
input->a0.h24<q>,-1.3828125
input->a0.h25<q>,-2.484375
input->a0.h26<q>,0.20605469
input->a0.h27<q>,-0.096191406
input->a0.h28<q>,3.078125
input->a0.h29<q>,-0.82421875
input->a0.h30<q>,-0.031982422
input->a0.h31<q>,-1.40625
a0.h2->m0,-0.021118164
a0.h12->m0,-0.034423828
a0.h13->m0,-0.018066406
a0.h14->m0,-0.021972656
a0.h15->m0,0.016845703
a0.h16->m0,-0.014831543
a0.h18->m0,0.015136719
a0.h19->m0,0.013427734
a0.h23->m0,0.036132812
a0.h24->m0,-0.030761719
a0.h25->m0,-0.02722168
a0.h26->m0,0.04711914
a0.h27->m0,0.027954102
a0.h28->m0,-0.029052734
a0.h29->m0,0.023803711
a0.h30->m0,-0.017944336
a0.h31->m0,-0.026855469
m0->a1.h1<q>,0.020141602
m0->a1.h2<q>,0.030151367
m0->a1.h3<q>,0.021850586
m0->a1.h7<q>,0.04345703
m0->a1.h8<q>,0.10205078
m0->a1.h9<q>,-0.030273438
m0->a1.h10<q>,0.18359375
m0->a1.h12<q>,-0.10888672
m0->a1.h13<q>,0.016357422
m0->a1.h14<q>,-0.014892578
m0->a1.h15<q>,-0.022338867
m0->a1.h16<q>,0.06591797
m0->a1.h17<q>,-0.024536133
m0->a1.h19<q>,-0.031982422
m0->a1.h20<q>,-0.13964844
m0->a1.h21<q>,0.087890625
m0->a1.h23<q>,0.0546875
m0->a1.h24<q>,0.021972656
m0->a1.h29<q>,-0.016357422
m0->m1,-0.23144531
m0->a2.h0<q>,0.15722656
m0->a2.h1<q>,1.28125
m0->a2.h2<q>,0.023803711
m0->a2.h3<q>,-0.018310547
m0->a2.h4<q>,0.084472656
m0->a2.h5<q>,-0.11669922
m0->a2.h10<q>,0.02722168
m0->a2.h12<q>,-0.05029297
m0->a2.h14<q>,0.021728516
m0->a2.h15<q>,0.20117188
m0->a2.h16<q>,0.032470703
