edge,score
input->a0.h2<q>,-0.004486084
input->a0.h3<q>,0.010559082
input->a0.h5<q>,-0.0043029785
input->a0.h6<q>,-0.008605957
input->a0.h8<q>,0.0056152344
input->a0.h10<q>,-0.008850098
input->a0.h13<q>,0.004119873
input->a0.h16<q>,-0.0067443848
input->a0.h17<q>,-0.0043029785
input->a0.h24<q>,-0.0071411133
input->a0.h26<q>,0.006011963
input->a0.h30<q>,-0.008544922
input->a0.h31<q>,0.009765625
a0.h0->m0,0.020019531
a0.h1->m0,0.021728516
a0.h2->m0,0.017089844
a0.h3->m0,0.022949219
a0.h4->m0,-0.029541016
a0.h5->m0,-0.032226562
a0.h6->m0,-0.033203125
a0.h7->m0,-0.028930664
a0.h8->m0,-0.010009766
a0.h10->m0,-0.012634277
a0.h11->m0,-0.0072631836
a0.h12->m0,0.019897461
a0.h13->m0,0.016845703
a0.h14->m0,0.016479492
a0.h15->m0,0.015075684
a0.h16->m0,-0.0059814453
a0.h17->m0,-0.005706787
a0.h18->m0,-0.0044555664
a0.h20->m0,-0.015319824
a0.h21->m0,-0.01361084
a0.h22->m0,-0.014831543
a0.h23->m0,-0.017089844
a0.h28->m0,0.0076293945
a0.h29->m0,0.011962891
a0.h30->m0,0.015136719
a0.h31->m0,0.010620117
input->a1.h19<q>,-0.0039367676
input->a1.h20<q>,0.0043029785
m0->a1.h0<q>,-0.0063171387
m0->a1.h1<q>,0.007232666
m0->a1.h2<q>,0.021118164
m0->a1.h3<q>,0.004425049
m0->a1.h5<q>,0.017089844
m0->a1.h6<q>,0.0066833496
m0->a1.h11<q>,-0.010314941
m0->a1.h16<q>,0.009521484
m0->a1.h18<q>,0.008178711
m0->a1.h19<q>,-0.014465332
m0->a1.h20<q>,0.010681152
m0->a1.h21<q>,0.008605957
m0->a1.h22<q>,0.010498047
m0->a1.h23<q>,-0.014526367
m0->a1.h24<q>,-0.005493164
m0->a1.h25<q>,-0.005554199
m0->a1.h26<q>,0.006134033
m0->a1.h27<q>,-0.0054626465
m0->a1.h29<q>,0.009887695
input->m1,0.010803223
m0->m1,0.034423828
a1.h0->m1,-0.005432129
a1.h1->m1,-0.0046081543
a1.h3->m1,-0.004058838
a1.h5->m1,0.004180908
a1.h6->m1,0.0049438477
a1.h7->m1,0.004486084
a1.h16->m1,0.0057678223
a1.h18->m1,0.013366699
a1.h21->m1,-0.00390625
a1.h26->m1,0.0050354004
a1.h27->m1,0.0057678223
a1.h28->m1,0.0040283203
a1.h29->m1,0.004272461
a1.h30->m1,0.004638672
a1.h31->m1,0.0039978027
m0->a2.h4<q>,-0.008728027
m0->a2.h7<q>,0.005859375
m0->a2.h20<q>,-0.0069274902
m0->a2.h21<q>,0.0043640137
m0->a2.h27<q>,-0.010070801
m0->a2.h30<q>,0.010925293
input->m2,0.008911133
m0->m2,0.029663086
a1.h11->m2,-0.0043029785
m1->m2,0.005279541
a2.h16->m2,0.0060424805
a2.h17->m2,0.0043640137
a2.h19->m2,0.005493164
m0->m3,0.013916016
a2.h13->m3,-0.0040893555
a2.h14->m3,-0.0040283203
a2.h15->m3,-0.00491333
m2->m3,0.004760742
m0->m4,0.0056152344
m0->m5,0.00970459
m0->a6.h0<q>,0.004852295
m0->a6.h22<q>,-0.004211426
m0->m6,0.005004883
input->m8,-0.0047302246
a8.h11->m8,-0.005584717
m6->a10.h7<q>,-0.0045776367
m7->a10.h7<q>,-0.004699707
a2.h20->m10,-0.00390625
a2.h21->m10,-0.00390625
m0->m11,-0.00970459
a3.h17->m11,-0.0049743652
a3.h19->m11,-0.0040893555
m8->m11,-0.004272461
a10.h29->m11,0.0040893555
m0->m12,-0.008300781
a2.h20->m12,-0.004486084
a2.h21->m12,-0.00491333
a2.h22->m12,-0.004211426
a2.h23->m12,-0.0045776367
m9->m12,0.0045776367
a10.h22->m12,0.004486084
a10.h23->m12,0.0047912598
a10.h28->m12,-0.0040283203
a10.h29->m12,-0.0044555664
m11->m12,0.0059509277
m0->m13,-0.012634277
a3.h11->m13,0.0038909912
m5->m13,-0.0039367676
a10.h4->m13,-0.0050354004
a10.h7->m13,-0.0047302246
m10->m13,0.0054626465
a12.h21->m13,-0.0040893555
a12.h23->m13,-0.0049743652
m12->m13,0.0041503906
a13.h17->m13,0.0039978027
input->m14,0.004638672
a1.h11->m14,-0.00390625
m3->m14,0.004119873
a8.h8->m14,-0.005554199
a8.h9->m14,-0.0045776367
a8.h11->m14,-0.0067443848
m8->m14,0.0046081543
a10.h4->m14,-0.004852295
a10.h7->m14,-0.0045166016
m10->m14,0.0057373047
m11->m14,0.008544922
m12->m14,0.012084961
a13.h3->m14,-0.004272461
a13.h27->m14,-0.005065918
m13->m14,0.010375977
input->m15,-0.015991211
m0->m15,-0.015075684
a2.h4->m15,0.004638672
a2.h5->m15,0.0058288574
a2.h6->m15,0.004638672
a2.h7->m15,0.0069885254
a2.h26->m15,0.0048217773
a3.h8->m15,0.00491333
