edge,score
input->a0.h0<q>,-0.004425049
input->a0.h1<q>,0.0022125244
input->a0.h2<q>,-0.0006752014
input->a0.h3<q>,-0.0008659363
input->a0.h4<q>,-0.0011291504
input->a0.h6<q>,0.0074157715
input->a0.h7<q>,-0.0008354187
input->a0.h9<q>,-0.006164551
input->a0.h10<q>,0.0024871826
input->a0.h11<q>,-0.0073547363
input->a0.h12<q>,-0.0014648438
input->a0.h15<q>,-0.0006599426
input->a0.h16<q>,0.0009536743
input->a0.h18<q>,-0.00065612793
input->a0.h19<q>,-0.0025939941
input->a0.h20<q>,0.0014572144
input->a0.h21<q>,-0.0027770996
input->a0.h22<q>,0.00090789795
input->a0.h26<q>,0.0032806396
input->a0.h27<q>,0.0024261475
input->a0.h29<q>,-0.0009460449
input->a0.h30<q>,0.0008773804
input->a0.h31<q>,-0.004760742
input->m0,-0.17382812
a0.h2->m0,-0.0006637573
a0.h4->m0,0.0013580322
a0.h5->m0,0.0017166138
a0.h6->m0,0.0008735657
a0.h7->m0,0.001159668
a0.h9->m0,0.003967285
a0.h10->m0,0.00090408325
a0.h11->m0,0.0010375977
a0.h14->m0,-0.00064468384
a0.h16->m0,0.0032043457
a0.h17->m0,0.0039978027
a0.h18->m0,0.0030822754
a0.h19->m0,0.0037231445
a0.h23->m0,0.00064468384
a0.h24->m0,-0.00062561035
a0.h25->m0,-0.0005455017
a0.h27->m0,-0.000667572
a0.h28->m0,-0.0008010864
a0.h29->m0,-0.0008201599
a0.h31->m0,-0.0008010864
input->a1.h0<q>,0.00088882446
input->a1.h1<q>,-0.004760742
input->a1.h3<q>,0.004058838
input->a1.h5<q>,-0.0017166138
input->a1.h6<q>,0.0009841919
input->a1.h7<q>,0.00078582764
input->a1.h10<q>,0.0012893677
input->a1.h11<q>,0.001701355
input->a1.h12<q>,0.00089263916
input->a1.h13<q>,0.0010223389
input->a1.h14<q>,0.00075149536
input->a1.h15<q>,0.0015411377
input->a1.h16<q>,0.0057678223
input->a1.h17<q>,0.003326416
input->a1.h18<q>,-0.0013275146
input->a1.h20<q>,0.0014343262
input->a1.h22<q>,0.0017547607
input->a1.h24<q>,-0.00063323975
input->a1.h27<q>,-0.0005455017
input->a1.h29<q>,-0.0005455017
a0.h9->a1.h17<q>,0.00078201294
m0->a1.h0<q>,0.0032043457
m0->a1.h1<q>,-0.004333496
m0->a1.h2<q>,0.0005607605
m0->a1.h3<q>,0.012329102
m0->a1.h4<q>,-0.0010528564
m0->a1.h5<q>,-0.0022277832
m0->a1.h6<q>,0.0028533936
m0->a1.h7<q>,0.0016479492
m0->a1.h8<q>,0.001083374
m0->a1.h9<q>,-0.00078964233
m0->a1.h10<q>,0.002670288
m0->a1.h11<q>,0.0029907227
m0->a1.h12<q>,0.0011291504
m0->a1.h13<q>,0.0018157959
m0->a1.h14<q>,0.0020446777
m0->a1.h15<q>,0.0036315918
m0->a1.h16<q>,0.0052490234
m0->a1.h17<q>,-0.0030670166
m0->a1.h18<q>,-0.0028686523
m0->a1.h19<q>,-0.0017700195
m0->a1.h20<q>,0.004272461
m0->a1.h21<q>,0.0017700195
m0->a1.h22<q>,0.0043029785
m0->a1.h24<q>,-0.0024719238
m0->a1.h27<q>,-0.00060653687
m0->a1.h29<q>,-0.0012588501
m0->a1.h30<q>,-0.0007324219
input->m1,0.00062179565
a0.h9->m1,0.0009765625
m0->m1,-0.0045776367
a1.h0->m1,-0.0014877319
a1.h1->m1,-0.0009727478
a1.h2->m1,-0.0005455017
a1.h3->m1,-0.000831604
a1.h6->m1,0.0005493164
a1.h7->m1,0.00059890747
a1.h20->m1,-0.0007324219
a1.h21->m1,-0.0010757446
a1.h22->m1,-0.00062942505
a1.h23->m1,-0.0007209778
m0->a2.h2<q>,-0.0007209778
m0->a2.h4<q>,0.00062942505
m0->a2.h7<q>,0.0016479492
m0->a2.h11<q>,-0.00075149536
m0->a2.h12<q>,0.0007286072
m0->a2.h20<q>,0.0016860962
