edge,score
input->a0.h1<q>,-0.004272461
input->a0.h6<q>,0.0028381348
input->a0.h9<q>,-0.0061035156
input->a0.h10<q>,-0.0029144287
input->a0.h20<q>,-0.0033416748
input->a0.h27<q>,0.0033569336
input->a0.h30<q>,-0.0026550293
input->m0,0.1328125
a0.h0->m0,-0.00680542
a0.h1->m0,-0.007293701
a0.h2->m0,-0.00970459
a0.h3->m0,-0.009033203
a0.h4->m0,0.0056762695
a0.h5->m0,0.00491333
a0.h6->m0,0.006439209
a0.h7->m0,0.005432129
a0.h8->m0,-0.019042969
a0.h9->m0,-0.014709473
a0.h10->m0,-0.018920898
a0.h11->m0,-0.019897461
a0.h12->m0,0.0039978027
a0.h13->m0,0.0029754639
a0.h14->m0,0.005584717
a0.h15->m0,0.0039978027
a0.h16->m0,-0.010559082
a0.h17->m0,-0.0071105957
a0.h18->m0,-0.0063171387
a0.h19->m0,-0.005554199
a0.h28->m0,0.0029449463
a0.h29->m0,0.0028839111
a0.h30->m0,0.005279541
input->a1.h1<q>,0.0028076172
input->a1.h15<q>,0.0025634766
input->a1.h16<q>,0.0059509277
input->a1.h17<q>,0.00793457
a0.h1->a1.h5<q>,0.002532959
a0.h1->a1.h17<q>,0.0029144287
a0.h9->a1.h17<q>,0.0041503906
a0.h10->a1.h17<q>,0.0027160645
a0.h11->a1.h17<q>,0.0028381348
m0->a1.h0<q>,-0.013061523
m0->a1.h1<q>,0.014038086
m0->a1.h2<q>,-0.004760742
m0->a1.h3<q>,-0.005340576
m0->a1.h5<q>,-0.01574707
m0->a1.h6<q>,-0.009277344
m0->a1.h8<q>,-0.004425049
m0->a1.h12<q>,0.0075683594
m0->a1.h13<q>,0.0045166016
m0->a1.h14<q>,0.0040283203
m0->a1.h15<q>,0.005554199
m0->a1.h16<q>,-0.006164551
m0->a1.h17<q>,0.04272461
m0->a1.h18<q>,-0.016357422
m0->a1.h19<q>,-0.024169922
m0->a1.h20<q>,-0.0044555664
m0->a1.h28<q>,0.006378174
m0->a1.h31<q>,0.004180908
a1.h19->m1,-0.0035552979
a1.h20->m1,0.0033416748
a1.h26->m1,-0.0029449463
a1.h27->m1,-0.0029907227
m0->a2.h7<q>,-0.0069885254
m0->a2.h9<q>,-0.0025177002
m0->a2.h12<q>,0.0040283203
m0->a2.h17<q>,0.004058838
m0->a2.h20<q>,0.0045776367
m0->a2.h22<q>,0.004058838
m0->a2.h24<q>,0.004699707
m0->a2.h25<q>,-0.0027923584
m0->a2.h26<q>,-0.006591797
input->m2,0.0033569336
m0->m2,0.018066406
a1.h10->m2,-0.0031585693
a1.h11->m2,-0.0037078857
a1.h26->m2,-0.0030670166
a1.h27->m2,-0.0031433105
m1->m2,0.0045776367
a2.h15->m2,-0.0024871826
m0->a3.h16<q>,-0.002456665
m0->a3.h26<q>,-0.00340271
a1.h11->m3,0.0027160645
a2.h7->m3,0.0030059814
a2.h13->m3,-0.003189087
a2.h14->m3,-0.0034332275
a2.h15->m3,-0.004547119
a2.h26->m3,-0.0036773682
m0->m4,0.0040893555
a2.h7->m4,0.0025024414
a2.h26->m4,-0.0030212402
input->m5,0.0027313232
m0->m5,0.010986328
m0->a6.h3<q>,-0.005432129
m0->a6.h20<q>,0.002456665
m0->a6.h22<q>,-0.0034332275
m0->m6,0.0043640137
m0->m7,0.016845703
a2.h26->m7,-0.0025634766
input->m8,0.0025024414
m0->m8,0.012878418
a4.h25->m8,0.0027923584
input->m9,0.003967285
m0->m9,0.008300781
a1.h24->m9,-0.0026550293
a1.h25->m9,-0.0025024414
a1.h26->m9,-0.0030670166
a4.h25->m9,0.0032653809
input->m10,0.0036010742
input->m11,0.0032348633
m0->m11,0.0058898926
a2.h16->m11,0.0025787354
a2.h26->m11,-0.0034637451
input->m12,0.0045166016
m0->m12,0.008850098
a1.h5->m12,0.0026550293
a1.h24->m12,-0.0025177002
a1.h26->m12,-0.0030212402
a2.h5->m12,-0.0031433105
a2.h6->m12,-0.0029449463
a2.h7->m12,-0.0030517578
m3->m12,0.0026397705
a9.h12->m12,0.0025787354
m10->m12,-0.004211426
m11->m12,0.0036773682
m0->a13.h24<q>,0.0038604736
m12->a13.h24<q>,0.0027770996
input->m13,0.0028076172
m0->m13,0.004211426
m10->m13,-0.0028686523
m12->m13,0.006225586
a13.h24->m13,0.0028076172
a13.h27->m13,0.0030670166
m0->m14,0.00970459
a1.h11->m14,0.0027160645
a2.h4->m14,-0.0024871826
