edge,score_1,score_2
a5.h9->m11,0.084472656,0.0056152344
a11.h11->logits,0.2578125,-0.07080078
a1.h10->m2,-0.09667969,0.004699707
a4.h4->logits,-0.107910156,-0.017211914
a9.h11->m9,-0.07373047,0.004699707
m2->m6,-0.39453125,-0.16503906
a0.h1->m11,0.10058594,-0.006958008
m0->a6.h5<v>,-0.103515625,0.0060424805
m0->a5.h10<v>,0.084472656,0.006591797
m0->a11.h8<k>,0.10449219,0.029052734
a11.h7->logits,-0.2421875,0.008728027
input->m11,0.125,0.016113281
m0->a10.h4<v>,0.17578125,0.031982422
m6->m11,-0.44921875,0.022338867
m5->m10,-0.07373047,-0.020507812
a11.h8->m11,-1.0625,0.083984375
m0->a8.h11<v>,0.100097656,0.008666992
m0->a10.h8<v>,0.25976562,0.033691406
a8.h2->logits,0.123046875,0.011108398
a9.h3->logits,-0.08203125,0.005493164
m5->m9,-0.091796875,-0.031982422
a4.h8->logits,0.080078125,0.005065918
a1.h5->logits,-0.067871094,0.005493164
m3->a7.h11<v>,0.061523438,0.005279541
m5->m11,-0.5859375,0.087402344
a0.h6->m11,-0.07470703,0.0076293945
m1->logits,0.118652344,-0.014465332
m0->a3.h4<v>,-0.11767578,0.0045776367
m0->a7.h7<v>,0.072753906,0.0077819824
m1->m2,0.20703125,0.009277344
m0->a6.h9<v>,0.37304688,0.017456055
m8->m11,-0.69140625,-0.021728516
a0.h7->m11,0.12695312,0.005432129
a11.h2->logits,0.19042969,-0.011169434
m4->m7,-0.42578125,0.026733398
m7->logits,-0.051513672,0.030517578
a8.h10->logits,-0.17285156,-0.014282227
m11->logits,2.046875,0.23046875
m4->m5,0.16015625,-0.038085938
a9.h9->logits,-0.05493164,-0.008178711
m4->m9,-0.26757812,0.024658203
a10.h1->m11,0.056152344,0.005554199
a11.h10->logits,-0.063964844,-0.016113281
a8.h6->m11,0.17773438,0.00970459
a0.h5->m11,0.14160156,0.0052490234
m5->logits,-0.095214844,-0.044921875
a10.h2->logits,-0.15429688,0.008422852
a7.h11->m10,-0.110839844,0.0066833496
m3->m11,-0.068359375,0.031982422
m2->m8,0.13964844,-0.010925293
m1->m5,-0.04711914,0.020019531
m0->a11.h10<v>,-0.14453125,-0.017578125
m2->m4,-0.15917969,0.01928711
m0->a7.h4<v>,-0.10644531,-0.0058898926
m0->a5.h9<v>,-0.2109375,-0.0047302246
m0->a9.h1<v>,0.13378906,0.0058288574
a11.h11->m11,-0.40234375,-0.0077209473
m0->a5.h5<v>,-0.44921875,0.020751953
m0->m4,-0.46484375,0.012023926
m8->m9,0.24902344,0.00491333
m10->a11.h0<v>,-0.047607422,0.0050354004
a5.h0->m11,0.09814453,0.0048217773
m3->m6,0.043945312,0.017944336
m0->a10.h2<v>,-0.18359375,0.00491333
m3->m9,-0.16113281,0.01965332
m0->a8.h9<v>,0.10253906,0.010925293
m0->a10.h1<v>,0.078125,0.021606445
a6.h9->m11,0.2578125,0.0072631836
a0.h8->m11,0.061523438,-0.022338867
m0->a9.h4<v>,0.11230469,-0.024902344
m10->logits,-0.5078125,0.3828125
m1->m11,0.18652344,0.004760742
a11.h1->logits,0.15527344,-0.005126953
a11.h9->m11,0.06640625,0.010986328
m9->m11,-0.19335938,-0.07080078
a0.h9->m11,0.18652344,0.0154418945
m0->a1.h9<v>,-0.18164062,0.018920898
m0->a5.h0<v>,-0.061035156,0.006134033
m0->a4.h5<v>,-0.111328125,0.0049438477
a0.h10->logits,0.045654297,-0.023071289
m0->a6.h4<v>,0.13769531,0.0067443848
m0->a2.h3<v>,-0.091796875,0.00982666
m4->m6,0.23046875,0.0074157715
m0->a1.h8<v>,-0.046142578,0.018310547
a11.h9->logits,-0.16210938,-0.022827148
input->a0.h9<v>,0.31445312,0.051513672
m2->m11,1.046875,-0.13085938
m0->a1.h4<v>,-0.14355469,-0.0065307617
m0->a9.h11<v>,0.14160156,0.046875
m0->a11.h0<v>,-0.26171875,0.006713867
a7.h11->logits,-0.11816406,0.06298828
a7.h7->logits,0.13671875,0.029663086
m0->m9,0.75,0.08935547
m0->a8.h10<k>,-0.052490234,-0.01953125
m0->m11,2.375,0.012634277
m0->a7.h10<v>,-0.16113281,0.019897461
a0.h4->m11,0.08984375,-0.0049743652
m0->m10,-0.82421875,0.20996094
a11.h8->logits,1.09375,0.022827148
m4->logits,0.28710938,0.045654297
m0->m1,0.75390625,0.043701172
m2->m9,0.05053711,-0.07861328
m0->a8.h1<v>,0.3046875,0.010925293
a6.h2->logits,-0.122558594,-0.029174805
a10.h11->logits,0.11669922,0.024536133
a8.h1->logits,0.09082031,0.030151367
m0->a11.h9<v>,0.30859375,0.052246094
a11.h7->m11,-0.23242188,0.0063171387
m3->m10,0.11816406,0.016723633
m0->m5,-0.7109375,-0.13085938
a7.h5->logits,0.046875,0.0051879883
m0->a11.h6<v>,0.044677734,-0.012329102
a6.h4->logits,-0.049804688,-0.010498047
m0->a11.h7<v>,-0.20507812,0.012573242
m0->a4.h4<v>,-0.08300781,-0.013122559
a4.h10->logits,-0.06982422,0.004638672
a11.h0->logits,-0.05053711,0.023803711
input->a0.h11<v>,-0.16601562,-0.031982422
m6->m9,-0.06640625,-0.010986328
m0->a5.h11<v>,-0.29492188,-0.014038086
a0.h2->logits,-0.050048828,0.007446289
m0->a1.h7<v>,-0.13769531,0.006591797
m10->a11.h11<v>,-0.13085938,-0.015075684
m0->logits,-0.71484375,0.2265625
m0->m8,0.15527344,0.040283203
a5.h1->m11,0.26367188,-0.0076293945
m3->m8,-0.14160156,0.011474609
a0.h9->m0,0.17773438,0.01977539
a9.h6->logits,-0.16210938,0.0075683594
m0->m3,0.049804688,-0.36523438
a4.h8->m11,0.061279297,0.0064086914
input->a0.h5<v>,0.34179688,0.010131836
m2->m10,0.40234375,-0.13183594
a0.h4->logits,0.09667969,0.0058898926
a10.h3->logits,-0.053955078,0.008056641
m10->m11,-0.27929688,-0.123535156
m0->a7.h2<k>,0.055664062,0.014221191
a1.h4->logits,0.063964844,-0.008605957
a8.h0->logits,-0.18652344,-0.012451172
m0->a8.h6<v>,0.16503906,0.024902344
m3->m5,0.10644531,-0.021606445
a5.h11->m11,0.10644531,0.0047912598
m0->m6,-0.3515625,0.061035156
a7.h2->logits,0.13671875,0.03491211
a7.h11->m9,0.045898438,0.007659912
m0->a11.h2<v>,0.118652344,-0.016357422
a5.h6->logits,0.119140625,-0.007873535
m7->m9,0.08105469,-0.012573242
a0.h9->logits,0.09375,0.014465332
m7->m11,-0.28710938,0.033691406
m9->logits,0.5390625,0.072265625
m2->m7,-0.09326172,-0.04248047
m0->a3.h5<v>,0.05444336,0.0056152344
m3->m7,-0.22363281,0.0138549805
a7.h7->m11,0.24414062,0.007232666
a11.h5->logits,-0.110839844,0.037597656
a10.h11->m11,0.049804688,-0.0063171387
m2->logits,-1.8828125,0.033447266
m0->m7,0.13476562,0.044677734
m4->m10,0.10644531,0.020629883
m0->a10.h11<v>,0.17480469,0.018554688
m0->a9.h6<v>,-0.25195312,0.0099487305
m0->a7.h1<v>,0.20996094,0.024658203
m2->m5,-0.23242188,-0.017211914
m0->a2.h10<v>,-0.10644531,0.01373291
a6.h10->logits,0.072265625,0.020263672
m4->m8,-0.41015625,0.016967773
m2->m3,-0.07519531,0.26367188
m0->m2,-1.0703125,-0.3046875
input->m0,-1.6484375,0.36523438
a10.h8->logits,0.07519531,0.030883789
m0->a6.h10<v>,-0.053466797,0.01171875
