edge,score_1,score_2
input->a0.h10<v>,0.15234375,-0.022216797
a11.h3->logits,-0.080566406,0.011169434
m0->a9.h6<v>,-0.17773438,0.022338867
a8.h5->logits,0.13769531,-0.017700195
m1->logits,0.060302734,0.012817383
m4->logits,0.21484375,0.038085938
m0->a1.h0<v>,0.26367188,0.033447266
a0.h5->logits,-0.13574219,-0.024902344
a10.h5->m11,0.08984375,-0.0068359375
m0->a7.h4<v>,-0.21484375,-0.028930664
m0->a5.h9<v>,-0.125,0.016601562
a11.h1->logits,0.23339844,0.01171875
m0->a7.h10<v>,-0.18457031,-0.006164551
a11.h8->m11,-0.92578125,0.044921875
input->a0.h5<v>,0.27929688,0.013366699
a5.h7->logits,0.10986328,-0.01574707
m0->a9.h7<v>,0.079589844,-0.014587402
a11.h9->m11,-0.08984375,0.0063171387
a11.h11->logits,0.13769531,-0.050048828
m0->a2.h9<v>,0.052246094,0.018554688
m0->a7.h7<v>,0.092285156,0.028808594
m0->a10.h8<v>,0.23730469,0.03564453
m5->logits,0.091308594,0.02355957
a7.h0->logits,0.079589844,0.0056762695
m0->logits,-0.18261719,-0.25195312
m0->a4.h1<v>,0.20996094,-0.007232666
a0.h1->logits,-0.06738281,-0.030639648
m0->a3.h3<v>,0.17089844,0.011657715
a7.h11->logits,-0.06640625,0.04663086
a6.h2->m11,-0.053222656,0.018188477
m0->a3.h7<v>,-0.080078125,0.008544922
m0->a1.h10<v>,-0.118652344,-0.0079956055
m0->a9.h4<v>,0.10986328,-0.024658203
m0->a7.h6<v>,-0.08251953,-0.016113281
m0->a8.h7<v>,0.059326172,0.015258789
a1.h10->m2,-0.19335938,-0.011108398
a5.h5->a6.h2<v>,-0.053710938,0.005493164
a0.h5->m10,0.13378906,0.0069274902
m0->a5.h8<v>,-0.3125,-0.006866455
m0->a11.h9<v>,0.27734375,0.06982422
m0->a1.h5<v>,0.20214844,0.012634277
m0->a7.h1<v>,0.19335938,0.029174805
a7.h3->logits,-0.08496094,-0.0057373047
a0.h5->m0,0.075683594,0.0138549805
a6.h1->logits,-0.053710938,0.022705078
a0.h5->m11,0.110839844,0.017211914
input->a0.h6<v>,-0.06298828,0.017700195
m0->a10.h11<v>,0.19726562,0.022827148
input->a0.h1<v>,0.703125,0.0079956055
m0->m1,0.21582031,-0.10498047
a7.h4->m11,-0.06640625,-0.007232666
m2->m8,0.09375,-0.022949219
a9.h5->m11,-0.14453125,-0.010314941
m0->a11.h7<v>,-0.20019531,-0.014221191
m0->m6,0.13574219,0.059326172
a11.h1->m11,-0.064453125,-0.012878418
m0->m11,0.81640625,0.15527344
m2->logits,-0.640625,-0.15332031
m8->m11,-0.31445312,-0.017089844
a8.h2->logits,0.14453125,0.04711914
m0->a5.h11<v>,-0.22363281,0.016845703
m9->logits,0.55859375,0.07763672
a0.h9->logits,0.080078125,0.025146484
m2->m11,0.32421875,0.15039062
a8.h0->logits,-0.19726562,-0.025268555
m0->a5.h3<v>,0.08984375,0.0066833496
a11.h9->logits,-0.2265625,0.055908203
a8.h4->logits,0.17480469,-0.0071411133
a7.h1->logits,-0.06933594,0.011474609
m0->a3.h6<v>,-0.140625,0.014465332
m4->m6,0.08105469,-0.020751953
a0.h6->m0,0.122558594,0.022460938
m0->a6.h4<v>,0.107910156,0.01373291
m10->m11,0.359375,-0.08203125
m6->logits,0.38476562,-0.041259766
a10.h4->m11,0.14257812,0.006378174
a6.h2->logits,-0.20703125,-0.007873535
a4.h11->logits,0.1796875,0.008728027
m0->a4.h2<v>,0.068359375,-0.011108398
a11.h7->logits,-0.18652344,-0.0064086914
a10.h8->logits,0.050048828,0.030883789
a10.h11->logits,0.12207031,0.022216797
a11.h5->m11,0.09326172,0.010498047
m0->m7,0.12890625,0.05834961
a8.h5->m11,0.109375,-0.006958008
m0->m3,0.4609375,-0.076171875
m9->m11,0.16992188,-0.045654297
m0->a1.h9<v>,-0.15332031,0.033203125
m0->a9.h1<v>,0.20507812,0.016967773
a9.h11->m9,-0.05810547,0.006713867
m7->logits,0.09667969,-0.010070801
m0->m10,0.33789062,0.071777344
a9.h8->logits,0.07080078,0.008666992
m0->a10.h3<v>,-0.07910156,0.008972168
m1->m3,0.06689453,-0.015625
m0->a5.h6<v>,0.09667969,0.010864258
a0.h7->m0,-0.41015625,0.0068359375
a10.h5->logits,0.27734375,0.034423828
a5.h1->logits,0.11425781,0.010620117
a11.h0->m11,-0.19726562,0.04321289
m0->a9.h2<v>,0.1328125,0.014038086
m0->a9.h11<v>,0.18457031,0.06225586
m2->a6.h8<v>,-0.12792969,-0.012634277
m10->logits,0.3984375,0.26953125
m0->a1.h7<v>,-0.09423828,-0.0052490234
m0->a6.h2<v>,-0.10986328,0.010925293
a5.h8->m11,-0.096191406,0.0057373047
m0->a6.h8<v>,0.061035156,-0.010498047
a5.h3->logits,-0.057861328,0.009521484
input->m0,1.2890625,-0.30664062
m0->a4.h3<v>,0.07519531,0.011169434
input->a0.h11<v>,-0.21289062,0.018432617
a0.h0->m0,0.19042969,0.016601562
m0->a7.h2<v>,0.12207031,0.0087890625
a7.h7->logits,0.17871094,0.033691406
input->a0.h2<v>,0.20410156,0.014465332
a9.h6->logits,-0.19042969,0.014587402
m0->a1.h8<v>,-0.12060547,0.0069885254
a0.h1->m0,0.390625,0.013305664
a7.h7->a8.h5<v>,0.06298828,0.007019043
input->a0.h7<v>,-0.08251953,-0.014526367
m0->a2.h2<v>,0.15625,0.01953125
m0->a10.h2<v>,-0.2734375,0.015319824
a8.h1->logits,0.083984375,0.05444336
a9.h9->m11,-0.055908203,0.0051879883
a6.h3->logits,-0.079589844,0.028320312
a9.h11->logits,0.072265625,0.08984375
m4->m11,-0.08105469,0.02746582
m0->a10.h5<v>,0.20214844,0.021972656
m0->a10.h4<v>,0.18164062,0.034423828
m0->a1.h1<v>,-0.060546875,0.006225586
input->a0.h9<v>,0.3203125,0.044433594
m0->a8.h4<v>,0.16015625,-0.011657715
m0->a7.h8<v>,0.18261719,0.010559082
a5.h9->a6.h2<v>,-0.083984375,-0.010681152
m0->a8.h6<v>,0.15039062,0.013183594
m0->m5,0.296875,0.09375
m0->a8.h2<v>,0.15429688,-0.009094238
a10.h10->m11,0.052490234,-0.0134887695
m8->logits,-0.118652344,-0.021362305
m0->a7.h3<v>,-0.21875,-0.017700195
a0.h9->m0,-0.13964844,0.021606445
m0->a6.h6<v>,-0.087890625,-0.016845703
m2->m5,-0.064453125,-0.0234375
a8.h3->logits,0.061767578,0.008544922
a10.h9->logits,-0.103515625,-0.012878418
a0.h2->m0,0.18847656,-0.008972168
a0.h3->m0,0.45703125,0.010803223
m0->a4.h11<v>,0.24414062,0.0063171387
m0->a11.h10<v>,-0.12207031,-0.02746582
a5.h1->m11,0.25585938,-0.009460449
m11->logits,1.78125,0.40039062
m0->a4.h4<v>,-0.19726562,-0.010070801
a9.h0->logits,-0.06933594,-0.0078125
a0.h9->m11,0.09375,0.014160156
a7.h10->logits,0.05834961,0.008056641
m0->a4.h5<v>,-0.12060547,0.020263672
a10.h7->logits,-0.05834961,-0.03173828
a11.h0->logits,-0.12597656,-0.037841797
m0->a11.h8<v>,-0.17382812,0.008178711
m0->a5.h1<v>,-0.16210938,0.033203125
a8.h6->m11,0.23828125,0.008605957
m0->a4.h8<v>,0.080566406,-0.0071411133
input->a0.h3<v>,0.41015625,0.008239746
a6.h11->logits,0.07080078,-0.008422852
m2->a8.h10<v>,0.05493164,0.022705078
a11.h7->m11,-0.16210938,0.008422852
a7.h2->logits,0.18359375,0.02331543
m0->a1.h4<v>,-0.091796875,-0.012023926
m4->m5,0.057128906,-0.010986328
a10.h1->m11,0.060302734,0.009033203
m0->a10.h1<v>,0.067871094,0.017211914
m0->a8.h8<v>,0.12988281,0.008911133
a0.h10->m0,0.17285156,-0.007446289
m1->m11,0.068359375,-0.006378174
a8.h10->logits,-0.20996094,-0.03491211
m0->a9.h3<v>,0.15429688,0.021728516
m0->a10.h6<v>,-0.118652344,-0.0078125
a4.h9->logits,0.05126953,0.010375977
a7.h7->m11,0.27929688,0.005279541
m0->a7.h5<v>,0.12109375,0.010498047
m0->a11.h11<v>,-0.057128906,-0.03881836
m0->a9.h9<v>,-0.10058594,-0.011474609
a0.h4->m0,0.53125,-0.006713867
m5->m11,-0.21582031,0.021362305
a5.h10->logits,-0.119140625,0.007537842
a10.h5->m10,0.05053711,0.0072021484
a0.h11->m0,-0.15332031,0.014587402
m0->a11.h2<v>,0.091308594,-0.01373291
a10.h2->logits,-0.20507812,0.018066406
m10->a11.h0<v>,-0.061767578,0.0054016113
a6.h0->logits,0.091308594,-0.0099487305
a1.h7->m4,-0.076171875,-0.0061035156
a0.h8->m11,0.06689453,-0.026733398
m0->a2.h10<v>,-0.13085938,0.017333984
m0->a5.h7<v>,-0.11816406,-0.00982666
a7.h4->logits,-0.050048828,-0.026367188
m0->m4,-0.515625,0.038085938
m0->m9,0.64453125,0.026367188
m0->a8.h1<v>,0.3828125,0.026245117
m0->m2,-0.5078125,-0.20507812
a7.h5->logits,0.055664062,0.011108398
