edge,score_1,score_2
m1->m11,0.0058898926,0.004760742
a5.h1->m11,-0.0046081543,-0.0076293945
a7.h1->logits,-0.011352539,-0.0075683594
a11.h7->m11,0.006652832,0.0063171387
a7.h2->logits,0.032470703,0.03491211
m0->a6.h8<k>,0.0050354004,0.004638672
m10->logits,0.46679688,0.3828125
m0->a8.h9<k>,-0.004486084,-0.006378174
m0->m3,-0.27734375,-0.36523438
a6.h10->logits,0.018554688,0.020263672
m1->m5,0.02331543,0.020019531
m0->a1.h9<v>,0.006866455,0.018920898
m0->a10.h11<v>,0.016357422,0.018554688
m1->logits,-0.048828125,-0.014465332
m10->a11.h9<q>,-0.0062561035,-0.0048828125
m0->a11.h5<v>,0.0057373047,0.019165039
m0->a7.h1<q>,-0.007873535,-0.010253906
m4->m7,0.0051574707,0.026733398
m0->a8.h10<k>,-0.020019531,-0.01953125
m6->m10,-0.008178711,-0.015075684
m3->logits,0.063964844,0.064453125
m2->logits,-0.06738281,0.033447266
a5.h9->m11,0.009277344,0.0056152344
m2->m6,-0.119140625,-0.16503906
m2->a6.h4<v>,0.009521484,0.0064086914
m2->a11.h11<v>,0.008056641,0.010864258
m0->a10.h4<v>,0.028564453,0.031982422
m0->a10.h2<v>,0.0058288574,0.00491333
m2->m4,-0.05053711,0.01928711
m0->a9.h11<v>,0.048095703,0.046875
a6.h10->m11,0.008544922,0.011108398
a0.h5->m11,0.004852295,0.0052490234
m0->a11.h5<q>,0.0060424805,0.008728027
m0->a2.h5<v>,-0.017211914,-0.01574707
m0->a9.h5<k>,-0.009399414,-0.0061035156
m0->a6.h1<k>,0.006591797,0.008300781
m6->a11.h8<q>,0.006713867,0.004760742
m0->a3.h5<v>,0.0076904297,0.0056152344
a1.h3->logits,0.004486084,0.005340576
a0.h1->logits,-0.0154418945,-0.015991211
m0->a9.h11<k>,0.016235352,0.021362305
m0->a7.h6<k>,-0.0078125,-0.010803223
m4->m11,0.06298828,0.07080078
m0->a9.h1<k>,-0.009399414,-0.011779785
m2->a5.h1<k>,0.009033203,0.007385254
a0.h8->m10,-0.005126953,-0.0066833496
a2.h2->logits,-0.0043640137,-0.009277344
m5->m7,0.024047852,0.018554688
a0.h9->logits,0.01171875,0.014465332
m0->a6.h10<v>,-0.012023926,0.01171875
m0->a5.h1<q>,0.00793457,0.008666992
a0.h8->a10.h8<v>,0.004486084,0.004760742
m0->a11.h10<v>,-0.014221191,-0.017578125
m2->a6.h2<q>,-0.006591797,-0.0046691895
m4->logits,-0.010009766,0.045654297
m0->a6.h7<k>,-0.0076293945,-0.0115356445
m0->a6.h4<k>,-0.007873535,-0.0076904297
a1.h5->logits,0.0076293945,0.005493164
m2->a6.h10<v>,-0.012268066,-0.0072631836
m2->a7.h6<q>,-0.016845703,-0.018798828
m4->a9.h7<q>,-0.005432129,-0.004638672
a0.h9->m10,0.006958008,0.005432129
a8.h2->logits,0.016601562,0.011108398
m2->a9.h3<v>,0.0063171387,0.008483887
m2->m11,-0.12597656,-0.13085938
a8.h6->logits,0.025878906,0.028320312
m0->a6.h9<k>,0.008544922,0.010925293
m0->a10.h2<k>,0.008972168,0.009460449
m0->m9,0.040039062,0.08935547
input->a0.h2<v>,0.0073547363,0.005584717
input->a0.h5<v>,0.0065612793,0.010131836
a10.h11->logits,0.015991211,0.024536133
m0->a6.h5<k>,-0.01977539,-0.0154418945
a10.h7->m11,0.010498047,0.009338379
m5->a6.h2<v>,-0.0051879883,-0.0049438477
m0->a5.h2<k>,0.008911133,0.0079956055
m0->a11.h8<q>,0.01586914,0.011413574
a7.h7->logits,0.02722168,0.029663086
m0->a11.h6<v>,-0.009277344,-0.012329102
m2->a4.h2<v>,0.0045776367,0.005432129
a9.h11->a11.h8<v>,0.008483887,0.008666992
m2->m7,0.022705078,-0.04248047
m0->a11.h8<v>,0.022949219,0.00982666
input->a11.h8<v>,0.013427734,0.0077819824
m0->a8.h1<k>,0.020629883,0.025024414
m1->m2,0.008483887,0.009277344
m0->a9.h3<k>,0.0057678223,0.0046691895
m0->a2.h7<v>,0.016479492,0.010986328
a11.h5->logits,0.020141602,0.037597656
m1->a11.h8<k>,-0.013183594,-0.018188477
a7.h11->a11.h8<v>,0.008972168,0.010803223
m0->a7.h7<k>,0.0079956055,0.013366699
m0->a9.h6<v>,0.0134887695,0.0099487305
m0->a1.h8<v>,0.01171875,0.018310547
m0->a10.h2<q>,0.0054016113,0.004638672
m0->a2.h3<v>,0.007507324,0.00982666
m0->a8.h11<v>,0.004760742,0.008666992
a4.h8->m11,0.0054016113,0.0064086914
m0->a6.h7<v>,0.0057373047,0.010375977
a1.h8->logits,0.010498047,0.012634277
m2->m5,-0.052734375,-0.017211914
m0->a5.h1<k>,0.019042969,0.01953125
m3->a5.h1<q>,-0.009277344,-0.006164551
m0->logits,0.41210938,0.2265625
m5->m11,0.080566406,0.087402344
a10.h7->logits,-0.036376953,-0.034423828
m2->a6.h6<v>,-0.014465332,-0.0056152344
m0->a9.h1<q>,-0.006652832,-0.0077819824
m2->a6.h2<v>,0.012756348,0.01361084
m0->a7.h10<v>,0.006011963,0.019897461
m1->m10,0.008300781,0.010070801
a0.h8->logits,-0.006134033,-0.005706787
m0->a11.h8<k>,0.026733398,0.029052734
a6.h2->logits,-0.028076172,-0.029174805
m2->a11.h8<v>,-0.021728516,-0.016967773
m5->logits,-0.07373047,-0.044921875
m0->a8.h1<q>,0.013427734,0.012573242
m0->a9.h1<v>,0.004425049,0.0058288574
m2->a10.h5<v>,-0.008605957,-0.016235352
m1->a10.h8<v>,-0.006439209,-0.006591797
a8.h0->logits,-0.021850586,-0.012451172
m4->a7.h11<v>,0.008422852,0.0064086914
a9.h11->logits,0.079589844,0.06738281
a0.h6->logits,-0.014892578,-0.013122559
a0.h2->logits,0.008483887,0.007446289
m2->a11.h9<q>,-0.0071105957,-0.007019043
m0->a11.h2<v>,-0.019042969,-0.016357422
m0->a11.h11<q>,-0.0061035156,-0.008483887
a10.h2->a11.h8<v>,0.0051574707,0.006164551
a1.h10->m2,0.010864258,0.004699707
m8->m11,-0.020629883,-0.021728516
a1.h9->m11,0.0053100586,0.0057373047
m7->m9,-0.010498047,-0.012573242
m2->a8.h0<q>,0.005340576,0.013061523
