edge,score_1,score_2
a5.h0->logits,0.076660156,0.08691406
m0->a6.h5<v>,0.023925781,-0.17382812
m0->a1.h9<v>,-0.025024414,0.2578125
a2.h1->m2,0.013916016,0.030029297
m0->a8.h0<v>,0.016601562,0.13964844
m4->logits,0.049316406,0.2734375
m2->a6.h3<v>,0.023925781,-0.040527344
m0->a2.h10<v>,0.021118164,0.035888672
m0->a1.h2<v>,-0.03112793,0.064453125
a1.h1->logits,-0.017578125,-0.04663086
a11.h5->logits,-0.015380859,0.048095703
m0->m6,-0.23242188,0.49023438
m4->m9,0.037109375,0.09765625
m0->a10.h10<v>,-0.022705078,-0.07470703
m4->m6,-0.087402344,0.059570312
a9.h3->logits,-0.03112793,-0.032714844
m0->a7.h4<v>,0.033203125,0.06640625
m0->a10.h7<v>,-0.05053711,-0.100097656
m0->a1.h4<v>,0.014465332,0.033691406
m0->logits,-0.3203125,-0.94140625
m2->m6,0.28710938,-0.048828125
m0->a9.h7<v>,0.017456055,0.0546875
input->a0.h11<v>,-0.015991211,0.06982422
m0->a9.h2<v>,0.012634277,0.044921875
m0->a3.h5<v>,-0.027954102,-0.10058594
m0->a5.h9<v>,-0.06542969,0.05029297
m4->m8,-0.028930664,0.033447266
a0.h8->m1,-0.013061523,0.091308594
a10.h11->logits,0.020996094,0.03491211
m0->m2,0.020996094,-0.1484375
a11.h3->logits,0.020629883,0.14550781
m0->a2.h6<v>,-0.038085938,-0.03466797
m2->logits,0.1875,-0.28710938
a1.h7->a5.h9<v>,-0.01965332,-0.03881836
a8.h0->m11,-0.013366699,-0.08935547
m5->logits,0.095214844,0.029418945
m0->a9.h6<v>,0.020263672,0.048339844
m0->a11.h11<v>,-0.09423828,0.61328125
a9.h10->logits,-0.08496094,0.0546875
a11.h9->logits,0.08105469,0.10888672
m0->a8.h5<v>,0.030639648,0.08886719
m11->logits,0.18359375,0.17089844
m0->a1.h5<v>,-0.014038086,0.032714844
m0->a8.h7<v>,-0.035888672,-0.09082031
m0->a7.h6<v>,0.044433594,0.091796875
m0->m11,-0.38085938,-0.4296875
m2->a5.h9<v>,0.026733398,-0.040039062
a1.h5->logits,-0.013061523,0.04663086
m3->m8,-0.027832031,-0.039794922
m0->m1,-0.265625,-0.75
a10.h0->logits,0.014221191,-0.046142578
m0->a8.h4<v>,-0.024047852,0.07763672
m2->m3,-0.041259766,-0.11425781
m2->a11.h11<v>,0.022705078,-0.055908203
m0->a6.h9<v>,0.12597656,0.22265625
a7.h0->logits,-0.046142578,-0.045410156
m1->m3,-0.14355469,0.095703125
m3->logits,-0.018066406,0.068359375
a8.h2->logits,-0.034179688,-0.12109375
a1.h1->m1,0.020629883,0.048095703
input->a0.h6<v>,-0.067871094,0.09423828
m0->m3,0.036621094,-0.04345703
m2->a7.h4<v>,-0.12597656,-0.03173828
a10.h9->logits,-0.072265625,0.030639648
a11.h6->m11,0.028930664,0.0625
a11.h0->logits,0.041259766,-0.09765625
m3->m6,-0.076171875,0.04248047
m5->m11,-0.055908203,-0.103515625
a1.h8->m1,0.03881836,-0.125
m0->m4,0.22167969,-0.13964844
input->a0.h7<v>,-0.04272461,0.17578125
m0->a9.h4<v>,0.051513672,0.1796875
a5.h5->logits,0.017211914,0.15917969
m5->m8,0.029663086,0.13085938
m2->m10,-0.08984375,-0.23144531
m0->a7.h11<v>,0.16601562,0.11621094
a8.h5->logits,-0.021240234,0.09765625
a6.h4->logits,0.024047852,-0.030517578
m6->m10,-0.01965332,-0.030639648
m10->a11.h11<v>,-0.032470703,0.10449219
a6.h7->logits,0.021972656,0.030639648
a9.h1->m11,-0.02734375,0.05493164
a9.h6->logits,0.024658203,0.042236328
a1.h2->m1,-0.015136719,0.12792969
a0.h6->m10,0.012634277,0.035888672
a10.h10->m11,0.043945312,0.092285156
m3->a11.h8<v>,0.039794922,-0.034423828
m9->logits,-0.18847656,-0.21484375
a11.h4->m11,0.057861328,-0.05053711
m0->a9.h11<v>,0.103027344,0.08251953
a6.h11->logits,-0.013427734,-0.03857422
a10.h2->logits,0.016601562,-0.23144531
a9.h11->logits,-0.09375,0.15820312
a0.h6->m1,-0.021728516,0.091796875
m7->logits,0.048828125,-0.076171875
a7.h6->m11,0.024047852,0.084472656
a1.h7->m2,0.022827148,0.0546875
a7.h5->logits,0.028442383,-0.036376953
m1->m8,-0.017700195,-0.03540039
m0->a11.h8<v>,0.08984375,-0.26171875
m0->m10,-0.45507812,-0.2109375
m2->m8,0.110839844,0.19140625
m2->m9,0.014465332,-0.091796875
m0->m5,-0.013916016,-0.06591797
input->m2,0.017456055,0.055664062
m0->a6.h2<v>,0.03149414,0.23339844
m10->logits,-0.62109375,-0.55078125
m5->m10,-0.053466797,-0.06982422
m0->a11.h0<v>,-0.02746582,-0.099609375
a8.h2->m11,0.027954102,0.034423828
m3->m9,0.020141602,0.03515625
a0.h1->m1,0.012634277,-0.056884766
m4->m10,0.048339844,0.110839844
a1.h4->m1,-0.022705078,0.13476562
m0->a6.h3<v>,0.027832031,0.032714844
a10.h5->m11,-0.018798828,0.10253906
m8->logits,-0.07324219,-0.1796875
input->m1,-0.030029297,0.064453125
m0->a11.h10<v>,-0.061035156,-0.047851562
m3->m10,0.028442383,0.072265625
m0->a11.h7<v>,0.052734375,0.12060547
m0->a9.h3<v>,-0.015075684,-0.053955078
m0->a7.h0<v>,-0.020263672,-0.08105469
m2->m4,-0.018798828,0.107910156
m0->a5.h3<v>,0.014709473,0.13964844
a0.h11->m0,0.02355957,-0.06225586
m0->m8,-0.18359375,-0.5703125
a9.h10->m11,-0.0234375,0.055908203
a6.h9->logits,0.029541016,0.033691406
m7->m9,-0.021728516,-0.037597656
m0->a5.h5<v>,0.03955078,0.25585938
a11.h11->logits,-0.09082031,0.43164062
a11.h10->m11,-0.018310547,0.032714844
m1->m2,-0.1875,0.12792969
a7.h2->logits,0.029663086,0.099609375
a9.h5->logits,0.036621094,-0.13476562
a1.h9->a5.h9<v>,0.014526367,0.028930664
m0->a7.h7<v>,-0.01965332,0.18359375
m0->a8.h10<v>,-0.032714844,0.033447266
input->a0.h5<v>,-0.053222656,0.06689453
m6->logits,-0.021606445,0.078125
input->a0.h8<v>,-0.05908203,0.21972656
a10.h8->m11,-0.016357422,0.040039062
m0->m7,0.16015625,0.29101562
a2.h2->logits,-0.040283203,-0.044677734
a1.h7->m1,-0.02355957,0.095214844
a0.h11->m1,-0.023071289,0.045410156
a11.h1->m11,-0.026367188,-0.04711914
a4.h8->logits,0.026733398,0.029541016
m0->a8.h1<v>,0.052734375,0.1328125
a1.h0->logits,-0.049316406,-0.037353516
m0->a5.h0<v>,0.111328125,0.12451172
m0->a7.h8<v>,-0.014221191,-0.16601562
m0->a2.h7<v>,-0.03881836,0.043945312
input->m5,-0.032714844,-0.040527344
m4->m11,0.049316406,-0.17285156
a6.h10->m11,0.013061523,-0.030883789
m4->a5.h9<v>,0.015625,0.048828125
m0->a5.h4<v>,-0.029785156,-0.08496094
m2->m11,-0.24902344,0.7734375
a0.h7->m0,0.024047852,-0.07324219
m0->a7.h5<v>,0.029174805,-0.1328125
m0->a4.h8<v>,-0.023803711,-0.049316406
a11.h8->m11,0.4453125,-0.44335938
m1->m4,-0.056884766,0.043701172
m0->a5.h2<v>,0.014465332,0.04711914
m0->a2.h2<v>,-0.01574707,-0.032958984
m0->a9.h5<v>,-0.016601562,-0.08935547
m0->a6.h4<v>,-0.04272461,-0.13867188
a11.h8->logits,-0.25390625,0.21289062
input->a0.h9<v>,-0.047607422,-0.14648438
m0->a6.h6<v>,0.10644531,-0.076171875
m0->a2.h9<v>,-0.012634277,-0.040527344
m0->a9.h10<v>,0.0138549805,0.056640625
m0->a8.h6<v>,0.044433594,-0.19726562
m7->m11,0.04248047,0.09765625
a11.h6->logits,-0.014526367,-0.31445312
a8.h6->logits,0.020629883,-0.049804688
a7.h6->logits,0.10253906,0.084472656
a9.h1->logits,0.024536133,-0.10107422
a11.h4->logits,-0.21386719,0.08984375
m0->a1.h7<v>,-0.04663086,-0.12109375
a10.h5->logits,-0.08251953,0.15332031
a0.h5->logits,-0.022827148,-0.053710938
m0->a4.h4<v>,0.064453125,-0.11816406
m4->a11.h8<v>,0.021850586,-0.035888672
m0->a10.h0<v>,0.016723633,0.07763672
m0->a11.h4<v>,-0.020263672,0.111328125
a9.h7->m11,0.016235352,-0.036621094
input->m0,0.625,-3.375
m1->m10,0.092285156,0.033691406
m0->a10.h2<v>,0.043701172,-0.25
input->a0.h3<v>,0.012817383,-0.13085938
m0->a1.h8<v>,0.04345703,-0.12792969
m0->m9,-0.10546875,0.111816406
a7.h2->m11,0.014404297,0.029174805
m5->m7,-0.061035156,-0.057861328
a1.h0->m1,0.028442383,0.048828125
m9->m11,0.06298828,0.122558594
a1.h7->logits,-0.034423828,-0.056152344
input->a0.h2<v>,-0.024047852,0.11230469
a9.h3->m11,0.015014648,-0.044433594
a7.h11->logits,-0.045898438,0.12011719
input->logits,0.265625,0.31640625
m2->m7,-0.080078125,-0.04248047
m8->m9,-0.018066406,-0.100097656
m8->m11,0.030273438,0.09375
m0->a7.h2<v>,0.13085938,0.056152344
m1->a11.h11<v>,0.021362305,-0.055908203
m6->m9,-0.028076172,-0.04272461
m1->logits,-0.014282227,0.05493164
