edge,score_1,score_2
m1->m6,0.0023651123,0.01373291
m9->a11.h4<k>,-0.0051879883,-0.0022277832
input->m3,0.0038146973,0.0025787354
a8.h10->logits,-0.004699707,-0.004211426
m4->logits,0.07324219,0.056640625
input->a0.h10<v>,0.007537842,-0.008117676
m0->a5.h4<v>,0.010375977,0.0033416748
m0->m4,-0.038330078,-0.014587402
input->a11.h10<k>,-0.0057373047,-0.0018615723
a8.h5->logits,0.0031585693,-0.0030670166
m0->a7.h7<v>,-0.006439209,-0.00982666
m0->a7.h10<k>,0.0045166016,0.0017318726
m0->a10.h5<v>,0.009887695,0.0050354004
m0->a5.h2<v>,-0.0043029785,-0.0034637451
m2->a10.h10<q>,0.0026245117,0.0024871826
m0->a8.h11<k>,0.0048217773,0.0023956299
a0.h9->logits,0.0036010742,0.0027923584
m0->a11.h6<v>,-0.0023345947,-0.0026397705
a11.h11->logits,0.012451172,0.0047912598
m5->m11,0.008605957,-0.080078125
m10->logits,-0.28125,-0.33984375
m10->a11.h4<k>,-0.020629883,-0.0043945312
m0->a9.h2<v>,0.0062561035,0.0054626465
m4->m10,0.024658203,0.033203125
m2->m3,-0.032958984,-0.037109375
m4->m8,0.026733398,-0.007019043
m1->m2,-0.05493164,0.060302734
m0->a10.h2<v>,0.0115356445,0.0046691895
m0->a5.h11<v>,0.0022583008,-0.012939453
m0->a5.h5<v>,-0.0036773682,0.0064697266
a10.h3->logits,0.0029449463,0.0016326904
a6.h2->logits,-0.0032043457,-0.0026550293
input->a0.h8<v>,-0.020629883,-0.030639648
m4->m5,0.011474609,-0.009460449
m0->a1.h10<v>,-0.0027160645,-0.0033569336
m3->logits,0.04248047,0.020996094
m3->m10,0.008178711,0.021606445
m0->a10.h1<v>,0.0052490234,0.0056152344
m1->m10,-0.023803711,-0.03149414
input->a0.h7<v>,-0.008117676,-0.0016326904
input->a11.h4<k>,0.009216309,0.0048828125
m7->logits,0.028442383,0.030273438
m0->a4.h9<v>,0.0056762695,0.0036315918
m2->m7,0.06640625,0.012451172
m1->a11.h11<k>,-0.00491333,-0.0019989014
m1->logits,0.068359375,0.0115356445
m0->m2,0.10449219,-0.05834961
m1->m11,0.0045776367,0.013122559
m0->m9,0.06640625,-0.006713867
m0->a10.h6<v>,0.010131836,0.006713867
m2->a5.h9<v>,0.0052490234,0.0058898926
input->a10.h8<k>,0.0022277832,0.0030059814
m0->a6.h6<k>,-0.002532959,-0.0019073486
a7.h10->logits,0.0023498535,0.0020751953
m0->a10.h2<k>,0.011230469,0.0056762695
m0->a4.h3<v>,-0.00680542,-0.0016708374
m5->logits,0.11767578,0.08984375
m0->a11.h8<v>,-0.013061523,-0.0095825195
m0->m8,0.004638672,-0.06738281
m0->a10.h0<v>,0.0056152344,0.0064697266
input->a0.h5<v>,-0.009094238,-0.001663208
a5.h1->logits,-0.0019836426,0.0036315918
input->a8.h10<k>,-0.0025787354,-0.0018005371
m0->a9.h7<v>,0.016845703,0.0047912598
m0->a8.h3<v>,-0.0032196045,-0.003967285
m11->logits,-0.1640625,-0.18457031
input->a0.h0<v>,0.0044555664,0.0017547607
m10->m11,0.22460938,0.1328125
m0->a9.h2<k>,0.003768921,0.0027923584
m0->a10.h1<k>,0.0043640137,0.0036315918
m0->m7,0.037109375,0.037597656
m1->m5,-0.008911133,0.031982422
m0->a11.h4<v>,-0.0546875,-0.024047852
m3->m4,0.008422852,0.0034332275
m0->a6.h6<v>,-0.0045776367,-0.009094238
a9.h5->logits,-0.0034179688,-0.0043029785
m4->m9,-0.004760742,-0.0017471313
m1->m9,0.021850586,-0.0030212402
m7->m11,0.028930664,-0.03857422
m1->m7,0.01361084,-0.004852295
m2->a9.h11<v>,-0.0022125244,-0.002456665
a11.h2->logits,0.004333496,0.0075683594
a0.h7->logits,0.004486084,0.0022888184
m0->a7.h1<v>,-0.010681152,0.0064697266
m0->a11.h11<v>,0.019165039,0.011962891
a10.h2->logits,0.0029449463,0.0027313232
a5.h11->logits,-0.0028839111,-0.0030517578
m0->a8.h5<v>,0.015319824,0.003692627
m2->a7.h6<v>,0.0051574707,0.005706787
m0->a6.h4<v>,0.005859375,0.013916016
m2->m6,0.03466797,-0.024902344
m2->a7.h7<v>,-0.0026245117,-0.0027923584
m0->a11.h11<k>,0.018798828,0.0077209473
m0->a1.h8<k>,0.0044555664,0.0032196045
m0->a4.h4<v>,0.007873535,0.003540039
m6->m9,0.014526367,-0.002746582
m2->m8,0.076171875,0.033691406
m0->a10.h8<k>,-0.024536133,-0.013183594
m0->a10.h8<v>,-0.024902344,-0.014526367
m0->m11,-0.48828125,-0.20703125
m2->logits,0.2734375,0.16894531
m2->m10,-0.051513672,-0.06542969
input->logits,-0.034423828,0.056152344
m9->m11,0.115234375,0.050048828
m1->m3,-0.013122559,-0.04321289
a0.h9->m11,-0.0056762695,-0.0016098022
a6.h3->logits,0.002029419,0.0027008057
input->a0.h5<k>,-0.0041503906,-0.0019683838
m2->m9,0.07519531,0.009521484
m0->a4.h6<v>,-0.0119018555,0.003753662
m0->a10.h4<k>,0.008056641,0.0027160645
m8->m11,0.10546875,0.013977051
a10.h7->logits,-0.002456665,-0.0031280518
m0->a9.h6<k>,0.0056152344,0.009094238
m0->a9.h9<v>,0.0030670166,0.006591797
input->m4,0.0053100586,-0.0028839111
m0->a11.h5<v>,-0.003326416,-0.0018463135
input->a0.h4<v>,0.003112793,0.0064697266
input->a11.h11<k>,-0.0069885254,-0.0029754639
a7.h4->logits,0.0038909912,0.010375977
m0->a4.h10<v>,0.009399414,-0.0025939941
m9->m10,0.024169922,-0.0034332275
m0->a2.h6<v>,-0.0064086914,0.004486084
a9.h2->logits,0.0022735596,0.0023956299
m0->a11.h2<q>,0.005279541,0.0023956299
m6->logits,0.10205078,0.06689453
m0->m5,0.13476562,-0.079589844
m6->m11,0.009399414,-0.038330078
