edge,score_1,score_2
m1->m3,-4.8125,-1.163
m1->a5.h8<q>,0.7890625,-0.2029
m1->a9.h29<k>,0.63671875,0.1326
m1->a2.h8<q>,-0.17578125,-0.1302
m1->a3.h9<q>,-0.81640625,1.281
m1->a8.h24<q>,1.6484375,0.1714
m1->m2,2.5,0.4546
m1->a2.h8<k>,-0.6953125,0.3252
m1->a7.h1<q>,-0.5234375,0.07336
m1->a6.h8<k>,0.8046875,-1.727
m1->a2.h16<q>,-0.73828125,-0.09607
m1->a3.h14<k>,-0.34179688,-0.249
m1->a4.h30<q>,2.109375,0.6216
m1->a7.h27<k>,0.78125,-0.0748
m1->a2.h22<k>,-1.296875,0.4702
m1->a4.h0<q>,0.88671875,0.1175
m1->a4.h20<q>,-3.078125,-0.1375
m1->a10.h0<k>,0.29101562,0.2092
m1->a3.h6<k>,0.19238281,0.2659
m1->a2.h12<q>,-0.18847656,-0.0903
m31->logits,0.890625,3.566
m1->a4.h21<k>,1.1015625,-0.952
m1->a10.h8<q>,-0.39257812,-0.193
m1->a8.h3<q>,2.125,0.07904
m1->a2.h15<q>,0.22265625,-0.564
m1->a5.h28<q>,0.26953125,0.1371
m1->a4.h4<q>,-2.5,0.07404
m1->a4.h7<k>,-0.29296875,0.1687
m1->a10.h15<q>,-1.1875,0.0758
m1->a3.h8<k>,-0.23730469,0.2019
m1->a10.h30<q>,0.3984375,0.196
m1->a6.h18<q>,1.03125,0.1166
m30->logits,-1.0234375,-1.67
m1->a2.h29<q>,0.6796875,-0.0812
m1->a8.h10<q>,0.68359375,-0.2438
m1->a11.h30<k>,-0.2421875,0.1661
m1->a2.h27<q>,-1.3984375,-0.7554
m1->a11.h19<k>,0.31835938,0.0757
m1->a5.h31<q>,0.64453125,-0.4622
m1->a3.h22<q>,-1.890625,-0.759
m1->a3.h17<q>,-6.4375,-0.718
m1->a3.h24<k>,0.25585938,0.1351
m1->a3.h18<q>,-0.55859375,-0.0929
m1->a3.h21<q>,1.015625,1.484
m1->a4.h22<q>,1.546875,1.411
m1->a4.h29<q>,2.40625,0.12274
m1->a2.h7<q>,1.046875,-1.025
m1->a3.h21<k>,-0.26953125,-0.2174
m1->a4.h20<k>,4.09375,0.11584
m1->a2.h22<q>,3.1875,-0.3066
m1->a3.h25<k>,0.47070312,0.3862
m1->a3.h5<q>,-0.28320312,-0.1665
m1->a3.h29<q>,1.15625,0.248
m1->a6.h4<q>,-0.71875,-0.1466
m1->a3.h28<q>,0.5859375,-0.1716
m1->a2.h4<q>,-0.484375,-0.323
m1->a6.h31<q>,-0.2109375,0.1053
m1->a13.h9<k>,0.27148438,0.0929
m1->a11.h13<k>,0.74609375,0.1692
m1->a5.h24<q>,1.046875,-0.1366
m1->a4.h11<q>,-0.34570312,0.437
m1->a2.h23<k>,0.4140625,-0.281
m1->m10,-0.9296875,-0.1981
m1->a7.h22<q>,0.94921875,0.1222
m1->a3.h16<q>,-0.61328125,-0.315
m1->a4.h13<q>,-0.71484375,0.3687
m1->a3.h20<q>,-1.6796875,-0.0748
m1->a5.h27<k>,1.0,0.10754
m1->a5.h19<q>,0.73828125,0.09174
m1->a10.h28<q>,-0.609375,0.0884
m1->a8.h18<q>,1.4296875,0.08044
m1->a3.h12<q>,-0.33984375,0.0986
m1->a4.h26<q>,0.796875,-0.5146
m1->a3.h2<q>,0.20605469,-0.1561
m1->a6.h28<q>,-0.27539062,-0.0759
m1->a4.h4<k>,1.46875,-0.2961
m1->a8.h5<k>,0.51953125,0.3032
m1->a2.h14<q>,0.19335938,-0.082
m1->a12.h13<q>,-0.25585938,0.0846
m1->a5.h22<q>,-1.171875,-0.3228
m1->a7.h2<q>,-0.63671875,-0.1043
m1->a2.h25<q>,2.15625,0.1123
m1->a10.h10<q>,-0.19628906,0.0771
m1->a10.h18<k>,0.18847656,-0.0939
m1->a6.h23<q>,-0.17285156,0.2815
m30->a31.h10<q>,-0.24511719,-0.4648
m1->a3.h15<k>,-0.328125,0.2281
m1->a6.h6<q>,-3.953125,-1.018
m1->a3.h11<q>,-0.7890625,0.3928
m1->a7.h8<k>,-0.5546875,0.08136
m1->a6.h5<q>,0.828125,-0.3154
m1->a4.h14<k>,0.5078125,-0.1282
m1->a9.h13<q>,-0.21972656,0.2174
m1->a3.h3<q>,2.40625,-0.9375
m1->a3.h8<q>,-1.1015625,0.2457
m1->a7.h25<q>,-4.125,-0.2727
m1->a4.h2<q>,1.8984375,-0.262
m1->m5,-2.515625,0.07477
m1->a10.h9<q>,0.30273438,0.10156
m1->a2.h26<q>,-0.59375,-0.314
m1->a8.h23<q>,-0.40820312,-0.1709
m1->a2.h23<q>,-2.1875,-1.9
m1->a3.h15<q>,0.515625,-0.255
m1->a6.h19<q>,-0.17773438,0.10333
m1->a5.h5<k>,1.1484375,-0.0951
m1->m7,-0.8515625,0.1365
m1->a6.h2<k>,-0.94921875,0.07745
m1->a5.h28<k>,-0.953125,-0.0856
m1->a3.h30<q>,-4.125,1.127
m1->a9.h15<q>,-1.2109375,-0.2181
