edge,score_1,score_2
m1->a4.h7<q>,0.076171875,1.849
m1->a12.h17<q>,0.023925781,1.135
m1->a9.h23<k>,0.049316406,-0.6206
m1->a8.h21<k>,0.048095703,-1.04
m1->a2.h20<q>,-0.23535156,0.5405
m1->m19,-0.033691406,-2.498
m1->a2.h24<q>,0.099609375,1.234
m1->a17.h14<q>,0.031982422,1.7705
m1->a2.h23<k>,0.15039062,0.455
m1->a5.h31<q>,-0.27539062,-1.522
m1->a7.h21<q>,0.044433594,-3.918
m1->a2.h2<q>,-0.044433594,-0.828
m1->a13.h31<k>,-0.020996094,-0.849
m1->a3.h2<k>,-0.025634766,-0.9717
m1->a14.h25<q>,-0.018188477,-1.93
m1->a9.h12<q>,-0.049072266,1.468
m1->a21.h22<q>,0.020507812,0.505
m1->m4,-0.24511719,-6.793
m1->a5.h12<q>,0.041503906,2.918
m1->a5.h20<q>,-0.053466797,-0.4292
m1->a2.h13<q>,-0.1484375,-0.9287
m1->a6.h15<k>,0.024414062,2.12
m1->a13.h10<q>,0.021972656,1.107
m1->a6.h8<q>,-0.049316406,0.798
m1->a7.h13<k>,0.02746582,0.718
m1->a6.h30<k>,0.07519531,3.453
m1->a3.h20<q>,0.068847656,-0.999
m30->a31.h10<q>,0.03881836,-1.138
m1->a4.h18<q>,-0.028076172,0.714
m1->m30,-0.01940918,-0.5737
m30->m31,0.13964844,1.62
m1->a4.h0<q>,0.046142578,-0.6885
m1->a15.h6<q>,0.17871094,11.766
m1->a2.h31<q>,-0.021118164,0.634
m1->a7.h1<q>,-0.026733398,0.429
m1->a4.h14<k>,0.028564453,0.6216
m1->a10.h31<q>,-0.021850586,0.4895
m1->a3.h6<q>,0.01953125,0.7783
m1->a8.h31<k>,0.019042969,1.622
m1->a2.h5<k>,0.08251953,1.914
m1->a12.h6<q>,0.01965332,0.4116
m1->a10.h8<q>,0.021362305,1.538
m1->a8.h25<k>,0.21289062,-2.363
m1->a7.h0<q>,-0.06591797,1.783
m1->a11.h30<q>,0.020019531,0.6885
m1->a11.h23<q>,0.024169922,1.24
m1->a15.h9<q>,-0.018188477,-0.751
m1->a6.h28<q>,0.123046875,-0.512
m1->a14.h9<q>,-0.018310547,-0.868
