edge,score_1,score_2
m18->logits,-0.18261719,-0.2086
m1->a4.h20<q>,-1.4296875,-0.1375
m1->a3.h22<k>,0.296875,0.098
m1->a6.h31<q>,0.17871094,0.1053
m1->a5.h24<q>,0.67578125,-0.1366
m1->a5.h12<q>,-0.921875,0.1267
m1->a8.h18<q>,0.08544922,0.08044
m1->a3.h29<q>,0.13085938,0.248
m1->a4.h20<k>,1.5,0.11584
m1->a3.h16<q>,-0.36328125,-0.315
m1->a4.h13<q>,-0.18847656,0.3687
m1->a4.h4<k>,0.21875,-0.2961
m1->a4.h15<q>,-0.123535156,0.0865
m1->a5.h20<q>,0.546875,0.117
m1->a3.h25<k>,0.2265625,0.3862
m1->a8.h10<q>,0.10253906,-0.2438
m1->a4.h28<q>,0.13085938,-0.3638
m1->a6.h0<q>,0.05908203,-0.1087
m1->a7.h4<k>,-0.07324219,-0.0973
m1->a4.h14<q>,0.296875,0.08075
m1->a2.h26<q>,-0.2109375,-0.314
m1->a5.h8<q>,-0.14941406,-0.2029
m1->a3.h24<k>,0.10546875,0.1351
m1->a4.h21<k>,0.25195312,-0.952
m1->a2.h1<k>,-0.13867188,0.1355
m21->logits,-0.13769531,-0.1172
m1->a2.h9<k>,-0.15039062,-0.651
m28->logits,-0.064941406,-0.209
m1->a8.h15<q>,0.067871094,-0.0853
m1->a2.h16<q>,0.076660156,-0.09607
m30->logits,-0.8359375,-1.67
m1->a4.h0<q>,0.62890625,0.1175
m1->a4.h22<q>,-0.875,1.411
m0->m1,0.07373047,0.1089
m1->a5.h22<q>,-0.1875,-0.3228
m1->a5.h9<q>,0.06738281,-0.1131
m1->a2.h23<k>,-0.29492188,-0.281
m1->m6,0.063964844,0.207
m28->m31,-0.08251953,0.09674
m1->a2.h23<q>,1.203125,-1.9
m19->logits,-0.08691406,0.08215
m1->a4.h7<k>,-0.06542969,0.1687
m1->a3.h7<q>,0.123535156,-0.0778
m1->a5.h18<q>,0.10205078,-0.4539
input->m1,0.059570312,0.1726
m1->a2.h27<q>,0.25,-0.7554
m1->a5.h28<k>,-0.21484375,-0.0856
m1->a3.h15<q>,-0.110839844,-0.255
m1->a4.h18<q>,0.21386719,0.2412
m1->a4.h4<q>,-1.0390625,0.07404
m6->m7,-0.064941406,0.09174
m1->a3.h9<k>,0.14453125,-0.3003
m1->a7.h14<k>,-0.060546875,-0.1141
m1->a5.h5<k>,0.18847656,-0.0951
