edge,score_1,score_2
m15->logits,-0.055664062,0.07861328
a15.h30->logits,0.049316406,0.103515625
a31.h4->logits,-0.09326172,0.118652344
m11->m14,0.04663086,0.084472656
m17->m18,0.03930664,-0.20117188
m9->a11.h10<q>,-0.045410156,0.076660156
m1->m2,-0.037109375,-0.27929688
a24.h13->m30,-0.056152344,-0.08544922
a26.h6->m31,-0.03173828,-0.25585938
m15->m28,-0.063964844,-0.084472656
m12->m31,-0.087402344,-0.111816406
m31->logits,3.703125,4.53125
m17->m19,-0.035888672,0.123046875
m18->m29,-0.030761719,-0.068359375
m16->m31,-0.095703125,-0.09814453
m2->m3,-0.07910156,-0.09082031
m26->m27,0.068359375,-0.41796875
m20->m24,-0.03491211,-0.07080078
a26.h18->logits,0.05493164,-0.076660156
a31.h15->logits,0.095214844,0.484375
a28.h17->m31,0.056640625,0.09765625
m21->logits,-0.106933594,0.115234375
a27.h20->m31,0.029785156,0.096191406
m30->a31.h11<q>,-0.046142578,-0.31835938
a31.h24->m31,-0.10986328,-0.17285156
m3->m5,-0.030273438,-0.12060547
m18->m21,0.048339844,-0.20117188
a28.h28->m31,-0.03149414,-0.12011719
m0->m1,-0.20019531,-0.13671875
m9->m16,0.037597656,-0.10546875
m30->a31.h10<v>,-0.029418945,-0.08544922
m14->m31,-0.07373047,-0.07861328
m11->m12,-0.035888672,0.079589844
a27.h20->logits,0.041259766,0.11328125
m13->logits,-0.10644531,-0.09423828
m26->logits,-0.052246094,0.24121094
a31.h12->m31,-0.296875,-0.1875
m22->m31,-0.119140625,-0.3515625
m4->logits,-0.06933594,-0.08544922
a22.h10->logits,-0.03112793,-0.09667969
a30.h11->m31,0.16113281,0.45507812
m18->logits,-0.62109375,-1.0234375
m24->m27,0.044433594,-0.12597656
a30.h11->logits,-0.083984375,-0.5078125
m29->m30,-0.40234375,-0.3359375
m28->m30,-0.18359375,-0.41796875
a31.h12->logits,0.25390625,0.28515625
a23.h14->m28,0.03491211,0.08886719
m13->m14,-0.04345703,0.110839844
m14->m15,0.068359375,0.076660156
a31.h24->logits,0.083984375,0.15332031
m12->m13,0.030883789,0.09667969
m9->logits,-0.09863281,-0.18261719
m26->m30,0.045898438,-0.072265625
m27->logits,0.07763672,0.50390625
m28->logits,-0.17480469,-0.12597656
m24->m30,-0.043945312,0.109375
m15->m19,-0.028564453,0.1484375
a17.h21->m31,-0.037597656,-0.07128906
m26->m31,-0.06982422,-0.19140625
m14->m17,-0.037109375,-0.11230469
m18->a23.h14<v>,-0.04272461,0.06982422
input->m1,-0.15136719,-0.125
m4->a5.h11<q>,0.042236328,0.072753906
m4->m14,0.034423828,0.072265625
a26.h18->m27,-0.033935547,-0.0703125
m1->m3,0.037109375,-0.1484375
m9->m31,0.029663086,0.06982422
m6->m8,-0.041992188,-0.19921875
m15->m31,-0.15039062,-0.19140625
a27.h9->m31,-0.056884766,-0.068847656
a22.h10->m30,0.032226562,0.09423828
a31.h10->m31,-0.06933594,-0.20703125
a29.h2->logits,-0.14648438,0.09765625
m25->m29,-0.03930664,0.17578125
a30.h24->m30,0.15234375,0.087890625
a17.h29->m31,0.13085938,0.14648438
m18->m26,0.07763672,-0.12890625
m8->m9,-0.067871094,-0.06640625
m18->a24.h13<q>,-0.044433594,0.08544922
a26.h19->logits,-0.05810547,-0.08886719
a0.h29->m0,0.04248047,0.07519531
m30->logits,-2.03125,-5.0625
m21->m22,0.030273438,-0.091796875
m8->m18,0.028930664,-0.12011719
m21->m27,0.06298828,-0.07324219
m28->m31,0.05102539,0.7734375
m13->m19,0.03881836,0.15527344
a29.h2->m31,0.043701172,-0.13085938
m12->m19,-0.03491211,-0.15527344
m21->m31,-0.030639648,-0.1875
m25->m31,0.11425781,-0.69921875
m10->m11,0.071777344,0.13378906
m18->m30,-0.115722656,0.18359375
a26.h19->m31,0.06982422,0.111328125
m24->m31,-0.038330078,-0.24121094
a31.h5->m31,-0.060546875,-0.22167969
a30.h31->m30,-0.038330078,-0.1328125
m9->m15,-0.055908203,-0.16210938
m30->a31.h10<q>,0.11621094,0.16796875
m21->m28,-0.09375,0.123535156
a0.h15->m0,0.08544922,0.076171875
m25->m28,0.14453125,0.21972656
m10->logits,-0.047607422,-0.10058594
m30->a31.h22<q>,-0.04248047,-0.15625
a16.h21->m31,0.047607422,0.072753906
m25->m27,0.03540039,0.34179688
m22->logits,-0.1328125,-0.15429688
m30->a31.h11<v>,0.07763672,0.07470703
input->m0,-0.25390625,-0.072265625
a23.h6->m24,0.028808594,0.076660156
a4.h20->m5,-0.06982422,-0.076660156
m29->m31,0.12695312,0.87109375
input->a0.h22<k>,0.12988281,0.11816406
m30->m31,1.0859375,4.6875
a30.h15->logits,0.052246094,-0.08105469
m18->m31,0.31835938,0.6484375
m22->m28,0.044433594,-0.11328125
m6->logits,-0.087402344,-0.06982422
a17.h29->logits,-0.08496094,-0.17773438
m13->m31,0.03173828,0.064453125
a30.h24->logits,-0.103027344,-0.14746094
m11->m15,0.037841797,-0.118652344
m16->m17,0.055908203,0.16503906
m17->m30,-0.053222656,0.076171875
m16->logits,-0.10253906,-0.12451172
