edge,score_1,score_2
a31.h24->logits,0.11669922,0.15332031
a17.h29->m31,0.123535156,0.14648438
m8->m9,-0.107421875,-0.06640625
input->a0.h22<k>,0.19335938,0.11816406
m14->m31,-0.099609375,-0.07861328
a15.h30->m15,-0.068847656,-0.10546875
a30.h11->m31,0.140625,0.45507812
m28->m31,0.092285156,0.7734375
m21->m28,-0.037597656,0.123535156
a26.h19->m31,0.08544922,0.111328125
m27->m29,-0.053955078,0.5390625
a31.h15->logits,0.10498047,0.484375
m25->m29,-0.07763672,0.17578125
m17->m30,-0.03930664,0.076171875
a31.h10->m31,-0.10644531,-0.20703125
m25->m28,0.092285156,0.21972656
m30->a31.h11<v>,0.061279297,0.07470703
a0.h29->m0,0.056152344,0.07519531
m17->m23,0.05493164,-0.068359375
m1->m2,-0.16796875,-0.27929688
a31.h10->logits,0.071777344,0.21582031
a17.h29->logits,-0.087402344,-0.17773438
a24.h13->m30,-0.04663086,-0.08544922
a30.h11->logits,-0.07421875,-0.5078125
m16->logits,-0.103515625,-0.12451172
m29->logits,-0.100097656,-0.34179688
m18->a24.h13<q>,-0.061035156,0.08544922
m22->m31,-0.13085938,-0.3515625
m8->m12,-0.049804688,0.07080078
m29->m31,0.16503906,0.87109375
a15.h30->logits,0.08886719,0.103515625
a26.h18->m31,-0.049072266,0.10205078
m17->m18,-0.039794922,-0.20117188
input->a0.h12<q>,0.072265625,0.10888672
m6->logits,-0.09082031,-0.06982422
m18->a22.h31<q>,-0.07421875,-0.067871094
a16.h21->m31,0.052734375,0.072753906
m18->a20.h16<q>,0.041259766,-0.13476562
m26->m27,0.07128906,-0.41796875
m18->m31,0.30664062,0.6484375
a26.h19->logits,-0.063964844,-0.08886719
m13->logits,-0.110839844,-0.09423828
m18->a22.h6<q>,0.05444336,0.1796875
m18->m30,-0.09423828,0.18359375
m29->m30,-0.16796875,-0.3359375
m5->m13,0.03881836,-0.08203125
m24->m31,-0.05908203,-0.24121094
m6->m8,0.10498047,-0.19921875
m18->m20,-0.078125,0.27929688
m22->logits,-0.048828125,-0.15429688
m4->a5.h11<q>,0.053222656,0.072753906
m1->m3,-0.046142578,-0.1484375
m26->m31,-0.10205078,-0.19140625
m18->m26,0.044433594,-0.12890625
m18->a23.h5<q>,0.04272461,-0.11376953
m31->logits,3.296875,4.53125
m14->m18,0.040039062,0.106933594
m9->logits,-0.13867188,-0.18261719
m18->logits,-0.71875,-1.0234375
m18->m29,-0.038330078,-0.068359375
m9->m10,-0.041259766,0.06542969
m0->m1,-0.28710938,-0.13671875
a31.h24->m31,-0.13964844,-0.17285156
a17.h21->m31,-0.052490234,-0.07128906
m10->m11,0.19238281,0.13378906
m16->m17,0.12060547,0.16503906
m27->logits,0.16796875,0.50390625
m15->m19,-0.06225586,0.1484375
m4->m14,0.05810547,0.072265625
m17->m19,0.048828125,0.123046875
input->m0,-0.21289062,-0.072265625
m13->m14,-0.11376953,0.110839844
a28.h17->m31,0.047607422,0.09765625
m13->m19,0.047851562,0.15527344
m10->logits,-0.07324219,-0.10058594
a4.h20->m5,-0.064941406,-0.076660156
a27.h20->logits,0.075683594,0.11328125
a17.h21->m17,0.038330078,-0.068847656
m23->m31,-0.037109375,-0.20996094
a26.h18->m27,-0.051513672,-0.0703125
m25->m31,0.046875,-0.69921875
m18->m21,0.044921875,-0.20117188
m24->m30,-0.05102539,0.109375
a26.h18->logits,0.072265625,-0.076660156
input->m1,-0.21875,-0.125
a27.h9->m31,-0.059570312,-0.068847656
m30->m31,1.1328125,4.6875
a20.h9->m31,0.057128906,0.115722656
m9->a11.h10<q>,-0.12792969,0.076660156
m9->m15,-0.115234375,-0.16210938
m16->m31,-0.13964844,-0.09814453
m19->m23,0.040527344,-0.123046875
a31.h22->logits,0.03955078,0.18847656
m2->m3,0.068847656,-0.09082031
a0.h15->m0,0.078125,0.076171875
m28->m29,0.0703125,0.20898438
a31.h12->m31,-0.23828125,-0.1875
m30->a31.h11<q>,-0.15234375,-0.31835938
a0.h12->m0,0.052490234,0.07373047
m30->a31.h10<q>,0.10498047,0.16796875
m9->m31,0.05444336,0.06982422
m9->m11,-0.12109375,0.107421875
m18->a23.h14<v>,-0.044433594,0.06982422
m18->a31.h11<k>,-0.041992188,-0.067871094
a29.h2->logits,-0.12890625,0.09765625
m18->a23.h26<q>,0.036376953,-0.10107422
m14->m17,-0.0625,-0.11230469
m7->m11,0.076660156,-0.07861328
m15->logits,-0.106933594,0.07861328
a29.h2->m31,0.047607422,-0.13085938
m30->logits,-2.0,-5.0625
m26->m30,0.037597656,-0.072265625
m12->m31,-0.076660156,-0.111816406
m4->logits,-0.08544922,-0.08544922
m9->m20,0.046142578,0.11816406
m18->a31.h5<q>,-0.038085938,-0.091796875
m18->a19.h29<v>,-0.036376953,0.07373047
a27.h20->m31,0.095214844,0.096191406
m28->logits,-0.10498047,-0.12597656
m18->a20.h26<q>,0.038085938,-0.11621094
m15->m31,-0.19140625,-0.19140625
a30.h24->m30,0.09863281,0.087890625
m21->logits,-0.044921875,0.115234375
m28->m30,-0.091796875,-0.41796875
a31.h11->m31,-0.140625,0.08251953
m17->m21,0.038085938,0.095703125
a30.h24->logits,-0.078125,-0.14746094
a30.h15->logits,0.052246094,-0.08105469
m1->m7,-0.05834961,0.067871094
m30->a31.h4<q>,0.037597656,0.09863281
a31.h5->m31,-0.091796875,-0.22167969
m16->m18,0.03857422,0.0703125
a31.h12->logits,0.24511719,0.28515625
a31.h4->logits,-0.057128906,0.118652344
