edge,score_1,score_2
m1->a3.h22<q>,-0.023925781,-0.099609375
m1->a4.h1<q>,-0.15039062,0.01953125
m1->a5.h30<q>,0.1640625,-0.029663086
input->a0.h9<v>,-0.041992188,-0.040039062
m7->m8,0.08496094,-0.018798828
m1->a2.h26<q>,0.02734375,0.068359375
m6->logits,-0.07324219,-0.02722168
m1->a9.h22<q>,-0.040283203,-0.036865234
m1->a6.h0<q>,-0.033935547,-0.028320312
m1->a4.h7<k>,0.030029297,-0.076660156
m1->a6.h8<k>,-0.044433594,0.118652344
m18->a30.h31<v>,0.045898438,-0.043945312
m1->a4.h23<q>,-0.0703125,-0.061279297
input->a0.h17<k>,-0.042236328,0.05810547
m1->a4.h16<k>,-0.29101562,-0.078125
input->a0.h22<v>,-0.123535156,0.080078125
m0->m1,-0.24121094,0.14453125
m1->a3.h17<k>,-0.09082031,0.018798828
m1->a4.h10<k>,0.15136719,0.023925781
m1->a2.h22<q>,0.10644531,-0.07421875
m1->a6.h27<q>,-0.06640625,-0.09423828
m1->m9,-0.024536133,0.107421875
input->a0.h17<q>,-0.08886719,0.061767578
m1->a5.h22<q>,-0.063964844,-0.023071289
m14->m31,-0.045898438,-0.038330078
m1->a3.h17<q>,-0.051513672,-0.030029297
m21->logits,0.06982422,0.025634766
m1->a4.h21<k>,0.07373047,0.071777344
m29->m30,-0.62890625,0.18164062
m1->a4.h17<q>,-0.041015625,-0.030639648
m21->m31,-0.09326172,-0.01953125
m1->a4.h5<q>,-0.20214844,-0.09082031
m4->m29,0.029052734,-0.02746582
m1->a4.h29<k>,-0.03149414,-0.041259766
m30->logits,-2.59375,-0.390625
m6->m10,-0.024414062,-0.018310547
m1->a3.h10<k>,0.07421875,0.05029297
m1->a3.h4<q>,-0.03955078,-0.057617188
m17->m31,-0.05053711,-0.019897461
m23->logits,0.038330078,0.018920898
m1->a2.h18<k>,-0.034179688,0.083984375
m25->logits,0.022949219,0.056152344
m23->m31,-0.044677734,-0.030151367
m1->a2.h17<k>,-0.078125,0.079589844
m24->logits,0.08300781,0.024536133
m1->a4.h20<k>,0.022460938,0.03112793
m1->a2.h27<q>,-0.14160156,0.07373047
m19->m29,0.07861328,-0.052734375
m16->m30,0.030761719,-0.018310547
m16->m29,0.110839844,-0.07519531
m1->a2.h25<q>,-0.072265625,0.041015625
m1->logits,0.3046875,-0.15136719
m1->a4.h20<q>,0.079589844,-0.027954102
m1->a8.h8<q>,0.030029297,-0.040039062
m1->a5.h20<q>,0.071777344,-0.037597656
m16->m31,-0.045898438,-0.035888672
m1->a3.h0<q>,-0.14453125,-0.12451172
m1->m10,-0.028564453,0.024414062
m1->a5.h13<k>,-0.026733398,0.038085938
m25->m31,-0.055419922,-0.033691406
m1->a7.h22<q>,0.08691406,0.01940918
a28.h17->logits,0.022705078,-0.052246094
m1->a3.h30<q>,-0.10058594,0.032714844
m28->logits,-0.20996094,-0.04345703
m1->a3.h3<k>,-0.024414062,-0.08105469
m1->a2.h0<k>,-0.059326172,0.030883789
m1->a11.h18<k>,-0.038330078,-0.044677734
m0->a1.h11<q>,0.087402344,-0.06542969
m1->a2.h19<q>,0.27539062,0.056884766
m1->a3.h27<q>,0.07763672,0.045410156
m1->a2.h23<k>,0.041259766,0.095703125
