edge,score_1,score_2
m1->a7.h25<q>,0.061035156,-0.2727
m1->a2.h14<q>,-0.06298828,-0.082
m1->a2.h11<q>,0.060546875,-0.099
input->m1,0.0390625,0.1726
m30->a31.h11<q>,0.055419922,-0.2896
m1->a6.h5<q>,0.045410156,-0.3154
m1->m3,0.045654297,-1.163
m1->a3.h26<k>,-0.04345703,-0.1537
m25->logits,-0.06347656,0.266
m21->logits,-0.10449219,-0.1172
m1->a3.h25<k>,0.04248047,0.3862
m1->a4.h4<q>,-0.20019531,0.07404
m12->m14,0.030273438,-0.0781
m6->m9,0.025512695,0.0829
m1->a4.h20<q>,0.031982422,-0.1375
m1->a5.h12<q>,-0.19042969,0.1267
m1->a3.h17<q>,-0.34960938,-0.718
m1->a7.h4<k>,-0.08935547,-0.0973
m1->a5.h20<q>,0.025146484,0.117
m1->a6.h6<q>,-0.29296875,-1.018
m1->a8.h15<q>,-0.029418945,-0.0853
m1->a7.h21<q>,0.032226562,0.3215
m18->logits,-0.18847656,-0.2086
m1->a7.h8<q>,-0.032470703,-0.2386
m1->m2,0.43554688,0.4546
m1->a8.h11<q>,-0.059326172,0.2224
m27->logits,-0.16601562,-0.2346
m1->a4.h2<q>,0.119140625,-0.262
m1->a2.h23<k>,-0.06689453,-0.281
m1->a4.h7<q>,0.056152344,-0.345
m1->m4,0.48046875,0.871
m1->a5.h22<q>,-0.07080078,-0.3228
m0->a5.h5<k>,-0.04248047,-0.0874
m1->a4.h22<q>,-0.18261719,1.411
m1->a3.h22<k>,0.037597656,0.098
m1->a3.h3<k>,0.040039062,0.1907
m1->a3.h30<q>,0.2890625,1.127
m30->logits,-0.859375,-1.67
m24->logits,-0.061279297,-0.1638
m1->a2.h16<q>,0.10644531,-0.09607
m1->a3.h9<q>,-0.15136719,1.281
m1->a5.h19<q>,0.19335938,0.09174
m1->a3.h24<k>,0.049316406,0.1351
m1->a4.h13<k>,-0.051757812,-0.11884
m28->logits,-0.10888672,-0.209
m1->a3.h4<q>,-0.032714844,0.2568
m1->a4.h17<q>,-0.16796875,-0.1328
m8->m10,-0.032226562,-0.0998
m1->a3.h15<q>,-0.23046875,-0.255
m1->a3.h3<q>,0.109375,-0.9375
m19->logits,-0.07714844,0.08215
m1->a4.h3<q>,0.027832031,-0.0952
m1->a2.h30<k>,-0.053222656,-0.0985
m10->m11,0.076171875,-0.223
m1->a8.h18<q>,-0.038330078,0.08044
m1->a2.h23<q>,0.33984375,-1.9
m1->a3.h31<k>,0.27539062,-0.1167
m1->a6.h20<k>,-0.023925781,-0.07904
m1->a6.h8<k>,0.18359375,-1.727
m1->a5.h31<q>,-0.15234375,-0.4622
m1->a2.h29<q>,-0.123046875,-0.0812
m1->a7.h27<k>,-0.053222656,-0.0748
m1->a7.h22<q>,-0.043701172,0.1222
m22->m31,-0.059570312,-0.1575
m1->a6.h8<q>,-0.23730469,0.08246
m1->a4.h29<q>,0.09326172,0.12274
m7->m8,0.06542969,0.2311
m8->a9.h0<q>,-0.028564453,-0.0767
m6->m31,0.025756836,0.1221
m1->a5.h4<q>,0.04248047,0.3398
m1->m6,0.03466797,0.207
m1->m7,0.12792969,0.1365
m1->a3.h18<q>,-0.03540039,-0.0929
m1->a5.h5<k>,0.099609375,-0.0951
m31->logits,1.0,3.566
m19->m31,-0.060058594,-0.096
m1->a8.h5<k>,-0.029663086,0.3032
input->a0.h15<v>,0.040283203,-0.12256
m1->a5.h27<k>,0.083984375,0.10754
m1->a5.h20<k>,0.080078125,-0.074
m1->a2.h7<q>,-0.17285156,-1.025
m1->a4.h4<k>,0.115234375,-0.2961
m1->a3.h15<k>,0.03857422,0.2281
m1->a8.h23<q>,-0.04321289,-0.1709
input->m0,0.100097656,0.0735
m1->a3.h29<q>,-0.068847656,0.248
m1->a7.h1<q>,-0.025268555,0.07336
m1->a8.h3<q>,0.16015625,0.07904
m1->a3.h16<q>,-0.2265625,-0.315
m1->a2.h24<k>,-0.068847656,0.0905
m1->a5.h9<q>,0.034179688,-0.1131
m1->a3.h21<q>,-0.13085938,1.484
m1->a5.h24<q>,0.14648438,-0.1366
m30->m31,0.484375,1.563
m24->m27,0.052246094,-0.1267
m1->a6.h19<q>,0.030883789,0.10333
m18->m30,0.029418945,0.08997
m1->a4.h13<q>,-0.13085938,0.3687
m1->a11.h29<k>,-0.03564453,-0.09094
m1->a10.h15<q>,0.044433594,0.0758
m1->a10.h3<q>,-0.057617188,0.0793
m18->m31,0.04321289,0.3135
m7->m10,0.025878906,0.0966
m1->a5.h10<q>,0.024414062,0.1729
m28->m31,-0.026611328,0.09674
m1->a3.h14<q>,-0.041992188,0.4539
m1->a8.h24<q>,0.05444336,0.1714
m1->a3.h20<q>,-0.049316406,-0.0748
m15->m16,0.029174805,0.0796
m8->m31,0.03466797,0.1526
m1->a2.h8<q>,-0.037109375,-0.1302
m15->m17,0.032226562,-0.1442
m1->a4.h20<k>,-0.36328125,0.11584
m1->a6.h23<q>,-0.029541016,0.2815
m1->a2.h8<k>,-0.037597656,0.3252
m1->a6.h4<q>,0.09082031,-0.1466
m1->a3.h8<q>,-0.16601562,0.2457
