edge,score_1,score_2
a28.h17->m31,0.027709961,0.09765625
m30->logits,-1.8984375,-5.0625
m4->m14,0.026367188,0.072265625
m30->a31.h8<q>,-0.029663086,-0.08935547
m9->logits,-0.12060547,-0.18261719
m29->m31,0.1484375,0.87109375
m6->logits,-0.08105469,-0.06982422
a30.h15->logits,0.05053711,-0.08105469
m18->m20,-0.04272461,0.27929688
a26.h18->m31,-0.047607422,0.10205078
m28->logits,-0.1796875,-0.12597656
m0->m1,-0.17773438,-0.13671875
m2->m3,-0.046875,-0.09082031
m17->m21,-0.028564453,0.095703125
m18->a20.h16<q>,0.041992188,-0.13476562
m26->m27,0.080566406,-0.41796875
m29->m30,-0.33007812,-0.3359375
m25->m29,-0.030273438,0.17578125
m9->m16,0.046875,-0.10546875
m15->logits,-0.10546875,0.07861328
m16->m31,-0.10107422,-0.09814453
m27->logits,-0.29882812,0.50390625
m18->m22,-0.029418945,-0.13476562
m17->m19,0.034179688,0.123046875
m25->m27,-0.059570312,0.34179688
a20.h9->m31,0.053710938,0.115722656
m22->m31,-0.083984375,-0.3515625
m4->logits,-0.057128906,-0.08544922
m16->logits,-0.048339844,-0.12451172
m15->m16,0.028930664,0.19140625
m24->m30,-0.037841797,0.109375
a30.h24->m30,0.068359375,0.087890625
a24.h13->m30,-0.04345703,-0.08544922
m27->m28,0.041015625,0.3046875
m18->a24.h13<q>,-0.024414062,0.08544922
a31.h22->m31,0.024414062,-0.122558594
m31->logits,4.3125,4.53125
a0.h15->m0,0.026367188,0.076171875
a31.h10->logits,0.14453125,0.21582031
m28->m29,0.026855469,0.20898438
m30->m31,1.578125,4.6875
m24->m31,-0.061035156,-0.24121094
m22->m28,0.028930664,-0.11328125
m14->m15,-0.048339844,0.076660156
m26->m31,-0.07519531,-0.19140625
m1->m3,-0.10986328,-0.1484375
m18->m27,0.024169922,0.14648438
m27->m30,0.041992188,0.96875
m18->logits,-0.48828125,-1.0234375
m6->m10,0.053710938,0.119140625
a17.h29->logits,-0.026367188,-0.17773438
m18->m30,-0.025268555,0.18359375
a31.h5->logits,0.033203125,0.091308594
a31.h10->m31,-0.21289062,-0.20703125
a31.h12->logits,0.11230469,0.28515625
m13->m19,0.030517578,0.15527344
m28->m30,-0.22167969,-0.41796875
m26->logits,-0.16601562,0.24121094
m28->m31,0.115722656,0.7734375
m21->m31,-0.05834961,-0.1875
a30.h11->m31,0.18261719,0.45507812
m1->m2,-0.051757812,-0.27929688
m13->logits,-0.095214844,-0.09423828
a31.h4->logits,-0.18457031,0.118652344
m15->m31,-0.096191406,-0.19140625
m30->a31.h10<q>,-0.24902344,0.16796875
a30.h11->logits,-0.08105469,-0.5078125
m14->m31,-0.076171875,-0.07861328
m15->m19,-0.034423828,0.1484375
a27.h9->m31,-0.028320312,-0.068847656
m20->logits,-0.026733398,0.083984375
input->m1,-0.11816406,-0.125
m27->m31,0.16992188,-2.84375
a21.h2->logits,0.031982422,0.08105469
a26.h19->m31,0.068847656,0.111328125
a29.h2->m31,0.095703125,-0.13085938
a31.h15->logits,0.049072266,0.484375
m17->m30,-0.04345703,0.076171875
m16->m17,0.03466797,0.16503906
m21->m30,-0.04272461,0.103515625
m6->m8,-0.05029297,-0.19921875
a31.h30->logits,-0.024414062,0.23730469
m10->logits,-0.036132812,-0.10058594
m8->m9,-0.051757812,-0.06640625
input->m2,-0.07324219,-0.072265625
m15->m23,0.02746582,-0.080566406
m18->m31,0.24609375,0.6484375
m11->m13,0.031982422,0.18359375
m11->m15,-0.026367188,-0.118652344
m6->m7,0.064453125,0.12597656
input->a0.h12<q>,0.06738281,0.10888672
a27.h20->m31,0.036621094,0.096191406
m4->m5,-0.030883789,-0.15917969
m10->m16,-0.028930664,-0.072265625
m21->logits,-0.07421875,0.115234375
m9->m15,-0.056884766,-0.16210938
m29->logits,-0.040527344,-0.34179688
a17.h29->m31,0.12890625,0.14648438
m23->m29,0.026245117,-0.10107422
m13->m14,-0.041259766,0.110839844
a31.h12->m31,-0.31054688,-0.1875
m10->m11,0.048095703,0.13378906
m9->m11,-0.08642578,0.107421875
m9->a11.h10<q>,-0.079589844,0.076660156
m12->m31,-0.12011719,-0.111816406
input->m0,-0.06689453,-0.072265625
a29.h2->logits,-0.21484375,0.09765625
m25->m30,-0.049804688,0.46679688
m8->m15,-0.041992188,-0.16503906
m18->a21.h2<q>,0.045410156,-0.08300781
m18->m25,-0.034179688,0.12597656
m14->m17,-0.041992188,-0.11230469
m22->m29,0.025146484,-0.076660156
m4->m9,-0.041503906,-0.11376953
input->a0.h22<k>,0.15429688,0.11816406
a16.h21->m31,0.072753906,0.072753906
m22->logits,-0.08105469,-0.15429688
m3->m5,0.028808594,-0.12060547
a0.h29->m0,0.053466797,0.07519531
m19->m30,0.031982422,0.123535156
m17->m23,0.031982422,-0.068359375
m7->m11,0.02746582,-0.07861328
a31.h5->m31,-0.064453125,-0.22167969
m11->m12,-0.039794922,0.079589844
m16->m18,-0.025268555,0.0703125
m18->m29,-0.02734375,-0.068359375
