edge,score_1,score_2
m10->m13,-0.017211914,-0.0390625
m10->m12,0.015319824,0.030639648
m12->a13.h25<q>,-0.029174805,0.07128906
m9->m12,0.008300781,0.07421875
m1->m12,0.053222656,0.055664062
input->a0.h8<q>,0.011108398,-1.6171875
m13->logits,0.047607422,0.14453125
input->a0.h11<q>,-0.017211914,-0.064941406
m0->m13,-0.17480469,0.068847656
input->a0.h18<q>,0.036132812,6.625
input->a0.h1<q>,-0.012573242,-4.90625
m12->m13,-0.051513672,0.048828125
input->a0.h22<q>,0.011169434,1.9375
m14->m15,0.25976562,-0.053222656
m1->m6,-0.041259766,-0.030883789
input->a0.h13<q>,0.018798828,-4.1875
input->a0.h29<q>,-0.24121094,-1.640625
input->a0.h21<q>,-0.008850098,-1.078125
a0.h9->m0,0.0099487305,0.06347656
m13->m15,-0.05810547,0.14160156
input->a0.h27<q>,0.02722168,0.69140625
m1->m5,-0.03564453,-0.08105469
m15->logits,-0.21289062,0.08105469
a13.h24->m13,0.01965332,-0.064941406
input->a0.h4<q>,0.017822266,4.1875
a13.h24->m14,0.044677734,-0.037597656
input->a0.h31<q>,1.4765625,2.046875
m12->m14,0.03881836,0.08544922
m11->m12,0.01574707,-0.046875
m0->m1,0.2265625,0.73828125
input->a0.h9<q>,-0.014831543,1.6171875
m5->m6,0.0095825195,-0.048828125
m12->a13.h27<q>,0.021972656,0.04345703
input->a0.h26<q>,-0.020019531,0.98828125
input->a0.h15<q>,0.021240234,-2.640625
m11->m13,0.018432617,0.11425781
m11->m14,0.05053711,0.041503906
m9->m13,-0.009277344,0.045410156
m13->m14,-0.19628906,0.25195312
input->a0.h25<q>,0.021362305,-1.4296875
a15.h0->logits,0.008300781,0.047607422
a13.h27->m13,0.011413574,0.029052734
