edge,score_1,score_2
a10.h7->logits,1.03125,0.6953125
input->a0.h3<q>,-1.390625,0.36523438
input->m7,-0.953125,-0.8203125
a10.h14->logits,-1.1171875,0.74609375
a2.h17->m2,0.671875,0.4609375
a5.h15->m6,0.828125,-0.33203125
a14.h14->m14,1.2734375,-0.76171875
input->a0.h31<q>,-3.28125,-1.171875
input->m14,-1.21875,-1.4375
a11.h2->m14,0.67578125,0.3828125
input->m10,-0.87890625,-0.89453125
a13.h16->logits,1.4609375,-0.47070312
a7.h22->logits,0.6953125,-0.75390625
a9.h20->m11,-0.89453125,-0.34179688
m6->logits,-0.671875,-0.6015625
a1.h31->m1,-1.828125,0.34570312
a15.h13->logits,1.9921875,0.27734375
m14->logits,-2.984375,-2.546875
a13.h22->logits,0.625,-0.578125
m12->m14,0.61328125,1.0234375
a9.h22->m11,-0.96484375,0.6015625
a13.h17->logits,1.296875,1.4609375
m10->logits,-1.046875,-0.640625
input->m0,5.03125,-0.69140625
a15.h14->logits,2.5,-0.875
a7.h20->logits,0.7109375,0.515625
a4.h26->m6,-0.703125,0.33007812
a15.h27->logits,-1.296875,2.515625
m8->logits,-1.40625,-0.87109375
m11->a12.h8<q>,-0.61328125,-0.31835938
a15.h15->logits,2.109375,-0.32226562
a7.h2->m10,-1.1953125,0.3125
a10.h6->logits,0.88671875,0.41210938
m1->m2,1.6171875,0.33789062
input->m1,5.90625,0.47265625
a11.h1->m14,0.68359375,-0.484375
m9->logits,-0.84375,-0.76171875
m5->logits,-1.3671875,-1.4375
input->m8,-1.171875,-0.6640625
a8.h30->m14,0.80078125,-0.35546875
a13.h19->logits,1.4296875,-1.5625
input->m12,1.84375,1.1015625
a5.h12->m8,0.75390625,-0.30664062
m7->logits,-1.03125,-0.63671875
a1.h28->m1,-1.796875,-1.109375
a10.h8->logits,0.80859375,-0.35546875
a11.h10->logits,-1.3125,0.31640625
a15.h14->m15,-0.78515625,-2.09375
a6.h30->logits,0.76171875,-0.3203125
m15->logits,-0.890625,-3.5625
m2->logits,-0.87109375,-0.38476562
a10.h13->logits,-1.140625,-0.4140625
a14.h13->m14,1.1796875,0.328125
a11.h2->logits,-0.7890625,0.5859375
input->m15,3.046875,0.6015625
a3.h29->m10,-0.7109375,-0.31835938
m10->m11,0.734375,0.45507812
a6.h5->logits,-0.83984375,-0.3046875
a10.h4->logits,1.046875,-0.421875
a14.h7->m14,-0.671875,0.5859375
input->logits,11.75,9.9375
a8.h2->m8,-0.74609375,-0.36328125
a13.h25->m14,-0.6953125,0.48046875
a1.h24->m1,2.421875,0.28320312
a1.h29->m1,-1.609375,-0.5390625
a5.h12->m6,0.83984375,0.30859375
a11.h20->logits,1.0078125,0.2890625
a7.h9->m10,-0.96875,0.3515625
a15.h30->logits,-0.6953125,0.4921875
a0.h29->m1,-0.90625,-0.30078125
a10.h11->m11,-1.2890625,0.359375
m3->logits,-1.0625,-0.7109375
a7.h3->m10,-1.046875,-0.3359375
a10.h11->m14,-0.6953125,-0.28320312
a2.h18->m2,0.62109375,-0.4609375
m4->logits,-1.171875,-0.78515625
a9.h14->m10,0.734375,0.38476562
a7.h21->m10,0.7890625,-0.2890625
a11.h21->logits,1.0703125,-0.36914062
a15.h11->logits,-0.68359375,0.31640625
input->m9,-1.34375,-0.85546875
