edge,score_1,score_2
m8->logits,0.4140625,0.011169434
a9.h3->logits,0.1484375,0.0061035156
a12.h23->logits,-0.28320312,0.003768921
a10.h11->logits,-0.18847656,-0.005004883
a3.h17->m3,-0.15917969,-0.004638672
m10->logits,-0.19140625,0.017700195
a5.h15->logits,0.1640625,-0.029541016
a8.h9->logits,-0.15332031,0.012268066
input->a0.h27<q>,-0.14648438,0.0040283203
m9->m14,-0.18164062,0.004760742
a12.h20->logits,-0.26953125,-0.0038909912
a14.h22->logits,-0.17480469,-0.0062561035
input->a0.h31<q>,1.296875,0.0049743652
a11.h20->logits,-0.17773438,-0.0039978027
a13.h26->m14,0.13964844,0.0051574707
a14.h28->logits,-0.24707031,0.004119873
a10.h8->logits,-0.18261719,-0.012817383
a5.h19->logits,-0.13964844,-0.007537842
a13.h24->logits,-0.21972656,-0.045410156
a14.h6->logits,-0.19140625,-0.0138549805
a14.h30->logits,-0.22363281,-0.010498047
a14.h20->logits,-0.15527344,0.004211426
a15.h25->logits,0.16992188,0.026855469
a14.h31->logits,-0.25195312,0.009521484
a5.h14->logits,0.16992188,-0.0038452148
a10.h23->logits,0.18261719,0.03540039
a2.h18->logits,-0.13964844,0.0059509277
a10.h27->logits,-0.28710938,0.0064697266
a15.h19->logits,-0.18457031,0.013366699
a9.h18->logits,0.33203125,0.0039367676
a14.h21->logits,-0.16210938,-0.005126953
a8.h11->m15,0.14746094,0.0039367676
a2.h17->logits,-0.15039062,-0.0045776367
a8.h29->logits,0.5546875,-0.0040283203
a10.h22->logits,0.16796875,-0.059570312
input->logits,-0.21972656,-0.015563965
a1.h16->m1,-0.14160156,0.013427734
m15->logits,1.7265625,-0.020263672
m0->m1,0.14453125,-0.013366699
m12->m13,0.25585938,0.008056641
a13.h27->logits,-0.21582031,-0.07763672
a10.h21->logits,0.1484375,0.019165039
a14.h4->logits,-0.17285156,-0.018676758
a15.h13->logits,-0.22753906,0.0041503906
input->m0,0.609375,-0.015380859
a8.h8->logits,-0.1484375,0.014221191
a10.h30->logits,-0.23046875,0.0047302246
a2.h22->logits,0.17773438,-0.0043640137
a2.h16->logits,-0.14160156,-0.004852295
a13.h27->m14,0.16015625,-0.010070801
a14.h23->logits,-0.17578125,0.017944336
a3.h6->logits,-0.25195312,-0.0038146973
input->a0.h26<q>,0.546875,0.0038604736
a4.h7->logits,-0.140625,0.003768921
a9.h26->logits,-0.25585938,0.0043640137
a10.h10->logits,-0.20703125,-0.0064086914
a5.h28->logits,0.16796875,-0.0058288574
a14.h5->logits,-0.18164062,-0.018798828
a2.h20->logits,0.16796875,0.0049743652
a11.h7->logits,-0.14550781,0.0039367676
a8.h11->logits,-0.15332031,0.021972656
m14->logits,0.47265625,-0.12792969
a11.h30->m11,-0.16113281,0.0040893555
a12.h21->logits,-0.29296875,-0.012207031
a11.h22->logits,-0.15625,0.008850098
a5.h20->logits,-0.2734375,0.009155273
a2.h7->m2,0.14648438,-0.007019043
a10.h29->logits,-0.2890625,-0.013366699
a9.h20->logits,-0.29296875,0.014831543
a12.h3->logits,-0.24121094,-0.025268555
a9.h22->logits,-0.28320312,-0.008239746
a5.h2->logits,-0.16210938,-0.006378174
a9.h0->logits,0.140625,0.0054016113
a13.h15->logits,-0.13769531,-0.015258789
m14->m15,3.4375,0.14648438
a9.h21->logits,-0.26367188,0.005432129
a3.h27->logits,0.21484375,-0.0048828125
a11.h1->logits,0.4609375,-0.008972168
a2.h21->logits,0.16992188,0.0072631836
m13->m14,1.703125,0.0064697266
a4.h9->logits,0.14160156,0.00390625
a3.h17->logits,-0.16210938,-0.0071105957
a10.h31->logits,-0.26171875,-0.020996094
m13->logits,0.6171875,-0.05102539
a10.h28->logits,-0.30078125,0.016845703
m11->m14,0.36523438,0.003692627
a13.h26->logits,-0.20410156,0.008972168
a15.h18->logits,-0.25195312,-0.012084961
a9.h19->logits,0.33789062,-0.014587402
a4.h28->logits,-0.22753906,0.0043640137
a4.h31->logits,-0.2265625,-0.009460449
a15.h24->logits,0.14550781,-0.025756836
a11.h21->logits,-0.17089844,0.009399414
a12.h23->m15,-0.15039062,-0.007080078
m12->logits,-0.15136719,0.044433594
a11.h4->logits,-0.16113281,0.0063171387
a12.h22->logits,-0.34960938,-0.019897461
a4.h10->logits,0.13964844,0.0045776367
a1.h9->m1,-0.27539062,-0.003829956
a2.h19->logits,-0.14941406,0.004333496
m11->logits,0.30078125,-0.004272461
a14.h10->m15,0.15136719,-0.005126953
