edge,score_1,score_2
a8.h23->m14,0.011474609,-0.00982666
a14.h21->m14,0.017578125,0.014282227
m12->m14,-0.16601562,-0.052246094
a0.h25->m1,0.010498047,0.006713867
a15.h6->logits,-0.013671875,0.008300781
a14.h11->m14,-0.042236328,0.018798828
m6->m14,-0.016845703,0.00680542
a10.h6->m14,-0.011413574,0.0138549805
m0->m14,-0.06738281,-0.03466797
a13.h16->m13,0.020263672,0.015014648
input->m0,0.08544922,-1.546875
input->a0.h10<q>,-0.013916016,0.013305664
a12.h10->m14,0.015380859,0.011352539
a13.h17->m13,0.01965332,0.034423828
a13.h7->m13,0.014709473,0.018066406
m12->m15,-0.036865234,-0.008605957
a10.h17->m14,0.01373291,-0.006439209
input->a0.h18<q>,0.017456055,0.010314941
input->a1.h29<q>,0.04248047,0.053710938
a0.h12->m1,0.012634277,0.011352539
m1->m2,0.026977539,-0.024658203
a13.h7->m14,-0.027954102,0.01965332
a14.h12->m14,0.030883789,-0.021118164
m15->logits,0.28515625,0.052490234
a10.h5->m14,-0.011230469,-0.011352539
a13.h22->m13,-0.013183594,-0.0234375
m0->m1,0.107421875,0.5859375
m2->m3,-0.014160156,0.007537842
m10->m11,-0.0234375,0.007080078
a13.h6->m14,-0.027832031,-0.026977539
input->a0.h30<q>,0.019042969,0.041503906
a5.h16->m5,-0.013427734,0.008972168
m1->a13.h27<q>,-0.046875,0.01965332
a13.h10->logits,0.012207031,-0.007080078
a13.h1->m13,-0.020751953,-0.041992188
a1.h15->m2,0.0134887695,-0.0064697266
a11.h10->m14,-0.014892578,-0.007019043
a6.h11->m6,0.0099487305,-0.006958008
a13.h18->m13,0.021240234,0.023803711
a13.h25->m13,0.021972656,-0.036865234
a5.h17->m5,-0.014770508,0.013122559
a14.h20->m14,0.018310547,-0.00982666
input->a0.h25<q>,-0.013183594,0.016357422
a12.h9->m14,0.01171875,0.007873535
a13.h18->m14,-0.02722168,-0.019897461
a4.h3->m5,-0.017700195,-0.007232666
a3.h23->m3,0.030517578,-0.0234375
input->m9,0.010375977,-0.011108398
a2.h8->m2,0.017089844,0.008056641
a3.h23->m4,0.017089844,0.010314941
a12.h8->m14,0.012573242,-0.018798828
a15.h20->logits,-0.0119018555,-0.008300781
a12.h16->m13,-0.015991211,-0.027832031
input->logits,0.04272461,-0.12792969
m1->m5,-0.02734375,-0.011474609
a13.h23->m13,-0.014709473,0.024047852
a8.h22->m14,0.011779785,0.01361084
m1->m15,1.421875,0.640625
a13.h2->m13,-0.022827148,-0.0119018555
a3.h22->m4,0.016479492,-0.0099487305
m1->a13.h26<q>,0.025878906,-0.01574707
a9.h14->m14,0.017211914,0.0065307617
a11.h29->m14,0.017944336,0.013366699
a13.h0->m13,-0.021728516,-0.007507324
a14.h13->m14,0.033203125,0.018798828
m14->m15,-0.41015625,0.6796875
a7.h25->m13,0.010131836,-0.012939453
a14.h27->m14,0.017211914,0.009399414
a8.h3->m10,0.012084961,-0.0065612793
a10.h7->m14,-0.012207031,0.006591797
m1->m13,-0.7734375,-0.15527344
input->m4,0.0115356445,-0.009216309
a14.h22->m14,0.018554688,0.013183594
a13.h5->m13,0.015991211,-0.01965332
m13->m15,0.010803223,-0.06738281
a4.h7->m4,-0.02722168,0.007293701
a13.h27->m14,0.015563965,0.011779785
a2.h16->m2,0.0134887695,-0.010681152
a13.h6->m13,0.0154418945,-0.04272461
m1->m6,-0.0390625,-0.015136719
a0.h13->m1,0.012573242,-0.009887695
a13.h5->m14,-0.029541016,-0.009094238
a11.h27->m13,0.011413574,-0.008666992
a14.h15->m14,0.030273438,-0.012329102
m1->a13.h24<q>,0.029174805,-0.009277344
a14.h3->m14,0.010559082,-0.007385254
input->m2,0.06542969,-0.007659912
a12.h28->m13,-0.010314941,0.009460449
input->a1.h31<q>,0.059570312,0.10107422
m7->m13,-0.016479492,0.0069885254
m1->m12,-0.29296875,-0.012451172
a2.h11->m2,0.017700195,-0.009460449
a2.h18->m2,0.01361084,0.0095825195
a13.h3->m13,-0.021240234,0.008850098
a13.h19->m13,0.021118164,-0.017700195
a14.h25->m14,0.016845703,-0.011779785
a14.h24->m14,0.014892578,-0.011108398
m1->logits,-0.44335938,0.7890625
m1->m10,-0.076660156,0.012084961
a11.h18->m14,0.0099487305,0.0099487305
a2.h0->m2,-0.012512207,-0.012939453
m1->m14,1.328125,0.58203125
a8.h20->m14,0.013061523,-0.006591797
a9.h20->m14,-0.020629883,0.010986328
a14.h14->m14,0.029663086,0.030273438
a6.h10->m6,0.010314941,0.0066833496
input->a1.h28<q>,-0.011413574,0.012817383
a13.h17->m14,-0.025878906,0.034423828
input->a0.h1<q>,-0.012878418,0.006439209
input->a1.h30<q>,-0.01940918,-0.07714844
input->m3,0.022338867,-0.019897461
input->a1.h23<q>,-0.026733398,0.01977539
a8.h1->m13,-0.010864258,-0.018798828
input->m1,0.29492188,-3.265625
a13.h4->m13,0.014709473,0.039794922
a1.h14->m2,0.01361084,0.008605957
a13.h25->m14,0.01373291,-0.060302734
a11.h9->m14,-0.015380859,0.006652832
a14.h12->logits,-0.010986328,-0.0072631836
a3.h22->m3,0.030273438,0.007507324
m1->a13.h25<q>,0.029541016,-0.03466797
a13.h27->m13,0.025268555,0.0390625
m9->m14,-0.040283203,-0.009399414
a14.h10->m14,-0.045654297,-0.03149414
a12.h1->m14,-0.01965332,0.0099487305
a12.h18->m13,-0.016357422,0.016967773
m1->m4,-0.037353516,0.013916016
a5.h19->m5,-0.015075684,-0.026611328
input->a0.h5<q>,-0.014465332,0.011230469
m14->logits,0.20898438,-0.40234375
input->a0.h29<q>,-0.046875,-0.14257812
input->m13,-0.13964844,-0.06738281
a10.h27->m13,0.014587402,0.008911133
m11->m14,-0.08642578,-0.010009766
a11.h25->m13,0.010375977,0.012573242
a13.h4->m14,-0.028930664,0.045410156
m13->m14,-0.67578125,-0.32421875
a4.h0->m5,-0.018798828,0.0064697266
m0->m13,-0.056884766,-0.096191406
input->a0.h31<q>,0.375,0.78125
a14.h9->m14,-0.043701172,0.013366699
m11->m13,0.039794922,0.007659912
input->a0.h2<q>,-0.011169434,0.01953125
a8.h28->m14,0.010498047,-0.006713867
