edge,score_1,score_2
input->m8,-0.68359375,-0.6640625
a10.h22->m11,-0.37304688,0.4140625
a11.h22->m11,0.390625,-0.41796875
a7.h9->m12,-0.37695312,0.6953125
a13.h17->logits,0.51171875,1.4609375
a7.h31->logits,-0.41210938,0.42578125
a7.h21->m10,0.53515625,-0.2890625
a13.h17->m14,-0.453125,0.34960938
a11.h1->m12,0.57421875,0.47265625
a14.h18->logits,-0.53125,-0.5078125
a7.h7->m11,-0.59765625,0.36914062
a9.h4->m9,-0.49023438,-0.2890625
a13.h18->m14,-0.46484375,-0.29492188
a13.h16->logits,0.50390625,-0.47070312
a10.h14->m11,0.4453125,0.62109375
a6.h10->m11,-0.43554688,0.30273438
m9->logits,-0.6015625,-0.76171875
a1.h24->m1,0.62109375,0.28320312
a9.h6->m9,-0.49414062,0.5390625
a6.h11->m11,-0.375,-0.28125
m13->logits,0.421875,-1.84375
a14.h17->m14,-0.6796875,-0.48242188
m12->m15,0.36914062,0.296875
a13.h1->logits,-0.58203125,0.31445312
m5->logits,-0.99609375,-1.4375
a6.h9->m6,0.43554688,-0.3359375
a6.h8->m6,0.43164062,0.39257812
input->m14,-0.55859375,-1.4375
m10->logits,-0.5546875,-0.640625
a2.h24->m2,-0.40234375,0.3359375
a15.h13->logits,0.46289062,0.27734375
a7.h9->m10,-0.640625,0.3515625
a10.h15->m10,-0.42773438,0.41992188
a10.h11->m11,-0.984375,0.359375
m12->m14,1.296875,1.0234375
a11.h23->m11,0.40234375,0.28710938
a6.h5->m7,-0.38085938,-0.43554688
a7.h24->m11,0.46484375,0.42773438
a6.h6->m7,-0.36523438,0.31640625
m10->a12.h8<q>,-0.375,-0.30273438
input->m9,-0.91015625,-0.85546875
input->m10,-0.76171875,-0.89453125
m15->logits,-2.953125,-3.5625
a15.h15->logits,0.609375,-0.32226562
a11.h1->m11,-0.55859375,0.28515625
input->a0.h31<q>,-2.125,-1.171875
m2->logits,-0.43164062,-0.38476562
a10.h12->m10,-0.55859375,-0.36523438
a14.h16->m14,-0.796875,-0.39453125
input->m7,-0.53125,-0.8203125
m8->logits,-0.7109375,-0.87109375
a11.h10->logits,-0.421875,0.31640625
m4->logits,-0.74609375,-0.78515625
a12.h8->logits,0.3671875,-1.9921875
a6.h7->m11,-0.75390625,-0.41210938
a6.h10->m6,0.42578125,-0.30664062
a4.h8->m11,-0.57421875,0.3046875
a8.h1->m11,-0.703125,0.359375
m9->m11,0.43554688,-0.3046875
m10->m11,0.6796875,0.45507812
a7.h30->logits,-0.36523438,0.453125
a10.h8->logits,0.47265625,-0.35546875
a13.h19->logits,0.5,-1.5625
m14->logits,-1.4765625,-2.546875
input->m0,0.5546875,-0.69140625
m3->logits,-0.66015625,-0.7109375
a4.h26->m11,0.44726562,0.29492188
input->m12,1.28125,1.1015625
a14.h18->m14,-0.75,-0.515625
a10.h17->m13,0.40039062,-0.42578125
m7->logits,-0.80078125,-0.63671875
input->m5,-0.36914062,-0.46484375
m6->logits,-0.5625,-0.6015625
input->logits,7.875,9.9375
input->m1,-0.5859375,0.47265625
a14.h3->logits,0.46484375,-0.31054688
a13.h11->logits,-0.625,-0.453125
a15.h14->m15,-0.71484375,-2.09375
a13.h19->m15,-0.4453125,-0.42578125
a14.h13->m14,0.73046875,0.328125
a14.h14->m14,0.6328125,-0.76171875
m10->m14,0.46484375,0.5234375
a7.h2->m8,-0.39257812,0.328125
