edge,score_1,score_2
input->logits,-0.44921875,-0.015563965
a8.h29->logits,0.3515625,-0.0040283203
m0->m1,0.33984375,-0.013366699
a2.h4->m15,-0.13574219,0.0049438477
a4.h9->logits,0.20605469,0.00390625
m9->logits,0.26171875,0.012939453
a9.h22->logits,-0.18359375,-0.008239746
a14.h5->logits,-0.15039062,-0.018798828
m11->m14,0.16210938,0.003692627
a6.h1->logits,-0.16601562,-0.005126953
a10.h8->m11,0.12109375,-0.00390625
a9.h19->logits,0.31054688,-0.014587402
a14.h4->logits,-0.18164062,-0.018676758
a5.h28->logits,0.1875,-0.0058288574
a4.h13->logits,0.12597656,-0.00982666
m14->m15,1.34375,0.14648438
input->a0.h31<q>,-0.92578125,0.0049743652
a13.h27->m14,0.25,-0.010070801
a2.h24->logits,0.14355469,0.008850098
m12->m15,-0.14355469,0.009338379
a13.h24->logits,-0.21386719,-0.045410156
a15.h11->logits,0.13671875,-0.006439209
a15.h13->logits,0.15917969,0.0041503906
a9.h18->logits,0.30273438,0.0039367676
a12.h22->logits,-0.359375,-0.019897461
a3.h17->m3,-0.125,-0.004638672
m8->logits,0.4453125,0.011169434
a4.h28->logits,-0.13867188,0.0043640137
a15.h29->logits,-0.15722656,0.005279541
a13.h26->logits,-0.22167969,0.008972168
a10.h31->logits,-0.18359375,-0.020996094
a3.h6->logits,-0.18164062,-0.0038146973
m10->logits,-0.28320312,0.017700195
a11.h30->m11,-0.13574219,0.0040893555
a7.h29->logits,-0.13671875,0.019042969
a10.h27->logits,-0.24609375,0.0064697266
a8.h2->logits,-0.13867188,0.0039367676
m13->m14,0.71484375,0.0064697266
a11.h24->m15,0.13183594,-0.0049743652
input->a0.h26<q>,0.28125,0.0038604736
a15.h28->logits,-0.19726562,0.004425049
a4.h25->logits,-0.1484375,-0.008178711
a13.h26->m14,0.23339844,0.0051574707
a14.h6->logits,-0.12988281,-0.0138549805
a15.h18->logits,-0.28515625,-0.012084961
m13->logits,0.35742188,-0.05102539
a9.h20->logits,-0.23242188,0.014831543
a10.h21->logits,0.20214844,0.019165039
a4.h27->logits,-0.15527344,-0.008666992
a10.h10->logits,-0.21289062,-0.0064086914
a10.h28->logits,-0.25976562,0.016845703
a2.h20->logits,0.12451172,0.0049743652
a6.h2->logits,-0.15625,-0.010253906
a2.h21->logits,0.1328125,0.0072631836
a13.h27->logits,-0.20703125,-0.07763672
a9.h26->logits,-0.30273438,0.0043640137
a3.h31->logits,-0.14648438,0.0041503906
a10.h30->logits,-0.125,0.0047302246
a2.h16->m2,0.12890625,0.0039367676
a2.h25->logits,0.13671875,0.0071411133
a10.h11->logits,-0.18457031,-0.005004883
a14.h0->logits,-0.12792969,-0.0075683594
a9.h7->logits,0.122558594,0.0041503906
a9.h5->logits,0.12109375,0.0053100586
a9.h6->logits,0.12109375,-0.0039978027
a5.h25->logits,0.12011719,0.0067443848
a2.h17->logits,-0.122558594,-0.0045776367
a9.h21->logits,-0.13378906,0.005432129
a15.h30->logits,-0.15820312,0.007873535
input->m0,-0.5390625,-0.015380859
a7.h31->logits,-0.15625,-0.005584717
m11->logits,0.609375,-0.004272461
a2.h19->logits,-0.123535156,0.004333496
a14.h10->m15,0.1328125,-0.005126953
a5.h20->logits,-0.20019531,0.009155273
m12->m13,0.13867188,0.008056641
a2.h22->logits,0.13574219,-0.0043640137
a4.h10->logits,0.20507812,0.0045776367
a2.h7->m2,0.2421875,-0.007019043
a12.h3->logits,-0.21289062,-0.025268555
a15.h19->logits,-0.20507812,0.013366699
a15.h31->logits,-0.1640625,-0.0099487305
a10.h23->logits,0.19628906,0.03540039
a10.h8->logits,-0.13964844,-0.012817383
a2.h26->logits,0.13671875,-0.009277344
a10.h22->logits,0.19726562,-0.059570312
a12.h23->m15,-0.20117188,-0.007080078
a5.h2->logits,-0.17382812,-0.006378174
a2.h27->logits,0.14550781,-0.0045166016
a12.h21->logits,-0.26171875,-0.012207031
a3.h27->logits,0.23242188,-0.0048828125
a12.h23->logits,-0.27734375,0.003768921
a11.h1->logits,0.33203125,-0.008972168
a12.h20->logits,-0.20019531,-0.0038909912
a6.h0->logits,-0.13769531,-0.010559082
a4.h26->logits,-0.15527344,0.0056762695
a3.h29->logits,-0.14648438,-0.0043945312
m15->logits,0.1953125,-0.020263672
a10.h17->logits,-0.12011719,0.0099487305
a10.h29->logits,-0.25390625,-0.013366699
a4.h31->logits,-0.13476562,-0.009460449
a15.h24->logits,0.15527344,-0.025756836
a12.h8->logits,0.122558594,-0.032470703
a15.h25->logits,0.19042969,0.026855469
