edge,score_1,score_2
input->a0.h30<q>,-0.031982422,0.515625
input->a0.h18<q>,-0.76953125,0.18847656
m2->m11,0.014038086,0.12597656
input->a0.h31<q>,-1.40625,0.55078125
m3->logits,-0.049072266,-0.25585938
input->a0.h24<q>,-1.3828125,-0.33007812
input->a0.h4<q>,0.69921875,-0.13769531
input->a0.h26<q>,0.20605469,0.76171875
m14->logits,-1.953125,0.15722656
m10->logits,-0.20117188,-0.5
input->a0.h3<q>,0.55859375,-0.2265625
a0.h19->m0,0.013427734,0.15527344
m14->m15,0.36523438,0.33984375
m11->m15,0.09326172,-0.12597656
m11->logits,-0.24707031,-0.375
m13->m14,0.41992188,0.265625
m10->m13,-0.03540039,-0.1328125
input->a0.h10<q>,0.08544922,-0.1875
m6->m15,0.015380859,-0.15234375
m4->logits,0.021118164,-0.37304688
m15->logits,-0.30664062,0.8046875
m13->m15,-0.025634766,-0.3203125
m10->m12,-0.05810547,0.16894531
input->a0.h0<q>,0.08642578,0.16113281
a0.h29->m0,0.023803711,-0.24902344
input->a0.h13<q>,1.0703125,0.14160156
m7->logits,-0.021850586,-0.1875
input->a0.h5<q>,-0.049316406,0.17773438
m10->m15,0.033203125,-0.17285156
m12->m15,0.25,-0.25390625
m0->m1,-0.23144531,0.12988281
m11->m12,-0.039794922,0.44921875
m10->m14,0.020263672,-0.15527344
m9->m10,0.045654297,-0.14550781
m2->m3,-0.045654297,0.3046875
