edge,score_1,score_2
m12->m14,-1.46875,1.0234375
m11->m14,-0.69921875,-0.30078125
m14->logits,-5.46875,-2.546875
m11->m12,-0.50390625,0.43945312
m5->logits,-0.12109375,-1.4375
m15->logits,-5.625,-3.5625
m10->logits,-0.37304688,-0.640625
m7->logits,-0.055664062,-0.63671875
m13->m14,2.1875,1.5
m0->logits,-3.5625,-0.28320312
m9->m13,-0.068359375,0.3828125
m5->m14,-0.15039062,0.28320312
m10->m15,0.041259766,0.35546875
m10->m11,0.053222656,0.45507812
input->a0.h31<q>,0.34960938,-1.171875
m10->m14,-0.27734375,0.5234375
m6->logits,0.050048828,-0.6015625
m13->logits,-0.546875,-1.84375
m9->m11,-0.049316406,-0.3046875
m9->logits,0.10205078,-0.76171875
m11->m13,-0.7734375,0.34960938
a13.h27->logits,-0.018798828,-0.46484375
m3->logits,-0.09375,-0.7109375
m9->m10,0.042236328,-0.34570312
m12->m15,-0.22460938,0.296875
input->a0.h3<q>,-0.2578125,0.36523438
