edge,score_1,score_2
a0.h27->m0,0.0078125,0.0099487305
m0->m8,0.11230469,0.0039978027
a0.h3->m0,-0.004760742,0.025268555
m12->logits,-0.20507812,0.044433594
m14->m15,0.056640625,0.14648438
a0.h23->m0,-0.0076904297,-0.01361084
m10->m15,-0.0045776367,0.0050354004
a0.h16->m0,-0.0051879883,0.009887695
m0->m4,0.095214844,0.004760742
m0->a1.h3<q>,-0.0099487305,-0.013427734
m0->a1.h20<q>,0.008117676,-0.0053100586
input->a0.h27<q>,-0.31445312,0.0040283203
m0->a2.h27<q>,-0.00982666,0.0035705566
a0.h15->m0,0.007080078,0.008239746
m0->logits,-0.47070312,0.004058838
m9->m14,0.026855469,0.004760742
m12->m15,0.044677734,0.009338379
m0->m15,-0.017700195,-0.0054016113
m12->m14,-0.011657715,0.016479492
a0.h24->m0,-0.008056641,0.0056152344
m0->a1.h31<q>,0.004486084,0.010681152
a0.h26->m0,0.010009766,-0.0071411133
input->a0.h26<q>,-1.609375,0.0038604736
m13->logits,-0.076171875,-0.05102539
m10->m14,0.012084961,0.0052490234
a0.h6->m0,0.0038146973,-0.018066406
m0->a5.h13<q>,0.0072631836,0.0099487305
a0.h1->m0,-0.010070801,0.06542969
m0->m9,-0.3125,0.0049438477
m0->a1.h19<q>,0.008300781,-0.017822266
m0->a1.h21<q>,-0.010131836,0.008666992
m0->m12,-0.122558594,0.0043029785
m0->m1,-0.037109375,-0.013366699
a0.h12->m0,-0.0071411133,0.012084961
input->a0.h1<q>,-0.096191406,0.007080078
input->a0.h31<q>,0.05908203,0.0049743652
m10->logits,-0.030883789,0.017700195
m14->logits,-0.13769531,-0.12792969
m0->a2.h20<q>,0.0065612793,0.00491333
a0.h22->m0,0.0037841797,-0.008178711
m9->logits,-0.021728516,0.012939453
m11->logits,-0.084472656,-0.004272461
m0->a1.h2<q>,-0.020263672,0.004272461
m8->logits,-0.010620117,0.011169434
m0->m14,0.296875,0.004547119
m0->a1.h0<q>,-0.02722168,0.012207031
m13->m14,0.36328125,0.0064697266
m0->a2.h16<q>,0.028930664,0.0039978027
