edge,score_1,score_2
a2.h20->m4,-0.8359375,0.3125
a13.h1->logits,-0.54296875,0.31445312
a7.h27->m8,0.54296875,-0.3515625
a6.h22->m8,-0.546875,-0.32226562
input->m0,3.375,-0.69140625
a11.h20->logits,-0.5390625,0.2890625
m14->logits,-0.90625,-2.546875
input->m15,-0.828125,0.6015625
a7.h30->logits,-0.7109375,0.453125
a7.h1->logits,1.1015625,0.6015625
a1.h24->m1,2.21875,0.28320312
a10.h7->logits,0.82421875,0.6953125
a10.h6->logits,0.75390625,0.41210938
a15.h14->logits,1.5703125,-0.875
a15.h13->logits,0.98828125,0.27734375
a10.h7->m13,0.59375,0.421875
input->m3,2.03125,-0.41210938
input->logits,19.5,9.9375
a2.h14->m3,1.171875,0.33984375
a2.h18->m2,1.296875,-0.4609375
a1.h28->m1,-2.15625,-1.109375
input->m1,4.96875,0.47265625
a6.h13->m6,-0.53125,0.4609375
m13->logits,-1.1953125,-1.84375
a7.h24->m8,0.578125,0.46484375
a10.h14->logits,-0.796875,0.74609375
a8.h2->logits,-0.9296875,0.64453125
a7.h7->logits,0.9140625,-0.51171875
a7.h22->logits,1.4921875,-0.75390625
a7.h31->logits,-0.6953125,0.42578125
a10.h15->m10,0.69140625,0.41992188
input->m8,-0.61328125,-0.6640625
a14.h18->logits,-0.5234375,-0.5078125
a7.h28->logits,-0.73046875,-0.359375
m2->logits,-0.58203125,-0.38476562
m3->logits,-0.546875,-0.7109375
m8->logits,-0.640625,-0.87109375
a11.h21->logits,-0.515625,-0.36914062
m15->logits,0.59765625,-3.5625
a6.h10->logits,0.74609375,-0.47070312
m10->logits,-0.49023438,-0.640625
a5.h27->logits,0.55859375,0.37695312
a3.h24->m4,0.828125,-0.359375
a3.h20->m3,-0.55078125,0.296875
a1.h31->m1,-2.1875,0.34570312
a7.h6->logits,0.94140625,0.5
a8.h31->logits,0.82421875,-0.671875
a6.h20->logits,0.52734375,-0.44921875
a7.h25->logits,-0.7890625,-0.36523438
a10.h17->m10,-0.8203125,0.36523438
a7.h20->logits,1.390625,0.515625
a6.h23->m6,-0.5703125,-0.359375
a10.h4->m13,0.578125,-0.33984375
a10.h4->logits,0.81640625,-0.421875
a15.h14->m15,-0.8515625,-2.09375
m9->logits,-0.71875,-0.76171875
a8.h28->logits,0.84375,0.45703125
a2.h19->m2,1.140625,-0.62890625
a6.h13->logits,0.6796875,-0.28320312
a10.h12->m10,0.57421875,-0.36523438
a11.h23->m11,-0.73046875,0.28710938
a10.h13->logits,-0.83984375,-0.4140625
m1->m2,2.046875,0.33789062
a7.h29->m12,-0.5234375,-0.56640625
a6.h21->logits,0.50390625,0.36523438
input->a0.h31<q>,1.859375,-1.171875
input->m14,-1.6484375,-1.4375
a6.h23->logits,0.52734375,0.32421875
a14.h3->logits,0.953125,-0.31054688
a6.h30->logits,1.109375,-0.3203125
a2.h23->m3,-1.359375,0.30078125
m4->logits,-0.8984375,-0.78515625
a11.h22->m11,-0.765625,-0.41796875
m6->logits,-0.73828125,-0.6015625
a15.h15->logits,1.3203125,-0.32226562
a2.h17->m2,1.3828125,0.4609375
a1.h29->m1,-1.9921875,-0.5390625
a3.h26->m4,0.8515625,-0.33984375
m5->logits,-0.828125,-1.4375
a4.h26->logits,-0.6953125,-0.28515625
a3.h0->m4,0.5,0.3359375
input->m4,1.75,-0.4609375
a4.h26->m4,-0.87890625,-0.27929688
a7.h30->m12,-0.51953125,0.41015625
input->m7,-0.76953125,-0.8203125
a10.h14->m10,0.59375,0.80859375
