edge,score_1,score_2
a7.h22->m11,0.17089844,0.13964844
a8.h0->m12,0.20214844,-0.20019531
a1.h19->m1,-0.18359375,0.24023438
a1.h29->m1,0.18847656,-0.15527344
a10.h4->logits,0.17382812,0.1328125
a13.h19->logits,0.22265625,0.28710938
a15.h22->logits,-0.31445312,-0.19042969
a2.h11->m2,0.24511719,0.21875
a2.h8->m2,0.27734375,0.2265625
a1.h8->m1,-0.16796875,-1.2265625
a14.h13->logits,-0.19238281,-0.18457031
a12.h22->m13,0.14550781,0.13574219
a7.h2->m12,0.15234375,-0.13378906
m11->m15,-0.19921875,-0.12597656
a8.h28->logits,0.16601562,-0.23242188
a7.h21->logits,0.19921875,0.13867188
m12->m15,-0.34960938,-0.25390625
m1->m15,-0.28515625,-0.48046875
a14.h28->m14,0.14257812,0.17773438
a1.h30->m1,0.18164062,0.17480469
a14.h23->m14,0.15429688,-0.21484375
input->a0.h24<q>,-0.2421875,-0.33007812
a14.h21->m14,0.16992188,0.23828125
a11.h30->m14,0.1796875,0.1328125
m5->logits,-0.22265625,-0.32226562
a15.h8->logits,-0.15039062,0.15722656
a3.h31->m3,-0.3203125,-0.14355469
a13.h11->logits,0.18847656,0.16113281
a7.h22->logits,0.20117188,-0.20117188
a10.h15->logits,0.14648438,-0.23632812
a1.h12->m1,-0.26757812,-0.23242188
a10.h1->logits,-0.18457031,0.1640625
m11->m12,0.22851562,0.44921875
input->m12,-0.31054688,-0.57421875
a13.h25->logits,-0.1953125,0.13671875
a1.h16->m1,-0.18847656,-0.16503906
a10.h27->m11,-0.23535156,0.23046875
a1.h9->m1,-0.17089844,0.98046875
m10->logits,-0.22265625,-0.5
a12.h2->logits,-0.2421875,-0.18261719
a1.h28->m1,0.19238281,1.578125
input->logits,1.6328125,3.640625
input->a0.h3<q>,-0.27148438,-0.2265625
a13.h7->m14,0.14257812,0.13085938
a2.h17->m2,-0.22460938,0.53515625
a10.h15->m10,0.15722656,-0.13964844
a1.h15->m1,-0.25585938,-0.4921875
input->a0.h26<q>,0.32226562,0.76171875
a12.h24->logits,-0.16601562,0.12792969
a15.h15->logits,-0.328125,0.14453125
a1.h0->m1,0.1953125,-0.18457031
a2.h9->m2,0.27148438,0.26953125
m2->logits,-0.21582031,-0.25195312
a1.h10->m1,-0.16015625,0.71875
a15.h27->logits,-0.50390625,0.3671875
a13.h20->logits,0.14941406,-0.13378906
m4->logits,-0.24023438,-0.37304688
a15.h9->m15,-0.16113281,-0.20898438
a12.h23->m15,-0.14746094,0.12597656
m14->m15,0.61328125,0.33984375
m14->logits,-0.40429688,0.15722656
a2.h1->m2,0.27929688,0.22167969
input->m2,0.53125,0.87109375
a6.h9->logits,-0.21484375,-0.15527344
a13.h19->m14,0.15820312,0.23242188
m10->m14,-0.328125,-0.15527344
a2.h10->m2,0.25976562,0.17773438
a2.h22->m4,-0.15722656,-0.15039062
a8.h29->logits,0.16503906,0.18359375
input->m0,-0.28320312,1.3125
a15.h0->logits,0.21777344,0.17773438
a1.h31->m1,0.20410156,-0.35742188
m6->logits,-0.16503906,-0.30078125
a13.h10->logits,0.17871094,-0.36914062
m1->m14,1.3828125,0.640625
input->m11,-0.5078125,-0.86328125
m11->logits,-0.24414062,-0.375
m15->logits,1.0625,0.8046875
input->m7,-0.20898438,-0.20703125
a12.h25->logits,-0.16113281,-0.17773438
m10->m15,-0.17382812,-0.17285156
a12.h23->m13,0.14257812,-0.1328125
a2.h19->m2,-0.17480469,-0.6640625
a9.h0->logits,0.16894531,0.13574219
a12.h26->logits,-0.15625,0.24414062
a8.h31->logits,0.1640625,0.3359375
a8.h31->m11,-0.15625,-0.12792969
a8.h1->m12,0.20703125,0.13085938
m1->m2,0.3046875,0.75390625
a15.h2->logits,0.24902344,-0.19042969
a1.h1->m1,0.18847656,0.21386719
a14.h15->logits,-0.22460938,0.14453125
a13.h9->logits,0.15039062,0.13085938
a2.h16->m2,-0.18164062,-0.23730469
a9.h1->logits,0.16894531,-0.26171875
a13.h17->m14,0.16601562,0.16796875
a13.h17->logits,0.23242188,-0.4609375
a14.h30->m14,0.14453125,-0.13671875
a2.h2->m2,0.2890625,0.33007812
m8->logits,-0.19335938,-0.25585938
a10.h6->logits,0.17089844,-0.12695312
a8.h30->logits,0.14941406,-0.1328125
input->m8,-0.20605469,-0.40820312
input->a1.h23<q>,-0.23632812,-0.51171875
a2.h0->m2,0.28320312,0.30078125
a15.h25->logits,-0.32226562,0.17871094
m9->logits,-0.21484375,-0.37695312
a15.h14->logits,-0.59375,-0.671875
a3.h30->m3,-0.3203125,-0.20117188
a10.h11->m13,0.41210938,0.20019531
a1.h11->m1,-0.16113281,-1.1328125
a14.h22->m14,0.17285156,0.13476562
input->m10,-0.44335938,-0.609375
a7.h29->m13,0.14257812,-0.13183594
a14.h12->logits,-0.20898438,0.28320312
input->a0.h30<q>,0.22265625,0.515625
a15.h23->logits,-0.33007812,0.2109375
a6.h10->m10,-0.16796875,0.12597656
input->m15,1.53125,1.78125
a1.h13->m1,-0.2578125,0.34960938
input->m9,-0.30273438,-0.328125
a15.h10->logits,-0.14550781,0.28515625
a15.h11->m15,-0.19238281,-0.12792969
a14.h15->m15,0.20019531,0.23046875
input->a0.h5<q>,0.21289062,0.17773438
a3.h29->m3,-0.328125,0.34570312
a1.h2->m1,0.20410156,-0.27539062
a15.h26->logits,-0.39453125,-0.28320312
a14.h20->m14,0.17578125,-0.19238281
input->m1,-0.74609375,1.0625
a13.h5->m13,-0.14550781,0.12890625
