edge,score_1,score_2
a0.h14->m0,-0.028442383,-0.46289062
m10->m12,0.048095703,0.030639648
m10->m11,0.034423828,0.068847656
m1->m6,0.08544922,-0.030883789
input->a0.h27<q>,0.06640625,0.69140625
input->a0.h2<q>,0.03540039,4.375
m12->m14,-0.21386719,0.08544922
m15->logits,1.15625,0.08105469
input->a0.h7<q>,-0.02746582,2.515625
input->a0.h8<q>,0.038330078,-1.6171875
input->a0.h31<q>,0.115234375,2.046875
m1->m12,-0.11816406,0.055664062
input->a0.h26<q>,-0.08642578,0.98828125
m5->m6,0.052734375,-0.048828125
m0->m13,-0.50390625,0.068847656
m11->m12,0.04248047,-0.046875
m1->m2,0.10986328,0.05834961
m9->m12,0.037597656,0.07421875
input->a0.h13<q>,-0.053466797,-4.1875
a0.h9->m0,-0.035888672,0.06347656
input->a0.h29<q>,-0.43554688,-1.640625
m12->a13.h25<q>,0.045654297,0.07128906
a12.h21->m13,-0.047607422,0.030029297
m13->m14,0.3984375,0.25195312
a13.h27->m13,-0.099609375,0.029052734
input->a0.h19<q>,0.047851562,0.36523438
a13.h24->m13,-0.049316406,-0.064941406
input->a0.h5<q>,0.028076172,-2.578125
input->a0.h14<q>,0.030761719,3.015625
input->a0.h9<q>,-0.05126953,1.6171875
input->a0.h24<q>,0.030883789,2.265625
a0.h13->m0,-0.028442383,0.055908203
m9->m10,0.041259766,0.029541016
m9->m13,0.059326172,0.045410156
m14->m15,1.421875,-0.053222656
m12->a13.h27<q>,-0.04272461,0.04345703
m13->m15,0.05810547,0.14160156
m11->m14,-0.09814453,0.041503906
m0->m1,0.1328125,0.73828125
